01:00:27:28	01:00:30:19	忠於自己心裡喜歡的那個東西
01:21:41:23		你就可以實際上來加入
01:21:42:26		我們這樣的活動
01:21:44:00		實際上來做一些
01:21:45:03		對在地有益的事情
01:21:46:25		就是說教育已經不再只是說
01:21:48:27		單面的從比方說學校
01:21:50:13		或是從某些地方來
01:21:51:27		它是全世界
01:21:52:24		都是你可以拿來參考的
01:21:54:05		一個很好很好的樣板
01:21:55:26		那哪些人做得很好你可以學習
01:21:57:27		哪些人做得不好你可以知道說
01:21:59:28		之後遇到這個問題的時候
01:22:00:28		要避開
01:22:02:01		對, 所以我們那時候
01:22:03:00		其實就有滿...
01:22:03:27		就是大家討論出比較三個主題
01:22:06:12		一個主題就是說我們希望說
01:22:07:23		這個國際平台可以讓我們看到
01:22:10:18		在地的人是有這個能力
01:22:12:07		去站上國際的舞台
01:22:13:16		跟全世界的人交流
01:22:14:23		完全沒有那種
01:22:15:13		就是我們可能比較差
01:22:16:17		或是我們可能比較沒那麼好的
01:22:17:25		這種問題
01:22:18:27		這是第一個
01:22:19:24		第二個地方是說
01:22:21:00		我們希望可以
01:22:22:21		減少這種世代的差距
01:22:24:11		我們想要證明說
01:22:25:09		我們是用一步一步走上來
01:22:27:14		一步一步跟著這個社會
01:22:28:27		學習這個規範
01:22:30:05		學習這樣的不一樣的東西
01:22:31:11		你們想要得到信任
01:22:32:17		對...
01:22:33:17		加入我們自己的一些新的方法
01:22:35:17		讓這件事情更有效率
01:22:36:19		讓這件事情變得更好
01:22:37:23		讓這件事情變得更順利
01:22:39:02		或是更多人關注
01:22:40:13		這是第二個
01:22:40:29		那最後一個就是希望說
01:22:43:10		在同時期我們也可以看到
01:22:45:06		全世界有這麼多的人
01:22:46:26		有六, 七十億人
01:22:47:29		他們在這些地方做的這些事情
01:22:49:26		都值得我們參考
01:22:51:07		都是我們這個年齡層的人
01:22:52:13		可以去看到的
01:22:53:22		可以去知道說, 你看
01:22:55:04		在美國有個二十幾歲的小朋友
01:22:56:19		他就做了一個公益網站
01:22:58:23		然後這個公益網站
01:22:59:18		就讓很多很多的
01:23:00:26		就是受饑荒摧毀這些的人
01:23:04:01		有辦法有飯吃, 有地方住
01:23:05:29		那我們也可以做到
01:23:06:26		類似規模的事情
01:23:08:10		那怎麼做
01:23:08:28		就先從我們在地的
01:23:09:25		這些問題解決起
01:23:11:13		對, 這是我們當時的一個
01:23:12:27		就是我覺得
01:23:14:18		這個年輕的這一輩族群
01:23:16:03		想要做到的一些事情
01:23:18:00		可是其實你們的TEDx
01:23:20:05		有不同的屬性, 對不對
01:23:21:18		因為Jason其實已經算是一個
01:23:24:08		你把這個當成是你
01:23:25:24		全職工作在做
01:23:26:29		對, 其實我當初在
01:23:29:27		把這品牌引進來的時候
01:23:30:25		其實除了這TED這三個字之外
01:23:33:04		我更在乎的事情是
01:23:34:21		我們台灣要講什麼故事
01:23:36:07		或是以台北這個地方
01:23:37:22		我們怎麼樣就是站在這個地方
01:23:39:19		去面對整個亞洲
01:23:41:09		所以在每次
01:23:42:09		我們的年會的規劃裡面
01:23:43:24		我都認為說
01:23:44:25		這是一場亞洲的TED
01:23:46:11		它不只是一場TEDxTaipei
01:23:48:15		所以我們所有的講者
01:23:50:10		然後譬如說
01:23:50:29		有三分之一會來自國外
01:23:52:21		然後兩天的年會
01:23:53:21		可能有超過四十個講者
01:23:55:23		然後觀眾大概也五, 六分之一
01:23:58:20		是來自亞洲各個地方
01:24:00:21		所以我們現場的活動
01:24:01:26		就是有雙語的這個
01:24:03:14		中文和英文的直播這樣子
01:24:06:09		那我自己的想法是說
01:24:08:01		如果我自己投身下去
01:24:10:01		但是
01:24:11:00		我自己可以燃燒我的熱情
01:24:11:28		但是我沒有辦法叫所有的人
01:24:13:24		都跟我一樣
01:24:14:24		但是我一定要設計出一個好的
01:24:17:14		社會企業的商業機制
01:24:19:15		讓跟著我一起做這些事的人
01:24:21:17		他們可以得到適當的報酬
01:24:24:23		而且他們可以跟他們父母親說
01:24:26:17		我很驕傲, 我在做這一件事
01:24:28:04		我不會餓死
01:24:29:07		那這個我是覺得是台灣目前
01:24:31:07		以社會企業創業最大的問題
01:24:33:15		因為如果說以學生來說
01:24:35:23		他們離開學校之後
01:24:37:03		要怎麼樣繼續下去
01:24:38:17		但是我是想要跟他們說
01:24:40:12		他們離開之後
01:24:41:06		還是可以繼續下去
01:24:42:20		因為我這邊一個活生生例子
01:24:44:01		跟他們說
01:24:45:21		我就是這樣一路走過來
01:24:47:05		你們也可以創業
01:24:48:19		做這一件事情
01:24:49:29		然後做成一個
01:24:51:05		你們想要做成的社會企業
01:24:53:02		我非常贊成這件事情
01:24:54:14		因為目前貨幣制度
01:24:57:11		還沒有辦法被取消
01:24:58:29		所以我們就是得接受這個現實
01:25:01:13		那在這個現實之上
01:25:03:06		做好事的人值得過更好的生活
01:25:05:25		就是很多人在說你們社會機構
01:25:08:06		怎麼可以把那些錢
01:25:09:06		拿去當行政費
01:25:09:28		我們捐錢就是給你要拿去
01:25:11:28		就是要幫助那些
01:25:13:04		窮苦的人什麼的
01:25:14:10		如果說中間還有行政費
01:25:15:22		那我幹嘛
01:25:16:14		要捐給你們這個慈善機構
01:25:18:27		慈善機構都活不下去了
01:25:20:21		他們如何幫助其他的人
01:25:22:18		而且我非常贊成
01:25:23:20		你剛剛說的那一句話
01:25:24:14		就是它是一個永續經營的概念
01:25:28:21		而且它應該是值得
01:25:30:00	01:25:31:24	跟所有人講解說
01:25:33:24		不管是父母也好
01:25:34:26		或是整個社會也好
01:25:36:03		請不要用我們在做慈善事業
01:25:38:21		所以我們必須用施捨的眼光
01:25:41:10		或者是態度來面對這個事情
01:25:43:04		因為公益跟營利對我來說
01:25:47:05		並沒有那麼衝突
01:25:48:09		大家要釐清這個概念
01:25:49:29		這個是非常重要的一個事情
01:25:51:29		可是你還是在做
01:25:53:12		就是非營利組織的事
01:25:55:29		還是比較理想化
01:25:56:20		因為你還有別的正職嘛對不對
01:25:58:12		對... 當時其實我滿欣賞
01:26:00:19		就是Jason這樣的說法
01:26:01:25		就如果大家的Power
01:26:02:25		可以全部Collaborate的話
01:26:04:05		就全部合作在一起
01:26:05:03		會是非常非常好
01:26:06:07		那我當時的想法
01:26:07:08		其實會比較偏向
01:26:08:06		因為非營利組織這個詞
01:26:09:25		在台灣
01:26:10:11		它並沒有被非常好的演繹
01:26:12:19		非營利組織其實不代表說
01:26:14:01		它本身是養不活這些人
01:26:16:05		而是說它是用不一樣的方式
01:26:17:25		來做一個介接
01:26:19:05		也就是說像現在
01:26:19:26		我們既有的企業存在的當下
01:26:22:10		它就是做企業的事情
01:26:23:13		它就是去營利
01:26:24:14		它就是去做這些商品服務等等
01:26:26:21		那但是其實像歐洲, 美國
01:26:28:11		這些比較先進國家
01:26:29:25		他們有一個制度叫CSR
01:26:31:04		就是企業社會責任這種東西
01:26:32:28		它其實是一個
01:26:33:25		企業永續經營的一種規範
01:26:35:29		它去說你今天這間公司
01:26:37:19		如果非常的有這種想法
01:26:40:02		非常的想要繼續持續
01:26:41:18		永續營運的話
01:26:42:14		你就必須要遵守這個規則
01:26:44:05		讓這些人有更好的生活
01:26:45:28		讓你的周遭的這些產品的使用
01:26:50:07		有比較好的環境的榜樣
01:26:52:03		然後或者是在這個整個
01:26:54:02		對於這個在地的地方
01:26:55:24		會有比較多的照顧
01:26:57:07		那這要怎麼做到呢
01:26:58:18		他們就會去Donate
01:26:59:21		就是去捐獻給這些非營利組織
01:27:02:03		讓他們來完成
01:27:03:16		這些企業可能沒有辦法
01:27:04:26		完成的事情
01:27:06:05		所以其實這是一個滿大的趨勢
01:27:08:21		很多很多大型的這種
01:27:10:10		財星五百大的這種超大型企業
01:27:12:14		他們都是在做這樣的事情
01:27:14:07		因為這樣子它就可以真的
01:27:15:22		對在地去做客製化
01:27:17:27		它不需要說我變成一個
01:27:19:08		非常非常大型的組織
01:27:20:15		但是我讓每一個地方
01:27:21:23		都有他們自己的特色的
01:27:23:10		這些小小的非營利組織
01:27:24:22		那這些非營利組織
01:27:25:16		就把這個地方的人顧好
01:27:27:22		把這個地方的環境照顧好
01:27:29:15		這是一個分工的概念
01:27:31:11		對, 那當然這個概念
01:27:32:23		現在還是比較新
01:27:34:09		就是對於現在的
01:27:35:21		比方說台灣的這些企業而言
01:27:37:28		慢慢的在開始
01:27:39:09		那我們也希望說
01:27:40:07		未來其實如果到了一個
01:27:41:20		很好的階段的時候
01:27:42:20		他們其實可以想到說
01:27:44:04		我們是提供我們自己的價值
01:27:45:21		我們打開了一個國際的視野
01:27:48:00		打開了一個新的創新的思維
01:27:49:24		打開了一個新的通路
01:27:51:08		那這些東西
01:27:51:26		我們也可以提供他們價值
01:27:53:04		那同時他們來捐款的時候
01:27:55:04		他們就不會有這種
01:27:56:11		就是說你們就應該
01:27:57:05		是做白工等...
01:27:58:29		對, 因為我也贊同
01:27:59:21		就是我們必須要有自己的價值
01:28:01:14		這樣別人來捐獻的時候
01:28:03:03		他才不會說他就是捐獻給一個
01:28:04:28		沒有辦法繼續回饋的
01:28:06:10		這樣的機制
01:28:07:11	01:28:08:29	所以是一個互相互相的過程
01:28:41:27		好, 現在我們要進入一個
01:28:43:11		可能大家也會滿有興趣的主題
01:28:45:20		就是我們如何做出
01:28:47:22		我們自己風格的
01:28:49:23		TEDxTaipai, TEDxTainan
01:28:51:09		你們是如何去規劃說
01:28:53:24		這是最能代表台灣的主題
01:28:56:25		最能代表台灣的演講
01:28:58:19		然後每一年
01:29:00:03		是不是會因應不同的趨勢
01:29:02:02		然後做調整
01:29:02:27		你們是怎麼去計畫
01:29:04:00		這個事情的呢
01:29:05:06		來, Jason
01:29:06:11		因為我做六年了嘛
01:29:08:04		○九到現在
01:29:09:18		所以六次的年會
01:29:11:23		還有大大小小的沙龍
01:29:13:17		那超過三百個講者
01:29:15:18		那這三百個演講
01:29:16:27		就好像三百個Baby一樣
01:29:18:16		譬如說像柯文哲柯P
01:29:20:15		他談生死
01:29:21:21		林懷民老師講
01:29:22:28		年輕人, 你的代名詞就叫勇敢
01:29:25:28		齊柏林
01:29:26:26		然後蔣勳等...
01:29:28:27		那每一個人都是代表一種個性
01:29:31:17		那其實是一種台灣文化的符號
01:29:35:02		譬如說像蔣老師或林老師等...
01:29:38:04		或是像年輕這一種
01:29:39:22		還沒有被發掘出來的明星
01:29:42:17		我把它叫做TED的星光大道
01:29:44:21		他來TED上面演講之後
01:29:45:27		他突然間就變有名了
01:29:47:17		因為我們讓這舞台
01:29:48:23		把他做的事情放大
01:29:51:03		然後讓全世界人知道
01:29:52:10		怎麼可以幫助他
01:29:53:15		你是怎麼找到這些人的呢
01:29:54:27		所以早期我在規劃的時候
01:29:56:19		第一年我做的題目
01:29:57:17		叫台灣的故事
01:29:58:28		因為我第一次做
01:29:59:28		二○○九的時候
01:30:00:22		我就想說台灣是什麼
01:30:02:18		所以那時候我找了
01:30:03:18		像是董陽孜老師
01:30:05:18		寫書法的
01:30:06:22		然後像有做野火樂集的陳永龍
01:30:10:14		來唱原住民的歌曲等...
01:30:12:28		那每一年就是有不一樣的演繹
01:30:16:07		那我永遠在想的事情是說
01:30:17:27		我怎麼樣扮演一個橋梁
01:30:19:20		讓即將消失的人的手工藝
01:30:24:11		可以透過這個平台
01:30:25:10		讓年輕的一代知道
01:30:27:09		怎麼樣可以傳承下去
01:30:29:13		然後另外一件事情是
01:30:31:00		怎麼樣讓還不知道的人
01:30:34:02		透過這個平台
01:30:35:16		他所做的事情可以被放大
01:30:37:18		讓更多人知道
01:30:38:20		那譬如說我舉個例子
01:30:40:03		我們那時候二○一一年的時候
01:30:42:10		邀請一個講者叫黃明正
01:30:44:11		他是倒立先生嘛
01:30:45:28		是, 我們訪問過他
01:30:47:20		我找到他的時候
01:30:48:09		他是在西門町倒立
01:30:50:03		然後我每次跟他講話
01:30:51:08		都要這樣倒著看
01:30:52:26		因為他都一直在倒立
01:30:53:22		所以你是在街頭找到他
01:30:54:23		我在街頭遇到他
01:30:56:00		對, 然後我就說
01:30:57:07		請你來TED演講
01:30:58:18		然後他說我不要去當馬戲團
01:31:01:10		這樣子
01:31:01:22		然後但是我說拜託
01:31:03:05		因為你做的事情
01:31:04:10		值得讓全台灣知道
01:31:06:08		然後是在那一個當下我覺得說
01:31:08:24		如果這樣一個人的力量
01:31:10:29		他要靠著到處去賣藝為生
01:31:14:09		但是他背後有一個更大的夢想
01:31:16:07		為什麼我不把舞台給他
01:31:18:13		然後讓他在舞台上發酵之後
01:31:21:06		全台灣人都可以幫助他
01:31:22:27		所以就在那一個當下
01:31:23:28		我有點把TED定義成說
01:31:25:29		我如何幫人家搭一個舞台
01:31:28:09		然後讓故事在舞台上發生
01:31:30:16		那我覺得
01:31:30:29		就是對於我這個搭戲棚的人
01:31:33:17		我就覺得很開心了
01:31:34:29		因為很多很多的故事
01:31:36:15		值得被知道
01:31:38:16		OK, 你呢
01:31:39:26		其實我們的想法
01:31:40:27		也是非常非常接近
01:31:42:11		在這個地方
01:31:42:24		我們也分享一個共同的理念
01:31:44:11		我們希望說
01:31:45:20		這是一個傳承的過程
01:31:47:09		就是在這些參與的
01:31:48:21		各個年齡層的不同的學生裡面
01:31:50:25		他們每一次的每一次活動
01:31:52:11		都會得到不同的啟發
01:31:54:05		那我們最剛開始是Dream On
01:31:55:26		這個活動叫做夢想啟動
01:31:57:18		接著Follow your heart
01:31:58:24		就是跟隨你的內心走
01:32:00:13		然後再來到
01:32:01:21		就是小人物也可以有大夢想
01:32:03:06		接著就是去擁抱這個挑戰
01:32:05:18		最後則是一個新的思潮
01:32:07:08		這其實是一個從我們自己內身
01:32:09:14		自己去自省的一個過程
01:32:11:08		那其實我們在做挑選
01:32:12:29		去做這個在地的這個時候
01:32:14:22		我們很希望的是
01:32:16:02		未來也會能夠慢慢的養成
01:32:18:07		這些年輕人
01:32:19:15		可以站在這個國際舞台上
01:32:21:12		所以並不一定說
01:32:22:12		給他們一個很大很大的
01:32:26:04		比方說限制他
01:32:27:08		一定得做什麼事情
01:32:28:07		而是說未來有一天
01:32:29:18		你正在做的事情即使它很小
01:32:31:07		它一樣可以放大到
01:32:33:01		放到國際的舞台
01:32:34:04		只要你一直努力下去
01:32:35:18		比方說我們邀請
01:32:36:08		全美戲院的老畫家
01:32:39:01		他非常不想要我們提他的姓名
01:32:40:20		因為他覺得畫畫這件事情
01:32:42:25		是大家都應該要做的一件事情
01:32:45:14		他說他的名字不重要
01:32:46:24		但是他要讓這個畫給大家知道
01:32:49:08		所以他當下其實這個演講
01:32:50:23		沒有講太多的話
01:32:52:07		他坐在舞台上
01:32:53:22		把他自己的自畫像完成
01:32:55:23		他說如果大家都可以畫
01:32:58:22		畫完這些東西的話
01:33:00:07		我們是不是就不用來爭執
01:33:02:15		我們是不是不用用尖銳的語言
01:33:04:11		而是用漂亮的畫
01:33:05:13		來讓這個世界更美好
01:33:07:02		或者是我們那時候邀請到一個
01:33:08:16		在台南的一個建築師
01:33:11:13		他是從荷蘭遠地而來
01:33:13:26		他看到台灣有就是乾旱
01:33:16:24		還有這些淹水的問題
01:33:18:06		他叫Bart van Bueren
01:33:19:19		那他做了很多很多的事情
01:33:21:00		是去研究如何讓房子
01:33:22:28		可以漂浮在水上
01:33:24:17		如何讓房子可以
01:33:25:10		諾亞方舟了
01:33:26:14		對...
01:33:27:15		他其實在荷蘭已經非常有名望
01:33:29:11		他做了非常非常多的建築物
01:33:30:24		都是像這樣
01:33:31:19		可是他覺得他要拿這個技術
01:33:33:21		放在真的需要的人的身上
01:33:36:17		他發現台灣很有這種問題
01:33:38:20		未來我們可能
01:33:39:22		會被洪水的那個警戒線淹過去
01:33:42:00		這個時候
01:33:43:02		萬一都沒有人來做這件事情
01:33:44:04		怎麼辦
01:33:44:19		這些人怎麼辦
01:33:45:20		所以他就特別跑來這個地方
01:33:47:24		到我們學校當了一個教授
01:33:49:18		那同時他也在做了這些...
01:33:51:20		在地的這些事情
01:33:53:04		就像台南人劇團的李維睦老師
01:33:56:07		對, 他也是一個
01:33:57:15		非常... 非常有熱情的人
01:33:59:01		他說
01:34:00:07		其實我跟他合作
01:34:00:26		也滿長一段時間
01:34:01:21		我們做很多公益的事情
01:34:02:28		還有一些在地的這種
01:34:04:11		文化上的東西
01:34:05:22		那他其實一直跟我講說
01:34:07:04		Michael, 不要啦
01:34:07:29		我不喜歡上
01:34:09:21		那個三八啦這樣子
01:34:11:15		他說我不喜歡
01:34:12:06		我不會講話這樣
01:34:13:10		可是他的故事其實是說
01:34:15:00		每一個人
01:34:15:19		不管你到了哪一個年齡層
01:34:17:09		你都可以動手做
01:34:18:22		你都可以去改造你自己的環境
01:34:21:05		用你的雙手去打造這一切
01:34:23:12		OK, 關鍵來了
01:34:25:07		十八分鐘
01:34:27:05		為什麼是十八分鐘
01:34:29:15		因為每個人都有不同的面向
01:34:31:03		而你們如何篩選出那個
01:34:32:24		就是今天這十八分鐘
01:34:34:08		我們要讓世人看到的面向
01:34:36:03		這才是TED最難的部分
01:34:38:07		對, 其實像我在製作這些演講
01:34:41:24		就幾乎有點像在做一場舞台劇
01:34:45:01		因為TED的意義
01:34:46:02		是Entertainment嘛
01:34:47:04		是娛樂
01:34:47:26		所以裡面有包含了表演
01:34:49:23		聲光效果
01:34:50:14		聲光效果等...
01:34:51:22		所以他考慮的
01:34:53:13		不只是一個人站在台上講話
01:34:55:21		他其實考慮到
01:34:56:25		他怎麼跟觀眾互動
01:34:58:10		然後考慮到他在這個場域裡面
01:35:00:24		他這個時間裡面
01:35:02:00		產生了什麼樣的漣漪的效果
01:35:04:08		所以我覺得這十八分鐘
01:35:05:28		就好像一種
01:35:08:07		製作一場微電影的概念
01:35:10:20		然後像我以前
01:35:11:17		在拜訪講者的時候
01:35:12:24		我都會拿一個分鏡表
01:35:14:28		然後我去跟他畫說
01:35:16:18		就是你要演講的
01:35:17:25		這幾個很清楚的點
01:35:19:11		用分鏡的方式把它畫出來
01:35:21:12		所以幾乎有點像每一個鏡頭
01:35:23:06		就好像是一張電影的格式一樣
01:35:26:14		就是深深烙印在我的腦海裡面
01:35:29:15		我舉一個例子好了
01:35:30:22		像我那時候去找柯P
01:35:32:06		那時候他還是台大的外科醫生
01:35:35:21		然後我本來寫信給他
01:35:36:22		我說柯醫師
01:35:37:26		我想邀請你來講誠信
01:35:39:28		誠信就是做人要誠實這個誠信
01:35:42:24		那後來我去台大醫院等他
01:35:44:27		然後他看到我他說
01:35:46:14		你就是那個寫信給我那個喔
01:35:48:12		你騙我, 怎麼這麼年輕這樣子
01:35:50:21		對, 但是我從他說
01:35:53:23		帶我到樓下去吃自助餐
01:35:56:08		遇到所有的人都跟他拍照
01:35:58:13		然後跟他打招呼
01:36:00:02		他那時候就這麼紅了喔
01:36:00:26		他那個時候就超紅的
01:36:02:02		非常非常紅
01:36:03:09		然後他就說我不要講什麼誠信
01:36:05:21		我要講生死
01:36:07:05		然後他就說
01:36:08:21		以他一個醫生的角度
01:36:10:10		他如何去看待生死這個題目
01:36:12:28		那他那個演講出來之後
01:36:16:12		那個演講也被美國的TED選上
01:36:18:25		放到現在TED網頁上
01:36:20:24		就台灣的第一支演講
01:36:22:07	01:36:23:27	放到美國的網頁上
01:36:25:03		來, Michael, 該你了
01:36:26:10		在我們的故事裡面
01:36:27:03		其實也是一樣
01:36:27:26		我們會跟老師做了大概
01:36:29:28		三次到五次以上的討論
01:36:32:08		一開始就是先讓他隨地的發想
01:36:34:04		因為我們一開始
01:36:34:23		會設定一個目標讓老師講
01:36:36:26		可是有時候這個設定的目標
01:36:38:03		不見得是老師最想講的
01:36:39:08		就像剛才就是Jason有提到
01:36:41:15		像我們那時候
01:36:42:06		去邀請了賴市長賴清德
01:36:45:01		他其實有很多很多的東西想講
01:36:47:04		他有太多, 他有很多...
01:36:48:20		他對於整個台南市的想像
01:36:50:20		整個文化創意的想像
01:36:52:10		整個在地的發展
01:36:54:02		整個對於學術的想像
01:36:55:28		各個地方的想像
01:36:57:04		所以我們剛開始就是讓他講完
01:36:58:23		任何他想講的東西
01:37:00:12		那接下來
01:37:01:16		我們就開始問他一些問題
01:37:02:26		我們說
01:37:03:19		因為賴市長之前也是醫師
01:37:05:01		那想問說醫病人跟醫城市
01:37:07:19		有什麼的不一樣
01:37:08:29		有什麼不同的地方
01:37:10:06		那這個時候他就開始從那一堆
01:37:12:10		很發散的東西裡面開始縮到
01:37:14:13		我覺得這個東西... 是重點
01:37:17:11		比方說我覺得發展文化
01:37:19:03		是台南需要一直深耕
01:37:20:26		一直努力的地方
01:37:22:03		可是因為有一些困難
01:37:23:16		有一些難題
01:37:24:22		那這些難題怎麼辦...
01:37:26:14		然後我們就接著
01:37:27:11		再從這個話裡面
01:37:28:07		再繼續往下鑽
01:37:29:13		慢慢一層一層的去剝開
01:37:30:22		他真的最內心
01:37:32:08		在乎的那個點是什麼
01:37:33:26		那這樣子的呈現才會是他
01:37:35:24		最發自內心的這種呈現
01:37:37:22		本來有一題是說
01:37:39:04		你們都跟這麼多
01:37:40:08		會演講的人溝通
01:37:41:14		然後你們一定也是
01:37:42:17		很會演講的人
01:37:43:12		我覺得其實觀眾看到這裡
01:37:44:28		這個問題根本不用問了
01:37:45:29		因為其實
01:37:46:10		你們都已經在在證明了
01:37:48:05		你們其實都非常非常的會講
01:37:49:27		因為你們也吸取了
01:37:50:29		很多日月精華
01:37:52:14		對, 我是十八分鐘
01:37:54:12		我自己是有稍微悟出一個公式
01:37:56:22		但是不是太...
01:38:00:20		不一定每個都適用
01:38:02:02		我把十八分鐘拆開三六六三
01:38:05:02		前三分鐘講我是誰
01:38:07:06		然後後六分鐘講我在做什麼
01:38:09:28		我就用柯文哲演講做例子
01:38:11:25		他前三分鐘講
01:38:13:02		我是一個外科手術醫生
01:38:14:15		我在做葉克膜這種東西
01:38:16:21		接下來六分鐘
01:38:17:14		他就開始舉了一些例子
01:38:19:08		是...
01:38:19:25		然後最...
01:38:20:21		這樣已經九分鐘了嘛
01:38:21:24		接下來六分鐘開始重要了
01:38:23:24		開始做轉折
01:38:25:10		接下來六分鐘他要講的是
01:38:27:24		我遇到什麼困難
01:38:28:27		我如何克服它
01:38:30:08		那以柯文哲來說
01:38:31:09		他說他救過很多人
01:38:34:01		可是在他手上也救不成很多人
01:38:36:28		可是以一個醫生
01:38:37:28		他怎麼樣面對這個生死
01:38:39:23		死亡是一種
01:38:40:19		物理必然結果的現象
01:38:42:27		可是以一個醫生
01:38:44:17		以一個哲學的思考角度
01:38:46:10		他怎麼面對死亡這一件事
01:38:48:10		他不能控制它
01:38:49:15		但是他要怎麼去理解
01:38:51:02		還有與它和解
01:38:52:15		那接下來最後三分鐘
01:38:54:08		是告訴現場的觀眾
01:38:56:24		為什麼這些事情
01:38:57:27		對你們來講重要
01:38:59:15		因為我覺得一個好的演講
01:39:00:17		是能夠把一個人
01:39:02:22		從他所做的東西
01:39:05:03		帶到他如何思考
01:39:07:14		他遇到了困難如何轉折
01:39:09:24		這個轉折有可能他解決了問題
01:39:11:22		或是他沒有解決
01:39:13:00		他只是跟這個問題和解了
01:39:14:24		然後告訴觀眾說
01:39:17:01		這件事情如何可以幫助得到你
01:39:19:29		所以像柯P他就最後講說
01:39:21:28		人生的榮華富貴
01:39:23:14		不就是一坨大便, 對
01:39:25:16		但是他那一場的演講的
01:39:27:02		一個最重要的精華是說
01:39:29:05		如果你問我什麼叫死亡
01:39:31:13		我問你, 怎樣才叫活著
01:39:33:27		這就是那一句話
01:39:35:29		TED最精華的地方是
01:39:37:20		每一個十八分鐘都有一句話
01:39:40:03		不斷不斷的被流傳
01:39:41:24		不斷不斷的被大家所分享
01:39:44:22		這句話是你幫他想的
01:39:45:23		還是他自己想的
01:39:46:22		其實在柯P那個演講裡面
01:39:48:20		是我們一直討論一直討論說
01:39:50:13		到底生和死的辯證是什麼
01:39:53:23		因為這是必然現象
01:39:55:12		有出生, 有結束
01:39:56:28		但是生和死
01:39:58:23		能不能夠拿來做比喻
01:40:00:25		那在定義上
01:40:01:27		你可不可以說是選擇題
01:40:03:15		還是你怎麼樣去做一個論調
01:40:05:28		那句話是他當天講出來
01:40:07:24		我覺得這就對了
01:40:09:18		就是那一句話
01:40:10:17		我們要的, 對
01:40:11:23		那我覺得是非常非常強而有力
01:40:15:00		我覺得TED
01:40:16:19		我之所以會覺得TED很驚人
01:40:21:04		是因為其實它都用一種
01:40:23:14		大家最容易理解的方式
01:40:27:04		訴說再簡單不過的道理
01:40:29:06		對...
01:40:30:05		因為我們其實很多時候
01:40:32:08		被很多俗事煩擾著
01:40:34:07		我們每天要吃喝拉撒睡
01:40:36:09		我們要面對人際關係
01:40:38:28		我們要求學, 就業等...
01:40:42:18		我們要結婚
01:40:43:07		我們要談戀愛等等
01:40:44:07		就是我們每天
01:40:45:08		都被這事情煩死了
01:40:46:15		然後還有這麼多人告訴我們說
01:40:47:25		你該做什麼
01:40:48:28		你要怎麼樣才叫有成就
01:40:50:06		什麼才叫成功
01:40:51:14		但事實上你會發現
01:40:53:27		有成就跟成功的人
01:40:55:28		他們最終都還是會面對
01:40:57:11		最基本的問題
01:40:59:02		像柯P的例子
01:41:00:06		我覺得再好不過就是因為
01:41:02:14		我也可以理解為什麼
01:41:04:15		TED總會會把他放到他們
01:41:07:17		就是那個官網上
01:41:09:05		是因為不管你是外科醫師
01:41:13:05		不管你是主持人
01:41:14:11		不管你是學生
01:41:15:23		不管你是非營利組織的頭
01:41:18:28		或是什麼的
01:41:20:11		你都逃不過這一關
01:41:21:15		對
01:41:22:17		而這一關是無關於
01:41:26:02		你的成就大小
01:41:27:22		你賺的錢多少
01:41:29:02		你有沒有幸福美滿的家庭
01:41:30:25		你都得面對的
01:41:32:03		我為什麼會說
01:41:32:26		這個TED也很重要
01:41:34:22		你們真的在做
01:41:35:12		很重要的事情是因為
01:41:38:02		柯P當上市長的時候
01:41:39:29		其實他的當選感言說得挺好的
01:41:43:26		雖然我還研究一下
01:41:45:07		是誰幫他寫的
01:41:46:06		因為說實在
01:41:46:24		柯P是一個很不會講話的人
01:41:48:10		對
01:41:48:28		但他每次出來講話我都會覺得
01:41:50:09		為什麼我都這麼想哭
01:41:52:00		內容真的很重要
01:41:53:16		因為有些人是很煽動的
01:41:55:08		他其實沒有那麼煽動
01:41:56:12		他就是眼睛
01:41:57:01		也只是望著一個部分
01:41:58:03		然後還這樣駝背
01:42:00:02		然後有時候就是這樣揮...
01:42:01:24		這是對於一個
01:42:03:02		很會演講的人來講
01:42:03:27		這是很大忌的
01:42:05:09		但他其實都用他的內容
01:42:06:20		克服了這所有一切
01:42:08:06	01:42:09:12	我記得他的當選感言
01:42:10:27		那一個禮拜
01:42:12:05		曾經在我的通訊軟體朋友圈
01:42:14:11		那是一個通訊軟體
01:42:16:17		那通常都是大陸的朋友在用的
01:42:19:15		他們放上網
01:42:21:28		我想沒過多久就被刪掉了
01:42:24:20		可能就是沒有辦法流傳
01:42:26:24		於是我那個朋友很不死心的
01:42:29:01		他就把TED這個演講
01:42:30:26		放上朋友圈
01:42:32:09		他的意思就是說
01:42:32:26		這就是台灣新任台北市長
01:42:35:20		他曾經做過的一個演講
01:42:37:27		而一個人的高度在哪裡
01:42:39:22		其實你看了他的演講也就知道
01:42:41:22		我覺得他的演講
01:42:42:18	01:42:44:23	說明了很多很多事情
01:43:16:23		就是你們其實在做一件
01:43:17:24		很開心的事情
01:43:20:09		因為能夠跟這些人面對面
01:43:23:02		有機會跟他們聊這些
01:43:24:24		他們可能已經想過
01:43:26:15		但不見得很具體
01:43:27:16		能夠陳述的事情
01:43:28:27		你們自己也會收穫成長很多
01:43:30:27		的確
01:43:31:15		所以你們
01:43:32:17		我真的超羨慕你們的
