00:03:59:16 今天的「藝文大道」對我來說
00:24:54:06 做了這樣中間的引線人
00:24:56:05 但是一定有哪一些事情
00:24:57:19 是你做完了之後
00:24:58:20 你覺得說
00:25:01:05 我實在做得太好了
00:25:03:16 或者是說這就對了那種感覺嗎
00:25:07:12
00:25:08:07 其實大家都看到成功的
00:25:09:27 失敗的其實很多
00:25:11:21
00:25:12:05 也很多啊
00:25:13:18 有哪些會你覺得說
00:25:16:04 失敗了真可惜
00:25:18:09
00:25:18:28 失敗了真可惜啊
00:25:21:20
00:25:22:05 其實做事是這樣啦
00:25:24:09 樂趣是在過程
00:25:26:08 成功不管也好, 失敗也好
00:25:27:27 那個過程是最過癮的
00:25:30:05 就是那個過程中間
00:25:31:02 你有沒有熱情
00:25:32:16 你有沒有每天覺得血壓很高
00:25:35:19 那是最重要的
00:25:37:04 其實我這個人就是比較好玩嘛
00:25:40:21 就是自己不喜歡的事情
00:25:42:19 可能就不會碰
00:25:44:01 所以碰到每個事都是我喜歡的
00:25:45:26 所以成功也好, 失敗也好
00:25:47:27 起碼我覺得在那個過程
00:25:49:17 都是很值得的
00:25:50:29 然後還有一個就是做我們這行最怕的
00:25:52:18 就是你做很多事情船過水無痕
00:25:56:01 等於沒有做
00:25:57:17 那我像跟崔健
00:25:58:24 我就在聊
00:25:59:18 我就說像你們在北京就比較好
00:26:02:01 你們在北京只要做一件事
00:26:04:05 做成了就變歷史
00:26:05:22 我們在台灣做
00:26:06:22 每天做一百件事都是屁
00:26:09:15 這兩邊是不同的狀況
00:26:11:08 當然做事不是為了歷史
00:26:13:16 就是這些就是為了高興
00:26:15:07 那最好的狀況就是
00:26:17:13 把你喜歡的事情
00:26:18:15 放在你的生活裡面
00:26:20:01 等於你的生活跟工作都一樣
00:26:21:17 每天就過得很開心
00:26:22:21 這不是就已經夠了
00:26:24:21
00:29:21:07 在這本書裡面
00:29:22:14 其實我們也看到很多
00:29:23:18 就是比方說像你做的這些藝人
00:29:27:10 也帶領出一些新的風潮
00:29:29:29 那個時候開始我們對於...
00:29:31:06 尤其是像台語歌
00:29:33:10 我們的看法已經是完全不一樣
00:29:35:15 以前我們都是轉音
00:29:38:01 然後苦情
00:29:39:13 然後一定要有車站
00:29:41:02 然後還要有菸, 酒, 流眼淚
00:29:43:15 有沒有, 但之後好像...
00:29:46:09 當然黑名單工作室
00:29:47:16 可能就已經開始做這些事情了
00:29:49:08 但是真正開始
00:29:52:09 我們覺得唱台語歌
00:29:53:21 是一件很Fashion的事情
00:29:55:21 真的就是從林強開始
00:29:57:09 是
00:29:58:14 而那時候為什麼
00:29:59:24 為什麼你會覺得台語歌
00:30:01:01 應該要做一個不一樣的轉變
00:30:02:21 是因為林強碰到了你
00:30:04:12 還是...
00:30:05:12 到底是你先發想的
00:30:06:21 還是其實林強就是一個這樣的人
00:30:08:11 只是剛好你們湊在一起
00:30:09:27 因為我不是做創作的
00:30:11:17 所以沒有林強
00:30:12:21 就沒有這張唱片
00:30:14:19 是因為碰到林強
00:30:15:22 林強他堅持
00:30:16:18 他歌都寫了滿多的
00:30:18:27 然後他很堅持要做台語
00:30:20:19 那剩下我們做的
00:30:21:09 就是怎麼樣把他包裝
00:30:23:00 讓他行銷成功
00:30:24:19 其實那個時候觀念很簡單
00:30:26:04 就是做個最時髦的嘛
00:30:27:26 就把他包裝成最時髦的
00:30:29:16 我要比...
00:30:30:06 我要他比港星還要時髦
00:30:33:26 我要他比日本的歌星
00:30:35:16 也要厲害
00:30:36:14 看起來不會遜色
00:30:37:28 標準就很清楚
00:30:38:28 那就往這條路上一直做...
00:30:41:07 可是他不是偶像啊
00:30:42:28 他不是偶像
00:30:43:28 但是...
00:30:45:07 但是他有個性啊
00:30:46:12 他有個性
00:30:47:02 對, 那你去跟日本
00:30:48:28 或者跟...
00:30:49:26 香港是沒有像他這樣的
00:30:51:01 你去跟日本
00:30:51:22 跟全世界比
00:30:52:29 很多這樣的東西
00:30:54:16 所以就是往那條路上走
00:30:56:14 然後剩下就是沒有排舞嘛
00:30:58:21 然後讓他自己開發出
00:31:00:10 他的表演風格
00:31:01:19 對, 你想想看
00:31:02:08 如果「向前走」是
00:31:03:25 馬雷蒙舞群在後面這樣跳
00:31:06:11 那就不行...這整個也是挺怪的
00:31:07:22 可是當時你在做這件事情的時候
00:31:09:22 並不是覺得說他會大賣嘛
00:31:11:21 你只是覺得他好玩嘛
00:31:12:28 還是...
00:31:14:26 其實如果...
00:31:16:24 我父親很早就告訴我說
00:31:18:24 做很多事情不能只想錢
00:31:21:14 如果你把錢放在前提的話
00:31:24:03 它出來就會變質
00:31:25:10 所以做這些事情
00:31:26:19 通常我都不會先想錢
00:31:28:17 我都先想怎麼把事情做好
00:31:30:26 就是說他也有教導一句話嘛
00:31:33:27 他說賺錢不辛苦
00:31:35:07 辛苦錢不要去賺
00:31:36:26 就是你事情做好了
00:31:37:24 錢自然就會來了
00:31:39:11 那是後面的
00:31:40:18 上帝給你的這個福報
00:31:43:05 所以並沒有去特別想賣不賣
00:31:45:19 只是他第一次在銘傳演出之後
00:31:50:27 我就覺得說
00:31:51:18 這張片可能有點...
00:31:53:02 會爆炸了
00:31:54:02 但是沒有想到
00:31:54:25 會變成什麼樣的結果
00:31:56:17 這是沒辦法預測
00:31:57:14 因為以前沒有發生過這樣的東西
00:32:00:09 但那一下
00:32:00:28 有沒有一種很Yes的那種感覺
00:32:05:03 其實我做那張片
00:32:07:17 並不是從台語去想的
00:32:09:29 台語這個是林強堅持的
00:32:11:21 我想的還是搖滾
00:32:13:16 怎麼樣做一張新的搖滾
00:32:16:21 那透過台語
00:32:17:25 搖滾在台灣就變得很大
00:32:20:08 大家都接受那樣的音樂型態
00:32:22:24 但是的確也有很多故事
00:32:25:13 是你說
00:32:26:08 它不見得會有很好的結果
00:32:28:11 或是有很好的商業價值
00:32:30:04 可是那個回憶是很難以取代
00:32:32:17 就好像你剛剛提到的崔健
00:32:34:02 你其實是在一個
00:32:35:18 兩岸交流都還沒有
00:32:37:13 很流通的過程的情況之下
00:32:39:12 你就已經先去了北京
00:32:41:10 認識了這一群音樂人
00:32:43:09 然後還要幫他們帶
00:32:45:19 什麼三大件, 五小件之類的
00:32:48:14 那個年代帶鼓, 帶樂器
00:32:50:11 每次要帶一些資料, 卡帶
00:32:53:11 大家去分享一下
00:32:56:01 那個年代其實挺美好的吧
00:32:58:26 滿有意思的
00:32:59:15 其實以大陸來講
00:33:01:13 大陸的開放
00:33:02:19 改革開放七九年開始
00:33:04:27 它一直到最高潮
00:33:06:16 到一九八九年
00:33:10:00 我記得好像是八九年的四月
00:33:12:04 還是三月
00:33:13:11 我們在北京幫崔健辦了
00:33:15:08 他第一場的個人演唱會
00:33:17:12 那我覺得
00:33:18:00 那個是大陸最美好時代的高潮
00:33:20:17 之後就六四了
00:33:22:14 六月就發生六四了
00:33:23:22 之後...
00:33:24:21 現在大陸的狀況
00:33:25:14 可能跟那個情境比起來
00:33:27:09 可能還沒有那時候的
00:33:28:26 開放的程度大
00:33:30:00 即便現在是比較富裕了
00:33:32:09 像我們老朋友碰到的時候
00:33:34:02 常常會聊起那時候的往事
00:33:35:19 都覺得很有趣
00:33:37:13 像我們那時候在北京錄音
00:33:40:12 錄音棚隨便錄
00:33:41:21 我們可以借到廣電部的錄音棚
00:33:46:00 在裡面錄音
00:33:46:27 隔壁兩間
00:33:47:19 就是對台廣播的播音室
00:33:51:09 沒有人管
00:33:52:04 我那時候也覺得很吃驚
00:33:53:04 這麼會這麼自由
00:33:54:22 真的就那麼自由
00:33:56:20 然後那時候
00:33:58:10 好像在那邊做搖滾樂
00:34:00:02 我們等於是地下錄音嘛
00:34:01:12 也沒有包庇
00:34:02:04 也沒有說簽了很多樂團
00:34:03:14 大家就隨便做
00:34:04:23 好像也沒有人管, 也沒有事
00:34:06:22 然後那些樂團也都是暢所欲言
00:34:09:23 寫的歌什麼都很生猛
00:34:11:29 像何勇
00:34:13:01 我書裡面有一張他那個照片
00:34:15:02 拿個石頭
00:34:16:14 他就是...
00:34:17:01 一直在我印象
00:34:17:26 他就是那樣一個生猛的小孩
00:34:20:06 那個就是...
00:34:21:17 那個就是最好的
00:34:22:11 所以這些事情算講起來
00:34:23:25 都是一些很美好的回憶啦
00:34:26:20 那也真的講說
00:34:28:19 就是我們正好碰到這個時候
00:34:30:18 碰到的時候
00:34:31:07 我們正好就有那個樂子
00:34:34:15 就可以把這些事情
00:34:35:08 就一直玩下去
00:34:38:05 你所謂的美好的時候
00:34:39:19 其實很多人都還記得
00:34:41:24 就是除了比方說
00:34:42:18 因為這本書也有很多朋友在說
00:34:45:06 你的一些事情
00:34:46:22 然後你也回憶了很多的過去
00:34:48:22 我也問了一些
00:34:49:16 曾經跟你合作過的人
00:34:51:04 他們也很懷念
00:34:52:21 因為當年很多藝文界的人士
00:34:56:24 喜歡在你家聚集
00:34:58:27 然後他們都說
00:34:59:26 你家就是台灣的文化沙龍
00:35:03:17 然後很多人是非常懷念那個時候
00:35:07:12 就大家聚在一起
00:35:08:03 其實也沒幹嘛
00:35:09:00 對
00:35:09:15 就是聊聊天, 吃吃喝喝
00:35:12:06 喝點小酒
00:35:13:13 然後...
00:35:14:07 我居然只去過一次
00:35:15:18 我都覺得
00:35:16:29
00:35:18:25 大人的世界真美妙的那種感覺
00:35:21:19 可是其實是有非常多的人是
00:35:23:21 非常謝謝你
00:35:25:20 因為說實在的
00:35:26:25 有的時候很多人都是悶著頭
00:35:28:07 自己做一些事情
00:35:29:22 但是你突然好像也就給...
00:35:31:15 不只是開公司做了這件事情
00:35:33:22 給大家工作機會而已
00:35:35:14 而所謂的文化沙龍
00:35:36:22 當然是我們這樣說的啦
00:35:37:27 文化沙龍
00:35:38:29 也給大家私底下一個交流
00:35:41:03 或者是有更多跨界合作
00:35:44:04 或Cross over的機會
00:35:47:06 因為我的背景
00:35:48:13 我電影的背景
00:35:49:22 電視的背景
00:35:51:06 然後流行音樂的背景
00:35:52:16 然後藝文界我也很...
00:35:55:02 我喜歡戲劇嘛
00:35:56:04 所以跟蘭陵
00:35:57:02 跟他們也都是好朋友
00:35:58:11 所以我一直覺得
00:36:00:00 很多事情因為在當時
00:36:01:11 我們其實專業度不夠
00:36:04:20 很需要別人的幫忙
00:36:06:12 那就是把大家弄在一起交朋友
00:36:08:23 那電影當時也是滿辛苦的情況
00:36:11:24 也需要一些流行音樂的養分
00:36:14:15 那戲劇也很辛苦
00:36:16:26 他們也需要找一些流行音樂的歌手
00:36:19:25 去當演員
00:36:20:23 國修他們就是
00:36:21:29 就是在這種環境
00:36:22:28 我覺得大家在一起混
00:36:24:14 混久了, 交了朋友
00:36:25:15 很多事情就自然而然就會發生
00:36:28:03 因為就是現在回頭再講說
00:36:30:10 就是我剛剛講的
00:36:31:08 真正最好的學習
00:36:32:18 就是沒有課本的
00:36:34:12 沒有教材的
00:36:35:18 大家在學習中間
00:36:37:04 那叫所謂叫什麼
00:36:38:03 行動研究吧
00:36:39:04 每天過日子
00:36:40:17 然後本來大家想法
00:36:41:19 很多事情就會發生
00:36:42:28 很自然的情況
00:36:44:01 我覺得這是最好的方法
00:36:46:02 所以李泉叫我轉告你四個字
00:36:48:18 是
00:36:49:03 就是你好
00:36:50:21 還有想念
00:36:52:18
00:36:53:13 我覺得盡在不言中
00:36:55:01 因為在這本書裡面
00:36:55:29 你除了回憶自己之外
00:36:57:06 你也看到別人眼中的你
00:36:58:26 當你在看到別人這麼說你的時候
00:37:00:13 你是怎麼想的呢
00:37:02:06
00:37:03:08 有時候不太敢當
00:37:04:18 真的
00:37:05:16 因為那像舒國治老師寫的那個
00:37:08:09 我就覺得
00:37:10:01 寫得有點...
00:37:11:22 That's not me
00:37:12:29
00:37:15:15 其實我是獨子
00:37:16:24 我從小一個人
00:37:19:06 所以我就很喜歡交朋友
00:37:20:21 我記得應該是我...
00:37:22:12 而且我念高中換了很多學校
00:37:25:10 我在高中的時候
00:37:26:11 就是我在不同的學校
00:37:27:21 就會交不同的朋友
00:37:28:27 那就是因為我
00:37:30:11 大家就會變成
00:37:31:19 互相變成朋友
00:37:32:21 即便你說去問我高中那些朋友
00:37:34:10 他們也是透過我
00:37:36:08 現在的講法就是個平台啦
00:37:38:19 社群平台
00:37:40:06 社群
00:37:41:00 大家就透過我
00:37:41:23 大家就變成朋友
00:37:42:25 是
00:37:43:17 然後不同的朋友都是好朋友
00:37:45:18 在一起就會變成...
00:37:47:18 不同領域的朋友在一起變成
00:37:49:16 會產生不同的情境
00:37:51:08 就玩得更開心
00:37:53:00 就大概就是...
00:37:53:25 我概念上很單純
00:37:56:07 然後小時候念高中的時候
00:37:59:00 我們那時候沒有...
00:37:59:23 要跳舞嘛
00:38:00:24 沒有地方跳舞
00:38:01:16 所以我們都要自己辦舞會
00:38:03:10 我那時候常常辦舞會
00:38:04:28 那辦舞會就要
00:38:06:18 各方人馬都要找來嘛
00:38:08:23 那找在一起
00:38:09:23 放點音樂
00:38:10:12 大家很開心
00:38:11:02 度過一個美好的晚上
00:38:13:06 然後認識女生, 聯誼
00:38:16:20 這就是...
00:38:17:12 大概的基調
00:38:18:05 就從小到現在
00:38:19:12 可能沒有怎麼變
00:38:20:24 到現在我還是很喜歡這樣的
00:38:23:00 這樣的生活現在沒有了
00:38:23:24 你現在都帶小朋友去踢足球啦
00:38:26:02 對, 但是我現在
00:38:28:04 在足球俱樂部裡面
00:38:29:20 大概也是這樣的概念
00:38:31:14 跟家長辦很多活動
00:38:32:22 跟家長聯誼
00:38:34:22 然後我們常常在一起吃飯
00:38:36:06 交換教養小孩子的心得
00:38:39:04 那今年暑假
00:38:41:00 我們的足球俱樂部
00:38:42:07 我還帶了十二個小孩
00:38:43:14 我們去日本踢了十二天的球
00:38:47:10 然後中間大概...
00:38:49:13 八天大概踢了十七場比賽
00:38:52:19 那個過程中間
00:38:53:26 還是回到我剛剛講的
00:38:55:04 就是所謂行動研究
00:38:56:28 我們就是營造了一個
00:38:58:29 沒有課表的學習的進度
00:39:02:08 然後我覺得最重要就是
00:39:05:11 我自己有學到很多東西
00:39:07:17 從那個過程中
00:39:08:12 我從來沒有帶過十二個小孩子
00:39:10:26 在十二天的行程中間
00:39:12:23 那跟他們的互動
00:39:14:15 然後每天小孩碰到很多的狀況
00:39:16:13 你要怎麼去開導他們
00:39:17:28 怎麼給他們一些觀點
00:39:19:23 比如說教導他們
00:39:20:23 什麼叫文化差異
00:39:22:18 因為小孩就開始...
00:39:24:01 台灣的小孩子基本上見多識廣
00:39:26:13 幾乎都去過日本
00:39:28:00 但他們知道的日本
00:39:29:21 只有...
00:39:30:10 迪士尼樂園
00:39:31:06 對
00:39:32:02 然後...
00:39:32:22 Hello Kitty
00:39:33:10 對, 百貨公司
00:39:35:04 五星級飯店
00:39:36:08 那就要告訴他說
00:39:37:03 我們這次來
00:39:38:08 不會碰到這些東西
00:39:39:11 我覺得這麼多年來
00:39:41:00
00:39:42:00 你的朋友其實也就是喜歡這個
00:39:44:16 就是什麼事情
00:39:45:28 跟倪桑在一起就特別開心
00:39:48:11 玩音樂也開心
00:39:49:25 然後出去吃飯也開心
00:39:51:29 讀書也開心
00:39:53:17 不管幹嘛都很開心
00:39:55:03 就是辦Party嘛
00:39:56:10
00:39:56:23 Party要辦得好嘛
00:39:57:27 大家開心
00:39:59:01
00:40:31:22 你知道有時候
00:40:32:15 你很熱衷的某些事情
00:40:33:13 會給一些朋友帶來困擾
00:40:35:18 就是伍佰老師跟我抱怨說
00:40:38:14 你有一段時間
00:40:39:18 背著按摩床一直追著他
00:40:41:27 說要幫他脫光衣服按摩
00:40:44:26 我說那你就範了嗎
00:40:45:25 他說當然不可能
00:40:48:06 是其實你的興趣真的很廣泛
00:40:51:21 對
00:40:52:08 除了我們眼睛看得到的
00:40:53:16 還有眼睛看不到的
00:40:55:02 按摩這個東西是非常有趣的
00:40:56:22 因為我們很早就開始按摩
00:40:59:03 從小就按摩
00:40:59:23 就三十多歲工作的時候
00:41:01:19 很累嘛
00:41:02:08 每天都要去理髮店按摩
00:41:04:25 各式各樣的都開始
00:41:07:06 那後來我有機會接觸按摩
00:41:09:02 它其實按摩是
00:41:10:03 跟靜心的系統有關
00:41:11:28 就是奧修的系統
00:41:12:26 他們有一種身體工作
00:41:15:02 我接觸了以後
00:41:16:16 開始的時候學
00:41:17:16 是因為我父母年紀大了
00:41:19:12 想幫他們做一點按摩
00:41:21:23 後來做下去以後
00:41:23:16 發現這個按摩東西很妙
00:41:25:22 以前是要別人幫你按摩
00:41:28:01 其實按摩這東西是相反的
00:41:29:23 就是說我要幫你按摩
00:41:31:22 我一定要比你放鬆
00:41:34:19 那我如果不放鬆
00:41:35:21 我手很僵硬什麼
00:41:36:28 那你不會舒服
00:41:38:17 所以我跟你
00:41:39:19 我放鬆幫你按完摩
00:41:41:08 一段時間之後你會再放鬆
00:41:42:26 那我就要不斷的放鬆
00:41:44:28 所以到最後我一定比你放鬆
00:41:47:08 所以你是為了自己
00:41:48:24 對, 幫人家按摩
00:41:50:03 結果會比被按摩的人更放鬆
00:41:52:12 這是我從按摩中體悟到
00:41:53:25 最大的不同
00:41:54:29 跟以前的經驗是完全不同
00:41:56:29 所以你就會追著
00:41:57:20 所有你的朋友跑說
00:41:59:15 來, 給我按一下...
00:42:00:22 對, 但是我的困擾就是
00:42:01:29 沒有人要給我按
00:42:02:29 對, 因為大家都覺得
00:42:04:10 倪桑一定是說說而已
00:42:06:03 胡搞瞎搞那種感覺
00:42:07:05 對, 都沒有人要給我按
00:42:08:16 所以這個很麻煩
00:42:10:00 到最後我只能...
00:42:11:04 我現在按摩還是很喜歡
00:42:12:15 但是就是沒有人讓我按摩
00:42:14:01 所以就一直沒有辦法
00:42:15:22 再繼續精進下去
00:42:18:03 可是也就是因為你涉獵了很多
00:42:21:12 這些奇奇怪怪的東西
00:42:23:26 也就成就了你這個人
00:42:25:15 然後大家會覺得你好有趣
00:42:26:28 然後很想跟你認識
00:42:28:02 跟你多靠近一點
00:42:30:11 聽一點新的東西說
00:42:31:19 最近在流行這個
00:42:33:15 因為總覺得
00:42:34:04 你都是走在大家前面
00:42:35:16 比方說你也曾經說
00:42:37:17 當年雖然你不知道什麼叫文創
00:42:39:24 可是說實在的
00:42:40:28 真言社也就是文創的一種了
00:42:44:10 你做了一種新的音樂品牌
00:42:46:14 而那個音樂品牌是
00:42:48:26 到現在都還影響著我們的
00:42:50:24 那不叫文創
00:42:52:05 那叫什麼
00:42:52:22 那不是只是一個商品而已
00:42:54:17 那其實已經深入在你的腦子裡
00:42:57:04 跟你的回憶裡面
00:42:58:09 是伴隨著大家的
00:42:59:28 可是現在因為據我所知
00:43:01:03 倪桑其實也都在做
00:43:02:14 跟文創有關的事情
00:43:03:29 那現在我們大家到底該怎麼辦呢
00:43:07:16 老闆
00:43:08:08 你要帶我們大家去哪裡呢
00:43:10:16 就我講的音樂還是...
00:43:12:00 就是文創的領域
00:43:13:04 因為政府其實就是說
00:43:14:26 在從產業的角度
00:43:17:27 它要有一個新的名詞定義它
00:43:20:04 所以用文創
00:43:20:24 那其實簡單來講就是說
00:43:22:22 台灣未來已經要脫離代工
00:43:25:12 工業化的高軟這樣的產業模式
00:43:28:05 要走進創意的產業
00:43:31:22 那創意產業中間
00:43:32:20 你必須先找到一個帶頭的產業
00:43:35:19 像這麼多文創的產業
00:43:36:29 照政府的規定
00:43:37:22 有十二項還是十三項
00:43:40:09 中間有部分其實是傳統產業
00:43:43:04 只是轉變一種作法跟說法
00:43:45:05 那我個人還是認為
00:43:46:25 音樂還是最有希望成為產業的
00:43:49:16 帶頭產業
00:43:50:06 因為過去的二十年來
00:43:52:01 台灣也就是音樂在領導
00:43:54:05 那現在電影感覺起來有不錯的
00:43:57:12 蓬勃起來了
00:43:58:11 但是照營業額數字來講
00:44:01:25 還是音樂比較大
00:44:03:22 所以我覺得就是
00:44:05:06 先找到一個領頭的產業
00:44:06:26 然後可能這部分
00:44:08:00 就需要政府的協助
00:44:10:02 然後怎麼樣把我們的
00:44:11:07 流行音樂產業化
00:44:13:00 剛剛我有提到
00:44:13:24 就是要把它資本變大
00:44:15:27 怎麼樣把它資本化
00:44:17:04 那還有就是
00:44:17:24 流行音樂的從業人員
00:44:20:24 也要有這樣的概念
00:44:23:09 要把自己的格局做大
00:44:25:25 那還有創作的部分
00:44:27:21 源頭還是來自於創作
00:44:29:27 台灣長期過去幾十年發展下來
00:44:33:03 其實台灣的流行音樂
00:44:34:11 很重要的就是樂團
00:44:36:12 樂團現在變得很有能量
00:44:39:07 我們那時候開始做
00:44:40:03 可能全台灣大概四十個樂團
00:44:42:02 現在加起來可能...
00:44:43:03 連高中
00:44:43:21 可能將近有四千個樂團
00:44:46:02 這些樂團的能量是很大的
00:44:48:15 那怎麼樣把這段能量變成一個
00:44:51:18 變成一個真正的
00:44:52:24 流行音樂的新的能量
00:44:55:04 那簡單來講就是說
00:44:57:18 第一個就是創作的格局要放大
00:45:00:16 我們之前想的
00:45:02:00 都只有大中華地區
00:45:03:18 卡拉OK就是一個
00:45:05:13 很封閉型的一個產業結構
00:45:08:17 那是不是要往世界走
00:45:11:07 那比如說你看韓國
00:45:12:20 韓國的PSY可以全世界打
00:45:14:26 那為什麼我們不能做呢
00:45:16:18 那我講的世界
00:45:17:13 也不見得一定是北美跟歐洲
00:45:21:18 亞洲是我們應該進攻的市場
00:45:23:15 是
00:45:24:08 拉丁美洲
00:45:25:04 韓國已經開始去了
00:45:26:10 我們也應該跟著它打
00:45:27:23 拉丁美洲
00:45:29:13 拉美未來是非常重要的市場
00:45:31:17 因為明年的世界盃在巴西
00:45:36:02 四年以後的奧運也是在巴西
00:45:38:03 所以拉丁美洲會是一個新興的市場
00:45:40:10 很重要的
00:45:41:09 那甚至於非洲
00:45:42:23 為什麼不去呢
00:45:44:04 那還有一個很大的市場是印度
00:45:46:21 印度我們已經有李安
00:45:48:00 拍了一部「Pi」
00:45:49:00 對, 「少年Pi」印度人起碼對台灣
00:45:50:22 現在已經有點印象了
00:45:51:23 是朋友了
00:45:52:15 對, 已經是朋友了
00:45:53:15 這些都是可以我們去發展
00:45:54:28 只是我們現在創作可能...
00:45:56:23 還有一個就是創作的內容
00:45:58:24 要從你面前這杯咖啡的小確幸
00:46:02:17 把它拉大一點
00:46:04:27 那流行音樂其實我覺得
00:46:06:08 我們現在創作的音樂的內容
00:46:09:03 最大的遺憾就是
00:46:10:21 好像都是在走比較負面的
00:46:13:25 失戀的情歌比戀愛的情歌多
00:46:17:29 小確幸的
00:46:19:18 小確幸的反面
00:46:21:03 其實它內含的意思
00:46:22:04 就是我不夠幸福
00:46:24:08 那是不是要多一點快樂的元素
00:46:27:05 快樂的東西是比較容易流行的
00:46:29:25 那以前我們做很多音樂
00:46:32:03 像L.A. Boyz
00:46:33:03 他基本上散播的東西就是快樂
00:46:35:15 跳乎伊爽
00:46:36:11 跳乎伊爽
00:46:37:03 就是快樂的
00:46:37:24 快樂就是最有煽染性的
00:46:39:26 像我現在最喜歡的
00:46:41:00 韓國的歌手叫G-Dragon
00:46:43:16 我也是
00:46:45:19 我好高興喔
00:46:47:04
00:46:48:00 他最近剛出了新的專輯
00:46:49:26 他... 對
00:46:51:07 他走的是前衛
00:46:53:01 那他的音樂類型
00:46:54:03 基本上我們也是不遑多讓
00:46:56:01 沒錯
00:46:56:16 對, 他的視覺
00:46:57:15 造型
00:46:58:05 造型, 包裝全部到位
00:47:00:22 還有像比如說英國現在紅的
00:47:02:16 (一世代)One Direction
00:47:03:25 One Direction, 對
00:47:04:16 在三個禮拜以前
00:47:05:15 我並不知道他們是誰
00:47:07:15 那全世界都紅
00:47:08:29 沒錯
00:47:09:15 他裡面散播的很單純
00:47:10:22 就是快樂的因素
00:47:12:14 然後就是散播歡笑, 散播愛
00:47:14:23 就是以前我在華視的時候
00:47:17:05 我們的編審孫儀老師教導的
00:47:19:04 他確實沒有錯
00:47:19:29 老人家早就講了
00:47:21:05 只是說我們...
00:47:21:28 很有先見之明
00:47:22:21 對... 就是這樣子
00:47:24:21 那創作的源頭
00:47:26:09 如果能夠做一些改變
00:47:28:07 然後產業的規格做大
00:47:30:16 然後把目標不只是大中華地區
00:47:34:19 因為當你自己認為說
00:47:36:07 我們在大中華地區是領先的時候
00:47:37:24 你要超越自己很困難
00:47:39:12 那有一個模式
00:47:40:23 但是如果你要往世界打的時候
00:47:43:01 你就會產生不同的作品出來
00:47:46:03 那這個過程, 這個轉化
00:47:48:07 你自然就會提升
00:47:49:22 標準就會不一樣
00:47:51:09 還有就是像音樂的聆聽
00:47:53:18 像我們以前是CD的概念
00:47:55:28 CD的話通常是放在音響聽
00:47:58:07 或者是家電
00:48:00:20 那現在的人聽音樂
00:48:02:04 基本上會是從耳機, 電腦
00:48:05:14 然後到家庭劇院
00:48:07:22 所以音樂的製作的概念
00:48:10:03 也要調整
00:48:11:18 那像現在來講
00:48:13:19 還有一個很大的趨勢
00:48:14:28 像現場音樂的呈現
00:48:19:24 像iTunes
00:48:20:27 像iTunes這樣的平台
00:48:22:01 它現在也開始做iTunes facebook
00:48:23:23 九月開始在做很多的演唱會
00:48:27:12 第一場是Lady Gaga
00:48:28:22 昨天是Elton John
00:48:30:27 那它就是用網路直播
00:48:33:21 它從八七年
00:48:35:13 二○○八年開始到現在
00:48:38:08 它的技術不斷的更新
00:48:39:21 我今天早上四點鐘起來看Elton John的
00:48:42:15 它從英國直播
00:48:44:02 完全沒有Lag
00:48:45:25 整個非常的順暢
00:48:47:27 以前的概念是我們先有音樂
00:48:50:04 然後我們要拍...
00:48:51:07 MTV時代要拍影像
00:48:53:17 現在反而是現場的音樂
00:48:57:05 就是你要先有現場感
00:48:58:26 然後再想它的音樂
00:49:01:13 因為如果你在家庭劇院
00:49:03:01 在這樣的環境
00:49:04:08 觀影環境傳輸
00:49:05:05 它聲音大概至少是5.1的音響
00:49:07:24 至少要兩個規格
00:49:09:09 再加上Stereo的規格
00:49:10:18 所以整個來講
00:49:12:11 完全跟前面是完全不同的概念
00:49:16:00 那如果你把這些東西
00:49:17:03 我剛剛講的
00:49:17:24 把它融會貫通的話
00:49:19:05 是不是應該有一種
00:49:20:20 新的音樂產品的規格產生
00:49:23:15 那這個就是我覺得是
00:49:24:29 未來的音樂的黃金二十年
00:49:27:22 加上大陸的市場會慢慢的蓬勃
00:49:30:10 數位會收到錢
00:49:31:20 演唱會市場的蓬勃
00:49:33:08 我覺得是非常樂觀的
00:49:35:16 所以真的沒事就要跟你聊天
00:49:37:16 因為你永遠會幫我們Update最新
00:49:39:19 這個世界的變化跟消息
00:49:41:11 而且講起來都是這樣好好玩
00:49:44:23 永遠有很好玩的事情
00:49:45:25 等著我們去發掘
00:49:47:01 等著我們去面對
00:49:48:12 等著我們去往前衝
00:49:49:29
00:49:51:10 謝謝倪桑
00:49:52:08 我覺得這個是我代表
00:49:54:01 我曾經因為要訪問你
00:49:55:16 私底下就是詢問過的這些
00:49:59:18 跟你合作過的朋友們
00:50:01:02 他們最想跟你說的話
00:50:02:14 今天我也代表他們說了
00:50:04:17 謝謝你
00:50:05:11 不管是「鏗鏘真言」
00:50:08:03 那些美好的年代
00:50:09:16 很好的音樂
00:50:10:17 還有畫面
00:50:11:16 還有之後
00:50:12:14 你還要帶我們去走很多的路
00:50:14:08 帶我們去踢足球
00:50:15:21 帶我們去不同的地方
00:50:17:17 對, 推動足球
00:50:18:24 是我另外一個Sign job
00:50:20:19 但我覺得這非常重要
00:50:22:01 台灣的社會非常需要足球
00:50:24:15 我會多找一些人來讓你按摩的
00:50:26:18 是...
00:50:27:05 謝謝倪桑
00:50:27:25 謝謝...
00:50:28:24 謝謝阿寶
00:50:29:29
