00:00:43:25 你是否也想體驗一場藝術夜遊
00:27:17:24 所以爸媽可以帶小孩一起來做這個
00:27:20:15 那做完就可以在整個白夜裡面散步
00:27:23:06 拿著白傘
00:27:23:25 對, 拿著白傘
00:27:24:25 可是它上面有漂亮的彩色影像
00:27:27:21 對...
00:27:28:24 那還有剛剛局長提到的
00:27:30:09 夜宿博物館
00:27:32:00 對, 這我都沒想到
00:27:34:10 只是因為那個空間有限
00:27:36:23 名額非常有限
00:27:38:08 所以要事先報名
00:27:40:09 所以也要關注我們的那個
00:27:42:17 就是社群網站上面有辦法
00:27:44:13 那還有就是一些
00:27:46:14 我們有一個螢光塗鴉牆
00:27:48:05 我覺得那個也很適合
00:27:49:04 小朋友去畫
00:27:50:16 那我們在露天音樂台那邊
00:27:53:02 有一個法國的
00:27:54:02 科技藝術團體表演
00:27:55:11 我覺得那個小朋友也會很喜歡
00:27:58:00 所以我們也會出小朋友攻略
00:28:00:26 就是說你如果有帶小孩
00:28:03:02 你們可以去哪幾個地方
00:28:05:07 那小朋友是十二點以前一定要回家
00:28:07:07 是這樣嗎
00:28:08:02 希望這樣, 我們會宣導
00:28:11:00 但是其實現在也很流行露營
00:28:13:13 有沒有
00:28:14:00 很多家庭都...
00:28:15:03 所以我們二二八公園
00:28:16:01 其實有一區
00:28:18:01 就是宏賢老師他會規畫一個
00:28:20:18 就是大家可以在那邊
00:28:22:25 多媒體露營
00:28:25:16 帳篷會發光
00:28:27:21 有...
00:28:28:05 真的嗎
00:28:29:01 我猜對了而且它同時是一個樂器
00:28:30:29 是來自一個香港藝術家
00:28:33:00 對, 你可以轉動它
00:28:34:07 它會發光, 發出聲音
00:28:36:03 我剛只是開玩笑的耶
00:28:37:13 可是是認真的是認真的
00:28:39:08 你剛開玩笑就講中了兩個
00:28:41:00 對...
00:28:42:00 好開心喔
00:28:42:20 所以你本來就是可以把你的想像
00:28:44:29 可能變成真實
00:28:46:02 以及你在白天會覺得這不可能
00:28:48:27 到晚上它真的發生了
00:28:50:28 所以不能忘記夢想
00:28:53:09 也不能忘記祈禱
00:28:55:24 不能忘記許願
00:28:57:29 晚上真的就會發生了
00:29:00:08 但那個露營
00:29:00:28 要像博物館一樣要登記嗎
00:29:02:17 還是...
00:29:04:19 Akibo講露營應該是一個概括的作品形式
00:29:08:13 嚇我一跳
00:29:09:03 我們那邊有個基地
00:29:10:02 然後它會蓋一個很大
00:29:11:28 六米寬的
00:29:12:28 所以小朋友可以跑進來
00:29:15:03 也可以躺在草皮上
00:29:16:04
00:30:05:18 我認為有兩個元素非常重要
00:30:09:08 其一當然是台北與巴黎, 與法國
00:30:15:19 還有與世界的連結
00:30:17:11 白晝之夜
00:30:18:19 今天已經是一個世界性的活動了
00:30:21:16 雖然當初是從巴黎開始的
00:30:23:07 現在卻有為數眾多的城市
00:30:25:13 都加入了這個活動
00:30:26:29 因此在同一天的同一時間
00:30:30:06 會有巴黎的白晝之夜
00:30:31:07 台北的白晝之夜
00:30:32:09 還有世界上其他城市的白晝之夜
00:30:35:13 這點在今天對於台灣而言
00:30:36:28 具有相當重要的意義
00:30:39:11 可以藉由文化去參與這個世界
00:30:40:25 並且與世界對話
00:30:42:18 第二個讓今年台北的白晝之夜
00:30:47:13 顯得相當重要的元素
00:30:49:20 是它可以為台北, 台灣的文化政策
00:30:54:22 劃下一個新的時代
00:30:58:18 因為正是同樣的政策
00:31:00:13 決定要在台北舉辦這個活動
00:31:01:25 也就是說, 如我剛才所言
00:31:04:25 一個城市的文化
00:31:06:23 當然是政府官方的要務
00:31:09:07 負責舉辦文化活動
00:31:13:01 但同時也是台北居民台灣人的要務
00:31:17:26 自己提出文化活動
00:31:19:25 去佔領這個城市
00:31:21:09 讓城市成為文化與藝術的場域
00:31:23:19 所以說這點對於台灣而言
00:31:26:11 是相當新穎的
00:31:28:22 我認為白晝之夜
00:31:31:08 可以向社會展現出文化的這個重要性
00:31:35:11 作為一個在社會中
00:31:36:24 讓人們彼此相遇彼此交談的場域
00:31:40:14 讓台灣, 台北
00:31:43:15 得以發展出新的身分認同與新的計畫
00:31:45:29 我對白晝之夜的期待
00:31:48:04 是希望自己能夠感受到驚喜
00:31:51:07 我希望台灣藝術家
00:31:52:11 能夠讓我感到驚喜
00:31:54:06 我希望能去發現一些
00:31:55:24 我不熟悉的台灣藝術家
00:31:57:26 我希望台灣的觀眾讓我感到驚喜
00:32:00:19 台灣的觀眾是否會有很多人來參加
00:32:03:25 會在夜裡的哪個時刻出現
00:32:05:06 還有我也希望
00:32:06:10 能對台北這個城市感到驚喜
00:32:09:28 我想要發現台北的一些
00:32:11:11 我原本不認識的新面向
00:32:18:03 驚喜是在白晝之夜活動中
00:32:19:18 非常重要的一個元素
00:32:21:06 這就是我目前對這個特殊的際會
00:32:24:03 所懷抱的期待
00:32:25:13
00:32:26:17 好, 我們來衝一下好了好不好
00:32:29:05 Akibo老師, 請帶我們
00:32:30:25 先把十點之前的先衝了
00:32:32:23 好, 十點
00:32:34:02 這個好長
00:32:37:01 大概衝一下
00:32:38:02 我們從那個由北而南
00:32:40:09 就是第一個區域
00:32:42:20 它叫做就是...
00:32:45:00 我們有五個區域
00:32:46:13 對, 五個區域
00:32:47:17 有準備道具
00:32:49:19 上面這裡叫
00:32:51:03 「大稻埕的一齣戲」
00:32:52:27 一聽就知道一定有陳明章
00:32:55:25 我們會在那邊放一個那個
00:32:57:27 金光閃閃的那種野台
00:32:59:26 就是之前還在市府前面做過
00:33:03:27 我們就是那個
00:33:05:29 事實上是我的好朋友
00:33:07:10 我就是請他推薦一個最好的
00:33:09:11 就最適合的
00:33:10:08 我們會在那邊弄一個野台
00:33:11:23 這個舞台除了陳明章以外
00:33:14:10 還有青年歌仔戲團
00:33:16:05 也會表演
00:33:17:01 一個更厲害的是那個
00:33:19:04 就是喵電感應
00:33:22:03 勸世寶貝, 勸世宗親會
00:33:26:09 它的粉絲很多耶
00:33:28:04 就是我們講說
00:33:29:22 在這裡營造一個
00:33:30:26 就是說它既有傳統
00:33:32:11 又有一個年輕
00:33:34:22 對, 它勸世就是Trance
00:33:36:23 就是電音的一種
00:33:40:05 對...
00:33:40:26 所以這裡是一個大稻埕的舞台
00:33:45:05 再過來呢
00:33:45:28 就是比較靠近北門站
00:33:47:21 我們稱它為「愛上這個城市」
00:33:50:10 其實它要講的就是設計之都
00:33:53:12 世大運
00:33:54:04 所以我們那邊會有一個
00:33:55:01 夜間運動場
00:33:56:26 然後還有DJ
00:33:58:06 螢光乒乓球
00:34:00:21 因為主要
00:34:02:23 設計之都很重要的就是
00:34:04:21 它不是一次性的
00:34:06:18 那我們要重新設計我們的思維
00:34:09:18 重新創造新的慣性
00:34:11:19 這才叫設計
00:34:13:00 而且它非常講究
00:34:14:05 就是我們台北講的
00:34:15:09 就是社會設計
00:34:16:26 所以我們現在就是在實踐
00:34:19:13 如何完成這樣的社會設計
00:34:21:26 然後如何創造新的慣性
00:34:24:00 我們才可能跳脫過去的窠臼
00:34:27:11 然後設計出來一個
00:34:29:06 我們理想中的城市
00:34:32:09 所以那個運動場
00:34:33:26 除了市民可以去玩以外
00:34:37:07 我記得還有一個籃球
00:34:39:00 一樣可以投籃, 也可以跨欄
00:34:42:03 投籃跟跨欄是兩個運動喔
00:34:44:11 兩件作品
00:34:45:12 投籃的作品它是什麼
00:34:47:10 它其實是資源回收
00:34:49:16 就是它例如說寶特瓶是一個
00:34:51:28 然後鐵罐是一個
00:34:53:28 好玩
00:34:54:14 好玩, 對不對
00:34:55:12 然後我們會邀請幾個
00:34:57:21 就是比賽得獎國際很知名的DJ
00:35:01:02 就是在那邊放音樂
00:35:02:12 所以這十點以前一定要去玩
00:35:05:18 到北門
00:35:06:09 北門它今年年初才被...
00:35:09:07 從那個高架橋解放出來
00:35:11:00 所以我們一定要好好地照顧它
00:35:12:12 慶祝它重生
00:35:14:20 對... 所以我們叫它
00:35:15:29 「北門回到未來」
00:35:16:27 就是在上面
00:35:17:23 我們有很多投影的作品
00:35:20:12 就是等一下宏賢來介紹
00:35:22:02 但是它那裡有一個DJ台
00:35:24:08 所以我們有Didilong
00:35:27:04 有那個三牲獻藝
00:35:31:12 然後...
00:35:32:14 對, 這裡還會發生一個
00:35:33:28 就是叫Swing
00:35:35:10 你知道有一個Swing的舞團
00:35:38:01 他們剛拍了一支片
00:35:40:26 就是跟台北有關
00:35:42:14 然後在網路也很轟動
00:35:44:29 然後他們那一天會號召
00:35:48:07 大家一起跳Swing
00:35:49:16 它是一個網路的組織
00:35:52:08 但是很團結
00:35:53:07 所以那裡也是一個熱點
00:35:55:19 他們除了在那邊看得到以外
00:35:57:07 他們在開幕的時候
00:35:59:25 就是市長陪著我們
00:36:01:12 因為這個開幕就是全球的白晝開幕
00:36:04:13 因為我們是第一個
00:36:05:07 所以我們會從台博館
00:36:08:20 掃街到館前路的前面
00:36:11:26 那Swing也會在那邊
00:36:13:20 做一個很大型的跳舞
00:36:15:29 這個北市交為了他們
00:36:18:07 就編了一首Swing的曲子
00:36:22:06 所以其實你看
00:36:24:05 很多力量跟資源都幫助進來
00:36:28:01 然後再往南
00:36:29:20 在重慶南路這一段
00:36:31:13 它有幾個比較靜態的表演
00:36:33:29 例如說虎劇團
00:36:35:20 它是那種扯鈴, 螢光扯鈴
00:36:38:00 然後有Pixelman
00:36:39:21 那個藝術家很厲害
00:36:40:25 他把自己裝扮得很未來
00:36:42:21 然後全身都是LED
00:36:44:09 小朋友特別喜歡
00:36:45:15 所以這個也是親子的一部分
00:36:47:10 好, 到了那個
00:36:48:22 就是我們的基地台博館
00:36:51:09 就是我們開幕的一個場地
00:36:53:07 那裡會有一個
00:36:54:26 今年金曲獎最佳樂團
00:36:58:02 張三李四
00:36:59:27 他們會在那邊表演
00:37:01:11 然後還有...
00:37:04:05 例如說北市交也是在這邊
00:37:06:15 晚上這個舞台還有論壇
00:37:09:29 這個等一下請局長來介紹
00:37:12:08 太多了
00:37:13:19 到了露天音樂台這邊
00:37:15:09 有一個法國的團體
00:37:18:07 他們是科技藝術表演的藝術家
00:37:20:06 *叫Hakana
00:37:22:16 *Hakana
00:37:24:10 法文我不會唸
00:37:25:08 沒關係, 這樣就可以了
00:37:27:16 這個是一個很知名的團體
00:37:28:28 他們用那個紗然後投影
00:37:32:24 跟舞蹈結合在一起
00:37:34:20 就是連我自己
00:37:35:26 也一定會去衝那一場
00:37:37:18 那講到法國的團體
00:37:38:28 在北門郵局的大廳
00:37:41:04 有一個法國的馬戲團
00:37:44:20 還是結合表演藝術跟科技
00:37:48:26 所以就是...
00:37:50:26 我應該還落掉很多
00:37:53:21 特別提醒
00:37:55:07 郵局本來晚上是不能打開的
00:37:59:16 但是今天晚上就會打開
00:38:03:04 開放場館也是這個白晝之夜
00:38:05:19 很重要
00:38:07:18 包括當代館
00:38:10:03 台北國際藝術村, 北美館
00:38:12:00 都也會跟著我們一起
00:38:13:19 最遠可以一直到北美館
00:38:16:09 因為現在台北市立美術館
00:38:19:13 很遠耶
00:38:20:20 等於說過幾天會正式的開幕
00:38:23:07 台北雙年展
00:38:25:02 所以如果你覺得說玩得差不多
00:38:28:02 你要去看展覽的話
00:38:31:13 是可以
00:38:32:17 它開到早上
00:38:34:04 開到...
00:38:34:21 北美館到十二點
00:38:35:28 到十二點
00:38:37:02 因為沒有捷運了
00:38:39:02 有的會到早上
00:38:41:00 那就用走的啊
00:38:43:03 完全不負責任其實我們也會提供一個攻略
00:38:44:26 就是說最末班的捷運
00:38:47:03 或者是最末班的公車這些資訊
00:38:49:06 就是說你如果要回家的人
00:38:50:29 你在什麼時候一定要趕到
00:38:52:26 那到白天
00:38:54:16 第一班車什麼時候會有
00:38:57:06 這些事我們都會...
00:38:58:12 那中間我想步行
00:39:00:08 或者是利用我們的YouBike
00:39:02:22 那也都是一個很棒的一個
00:39:05:02 留下來參與的方式
00:39:07:13 蔡老師要不要跟我們說一說
00:39:08:21 剛這路線是不是你還要再拿起來講一次
00:39:11:22 因為感覺遍布不同的地點
00:39:14:03 因為點很多
00:39:15:09 它雖然有大點
00:39:16:09 可是還有很多小點
00:39:17:13 Akibo大概講了十分之一而已
00:39:20:06 沒有啦, 開玩笑的
00:39:22:25 當然其實你剛剛看那個路線
00:39:24:19 非常有趣
00:39:25:15 它其實是有一個舊城區
00:39:28:03 然後從大稻埕
00:39:29:27 然後到塔城街, 北門
00:39:32:13 然後翻身轉換
00:39:34:09 開始從重慶南路接到台博館
00:39:37:00 所以是一個古老的城區
00:39:39:17 然後市街
00:39:40:22 那所有的作品
00:39:41:23 其實都有跟這個地景
00:39:44:25 是連接在一起的
00:39:46:12 所以為什麼
00:39:47:14 在重慶南路跟台博館
00:39:49:08 比較是新媒體的部分
00:39:52:00 那塔城街那個我再補充一下
00:39:54:00 塔城街那邊會有一個數位塗鴉
00:39:57:21 過去我們塗鴉都會被罵
00:39:59:15 噴漆不行是, 會被抓
00:40:01:04 現在是數位塗鴉
00:40:02:08 你可以用平板電腦的方式
00:40:04:07 然後塗一塗就像光雕打在街道上
00:40:08:19 那這個是觀眾可以
00:40:11:19 民眾可以一起來參與
00:40:13:00 藝術家當場也會操作
00:40:16:02 那也會有音樂
00:40:16:25 就我也可以上去寫
00:40:18:16 如果是...
00:40:19:13 可以寫也可以畫
00:40:21:21 罵人的
00:40:23:16 罵人的我會幫你擦掉
00:40:25:02
00:40:26:19 那這個在台博館也有一個
00:40:29:15 這個台博館的藝術家
00:40:30:23 就會比較再窄一點
00:40:33:18 他在講一個獨角獸
00:40:35:16 做一個生死的代表
00:40:38:14 就稍微煽情一點點
00:40:40:18 但畢竟這是一個藝術之夜
00:40:42:19 在很熱鬧之餘
00:40:43:27 我們還是很多作品是...
00:40:45:16 可以沉澱的
00:40:46:08 對, 很多沉澱
00:40:47:05 然後有藝術層次在裡面
00:40:49:23 那台博我再補充幾個
00:40:51:20 因為這個比較多數位的作品裡面
00:40:54:12 其中有一個有趣
00:40:55:13 比如說生物媒體
00:40:57:00 作為一個藝術的表現
00:40:58:20 那在這邊
00:40:59:10 有個尿檢時代的工作坊
00:41:01:22 你可以尿尿
00:41:02:15 然後我們把尿尿做成電池
00:41:04:18 然後讓LED發電
00:41:06:04 這個也一樣是親子
00:41:07:20 非常歡迎
00:41:08:15 你可以帶小朋友來
00:41:09:26 然後把你的尿尿做成電池
00:41:12:07 不是因為懷疑小朋友吸毒
00:41:14:20 才做尿檢
00:41:16:11 但尿尿可以發電
00:41:17:15 尿可以發電
00:41:18:12 這也是一個互動的
00:41:19:09 是... 對
00:41:20:21 剛剛我們在私底下有在聊那個
00:41:22:20 Afterlife Ver. 2.0也是
00:41:24:29 對, 那這個作品也很有趣
00:41:27:02 簡單來講就是剛剛談到
00:41:29:25 小朋友在夜市玩電動
00:41:32:07 不如來這邊玩電動
00:41:33:26 你可以打電動
00:41:34:20 可是在這邊會學到生命的一課
00:41:37:13 因為電死了一隻小蟲子
00:41:40:02 你才可以得到遊戲裡面的一條命
00:41:42:19 所以沒有命你就沒得玩
00:41:44:08 當天晚上台北的昆蟲要小心了
00:41:47:06 不要靠近這個區域
00:41:48:28 但是是玩真的
00:41:49:25 是玩真的
00:41:51:08 所以藝術家會在那邊做一點點哏
00:41:53:27 譬如說增加二氧化碳的量
00:41:57:25 然後蚊子就可能比較會靠近
00:42:01:18 感覺就是電玩的再升級版就對了
00:42:05:00 生物版
00:42:06:26 是實體跟虛擬之間
00:42:08:17 的結合
00:42:09:09 對
00:42:10:09 然後在裡面
00:42:11:22 二二八的池子裡面
00:42:12:26 有從荷蘭來的藝術家
00:42:14:28 他們會在池子裡面
00:42:16:23 點亮LED燈
00:42:18:09 那數位新媒體這邊有趣是
00:42:21:03 它這個燈是隨著風跟水波的動作
00:42:24:15 然後才開始閃爍
00:42:27:06 所以其實真的
00:42:28:03 各個不同需求的觀眾
00:42:30:29 都有他自己可以得到滿足的層面
00:42:34:04 小朋友想要開心, 可以開心
00:42:35:23 你想要靜靜的看你可以靜靜的看
00:42:37:05 你想要互動, 你可以互動
00:42:38:20 你想要嘻嘻哈哈就過了一個晚上
00:42:41:00 你也可以就這樣過
00:42:42:05 或你想要很沉澱的
00:42:43:18 你想要思考人生的境界的
00:42:45:09 也是有這些讓你可以選擇
00:42:48:00 對...
00:42:49:01 好累喔
00:42:50:04 我光是用聽的
00:42:51:00 就覺得這個晚上真的不用睡
00:42:52:20 體力要非常好我還沒有完全講完
00:42:54:26 這邊不能講太多
00:42:56:00 大家可以上網多查一下
00:42:57:25 剛剛有提到論壇
00:42:58:28 那又是什麼呢
00:43:00:27 因為我剛才提到
00:43:02:19 無論如何設計之都在今年十月
00:43:05:15 要正式達到高潮
00:43:08:14 那所以我們透過這樣子的論壇
00:43:10:17 其實是希望大家來談談
00:43:12:25 你對台北文化生活
00:43:15:04 對台北夜生活
00:43:16:25 對台北的想像
00:43:19:13 那所以它也是
00:43:20:22 從國外到國內的設計師
00:43:24:26 或是藝術家會做對談的這個狀況
00:43:28:01
00:44:03:14 我突然發現
00:44:04:17 這個真的是要做功課
00:44:07:06 真的要做一點功課
00:44:08:08 當然你也可以隨興
00:44:10:04 是, 可以...
00:44:11:13 就是你走到哪
00:44:12:22 你偶遇到什麼
00:44:14:06 完全不設限的
00:44:15:29 你就把自己放在那個空間裡面
00:44:18:00 看看它會給你什麼驚喜
00:44:19:29 也是這樣聽起來也不錯
00:44:21:22 對, 而且有的時候
00:44:23:13 就包括我們也在挑戰說
00:44:25:25 這個市府相關的單位局處
00:44:29:17 他們的慣性
00:44:30:29 比方說也透過他們提醒我們
00:44:33:27 突然明白
00:44:35:09 對, 我們都忘記考慮到
00:44:37:12 有一群學生
00:44:38:14 那時候會突然冒出來
00:44:40:09 就是在南陽街補習班的
00:44:42:10 這些學生
00:44:43:21 他下課
00:44:44:22 那他過去拖著一天的疲憊
00:44:46:23 是沒有期待的
00:44:48:26 那另外的也有可能
00:44:51:05 像百貨公司
00:44:52:14 這個服務的所有的工作人員
00:44:55:19 他本來也是...
00:44:56:16 收工了
00:44:56:29 對, 收工了
00:44:57:29 那他有沒有另外一個可能
00:45:00:04 讓他日復一日進行的苦役
00:45:03:10 苦役
00:45:04:04 對, 的確是
00:45:05:29 能夠有不一樣的開始
00:45:10:02 而且這個設計非常可愛
00:45:11:25 因為法國人一樣
00:45:13:15 如果沒吃飽就不出門
00:45:14:23 沒睡飽就不出門
00:45:17:07 那所以你週末
00:45:19:25 玩十二個小時之後
00:45:21:16 然後你要好好睡飽
00:45:23:15 然後禮拜一還是美好的星期一
00:45:28:07 是不是聽說還有dress code
00:45:30:14 對, 這個一定要講
00:45:32:16 就是我們有準備另外一個道具
00:45:36:02 你看, 我們希望就是觀眾
00:45:39:00 觀眾是所有的表演或是活動的
00:45:43:17 很重要的一個部分
00:45:45:00 我們每次做演唱會
00:45:45:29 觀眾還沒進來之前
00:45:47:18 怎麼彩排都沒用
00:45:49:12 進來以後整個...
00:45:50:22 有感覺
00:45:52:12 所以我們希望觀眾這一次來參與
00:45:55:17 就是白晝之夜
00:45:56:24 希望也可以把自己裝扮一下
00:45:59:07 就是例如說你的腳踏車
00:46:01:06 你的寵物或是自己
00:46:03:23 爸爸媽媽小孩子
00:46:05:08 都可以把自己弄亮起來
00:46:07:20 就是讓街上
00:46:09:27 其實在巴黎也是這樣
00:46:12:21 就是很多...
00:46:13:21 我看到那個影片
00:46:14:23 有很多腳踏車騎士
00:46:16:26 就把自己變成一個外星人
00:46:18:24 然後就這樣騎來騎去
00:46:20:14 其實我覺得他也是一個很絢麗的作品
00:46:22:18 把自己變成外星人真的滿妙的
00:46:24:20 對
00:46:25:21 而且就跟剛剛局長說的
00:46:26:26 就是你想要成為藝術的一部分
00:46:29:27 今天晚上就可以
00:46:31:04 把你自己變成藝術的一部分
00:46:32:17 因為平常如果你這樣出去
00:46:34:06 別人會覺得你怪怪的
00:46:35:03 對...
00:46:35:27 但那天晚上是理所當然的
00:46:37:01 是, 而且大家會把你拍下來
00:46:39:00 貼到社群網站
00:46:40:20 Akibo老師, 你自己應該也是
00:46:41:27 有作品有參與吧
00:46:43:03 你不會在這個時候缺席的
00:46:45:02 以我對你的瞭解
00:46:46:10 是, 我有一個作品它叫光蟲
00:46:49:05 因為我們上次有聊過就是...
00:46:51:17 原來就是它
00:46:52:15 對, 它用太陽能發電
00:46:54:05 就是因為三一一地震
00:46:55:23 我有了這個靈感
00:46:57:03 所以它那天
00:46:57:24 也會在台博館的門口附近表演
00:47:01:13 迎賓
00:47:02:01 對...
00:47:03:21 其實我想那個就是
00:47:06:25 這些我們邀請來的藝術家
00:47:09:17 就是都跟這個
00:47:12:01 就是我們的環境
00:47:14:16 或是我們的城市
00:47:15:20 都有產生關係
00:47:17:09 從那邊得到靈感
00:47:18:08 例如說我剛剛提到了這些年輕世代
00:47:20:29 像張三李四, 三牲獻藝
00:47:23:12 或者是那個喵電感應
00:47:25:28 他們都是很年輕的樂團
00:47:28:07 但事實上你知道嗎
00:47:29:09 他們都跟我們的傳統的
00:47:32:28 例如說土地, 廟宇
00:47:35:11 或者是一些傳統
00:47:37:15 一些很俗豔的表演方式連結
00:47:40:08 它並沒有因此脫鉤
00:47:41:29 所以我覺得
00:47:42:22 我們邀請這些藝術家來
00:47:44:19 或是表演者來
00:47:45:23 其實他也在表現台北新的一面
00:47:48:24 是這個城市的一個
00:47:50:12 文化跟藝術的能量
00:47:52:10 其實也經過這一次的
00:47:54:08 因為有一些也是我第一次
00:47:55:26 才因為這樣子接觸
00:47:57:27 我真的覺得很驕傲也很感動
00:48:01:09 就是我們真的有很大的能量在那邊
00:48:04:15 最後三位老師, 局長
00:48:06:18 要不要給我們做一點
00:48:08:01 小小的行前提醒
00:48:10:03 就是不管是心情上的準備也好
00:48:12:23 或者是實質上的準備也好
00:48:14:22 或者是你要做功課
00:48:15:22 或不做功課的準備也好
00:48:17:08 有沒有什麼提醒要送給我們的觀眾
00:48:19:02 蔡老師, 你先說好了
00:48:21:19 我比較喜歡你剛剛說那個方式
00:48:23:14 其實你就是放輕鬆
00:48:24:26 來享受這個藝術夜遊
00:48:27:10 對, 我覺得如果你要照攻略
00:48:29:15 你會非常累
00:48:31:22 因為你自己都覺得很累了
00:48:32:28 對, 我覺得我一定衝不完
00:48:34:25 但是我很覺得
00:48:36:12 來享受這個過程
00:48:37:15 就是對這個城市這個活動
00:48:39:11 最大的支持
00:48:40:15 所以希望大家能夠
00:48:42:07 把親朋好友都一起找來
00:48:44:17 越多人就越熱鬧
00:48:45:16 是
00:48:46:17 Akibo老師
00:48:47:20 那還要提醒一點就是說
00:48:49:03 每一個便利商店
00:48:50:13 就是沿線的便利商店
00:48:51:21 前面都是我們的這個
00:48:53:29 就是我們的服務站
00:48:55:23 所以你在那邊
00:48:56:13 可以取得一些資訊
00:48:57:29 還有需要一些服務
00:48:59:25 我們那邊都會有
00:49:01:23 就是我們的同事來幫忙
00:49:03:19 最後局長
00:49:04:27 我希望說除了剛才
00:49:06:18 這個兩位老師提到
00:49:08:17 親朋好友, 呼朋引伴
00:49:10:15 全部都出動
00:49:11:28 也許也可以打個電話
00:49:14:20 或通知你在周邊
00:49:17:24 亞洲城市的朋友
00:49:19:21 因為他們到今天
00:49:21:07 都沒有機會可以體驗
00:49:23:23 過去我們是因為沒有參與
00:49:25:17 所以才不知道它的好
00:49:28:16 參與了之後
00:49:29:15 其實大家大概都會迫不及待
00:49:31:12 希望它明年趕快再發生
00:49:34:12 最後藉這個機會
00:49:36:06 感謝所有的創意人
00:49:38:11 今天為了成就白晝之夜
00:49:41:08 亞洲的第一次
00:49:42:12 台北的第一次
00:49:44:09 真的不計任何的代價
00:49:47:27 用他們的創意
00:49:50:02 然後去創造未來所有的可能性
00:49:54:18 所以請帶著一份開放的心
00:50:00:02 然後忘記你對過去的一切的認識
00:50:03:28 透過今天晚上
00:50:05:08 明天黎明到來的時候
00:50:08:04 應該就是煥然一新的人
00:50:10:07 你想要記得台北的夜晚
00:50:12:04 最令你難忘的會是什麼
00:50:14:04 就是白晝之夜
00:50:15:24 因為它就是the one and the only one
00:50:17:29 而且是第一次
00:50:19:14 第二次, 第三次, 第四次
00:50:20:28 它就是後面的了
00:50:22:05 它就是第一次
00:50:23:17 你能夠見證這第一次
00:50:25:04 一整個晚上都不睡
00:50:26:19 看看台北會變成
00:50:28:04 什麼樣你沒看過的樣子
00:50:30:05 我覺得那一天就值得了
00:50:32:15 所以那我們就都不要睡吧
00:50:35:12 謝謝三位
00:50:36:04 謝謝...
00:50:37:13
