00:00:29:25 劉墉
00:24:26:27 我就把牠套上
00:24:28:16 然後把牠這樣子拿起來
00:24:30:10 然後搖...
00:24:31:17 把牠搖暈了
00:24:33:01 也不會搖得太暈
00:24:34:01 太暈就沒有挑戰性
00:24:35:15 然後把牠放進去
00:24:37:19 如果你今天放的是個蒼蠅
00:24:39:14 牠停在這邊
00:24:40:14 你拿這個東西
00:24:41:14 你發現不行
00:24:42:20 蒼蠅牠從下面走
00:24:44:14 牠不往上
00:24:46:01 蜜蜂往上飛
00:24:47:10 蒼蠅往下飛
00:24:49:13 馬是迎風
00:24:51:04 牛是順風
00:24:53:02 所以每一種生物
00:24:53:26 有牠們特別的特性
00:24:56:00 所以當你觀察的時候
00:24:57:03 你就突然覺得
00:24:58:13 這有種特別的精神在
00:25:00:14 這個不是你在書上看來
00:25:02:10 這個有時候是你真的...
00:25:03:06 對... 移情入物到當中
00:25:05:10 自己也體會到的
00:25:07:03 那我來想像一下
00:25:08:14 你家要很大
00:25:11:15 不小, 我住在湖邊
00:25:13:10 然後呢...
00:25:14:14 對, 一定要有靠近大自然
00:25:16:20 因為不可能全部都養在家裡
00:25:18:23 書很多
00:25:20:01 書很多
00:25:20:19 現在開始捐
00:25:21:26 那麼我最近的計畫
00:25:23:16 捐佛光山, 已經聯絡了
00:25:25:04 我準備了八千多本
00:25:27:11 你看過的書要捐給別人
00:25:29:07 有的是看過的
00:25:30:05 有的是我出版的
00:25:31:24 我才捐了我的成功中學
00:25:33:22 我的高中母校
00:25:34:25 又捐了我的大同中學
00:25:36:17 每一個同學兩本
00:25:38:08
00:25:40:12 然後圖書館捐
00:25:42:01
00:25:43:09 然後應該要有很大的桌子
00:25:46:00 要有很大的桌子
00:25:47:09 除了要寫作之外
00:25:48:14 也要來畫畫
00:25:49:08 因為有些畫作其實很大
00:25:51:05 以前我趴在地上畫
00:25:52:19 現在沒辦法了
00:25:54:02 老了, 那腰不行
00:25:55:15 所以我都得在桌子上畫
00:25:57:02 桌子上畫
00:25:58:05 然後一定會有很多植物
00:26:00:21 對的, 我家種了...
00:26:02:15 在美國的家裡頭
00:26:03:15 種了一百二十多盆
00:26:05:28 一百二十多盆
00:26:06:28 你照顧還是你太太照顧
00:26:09:03 如果我不在的時候就太太照顧
00:26:11:00 你太太也都覺得沒問題
00:26:12:20 她是...
00:26:13:16 她說她反正澆一圈下來
00:26:15:28 要好幾個鐘頭
00:26:17:15 對啊
00:26:18:09 但是我澆就很快
00:26:19:19 為什麼
00:26:20:24 我不知道
00:26:22:11 因為你都隨便澆
00:26:23:07 不...
00:26:24:08
00:26:25:20 你澆水的時候
00:26:26:29 你要注意
00:26:27:25 如果不要澆到葉子上
00:26:29:12 如果你澆到葉子上
00:26:30:23 它很可能刷...
00:26:32:11 那水就流到了地板上
00:26:34:06 這時候你要花時間去擦地板
00:26:36:12 所以你澆水的時候
00:26:37:12 你要把它撩開往下澆
00:26:39:12 你要先去摸摸它到底乾濕如何
00:26:41:17 你要瞭解那個植物
00:26:42:23 有的植物可以一直澆
00:26:43:28 有的植物要隔一段時間讓它乾
00:26:46:22 然後再澆
00:26:47:22 你摸的是土呢
00:26:48:12 還是摸植物呢
00:26:49:10 摸土
00:26:49:24 摸土
00:26:50:10 摸土
00:26:51:09 我覺得你一天下來也挺忙的
00:26:53:25 如果你在美國
00:26:55:03 我在幻想你在美國
00:26:56:29 你都早上幾點...
00:26:57:26 你說中午才起床
00:26:59:04 中午才起床
00:26:59:29 因為你是夜貓子作家
00:27:01:04 坐在家裡
00:27:02:01 沒有對, 夜貓子
00:27:03:05 村上春樹早上會起來跑步
00:27:05:02 OK, 我有...
00:27:07:04 人家有的建築師還打拳呢
00:27:09:24 是職業的拳手
00:27:10:26 是...
00:27:12:05 你是夜貓子, 作家
00:27:13:28 夜貓子作家
00:27:14:27 中午起床
00:27:16:11 然後吃中飯嗎
00:27:18:11 吃啊, 吃非常簡單的
00:27:20:03 非常簡單的中飯
00:27:20:27 對的
00:27:21:18 然後下午會...喝杯咖啡
00:27:23:29 然後去...
00:27:25:00 如果以前種菜的時候去種菜
00:27:27:11 你還種菜
00:27:28:05 種菜
00:27:28:20 自己吃的菜
00:27:29:19 對, 自己吃的菜
00:27:31:12 OK, 所以你家還有菜園
00:27:34:02 有菜園
00:27:34:25 現在是我的九十三歲的老岳父
00:27:37:03 在管菜園
00:27:38:28 人家厲害
00:27:41:04 管大概五, 六十盆的
00:27:44:03 這麼大盆自己抬
00:27:45:21 九十三歲的老先生
00:27:47:22 你們家人工作量都好大喔
00:27:49:21 好, 所以喝完咖啡
00:27:51:09 可能就是照顧一下菜園
00:27:52:21 也會澆花
00:27:53:19 對的, 澆花
00:27:54:12 然後會開始工作了嗎
00:27:55:10 開始工作
00:27:56:02 開始工作了
00:27:56:29 然後到了晚飯時間
00:27:58:25 就是吃飯
00:27:59:17 就吃晚飯
00:28:00:08 我會預先預告
00:28:01:26 我說六點十五分吃飯的話
00:28:03:12 我說六點十五分
00:28:04:12 我就在六點十五分一定...
00:28:05:29 譬如寫文章
00:28:06:27 我一定到那個時候就寫完
00:28:08:15 寫完
00:28:09:08 我可以控制好
00:28:10:23 就在那個時候寫完
00:28:12:06 太厲害
00:28:12:28 然後太太做飯
00:28:14:04 太太做飯
00:28:14:29 吃的是比中飯要豐盛很多了吧
00:28:18:24 太太最近常常講說
00:28:20:21 如果是從台灣來的朋友
00:28:22:09 到我們家吃飯
00:28:22:28 恐怕沒有辦法適應
00:28:24:05 為什麼
00:28:25:03 因為我們吃得很簡單
00:28:27:13 但是通通的熱量
00:28:30:12 卡路里都算過
00:28:32:08 譬如說一片魚
00:28:33:20 然後吃的生菜沙拉
00:28:35:18 然後Avocado那叫做酪梨
00:28:38:13 加上一些水果
00:28:40:22 然後吃一根玉米
00:28:43:12 如果你到我家作客
00:28:44:25 你就會覺得我簡慢了
00:28:47:03 但是我們會覺得非常好
00:28:48:23 你看
00:28:49:11 那都是很有機, 很健康的玉米, 對啊
00:28:51:02 對啊
00:28:51:25 玉米的這個纖維是非常的好
00:28:53:28 是
00:28:54:17 酪梨是非常的蛋白質
00:28:56:05 植物蛋白質, 對不對
00:28:57:26 然後生菜也是纖維跟蔬菜
00:29:00:29 然後一片魚
00:29:02:21 那個蛋白質也夠了
00:29:06:15 然後吃完晚飯了
00:29:07:22 又要繼續工作
00:29:08:26 不
00:29:10:02 現在是什麼
00:29:10:14 跟家人...
00:29:11:07 可能是出去散步
00:29:13:22 出去散步
00:29:14:19 你晚上才出去散步
00:29:16:16 因為美國像是夏天的話
00:29:18:22 那紐約白天很長嘛
00:29:22:05 是
00:29:23:00 所以就到外面去散步
00:29:24:29 散步回來
00:29:26:16 說不定看電視
00:29:27:20 過得很愜意
00:29:28:16 你看電視
00:29:29:29 你還有時間看電視
00:29:31:06 當然
00:29:31:24 你看什麼呢
00:29:32:16 你要做一個藝術家
00:29:33:21 你要做一個作家
00:29:34:20 你卻生活在這個世界以外
00:29:38:15 是好的
00:29:39:14 你是安靜的
00:29:40:20 對, 我是住在世外桃源
00:29:42:21 但你要有你的人間性
00:29:45:09 否則你怎麼樣觸動你的讀者
00:29:49:05 所以你也看電視
00:29:50:02 你看新聞
00:29:51:03 我看新聞
00:29:52:05 我看...
00:29:52:25 什麼玩意兒都看
00:29:53:20 什麼玩意兒都看
00:29:54:03 然後看電視劇
00:29:55:29 美劇
00:29:57:17
00:29:58:23 大陸的電視劇或台灣的電視劇
00:30:00:25 都看耶
00:30:01:17 對
00:30:02:09 那個要花很多時間喔
00:30:03:16 對的
00:30:04:11 你說「甄嬛傳」要看很久的
00:30:05:28 六, 七十集不小心給它做宣傳了, 糟糕
00:30:07:14 對啊
00:30:08:25 好, 所以...
00:30:09:21 大家都看
00:30:10:14 我怎麼能不看
00:30:11:06 立法院都要這樣子問
00:30:12:16 我怎麼能不看
00:30:14:06 所以你會發覺
00:30:16:07 好像我工作的時間不多
00:30:17:29 對
00:30:18:17 但我就如同
00:30:19:26 您昨天晚上睡不好一樣
00:30:22:11 我是夜裡面思考
00:30:25:10 當我下午要寫作的話
00:30:27:11 我一坐下來第一個字出來了
00:30:29:29 所以它效率是很好的
00:30:32:10 而我必須要二十四小時來工作
00:30:35:14 除了夜裡思考之外
00:30:36:29 前一天把靈感去想一想
00:30:38:23 很可能拿這個札記
00:30:40:04 看一看有什麼靈感
00:30:41:11 第二天要寫作
00:30:42:29 那麼或者是要畫什麼
00:30:44:14 也把靈感想一想
00:30:45:15 在夜裡頭一邊睡覺一邊想
00:30:48:08 而且因為我在台灣
00:30:50:18 在中國大陸
00:30:51:22 有很多事情
00:30:52:27 所以要在美國的夜裡面來工作
00:30:56:06 或者是早上醒過來一下
00:30:58:15 工作一下
00:30:59:15 然後繼續睡
00:31:01:09 生活不一樣
00:31:02:07 我那睡覺是一節...
00:31:04:06
00:31:37:19 你年輕的時候
00:31:38:07 就是一個很理智的人
00:31:39:18 把事情都看得很透澈, 很清楚
00:31:43:03 是一個
00:31:44:14 很知道自己有多麼笨的人
00:31:48:24 就是因為我自己知道
00:31:49:27 我自己有多麼笨, OK
00:31:52:01 就像如同
00:31:52:21 我記不得旅館房間號碼一樣
00:31:54:24 OK
00:31:55:26 那在感情上也是這樣嗎
00:31:57:29 因為其實我們在看你跟師母
00:32:00:10 對
00:32:01:25 念大學的時候就認識了
00:32:03:17 那當然
00:32:04:10 然後大學的時候
00:32:05:13 竟然也就革命性的結婚了
00:32:07:15 對的
00:32:09:09 感覺上是一個很衝的人耶
00:32:11:13 就是在感情
00:32:12:23 跟在你的人生的工作事業
00:32:16:06 又好像有點像
00:32:17:16 又好像很不像的那種感覺
00:32:19:08 對的
00:32:20:17 最近有一個公益團體的負責人
00:32:23:00 才跟我說
00:32:24:01 他說劉老師
00:32:24:18 你一邊是理性
00:32:26:16 一邊是感性
00:32:28:08 我把它分得很清
00:32:29:26 為什麼呢
00:32:30:25 他的公益團體要找我要書
00:32:33:22 我說對不起
00:32:34:28 你也做公益
00:32:35:17 我也做公益
00:32:36:19 你來跟我要書
00:32:37:14 請你下公文來跟我買
00:32:40:00 我給你特殊折扣
00:32:41:26 那跟著我打個電話給他
00:32:43:22 我說我現在準備一萬本書
00:32:45:29 你去安排
00:32:47:02 我們捐給慈善團體
00:32:48:26
00:32:49:25 就兩面
00:32:51:16 當我衝動的時候
00:32:52:22 衝動的是非常愚昧的衝動
00:32:55:12 我是可以笨到極點的衝動
00:32:58:17 那你太太怎麼看你
00:33:01:14 你要去問我太太
00:33:02:26 就是你乖乖
00:33:03:24 我給你買冰淇淋吃之類的
00:33:05:06 我也覺得是
00:33:06:18 其實你...
00:33:07:15 其實對付我是非常容易的
00:33:09:02 因為我必須要說
00:33:10:13 昨天我在做這個訪問之前
00:33:13:12 真的挺緊張的
00:33:14:07 因為老師還教人說話, 你知道
00:33:15:21 對的
00:33:16:17 老師還教人說話
00:33:17:09 這對一個主持人來說
00:33:18:06 壓力實在是太大
00:33:19:09 就是他會不會覺得
00:33:20:25 我這句話說得不是很好
00:33:21:28 我昨天晚上翻來覆去
00:33:23:06 有時候都會在想這些事情
00:33:25:04 但今天這樣子做訪問
00:33:26:21 我覺得...
00:33:27:10 很輕鬆啊
00:33:28:24 老師其實是個小孩子
00:33:30:11 對啊, 是啊
00:33:31:26 就好像你一個人
00:33:32:23 假如說喜歡喝酒
00:33:34:09 他真正喜歡
00:33:35:08 真正的酒鬼
00:33:36:15 他連刮鬍子水
00:33:37:16 他都能喝
00:33:39:09 對的, 真正的一個藝術家
00:33:41:12 他穿的衣服
00:33:42:12 可能紅的, 綠的雜七雜八配
00:33:44:15 你說是醜死了
00:33:45:24 但是他可以在醜裡面看到美
00:33:49:06 同樣的今天你說我多麼會講話
00:33:51:24 或者是講究講話
00:33:53:08 第一, 很可能因為我常常犯錯
00:33:55:09 於是我會檢討
00:33:56:18 第二, 別人講錯的時候
00:33:58:24 因為我自己會檢討
00:34:00:04 我會諒解
00:34:01:17 所以如此說來
00:34:02:25 就人生就很泰然
00:34:05:03 可是你對自己的小孩
00:34:06:02 也會這樣嗎
00:34:07:14 很...
00:34:09:03 我女兒幾乎不讓我操心
00:34:11:29 兒子嘛
00:34:12:21 因為那時候我年輕
00:34:14:06 當然劉軒現在已經...
00:34:15:17 他已經有點成名, 有點腕了也當爸爸了
00:34:19:28 我以前都演講都拿來...這樣說自己兒子
00:34:22:11 拿他來損
00:34:23:21 現在我有一次他去演講
00:34:25:26 不小心被我聽到了幾句
00:34:27:20 正在損我呢
00:34:29:01 你看看
00:34:29:23 多好啊...
00:34:31:06 彼此作為這個角色
00:34:34:04 真的很妙耶
00:34:34:27 就一個捧哏, 一個逗哏
00:34:36:23 是總要有點哏
00:34:38:06 你知道我那時候在看
00:34:39:10 因為網上太常流傳
00:34:41:20 你寫給兒子的話
00:34:43:22 寫給女兒的話
00:34:45:01 是
00:34:45:22 首先我覺得
00:34:46:20 我們應該先來聊一件事情
00:34:47:23 首先, 你挺偏心的
00:34:51:00 OK, 偏心女兒是嗎
00:34:52:19 挺偏心女兒的, 對OK, 好
00:34:55:15 那有什麼辦法
00:34:56:07 女兒是爸爸的...
00:34:57:16 心頭肉, 上輩子的情人
00:34:59:00 上輩子的情人
00:35:00:05 是媽媽的小棉襖
00:35:01:08 是
00:35:02:06 那兒子不就很氣嗎
00:35:04:15 會不會
00:35:05:18 不會, 我的兒子
00:35:07:11 我帶著他一起種菜
00:35:10:03 我帶著他打球
00:35:11:28 我帶著他跑步
00:35:14:12 那是另外一種經驗
00:35:15:29 我女兒並沒有跟我去跑步
00:35:18:00 我女兒沒有跟我去種菜
00:35:19:27 我女兒沒有跟我去澆糞
00:35:22:09 因為她是公主
00:35:23:20 在美國去買牛糞啊
00:35:26:13 然後我們去澆
00:35:27:19 買牛糞, cow manure
00:35:29:18 去澆糞
00:35:30:24 但兒子不會有一段時間
00:35:32:13 會很氣你
00:35:33:07 就是那種公事公辦
00:35:35:14 什麼事情
00:35:36:01 都要跟我分析得很透澈
00:35:37:18 然後我今天做錯了什麼事
00:35:39:01 還會被寫成書
00:35:41:12 全世界人都知道
00:35:42:14 我今天又說錯了話
00:35:43:21 對
00:35:44:09 他應該也會有抱怨的時候吧
00:35:45:27 但是就好像他有一次同學約他
00:35:48:23 他說要出去
00:35:49:21 我一生氣
00:35:50:13 我就把拖鞋就甩到牆上去
00:35:53:10 你也有這天
00:35:54:04 對, 甩到牆上去
00:35:55:25 然後他跟著他同學按電鈴
00:35:58:02 然後他就出去了
00:35:59:10 笑咪咪的跟他講
00:36:01:01 我今天有點事情耶
00:36:03:16 又不能出去了
00:36:05:03 我回來, 我立刻讚美
00:36:06:25 棒, 兒子, 你真厲害
00:36:09:07 對, 你老子做不到你這一點
00:36:11:19 是啊, 他立刻能夠這樣子
00:36:13:01 我覺得有的時候
00:36:15:16 我兒子彈琴彈錯一個音
00:36:17:19 我敲他一下腦袋, 彈錯了
00:36:20:08 他彈完了說
00:36:20:28 爸爸, 你來看
00:36:21:29 彈錯了嗎, 有錯嗎
00:36:23:28 我馬上拿五塊錢給他
00:36:25:10 五塊錢美金
00:36:26:02 我說對不起, 打錯了...
00:36:28:07 他等會兒又找我三塊錢
00:36:29:21 他說你那個打得根本不痛
00:36:31:19 兩塊就夠了
00:36:33:09 於是你看嘛
00:36:34:11 前面才甩了拖鞋
00:36:35:27 後面我就讚賞他
00:36:38:01 這就是我母親講的
00:36:40:01 野雞打得滿天飛
00:36:42:01 家雞打得團團轉
00:36:44:06 你打家裡頭養的雞
00:36:45:18 牠蹦蹦跑
00:36:47:01 野雞你打就滿天飛了
00:36:49:08 自己的孩子管教起來
00:36:51:17 那個很快
00:36:52:25 就算傷好像是兩邊面紅耳赤
00:36:56:00 但是很快就回來了
00:36:58:14 但你有沒有發現
00:36:59:06 其實跟小孩子相處
00:37:00:13 是很棒的一種成長
00:37:03:02 當然, 不論孩子是成功
00:37:06:02 或者是不成功
00:37:06:26 最近我還在跟我的老婆
00:37:08:15 在討論這事情
00:37:10:00 有的人孩子在國外做醫生
00:37:14:07 結果給媽媽雇了司機
00:37:16:07 買了最好的車子
00:37:17:25 司機每天帶著媽媽四處跑
00:37:19:12 但是媽媽幾年都看不到孩子一次
00:37:22:21 跑到國外, 生了病了
00:37:25:08 把爸爸帶到醫院裡頭
00:37:26:21 往門診部一放
00:37:28:10 然後爸爸看完病在那兒等
00:37:30:13 等到天黑了才跟著兒子
00:37:32:13 兒子也羸兵一樣, 回家了
00:37:34:24 然後兒子就睡了
00:37:36:09 跟著媳婦睡了
00:37:38:02 待了沒多久
00:37:39:09 兩口子回台灣來了
00:37:41:18 請問這兒子是偉大的成就嗎
00:37:43:24 讓你是很驕傲的
00:37:45:03 另外一個
00:37:46:20 這個擺水果攤
00:37:48:18 他沒出息
00:37:49:08 他念書念不好
00:37:50:23 每天跟著爸爸媽媽
00:37:51:28 就是照顧家裡的生意
00:37:54:05 一起看一個師父
00:37:57:11 這個富貴的這太太
00:37:59:12 就有司機的太太就說我羨慕他
00:38:02:15 我羨慕他
00:38:03:25 他的兒子跟在身邊
00:38:06:23 所以我記得
00:38:07:10 我母親生前也常常講
00:38:09:26 她說李媽媽
00:38:12:20 她總是罵她的大兒子
00:38:15:00 說他沒出息
00:38:16:05 問題是一直到死
00:38:18:07 她跟著她的大兒子
00:38:20:01 她大兒子在她身邊
00:38:22:13 所以我覺得孩子不論是有成就
00:38:25:16 就世俗來講有沒有成就
00:38:28:15 好與不好, 讓你氣
00:38:31:05 但是氣了之後
00:38:33:00 那種溫暖
00:38:34:10 那種能夠...
00:38:35:16 事情能夠轉圜了之後
00:38:37:19 就好像孩子病了
00:38:38:22 好了之後的那種快樂
00:38:41:17 就讓我們的人生
00:38:42:17 變得璀璨有意思
00:38:44:28 所以有孩子就要得意, 要高興
00:38:49:06 不可以有怨
00:38:50:13
00:38:52:08 過去的那些不管是打頭也好
00:38:54:11 或者是寫在網上什麼也好
00:38:56:07 或是什麼
00:38:57:16 其實還是挺好
00:38:59:03 爸爸還是...現在挺體貼的啦
00:39:00:15 我今天才打電話
00:39:01:16 因為我的孫女
00:39:03:25 得了那個叫咽峽症
00:39:08:12 現在叫腸病毒嘛
00:39:10:17 我就說那把孫子
00:39:11:25 就帶到我的房間裡面來好了
00:39:15:05 那兒子說
00:39:15:29 說不定孫子也感染了
00:39:18:04 那你老傢伙
00:39:19:26 你的抵抗力不怎麼好
00:39:21:01 他叫你老傢伙啊
00:39:23:01 我自稱老傢伙
00:39:24:08 OK, 嚇我一跳他說老爸...
00:39:25:26 你身體不怎麼好
00:39:26:29 回頭把腸病毒傳染給你了
00:39:30:05 你看那種對話
00:39:32:05 所以你們在台灣是住在一起的很幽默的
00:39:34:08 門對門
00:39:35:11
00:39:36:20 也就是這樣了
00:39:37:29 老師其實曾經差一點點
00:39:40:01 要完成一部紀錄片
00:39:41:20
00:39:43:03 那個是公共電視的
00:39:45:05 對
00:39:46:01 跟這兒有關
00:39:46:17 是
00:39:47:07 公共電視啊
00:39:47:28 這個是我在看...
00:39:49:09 因為其實說實在的
00:39:50:09 我覺得老師是真的...
00:39:51:23 至少到今天
00:39:54:17 很充足, 很飽足
00:39:58:25 然後不管是畫畫, 出書
00:40:01:23 你都把自己活到一個很...
00:40:04:20 一個高度
00:40:05:18 活得挺極致的
00:40:07:10 很實現了自己
00:40:08:16 對的
00:40:09:08 我覺得一直到現在
00:40:10:06 不管家庭也是
00:40:12:09 對母親也是
00:40:13:23 小孩也是
00:40:14:11 對太太也是
00:40:15:14 但這個東西
00:40:15:29 是我一直覺得有點可惜
00:40:17:06 就是怎麼沒有做完呢
00:40:20:08 就是「中國文明的精神」那個時候是新聞局長
00:40:23:13 邵玉銘先生為我請假
00:40:26:17 跟我的大學請假
00:40:29:19
00:40:30:13 把我請回來做這個研究
00:40:33:21 那麼很多
00:40:34:20 有幾十位研究院的院士
00:40:38:15 或者是學者
00:40:39:14 一起來寫這個論文
00:40:41:15 然後我消化了之後寫成腳本
00:40:43:19 但是不管怎麼樣
00:40:44:26 腳本完成了
00:40:47:04 只是下面沒有拍
00:40:48:29
00:40:50:04 你說我會遺憾嗎
00:40:51:14 我當然是會遺憾
00:40:53:00 我甚至因此而離開了
00:40:54:22 我任教的美國大學
00:40:57:23 可是我自己學到很多東西
00:41:00:00 我後來寫散文
00:41:01:07 能夠寫得比較生動
00:41:03:13 跟我要看論文
00:41:04:28 把它改寫成生動的腳本
00:41:06:29 有非常大的關係
00:41:09:07 我對於什麼玩意兒
00:41:11:03 都扯得出來一些事情
00:41:13:05 跟他們有三十個主題
00:41:15:11 而我每一個都得消化
00:41:17:03 還要到大陸去一遍一遍的
00:41:19:18 去訪察那些古蹟
00:41:21:06 做鄉野考察
00:41:22:20 有很大的關係
00:41:23:29 所以我自己
00:41:25:06 學到了相當多的東西
00:41:27:13 這段研究你做了多長的時間
00:41:30:19 其實應該加起來只是三年時間
00:41:33:09 他們給我簽約是
00:41:35:09 什麼晚一天罰一萬
00:41:37:17 晚幾十天要罰幾十萬
00:41:39:18 你說如果遲交稿的話
00:41:41:01 遲交稿子的話
00:41:42:25 但是就是你花了三年的時間
00:41:44:16 對
00:41:45:03 你也去了大陸
00:41:46:26 對, 我連什麼北京猿人洞
00:41:48:27 我都是親自到周口店
00:41:50:23 然後爬到那洞裡頭
00:41:53:03 冷得不得了
00:41:54:02 冰天雪地的
00:41:55:05 到那個洞裡面去你是冬天去的
00:41:56:07 冬天去
00:41:57:13 每一個都要去
00:41:58:16 那裡面現在有什麼
00:41:59:29 就是鋪石塊...
00:42:01:24 在那個時候
00:42:02:20 周口店那個地方是非常落後的
00:42:05:13 我到那邊去
00:42:06:11 上餐館去吃東西
00:42:08:15 吃碗羊雜湯
00:42:09:27 然後靠著這樣子
00:42:11:09 然後手一拿起來
00:42:12:11 那羊雜湯就刷就出去了
00:42:14:11 為什麼
00:42:14:27 為什麼
00:42:15:09 因為他鋪一塊塑膠布
00:42:17:04 那塑膠布沒有擦
00:42:18:18 我就手一拿起來就黏著
00:42:22:11 那羊雜湯就出去了
00:42:24:13 然後我就要上廁所
00:42:25:17 到對面去
00:42:26:17 到對面去
00:42:27:26 對面去一個坑
00:42:29:18 一群人在那兒
00:42:31:02 我沒辦法
00:42:32:23 你不敢
00:42:33:23 我們不看你就是
00:42:36:00 那些人就在笑話我
00:42:38:18 你要尿, 你就尿吧
00:42:40:09
00:42:41:08 我帶著我兒子
00:42:42:23 兒子跟我一起做鄉野考察
00:42:44:24 那時候他幾歲
00:42:46:23 高中剛畢業那時候很年輕
00:42:47:18 對, 很年輕, 十幾歲他剛進哈佛
00:42:49:15 他提前被哈佛錄取
00:42:51:06 所以我就帶著他去做鄉野考察
00:42:53:05 在大陸花一個多月
00:42:54:29 那是我第一次的
00:42:56:14 大陸的鄉野考察
00:42:57:21 後來也帶他去過什麼廣東
00:43:01:28 什麼造船廠
00:43:02:29 去看秦漢造船廠遺址這些
00:43:05:15 又再次的到大陸去
00:43:07:20 所以他做我的研究助理
00:43:10:03 所以這是我唯一覺得
00:43:12:07 在你人生當中
00:43:13:14 當然你收穫了很多
00:43:14:20 我收穫太多了
00:43:15:17 你收穫了很多
00:43:16:12 但是對我們讀者
00:43:18:10 或者是觀眾來說
00:43:20:06 其實挺可惜的
00:43:22:17 我會有一個感覺
00:43:24:25 就是我隨時在這二十年來
00:43:29:14 從那個時候到現在有二十年
00:43:31:09 我隨時發現
00:43:32:10 大陸又發掘了某一個古蹟
00:43:34:21 我的腳本就要重新寫
00:43:37:15 所以今天如果再拍
00:43:39:27 邵玉銘先生不久之前又找我去
00:43:42:09 說是現在說不定可以拍了
00:43:46:06 我說恐怕我們今天有很多東西
00:43:48:16 要重新要檢討
00:43:50:18 那些東西有些東西要改寫
00:43:52:13 許多的變化對, 又有新的東西了
00:43:54:07 可能角度也不太一樣
00:43:55:26
00:44:27:24 今年夏天
00:44:29:05 劉墉應邀回到母校演講
00:44:31:26 也將他的著作捐給在校師生
00:44:35:03 希望藉由文字的力量
00:44:36:26 鼓勵更多的莘莘學子
00:44:39:02
00:44:40:01 劉墉對於教育以及公益
00:44:42:08 極為重視
00:44:43:22 迄今已經捐建了
00:44:45:03 四十所希望小學
00:44:47:21 他不但用深入淺出的文字
00:44:50:10 透過多部著作
00:44:51:21 影響華人世界的讀者
00:44:54:03 更不時的
00:44:55:01 將他的演講與版稅收入
00:44:57:10 捐給各地的公益團體
00:44:59:26 默默的以自己能力所及的方式
00:45:03:00 將愛與溫暖散播到世界各地
00:45:06:13
00:45:08:05 你不要躲起來
00:45:09:20 不是躲回被窩
00:45:11:17 所以每一個人
00:45:13:03 如果你的父母
00:45:14:24 沒有發現你的優點
00:45:16:12 你的老師沒有發現你的特長
00:45:19:11 你自己要發現
00:45:21:10 我們要超越自己
00:45:23:02
00:45:24:00 還有一個事情
00:45:24:15 我覺得也很想跟老師說的就是
00:45:27:04
00:45:28:07 其實在這些年來
00:45:29:10 我們常常在媒體上看到
00:45:32:00 老師不管是出書, 演講
00:45:35:00 然後兒子也功成名就
00:45:37:16 成績也非常好
00:45:39:10 除了這些之外
00:45:40:04 我覺得還有一個事情
00:45:40:25 很值得跟大家分享的就是
00:45:42:20 其實這些年來
00:45:43:16 你一直都在大陸做慈善的工作
00:45:47:01 兩岸
00:45:48:00 兩岸, 台灣也有
00:45:49:03 也包括譬如說tsunami
00:45:50:24 假使說印尼海嘯也做
00:45:52:19 所以就是你都做那美國的...
00:45:54:21 對...
00:45:55:18 可是因為比方說像具體
00:45:57:06 比方我自己知道比較具體
00:45:58:17 比方說你蓋了
00:45:59:06 非常多的希望小學
00:46:00:29 而且是用不同的名字
00:46:03:15 對...
00:46:04:02 不只是你的希望小學
00:46:06:01 你媽媽的希望小學
00:46:07:15 我沒有用過我的名字
00:46:08:20 你沒有用過你的名字
00:46:09:14 不能夠
00:46:10:02 為什麼
00:46:11:12
00:46:12:06 不能夠用自己的名字
00:46:13:29 我覺得我最好不要用自己名字
00:46:16:07 為什麼
00:46:17:10
00:46:19:07 不為什麼
00:46:19:22 所以像我黃君璧老師
00:46:21:09 我會用黃老師的名字
00:46:22:18 用林玉山老師的名字
00:46:24:24 用何浩天館長
00:46:26:04 歷史博物館的前館長
00:46:27:14 這些我的貴人, 老師的名字
00:46:29:29 但是...
00:46:31:04 用太太名字
00:46:31:26 用孩子名字
00:46:33:04 沒有用自己的
00:46:34:06 自己做就不要
00:46:36:08 不要用
00:46:38:00 這個是你在做這些事情
00:46:40:17 唯一堅持的底限嗎
00:46:42:03 堅持
00:46:43:19 我覺得第一點
00:46:45:01 我蓋了四十個希望小學
00:46:46:17 但是我從來沒有參加過
00:46:47:29 任何學校的落成典禮
00:46:50:24 因為我覺得敲鑼打鼓去
00:46:53:01 我會自己心不安
00:46:55:17 因為我曾經到一個學校參觀
00:46:57:00 他們會搖小旗子
00:46:58:08 歡迎...
00:46:59:10 熱烈歡迎這樣
00:46:59:27 熱烈歡迎
00:47:00:16 我也是
00:47:01:08 我也見過我都不曉得手腳往哪裡擺
00:47:03:22 你知道嗎是...
00:47:05:11 而且有這個時間
00:47:06:26 我再去寫作, 演講
00:47:09:10 我的演講費收得很高
00:47:10:25 就拿這個演講費去做這些公益
00:47:13:08 我去參加那個落成典禮的時間
00:47:16:12 我說不定又可以蓋半個學校
00:47:20:11 但你不覺得你去
00:47:21:08 可能會是一種鼓勵嗎
00:47:22:26 或者是...
00:47:24:03 我覺得做了什麼事
00:47:25:20 不要回頭看
00:47:27:08 我不太回頭的
00:47:28:10
00:47:30:15 所以現在這幾年都是在台灣
00:47:32:18 台灣還滿有一些學生
00:47:34:02 拿我的獎學金
00:47:35:03 我也從來沒見過他們
