01:00:29:09	01:00:31:02	非常歡迎你
01:25:07:05		導演, 記得吧
01:25:08:10		他告訴我你適合拍喜劇
01:25:10:12		我都不知道
01:25:11:09		他原來吃醋你知道
01:25:14:21		他以為說
01:25:15:20		那時候社會寫實片最棒的時候
01:25:17:11		我說你讓我拍
01:25:18:13		「錯誤的第一步」這種嘛
01:25:19:28		但是我是覺得
01:25:21:05		他在改劇本的方面
01:25:22:24		還有他個性方面
01:25:24:03		完全是喜劇天才
01:25:26:02		所以我就說
01:25:28:05		副導, 你要去往喜劇方面路走
01:25:31:07		他開始不太相信
01:25:32:15		對, 真的
01:25:33:15		我說導演他厲害在這一點
01:25:35:09		而且他告訴我
01:25:36:15	01:25:39:01	最賣錢的電影是喜劇片
01:25:39:25		我記得導演跟我講
01:25:40:22		我說是嗎
01:25:41:23		不是社會寫實片嗎
01:25:43:11		不是現在都很流行的電影
01:25:45:11		所以他叫我一定要拍喜劇
01:25:48:10		所以這個就決定了
01:25:49:14		我這一生都是...
01:25:51:00		你現在叫我喜劇教父也好
01:25:52:22		喜劇泰斗也好
01:25:54:05		都是我們導演看出來我有這個
01:25:56:15		我自己都完全不知道
01:25:57:23		我能拍這個
01:25:58:23		我很認真
01:26:00:20		雖然是我的副導演
01:26:02:13		但是我很認真在觀察他們
01:26:04:14		你看我敢把那個小說
01:26:07:01		他還進來沒多久
01:26:08:15		就交給他去改成劇本
01:26:11:21		真的出來就真的很棒
01:26:13:27		然後因為他在幫我寫東西
01:26:17:01		跟他做事情種種方面
01:26:20:00		我覺得他是一個喜劇天才
01:26:22:13		所以我鼓勵他拍喜劇這個好厲害
01:26:24:21		還有因為喜劇為什麼觀眾會最好
01:26:27:01		因為喜劇都是一個
01:26:28:12		小孩子帶了阿公阿嬤
01:26:30:24		全家可以去看的
01:26:32:27		那寫實片
01:26:33:29		大概就十八歲到三十幾歲左右的人看
01:26:38:14		所以觀眾群比較少
01:26:40:22		所以往往後來
01:26:42:25	01:26:45:26	他們的電影賣座比我高
01:26:46:21		以前是我最高的
01:26:47:28		可是也算在你頭上啊
01:26:50:09		因為如果不是你指引了這條路
01:26:52:27		你突然又變成...
01:26:53:18		我再唸一次
01:26:54:07		最富倫理道德價值意義
01:26:55:26		沒有, 我跟你講
01:26:57:17		今天他講, 我心裡才高興
01:27:00:15		我本來一直以為說他會誤會我
01:27:04:03		為什麼不讓他拍社會寫實片
01:27:07:14		你第一部戲是「小丑」
01:27:08:27		對
01:27:09:15		這個題材是你自己挑的呢
01:27:10:28		還是蔡導幫你挑的呢
01:27:12:29		這個好像是我挑的
01:27:14:21		蔡導演決定
01:27:16:01		我有好幾個題材
01:27:17:17		所以我們那時候要做導演
01:27:18:25		一定有好幾個題材
01:27:20:06		就導演說你看看有什麼你喜歡的
01:27:22:26		蔡導演就是看到這個「小丑」
01:27:26:00		然後他也指定
01:27:27:02		許不了是蔡導演指定的
01:27:30:09		你忘了
01:27:31:11		我忘了
01:27:32:12		你還忘了
01:27:34:05	01:27:35:17	你老了是不是
01:27:36:03		三十年了, 導演
01:27:37:16		那個太離譜了, 好不好
01:27:39:17		蔡導演, 你說...
01:27:40:14		我跟你講
01:27:41:12		許不了是他要用的
01:27:43:22		是嗎
01:27:44:17		我本來要用當時的喜劇演員
01:27:48:15		那時候喜劇演員有很多
01:27:50:05		我就不談名字了
01:27:51:18		他就堅持要用許不了
01:27:53:19		然後開價四十萬
01:27:56:04		那時候很多吧
01:27:56:29		我說朱延平
01:27:58:29		你用個新人要我花四十萬
01:28:02:03		然後他就說
01:28:03:08		導演, 這個好啦
01:28:05:20		因為我很相信他
01:28:07:11		然後他就說現在...
01:28:10:00		他那個時候叫小伯...
01:28:12:14		小伯樂
01:28:14:06		在高雄藍寶石在表演
01:28:18:07	01:28:20:05	他說導演, 你去看看
01:28:20:19		你都忘了
01:28:21:14		我忘了
01:28:22:04		太老了
01:28:23:07		還被人家嫌
01:28:24:29		然後我就去到那個藍寶石
01:28:28:17		當時老闆是楊登魁先生
01:28:31:02		楊登魁老闆
01:28:32:09		我就覺得這朱延平怎麼搞的
01:28:36:16		讓你導個一部戲
01:28:37:17		你新人又不用一個好的喜劇演員
01:28:39:27		要用這種新人
01:28:41:27		結果我坐在那邊
01:28:44:11		許不了從舞台走出來
01:28:47:13		大概五秒鐘
01:28:48:25		整個戲院的這些人
01:28:52:18		那個時候是歌廳啦
01:28:54:00		全部眼光被他吸住
01:28:55:10		連我都一樣
01:28:56:23		他一出來兩三步以後
01:28:58:11		就把眼光都吸過去了
01:29:01:08		我看了他表演以後
01:29:03:28		很感動
01:29:05:08		所以我也不是妄從的
01:29:07:22		不是說你說什麼就什麼
01:29:09:07		所以回來我就跟朱導演講說
01:29:11:10		好, 那就用小伯樂好了
01:29:13:14		那時候四十萬買一棟房子耶
01:29:15:21		對啊你想想看那是多少年前的
01:29:19:28		你拿我四十萬
01:29:21:21		我都忘了
01:29:22:14		不過其實你知道
01:29:23:27		在你們這樣聊天的過程當中
01:29:25:15		我發現你們兩個其實真的是一脈相承
01:29:28:02		對
01:29:28:14		你看就是都很會用人
01:29:31:01		很敢用人
01:29:32:29		就是在別人都還不願意給新人機會的時候
01:29:35:16		你們都敢讓新人去嘗試
01:29:37:28		眼光也都很準
01:29:39:07		而且你們對下面的人都很好
01:29:42:06		對工作人員很好
01:29:43:19		對演員也很好
01:29:45:02		就是你覺得他值得
01:29:47:10		你不會在金錢上虧待他
01:29:49:21		或是跟他斤斤計較
01:29:51:07		我覺得這種一脈相承
01:29:52:21		真是當年電影圈的好時光
01:29:54:23		好傳統, 真的是好傳統
01:29:56:26		一直傳到...
01:29:57:10		所以跟對師父真的很重要耶
01:29:59:14		當然...
01:30:00:07		你知道我在你們身上看到就是
01:30:02:16		好好喔
01:30:03:12		沒有...
01:30:04:11		我現場不管攝影師, 燈光師
01:30:08:05		都沒有聲音
01:30:09:18		包括副導都沒有
01:30:10:22		只有我有聲音
01:30:12:09		副導是調派這些戲的時候
01:30:15:05		是他在負責
01:30:16:15		喊開麥拉是他負責
01:30:17:21		平常都沒有人會講話
01:30:19:25		而且大家都是
01:30:21:11		全神貫注在工作上
01:30:24:04		所以我工作才會那麼準
01:30:25:27		從來沒有一部戲
01:30:26:28		拍超過三十二天的
01:30:29:20		天哪
01:30:31:03		然後兩個月以內
01:30:33:19		我就連看景, 連找景
01:30:36:11		一切
01:30:38:02		就在兩個月以內結束
01:30:40:11		那因為工作人員
01:30:42:00		像場務這些都賺不了多少錢嘛
01:30:45:13		所以我兩個半月到三個月
01:30:47:10		一定要重新開一部戲
01:30:48:24		所以我那些人
01:30:50:09		就從年輕跟到老
01:30:51:23		都沒有換過
01:30:53:23		所以我是覺得
01:30:54:21		現在可能沒辦法有當時那種倫理
01:30:59:01		那種感覺
01:31:00:10		還好我從導演這邊學到了一些傳統
01:31:02:17		好的傳統
01:31:03:15		好的傳統
01:31:04:04		比方說像導演挑戰禁忌的部分
01:31:07:14		其實你也傳承了
01:31:08:29		那時候拍「異域」
01:31:10:01		「異域」, 對
01:31:11:15		我就想到了
01:31:12:12		其實「錯誤的第一步」
01:31:13:24		我印象非常深刻的時候
01:31:16:13		拍完
01:31:17:10		導演, 你記得嗎
01:31:18:09		你去跟所有的長官
01:31:20:20		去說明這個戲
01:31:22:17		這個桌上大概坐了幾十顆星星
01:31:25:01		都是上將, 中將
01:31:27:04		蔡導演去
01:31:28:03		不是啊, 原來是禁演的
01:31:30:15		禁演的
01:31:31:22		警備總部也說要禁演
01:31:34:02		然後我就到警備總部去
01:31:35:19		你還去警備總部
01:31:36:16		那時候警備總部進去很...
01:31:38:02		好可怕
01:31:39:02		導演真的挑戰體制, 真的
01:31:40:24		大概五, 六個人吧
01:31:42:26		大概有十顆星星
01:31:44:05		因為有中將, 有少將嘛
01:31:46:01		那我說
01:31:47:10		你們既然頒給
01:31:48:04		「錯誤的第一步」
01:31:49:21		這個小說獎
01:31:51:03		我因為你們頒給它獎
01:31:52:15		我才敢拍
01:31:53:27		那我拍完了以後
01:31:55:06		你們又要把我禁演
01:31:56:25		那你們不就是...
01:31:57:29		自打嘴巴嘛
01:31:58:26		否定那個你們給的那個獎嗎
01:32:00:21		對...
01:32:01:11		我們就開始
01:32:02:09		幾個將軍跟我就一直辯論...
01:32:05:12		那一談到電影, 我厲害了
01:32:07:27		我把那些將軍都打倒了
01:32:09:25		臭屁喔
01:32:11:00		我就看著導演一個人力抗...
01:32:12:18		你也去了
01:32:13:03		我去, 我站在外面看
01:32:15:03		導演就一個人進到那個
01:32:16:24		一個大房間, 會議室裡面
01:32:18:26		然後坐的都是星星
01:32:20:04		那時候星星很大耶都少將級
01:32:22:02		那個時候導演, 跟現在不一樣
01:32:23:25		現在星星不值錢
01:32:24:24		那個時候是天耶江文雄坐在旁邊一直發抖
01:32:26:23		不敢講, 那片商
01:32:28:06		片商在旁邊一直發抖
01:32:29:11		因為警備總部, 開玩笑
01:32:31:18		再囉嗦把你關起來
01:32:32:22		對啊
01:32:33:24		所以你說蔡導演一個人力抗群雄
01:32:35:28		我就看到最後OK了
01:32:38:03		通過的時候多開心啊
01:32:39:20		真的是挑戰體制的一部電影
01:32:42:02		導演, 為什麼那時候你不怕
01:32:43:15		因為旁邊的人
01:32:44:09		應該都很替你捏一把冷汗
01:32:46:03		你為什麼會不怕呢
01:32:48:02		就可能就是愛我的工作
01:32:50:19		愛電影
01:32:51:24		還有我對自己這方面很堅持
01:32:56:09		我如果說因為我這本意是好的嘛
01:33:00:04		就是跟你們警備總部頒獎一樣
01:33:02:28		那你怎麼可以禁演我的戲呢
01:33:05:05		所以真的很大的爭執
01:33:07:25		後來成功才上演
01:33:09:29		上演後很轟動
01:33:11:17		好轟動
01:33:13:02		那「異域」那個時候是不是也是
01:33:14:27		其實就遺傳到導演的這個
01:33:17:03		叛逆體制嘛
01:33:18:04		「異域」也是一本禁書
01:33:20:07		也是禁演, 對不對
01:33:21:23		柏楊先生的書
01:33:22:25	01:33:25:07	柏楊的, 當初拍出來的時候
01:33:26:19		新聞局看了要剪十七刀嘛
01:33:29:03		就是所有罵國民黨的
01:33:30:10		通通要剪掉
01:33:31:23		那他也沒有支援我
01:33:33:11		也沒有軍事支援
01:33:34:17		我都自己找臨時演員去訓練
01:33:37:00		練兵這樣子拍的
01:33:38:08		爆破都自己去弄的
01:33:40:11		然後拍完他說剪十七刀
01:33:42:04		那我就堅決不肯
01:33:44:00		所以就我要舉行記者會
01:33:45:19		一直到抗爭到上片前
01:33:48:21		我說你一刀都不可以剪
01:33:50:06		剪的話我就不上
01:33:51:27		結果那時候輿論已經開放了
01:33:53:19		就是可以...
01:33:54:23		民風可用
01:33:55:25		柏楊先生其實用了很多文藝界的力量
01:33:59:03		在報上投書
01:34:00:19		說這個書都已經開禁了
01:34:02:15		電影為什麼要剪
01:34:04:02		所以最後是一刀未剪
01:34:05:24		我覺得對台灣的電檢又是一步
01:34:07:29		跨了一大步, 對...有很大的跨越
01:34:10:11		不過其實從你們這樣挑選的題材
01:34:12:00		我發現
01:34:13:10		你們對於台灣
01:34:15:14		某一些特別族群的人們
01:34:18:19		是很關懷的
01:34:20:13		本來就是啊
01:34:21:13		我用黑暗面的電影故事
01:34:25:03		來描寫人性
01:34:26:20		然後來告訴大家說
01:34:29:02		黑社會的人
01:34:30:26		下場很多是很慘的
01:34:33:13		所以希望大家不要走上這條不歸路
01:34:36:14	01:34:37:27	這是我的主題
01:35:37:19		商業電影的元素到底是什麼
01:35:39:13		我覺得這個是這麼多年來
01:35:41:12		大家都在討論
01:35:42:12		而你們兩個是最有資格
01:35:44:03		出來跟大家說這個事情的
01:35:46:24		蔡導演其實呢
01:35:49:02		給這個名字叫商業電影
01:35:51:08		就跟給那些描寫社會片
01:35:54:16	01:35:59:05	叫社會寫實片一樣的問題
01:36:00:07		電影是一個大眾藝術
01:36:02:24		不是畫, 說一兩個人看就可以
01:36:05:14		如果有很多觀眾
01:36:07:00		很喜歡去看你這部電影
01:36:09:09		就叫做商業電影
01:36:11:07		那麼成功的商業電影
01:36:13:02		就是成功的大眾藝術
01:36:15:17		這是最標準的
01:36:17:01		而不是這樣拿這個獎就很重要
01:36:19:09		我覺得電影是大眾藝術
01:36:21:22		要很大眾來跟你投票, 來買票
01:36:24:29		他在裡面
01:36:26:08		跟著劇中人笑, 跟著劇中人哭
01:36:29:16		那就是你一個導演的成功
01:36:32:01		你知道嗎
01:36:33:00		我每一部戲上演
01:36:34:17		我拍戲那麼快, 那麼忙
01:36:36:12		每一部戲上演的第一天
01:36:38:14		第一場
01:36:39:20		我一定去坐在戲院的第一排
01:36:44:08		然後我不是看銀幕
01:36:46:17		我是回頭來看觀眾
01:36:49:04		對
01:36:49:28		那看觀眾的反應到底怎麼樣
01:36:52:12		所以在我這裡我學到
01:36:54:20		如果你用六分的功力去拍喜劇
01:36:57:28		觀眾就笑得亂七八糟
01:36:59:12		用八分去拍, 那笑到地上來
01:37:01:18		所以我才鼓勵他拍喜劇
01:37:03:17		這真的是到戲院去觀察
01:37:05:29		然後我會覺得說
01:37:07:12		我這裡要觀眾情緒怎麼起伏
01:37:10:07		這裡是怎麼樣
01:37:11:21		這裡要讓他拿手帕起來
01:37:13:14		有沒有照我的構想
01:37:15:11		我都第一場
01:37:17:25		我都一定要去看
01:37:19:25		所以我會鼓勵朱導演去拍喜劇
01:37:22:14		不是說亂猜的
01:37:23:28		真的是我有...
01:37:24:29		那個陳俊良也是拍喜劇
01:37:27:20		就是這兩個
01:37:28:13		我是覺得喜劇最能...
01:37:30:28		最簡單就能抓住觀眾
01:37:33:21		那麼商業電影
01:37:34:29		就是因為成功的大眾藝術
01:37:40:08		可是喜劇很難拍耶
01:37:42:02		很難
01:37:42:23		我覺得要讓別人笑
01:37:44:12		比讓別人哭還要難耶
01:37:46:07		難多了
01:37:46:26		難很多倍耶
01:37:48:15		對
01:37:49:01		你真的是挑最難的
01:37:51:02		蔡導演挑了最難的功課交給你了
01:37:53:26		對
01:37:54:11		那你是怎麼
01:37:55:20		在這個過程當中抓到
01:37:58:08		你看, 他已經說
01:37:59:11		其實商業片就是最受歡迎的大眾電影
01:38:02:01		大眾藝術
01:38:02:20		大眾藝術了
01:38:03:11		那你是怎麼去拿捏這個分寸呢
01:38:07:05		其實蔡導演剛剛講的就是
01:38:09:12		到戲院去
01:38:10:26		我也跟他學到這一點
01:38:12:09		我早期的電影
01:38:13:27		我這十年比較沒有去戲院
01:38:16:01		年紀大了
01:38:17:07		年輕的時候
01:38:18:03		幹嘛這樣講
01:38:19:00		不是, 而且這個臉
01:38:20:13		也有人認出來了
01:38:21:27		一去大家跟你囉哩囉嗦的
01:38:23:22		你就說好喜歡就還好
01:38:26:04		有的人講說怎麼那麼難看
01:38:27:24		你不是很丟臉嗎
01:38:29:02		所以我這幾年
01:38:30:15		這十幾年比較沒有
01:38:32:00		那以前真的我就跟蔡導演一樣
01:38:34:25		坐在戲院偷偷的去看
01:38:36:23		看觀眾的笑, 看觀眾
01:38:38:20		你設的這個點他有沒有笑
01:38:40:17		這個你看久了以後
01:38:41:19		你就自然養成一種習慣
01:38:45:01		而且是個享受
01:38:46:08		享受, 對
01:38:47:08		我們辛苦覺得有代價
01:38:48:26		對, 是一種享受
01:38:50:19		所以我覺得這個就是去
01:38:53:26		很多人講最難的兩件事
01:38:55:22		就是把自己的想法
01:38:57:10		裝到別人的腦子裡
01:38:59:01		還有一件就把別人的錢
01:39:00:15		放到自己口袋裡
01:39:02:09		這個我們都要做得到對不對
01:39:04:13		你要把你的想法讓他接受
01:39:06:12		然後把他的錢賺到口袋
01:39:08:09		這是不容易的
01:39:09:08		所以商業電影
01:39:10:04		其實就是導演講的
01:39:11:18		大家花錢去支持你的大眾藝術
01:39:14:29		但是我覺得電影很多種
01:39:16:21		就台灣一路都在爭
01:39:18:14		藝術電影, 商業電影
01:39:19:29		誰好, 誰不好
01:39:20:29		通通都要
01:39:22:11		有容乃大, 有包容性
01:39:25:00		一個好的電影市場
01:39:26:15		它必須要有很少數人看
01:39:29:17		然後頂尖的那種很難懂的
01:39:31:27		或者是有得獎的
01:39:33:20		也要有喜劇的
01:39:35:20		也要有悲劇的
01:39:36:19		也要有情色的
01:39:39:04		也要有偵探的
01:39:40:08		也要有槍戰的
01:39:41:26		我覺得這才是一個
01:39:42:19		百花齊放的商業市場, 對
01:39:45:29		可是那像接下來我好奇的就是
01:39:48:16	01:39:50:29	如果蔡導演這麼愛電影
01:39:51:16		又這麼的想跟大家溝通
01:39:54:21		難道這些年你都沒有遇到一個
01:39:57:00		只要一個就好了
01:39:58:10		讓你心動的題材
01:40:00:03		說好想再在現場拍一個作品
01:40:06:02		然後再一次坐在戲院
01:40:08:18		偷偷的瞄後面的觀眾
01:40:10:20		他們有沒有因為我想給他們看的東西
01:40:13:04		情緒起伏, 喜怒哀樂嗎
01:40:15:21		一個題材都沒有嗎
01:40:18:05		現在真的是比較難了
01:40:20:28		因為現在國語片的大好時機
01:40:24:14		可以跨國際性的
01:40:26:19		然後現在拿個五千, 八千的
01:40:30:29		我不敢拍
01:40:32:15		因為我兒子都拍三, 四億
01:40:34:18		那我拍五千, 八千
01:40:36:20		五千, 八千題材一拍
01:40:38:22		萬一出來叫好不叫座
01:40:42:00		我也很丟臉
01:40:43:22		然後萬一出來叫座而不叫好
01:40:47:14		也很丟臉
01:40:48:17		所以現在如果有人拿個十億
01:40:51:18		我馬上可以拍
01:40:52:29		我有很多題材
01:40:54:25		我有很多題材對啊
01:40:56:02		蔡岳勳都在拍四億的電影了
01:40:58:15		導演怎麼能拍你不能說我以前
01:41:00:21		幾乎百分之八十的戲都賣錢
01:41:05:07		那不能現在拍了
01:41:06:17		人家拍幾億, 你要拍幾千萬
01:41:08:28		那真的算了
01:41:11:28		他說人家拍幾億, 就他兒子啦
01:41:15:07		不能比兒子便宜
01:41:15:28		不能比兒子差嘛
01:41:16:29		怎麼可以
01:41:18:07		爸爸的面子放哪裡去不能比朱導演差嘛
01:41:21:15		朱導演也是幾億的
01:41:22:29		朱導演也是幾億這樣拍的
01:41:24:17		可是如果好, 如果有一天
01:41:25:24		真的你有十億了
01:41:28:06	01:41:29:15	你想拍什麼呢
01:41:30:19		你有想過嗎
01:41:31:11		如果你有十億我有想過
01:41:33:11		甚至於我是有幾個題材
01:41:36:20		一個是我們辛奇導演
01:41:39:17		最遺憾沒有拍成的
01:41:42:09		那是鄭芝龍
01:41:45:01		因為大家以為...
01:41:46:07		鄭成功的爸爸
01:41:47:06		以為他是海盜
01:41:48:19		對
01:41:49:08		其實他不是
01:41:50:23		那個時候呢
01:41:52:27		那個年代就是說你有能力
01:41:55:05		你就佔這塊海
01:41:57:04		你要經過海
01:41:58:14		你就必須給他錢
01:42:00:01		就是他的地盤
01:42:02:26		所以他在日本跟中國之間
01:42:06:11		有一塊他的領域
01:42:09:07		所以他在日本娶了老婆
01:42:11:03		生了鄭成功
01:42:13:04		然後鄭成功
01:42:14:24		後來是因為反清復明
01:42:17:11		而名聲大噪
01:42:19:22		其實鄭芝龍是鄭成功的源頭
01:42:24:10		就這樣
01:42:25:02		就像現在朱延平很紅
01:42:26:28		其實我源頭在這裡
01:42:30:03		你真的很會做節目耶
01:42:31:15		還會給我來一個這個回馬槍
01:42:33:04		有沒有
01:42:33:21		什麼都可以兜在自己身上
01:42:36:15		這個題材十億耶
01:42:38:13		真的要十億耶
01:42:39:12		要十億, 因為真槍真刀
01:42:41:18		那船要做幾隻
01:42:42:22		大場面
01:42:43:15		大場面, 對
01:42:44:18		而且平反他
01:42:47:00		因為人家都以為鄭芝龍是海盜
01:42:50:04		這個這不對的
01:42:51:22		現在朱導演在兩岸三地
01:42:53:22		那個氣勢很旺
01:42:56:00	01:42:57:01	錢也很多
01:42:58:29		朱導演也是
01:43:00:02		其實朱導演我也真的很佩服你
01:43:02:03		這麼多年
01:43:03:01		我都覺得其實你可以真的享清福了
01:43:05:21		或就是當當監製
01:43:07:16		不用每天去現場盯場
01:43:09:28		你就是指揮一下
01:43:11:07		看看劇本, 定定演員
01:43:12:27		等著收錢就可以了
01:43:14:14		因為其實你這些年來
01:43:16:05		也栽培了很多人
01:43:18:16		但你都還是會堅持
01:43:20:03		每一天去現場看
01:43:21:19		然後陪著演員笑
01:43:22:23		說這個行, 那個不行
01:43:25:08		「大尾鱸鰻」的時候
01:43:26:02		我看著你在現場
01:43:27:02		我就覺得說
01:43:28:05		為什麼就是好好的日子不過
01:43:31:26		然後就還在...
01:43:33:17		其實拍戲很辛苦耶
01:43:35:16		其實還好
01:43:36:13		我覺得在我們
01:43:38:00		我現在來說拍戲真的太輕鬆了
01:43:40:08		就是一年一部嘛
01:43:42:11		一年一部
01:43:43:03		跟我以前一年六部, 七部
01:43:44:27		那真的是在享福, 在拍戲
01:43:47:09		有的時候家裡待不住嘛
01:43:51:00		家裡待久了會生病, 對
01:43:53:07		我情願到現場去
01:43:54:12		就是還延持了就是說
01:43:56:29		導演的那個想法
01:43:58:03		就是說現場的就是家人
01:44:00:10		我也是班底用很久
01:44:02:04		那到現場大家都一家人一樣
01:44:04:21		說說笑笑, 時間過得很快
01:44:06:20		否則你說這個年紀就退休
01:44:08:13		每天送兒子上課
01:44:09:16		等他, 扒他放學
01:44:11:12		也很痛苦啊
01:44:12:27		所以要給自己一點工作
01:44:14:20		其實就是愛
01:44:15:11		對...
01:44:16:01		愛就離不開
01:44:17:02		對
01:44:17:16		你看雖然說口頭上是說
01:44:20:07		不能比兒子便宜
01:44:21:26		我要拍就拍十億
01:44:23:05		但心裡都還在想
01:44:24:28		如果我要拍, 我要拍什麼
01:44:26:12		如果我要拍, 我會怎麼拍
01:44:28:02		那個鏡頭要怎麼
01:44:29:09		有新的演員出來了
01:44:30:28		我會不會用他
01:44:32:06		其實心裡還是放不下的
01:44:33:25		你知道, 那就是電影的魅力
01:44:36:12		最後兩位資深導演
01:44:38:18		有沒有什麼話
01:44:39:15		想要跟現在的年輕導演說的
01:44:41:24		給他們一些建議或者是提醒
01:44:45:20		朱導演先說好了
01:44:46:11		其實朱導演每天都在說了啦
01:44:47:13		對... 我覺得
01:44:48:21		我覺得現在導演最大的問題
01:44:50:14		故事說不清楚
01:44:51:22		因為經驗不夠
01:44:53:06		所以我鼓勵很多新導演盡量拍
01:44:56:13		熟能生巧
01:44:57:20		我一直講熟能生巧這四個字
01:44:59:17		其實電影沒什麼了不起
01:45:01:19		你開車一樣
01:45:02:18		你剛開始開
01:45:03:13		再怎麼天才你都是要這樣子開
01:45:05:18		開熟了以後就隨心所欲
01:45:08:10		做導演也是類似這樣
01:45:10:10		台灣的導演機會太少
01:45:12:14		很多人拿到輔導金
01:45:13:19		第一部就做了導演
01:45:15:05		故事說不清楚
01:45:17:21		那個太淺, 不夠深入
01:45:20:28		你看看其實兩岸三地現在電影
01:45:23:10		或者亞洲的電影
01:45:24:05		進步得很厲害
01:45:25:17		台灣的導演要加油
01:45:27:13		我覺得台灣有些新導演
01:45:28:28		好的新導演
01:45:29:27		像蔡岳勳, 像鈕承澤
01:45:32:03		他們其實在電視
01:45:33:00		已經經過很多的磨練
01:45:35:08		拍了很多偶像劇什麼的
01:45:37:07		然後他們才跳到電影
01:45:38:27		他們已經有一個熟練的技巧
01:45:41:29		去發揮他的想法
01:45:43:22		那我建議所有的導演
01:45:45:12		不要說三年才拍一部
01:45:47:00		你有空就去拍偶像劇
01:45:48:25		拍連續劇
01:45:49:28		拍一些MV, 拍一些
01:45:51:13		練熟, 上了手以後
01:45:53:25		機會來了就是你的
01:45:56:04		不過剛朱導演提的這兩個例子
01:45:57:24		你說豆子導演跟蔡岳勳導演
01:46:00:29		還有馮凱
01:46:02:22		對不對馮凱也是從電視千磨百鍊
01:46:05:16		到了電影馬上就發光發熱
01:46:07:12		不, 你這樣講
01:46:08:04		我感覺前兩個導演
01:46:09:10		其實跟蔡導演
01:46:10:13		有一個很像的共同點就是
01:46:12:15		他們都是演員出身
01:46:14:05		對
01:46:15:01		演員出身的導演
01:46:16:10		感覺導戲...
01:46:18:00		就是有進去演員的那個感覺
01:46:20:28		而他們追隨著他們的演員
01:46:22:10		也都特別知道
01:46:24:20		怎麼在鏡頭上表現自己
01:46:26:29		你也是當年這樣走過來的
01:46:28:16		所以你也會建議導演們都去演戲
01:46:30:29		你也去演演戲這樣
01:46:31:18		我都自己演給那個演員看
01:46:34:07		我告訴你, 蔡導演
01:46:35:07		我做副導演
01:46:36:00		我每次看導演在試戲
01:46:37:18		「錯誤的第一步」
01:46:38:23		試完我說導演, 你來演...
01:46:41:15		你比那個男主角演得好了一萬倍
01:46:44:09		導演演一遍給你看
01:46:46:16		然後你就跟著做
01:46:47:26		我覺得那個是更深入
01:46:49:21		所以演員做導演
01:46:51:18		比我們不是演員的好很多
01:46:54:04		我們只會說戲
01:46:55:16		我們不會教戲
01:46:56:29		可是蔡導演他們這種
01:46:58:11		或者豆子, 或者蔡岳動
01:47:00:02		他們都是很厲害的
01:47:02:03		可以教戲的導演
01:47:04:10		所以蔡導演
01:47:05:28		你有什麼話想要給年輕的導演建議
01:47:08:09		先去當兩部戲演員嗎
01:47:09:28		還是...
01:47:10:11		沒有, 我是覺得
01:47:12:03		像朱導演他們這些
01:47:13:23		就因為當副導演
01:47:15:23		經驗很多
01:47:17:12		所以我知道他成熟了
01:47:18:20		應該當導演
01:47:20:06		那現在的導演
01:47:21:05		是大概有一個idea
01:47:22:12		有一個構想很棒
01:47:23:28		但是這過程都連不起來
01:47:26:10		他只有這一點好
01:47:27:16		然後這個過程
01:47:28:20		因為他沒有經驗
01:47:30:00		這是很大很大的問題
01:47:32:23		然後現在是國語片的大好時機
01:47:36:24		大家真的要很用心
01:47:39:01	01:47:41:03	現在有十幾億
01:47:41:26		國語片的觀眾人口
01:47:44:19		你只要跨出國際性的電影出來
01:47:48:06		這個成就是會很大很大
01:47:50:29		其實現在
01:47:53:01		反而是電影從業者的一個大希望
01:47:56:16		會大成功
01:47:58:13		希望年輕的導演努力努力
01:48:01:05		像我們兩個那麼努力
01:48:02:15	01:48:03:24	就一定成功
01:48:05:08		今天的最後我覺得我希望這個獎座
01:48:07:11		能夠請朱導演
01:48:08:25		再次的幫我們送給
01:48:12:13		再獻給我們的蔡導演
01:48:14:10		好漂亮的
01:48:15:20		而且很重的一個獎座
01:48:16:24		這好重喔, 這種才有價值
01:48:18:10		對, 我覺得這個獎座
01:48:19:24		其實就說明了所有的事情
01:48:22:15		這顆星星, 閃耀的星星
01:48:24:17		就是代表你
01:48:25:24		你所做的演員的工作也好
01:48:27:14		導演的工作也好
01:48:28:18		你栽培的所有人
01:48:30:03		開枝散葉也好
01:48:31:20		都在這顆星星裡面了
01:48:33:12		真的很感謝紐約影展
01:48:35:21		它那麼詳細的蒐集我的資料
01:48:38:26		才頒給我今年這個終身成就獎
01:48:42:24	01:48:45:16	而我還活著
01:48:46:17		一般終身成就獎
01:48:47:28		都頒給那已經過去的人
01:48:49:16		是...
01:48:50:15		我還活著拿到這個獎
01:48:51:29		真的很幸運
01:48:53:01		而且今天又跟我們朱導演在一起
01:48:56:11		還有跟寶儀這樣聊聊天
01:48:57:29		真的很開心...
01:49:00:10		真的很開心, 謝謝兩位
01:49:01:10		我覺得跟你們聊完之後
01:49:02:25		覺得台灣電影前面大放光明
01:49:05:15		你們太陽都在那裡了
01:49:06:25		希望繼續照亮著我們所有人
01:49:09:13		謝謝兩位導演
01:49:10:06	01:49:12:24	謝謝...
