01:00:30:16	01:00:32:27	雕塑藝術家楊奉琛
01:29:51:20		當然我們更希望是兩岸的和諧
01:29:55:06		我覺得大陸是龍
01:29:56:28		台灣就會是鳳凰
01:29:59:21		我們用築巢引鳳的概念
01:30:01:27		我們用代表台灣園的地標
01:30:05:09		用火鳳凰
01:30:07:22	01:30:09:15	那這隻鳳凰
01:30:10:05		我用我父親的諄諄教誨
01:30:12:22		跟一個大中華文化的一種基礎
01:30:18:01		這隻鳳凰其實它有所謂的正面跟背面
01:30:22:17		我們從碧玉的元素
01:30:24:11		去發展這次的火鳳凰
01:30:28:03		那麼從正面看
01:30:29:26		它是一隻非常完整的一隻鳳凰
01:30:33:02		可是它虛空的部分
01:30:34:16		就像是一個太極螺旋
01:30:37:16		可是它螺旋到背後的時候
01:30:40:03		又生出一隻小鳳凰
01:30:43:23		那我感覺這隻大鳳凰是我父親
01:30:47:00		那小鳳凰是我
01:30:49:07		它就像大榕樹
01:30:51:25		非常茂密的時候它也會落根
01:30:55:12		然後再長出另外一枝樹
01:30:58:06		另外一棵樹起來
01:30:59:24		所以我覺得一代傳一代
01:31:02:25		所以我現在一見到年輕人
01:31:05:04		我都覺得這是我們台灣的未來
01:31:08:03		所以我現在對所有年輕人
01:31:10:18		特別感興趣
01:31:12:03		可能也是意味著自己年紀大了
01:31:16:07		那麼我父親在那個時代
01:31:19:25		教給我們太多豐厚的養分
01:31:24:01		我們現在充滿了這些養分
01:31:26:08		我們期待我們把最精華的
01:31:29:04		能夠告訴下一代
01:31:31:11		我們看著下一代
01:31:34:02		被整合, 然後被照顧
01:31:38:23		然後
01:31:39:19	01:31:42:20	這不就是台灣未來的希望嗎
01:31:44:22	01:31:47:18	知名雕塑藝術家楊英風
01:31:49:02		從年輕時就對藝術十分熱愛
01:31:52:15		曾經在「豐年雜誌」
01:31:54:02	01:31:56:17	擔任美術編輯
01:31:58:19		留下了大量的鄉土版畫和漫畫
01:32:02:08	01:32:06:21	表現傳統農業社會的淳樸務實精神
01:32:09:02		在職期間他的雕塑作品「驟雨」
01:32:13:10		也得到了第一個美術獎
01:32:15:12	01:32:16:23	台陽賞
01:32:18:16		一九六一年
01:32:19:27		楊英風舉辦了第一次個展之後
01:32:22:25	01:32:26:05	開始專心的經營雕塑創作
01:32:27:11	01:32:28:15	不鏽鋼
01:32:29:07	01:32:30:10	青銅
01:32:31:11		石頭
01:32:32:26	01:32:35:11	木材等各式材質
01:32:36:12		都被他運用自如
01:32:38:11	01:32:42:02	創作了各式景觀雕塑與浮雕
01:32:43:16	01:32:46:01	他的「鳳凰來儀」
01:32:47:02	01:32:50:14	曾經在日本萬國博覽會展出
01:32:51:20		「東西門」
01:32:52:13		也被放置在紐約市的華爾街
01:32:56:15		畢生創作超過六十載
01:32:59:05	01:33:02:15	舉辦過海內外數十次的展覽
01:33:03:28		長子楊奉琛
01:33:05:17		從小就在父親的耳濡目染下
01:33:08:15		感受到藝術的魅力
01:33:10:25		也承受著其他藝術家
01:33:12:22		所沒有的壓力與負擔
01:33:15:18		如今他更加發揚父親的理想
01:33:19:11	01:33:20:18	將光線
01:33:21:27	01:33:23:03	雕塑
01:33:23:22		與環境做了完美的結合
01:33:26:18		讓建築設計與景觀設計
01:33:29:09	01:33:33:09	為城市帶來更不一樣的新風貌
01:33:39:13		我們在剛剛的訪問當中
01:33:40:20		其實老師不斷提到
01:33:42:06		您的父親楊英風先生
01:33:43:27		他也是非常重要的藝術家
01:33:46:20		我們就會非常好奇說
01:33:47:21		像你說你承接了這麼多
01:33:50:15		不管是他的思想理念
01:33:52:29		他一定用一種很特殊的方法
01:33:54:19		在教育你
01:33:55:20		是跟一般人有點不太一樣的
01:33:57:06		因為據我所知
01:33:58:10		您當年去就讀
01:34:00:14		國立台灣藝術大學雕塑系的時候
01:34:03:05		你的教授們其實都是您父親的徒弟
01:34:06:18		然後他們應該都是看著你長大的
01:34:08:26		沒錯
01:34:09:09		然後可能都在你家混啊
01:34:11:14		你就看著你父親怎麼教導他們
01:34:13:27		突然之間他們變成你的老師
01:34:15:16		這個受教育的過程
01:34:17:07		感覺是非常的另類
01:34:18:11		而且有點困難的
01:34:19:27		所以好像你父親就安排你
01:34:21:23		像你剛有提到嘛
01:34:22:26		就去讀私塾
01:34:24:24		哪裡有私塾
01:34:25:25	01:34:27:16	台灣哪裡有私塾啊
01:34:29:09		我說起來
01:34:29:28		那個就是我有最大的一個福氣
01:34:33:22		生出來
01:34:34:19		就是在一個最完整的藝術家庭
01:34:38:26		從小看的
01:34:40:00		看不懂的
01:34:40:25		就已經開始在雕塑裡面成長
01:34:45:01		到懵懂
01:34:46:14		到了這個求學的年代
01:34:48:26		尤其最重要的大學時代
01:34:51:12		要念藝術大學
01:34:53:26		當時叫國立藝專
01:34:55:21		那確實老師們
01:34:57:21		就是我們在小時候
01:35:00:00		就已經在家裡
01:35:01:17		就領著我們玩耍的這些大哥們
01:35:05:00		大哥們, 對
01:35:06:17		所以我父親他會覺得
01:35:09:14		這個要得到更大的養分
01:35:13:25		他就透過我二姊
01:35:15:10		我二姊當時是師大國文系
01:35:18:29		師大有一位非常重要的老教授
01:35:22:14		叫愛新覺羅．毓鋆
01:35:26:19		其實他就是清朝
01:35:29:07		就是皇族教育
01:35:31:00		就等於是清朝最後一個皇帝
01:35:34:16		叫溥儀的同輩的師傅
01:35:40:16		去年一百零七歲過世
01:35:43:23		所以台灣很多的文化人的
01:35:47:06		共同的老師
01:35:48:24		那麼我們有幸
01:35:50:07		跟他在新店的私塾
01:35:53:10		念了三年的書
01:35:54:28		所以他那個是
01:35:56:02		有開班授徒就對了
01:35:56:28		對, 晚上七點到十點
01:36:00:26		讀些什麼呢
01:36:02:00		我...
01:36:03:12		他也因為
01:36:04:17		透過我父親的特別交代
01:36:07:15		我是從「天工開物」
01:36:11:04		然後這個平常上課的時候
01:36:13:23		四書五經, 道德經
01:36:15:22		所有中華文化的精髓我都要讀
01:36:19:10		那個時候您幾歲了
01:36:20:28		就是讀藝專的時候
01:36:23:06		讀藝專的時候大概就是...
01:36:24:04		就是十九, 二十吧
01:36:26:29		課不容易聽得懂
01:36:28:08		可是他有一半的課程
01:36:30:04		是以現在在全世界發生的事情
01:36:33:03		在台灣發生的事情
01:36:34:22		他會把古人智慧的一種註解
01:36:38:08		跟現代的生活接在一起解釋
01:36:42:15		這部分我聽得懂
01:36:44:13		然後慢慢體悟
01:36:46:16		那這些都是非常重要的創作泉源
01:36:52:01		所以我想那幾年在私塾的日子
01:36:55:16		包括從小到大
01:36:56:24		你在家裡受父親的藝術教育
01:36:58:25		耳濡目染
01:36:59:16		其實對你的藝術生涯
01:37:01:18		奠基了一個很特別的起點
01:37:04:04		這也是你跟其他藝術家
01:37:05:14		比較不一樣的地方
01:37:06:15		等於創作的泉源是
01:37:09:01		浩瀚得不得了
01:37:11:16		這個東方人
01:37:14:08		就是說這個地球
01:37:16:29		就好像也是一個太極
01:37:19:16		它就是一個西方的世界
01:37:21:13		跟一個東方世界
01:37:23:12		那我覺得台灣現在
01:37:25:05		是因為東方文化的這個脈絡
01:37:28:03		尤其最智慧的
01:37:30:19		印度的這種佛教思想
01:37:34:18		你看, 樣樣都在台灣
01:37:36:20		整個融會貫通
01:37:39:00		完全的生活化
01:37:41:16		就是說等於華族的思想的
01:37:43:25		最完整的是在台灣
01:37:47:27	01:37:51:17	那麼我覺得文化人群龍無首
01:37:52:16		這種浩瀚的這種智慧
01:37:55:14		跟這種活力
01:37:58:22		跟這種泉源
01:38:00:25		我覺得台灣真的是全世界最重要的寶
01:38:04:05		就是真的就是一個寶島
01:38:06:03		所以我覺得
01:38:07:04		我們應該要完全用正面的概念
01:38:10:27		把這種浩瀚的這種華族文化
01:38:14:23		好好的重新整理, 結盟
01:38:19:17		每一個人都擁有
01:38:20:27		自己非常專業的部分
01:38:25:03		那自己的專業的一個鑽研
01:38:29:25		我覺得是叫做微觀
01:38:32:21		另外要有一半的宏觀
01:38:35:27	01:38:38:21	也就是所謂的團隊的精神
01:38:39:19		我們其實有很多的
01:38:42:11		團隊的生活形式
01:38:44:11		尤其在台灣最普及的
01:38:46:12		就是一種宗教團隊的生活
01:38:49:19		總是師父會告訴我們
01:38:52:04		要向光明面的學
01:38:56:21	01:39:01:10	這個做好事, 想這個
01:39:02:15		講好話, 做好事
01:39:05:22		那所有人的專業
01:39:07:29		他是有限的
01:39:09:27		自己鑽研的專業不要太單一
01:39:14:01		就是說不要去鑽牛角尖
01:39:16:03		同時也要非常留意別人的專業
01:39:19:10		就好像一個樂團
01:39:21:13		每一個人都可以在自己的樂器上
01:39:24:20		發揮到極致
01:39:26:08		可是在演奏的時候
01:39:28:05		是不是都同時要聽到所有的聲音
01:39:31:27		再發出自己的聲音
01:39:33:21		這不就是一個最大的和諧跟力量嗎
01:39:37:09		所以您覺得文創方面
01:39:38:15		其實也要用這樣子的觀點跟想法去進行
01:39:41:21		那我比較反對
01:39:44:04		不是西方的形式不好
01:39:47:00		東方有東方的形式
01:39:49:13		不是把西方的這種原創
01:39:52:09		是來自於英國
01:39:53:19		就把它的體制整個抄回來
01:39:56:06		我覺得這個不能夠適應在東方的世界
01:40:00:01		東方的世界有東方人的一種想法
01:40:03:18		西方人有西方的想法
01:40:06:15		這個是上帝造人的時候
01:40:08:09		已經分好了
01:40:10:16		所以身為東方人要更清楚
01:40:12:26		自己東方人的一種位置
01:40:17:08		基本上我覺得東方人
01:40:19:07		比較從無形上去出發
01:40:23:01		就好像我們常被告誡的是
01:40:25:26		天非常的浩瀚
01:40:27:24		地球就唯一
01:40:29:06		人是非常渺小的
01:40:31:02		所以我覺得東方人
01:40:33:13		不應該太個人主義
01:40:36:04		應該要有更大宏觀的
01:40:38:21		一種集結的力量
01:40:40:25		那西洋人
01:40:42:10		他們有他們的這種以人本為主的
01:40:46:16		比方說他們在藝術上
01:40:48:14		他們可以用解剖學
01:40:50:04		可以用這種很理性的這種解剖
01:40:54:29		這個去分析
01:40:57:09		所以它是已經把微觀的工作
01:40:59:16		做得很好了
01:41:00:27		可是宏觀一定要靠東方的
01:41:02:27		更宏大的這種思想來融合
01:41:07:29		那老師剛剛有提到說
01:41:09:08		我們不要只是把自己的事情做好
01:41:11:04		我們也要知道別人在做些什麼
01:41:12:27		然後希望大家能夠更團結
01:41:14:22		或者是用一種更大的視野
01:41:18:11		去看待我們自己現在所處的位置
01:41:21:04		那放在...
01:41:22:09		因為老師最近也是非常關心所謂的文創
01:41:24:22		對
01:41:25:05		我們每個人都在講文創
01:41:26:23		任何事情, 電影也是講文創
01:41:28:14		我們連賣一包茶葉
01:41:30:10		我們也要講文創
01:41:31:11		對
01:41:32:08		但是現在所有的思緒
01:41:33:20		都來自於西方的成功案例
01:41:36:16		可是到了東方未必會成功
01:41:38:17		西洋人他之所以在上兩個世紀
01:41:42:02		等於叱吒全球
01:41:44:04		是因為組織的力量
01:41:47:02		系統的力量
01:41:48:22		他們的系統是非常非常的密
01:41:51:07		所以我一直在強調
01:41:52:02		西方人的微觀是很厲害的
01:41:55:22		他可以把人為本的
01:41:58:09		所有的組織架構
01:42:00:11		做得很到位
01:42:02:10		但是東方人怎麼樣做組織
01:42:04:00		我覺得是一種無形的組織
01:42:06:08		我常常講
01:42:07:13		文創在東方是一種迷航
01:42:09:24		迷航
01:42:11:03		就好像我們到大海裡面去
01:42:13:20		我們根本不曉得
01:42:14:25		我們的位置在哪裡
01:42:16:17		那像我們建立這麼多的
01:42:18:11		所謂的文創園區
01:42:19:27		東一個, 西一個, 新一個
01:42:21:29		然後又來一個
01:42:23:07		你覺得這樣的方向是對的嗎
01:42:24:21		因為每一個都在找
01:42:25:22		前面對的案例
01:42:27:02		結果都是洋人的案例
01:42:29:19		這個不適合東方人
01:42:32:01	01:42:35:04	我覺得一定會一團亂的
01:43:07:04		近年來
01:43:08:06		楊奉琛在兩岸三地創作
01:43:11:23		對於文化創意產業這扇門
01:43:14:20		他看到的是
01:43:15:17	01:43:19:04	文化創意產業的復興與整合
01:43:20:11	01:43:23:03	在台博館的南門園區
01:43:25:03		他有一個小空間
01:43:26:05	01:43:28:11	舉辦展覽, 講座
01:43:30:09	01:43:33:03	也販售當代的創意產品
01:43:34:24		將整體空間與文化再提升
01:43:37:26	01:43:39:03	再創造
01:43:40:26	01:43:44:10	進而將生活文化一併提升
01:43:46:02		我們也期待文化創意產業的多元活水
01:43:49:21	01:43:53:13	能夠帶來更多更好的藝術作品
01:43:56:26		我們運氣很好
01:43:58:08		就是在這個跟華山文創園區
01:44:02:05		同一個系統的
01:44:04:02		就是在日據時代
01:44:05:14		華山是樟腦丸的生產線的
01:44:09:09		一個紅樓區
01:44:12:26		那我們就是那個源頭的包裝區
01:44:15:27		那麼這個區塊
01:44:17:06		現在是台灣博物館
01:44:20:14		台灣博物館分館
01:44:22:07		就是說引領的
01:44:24:11		一塊新的一個基地
01:44:26:21		所以我們會在這個文化園區裡面
01:44:28:19		看到老師用光告訴我們一些
01:44:31:19		這方面您想要傳遞的訊息
01:44:33:12		對, 就等於是把無形最精...
01:44:37:01		無形的最精華的部分
01:44:39:08		也就是說我們看到的物
01:44:42:13		只是一個外表現象
01:44:44:05		比方說我們可以在這個園林裡面
01:44:46:10		我們看到的是很好的庭園
01:44:48:19		可是我要表達的是
01:44:50:08		更重要的這個精神的層次
01:44:52:27		那麼我用宇宙光
01:44:54:29		來表達這種宇宙的浩瀚
01:44:58:14		然後在所有專業的整合裡面
01:45:00:28		我們看到天籟之音
01:45:03:01		聽到了天籟之音
01:45:04:14	01:45:06:27	所以您跟音樂也做了結合
01:45:07:16		形, 音, 色
01:45:09:17		大概我用這個主調
01:45:11:15		就是說有非常原民的聲音
01:45:14:28		有非常原創的聲音
01:45:17:01		有非常原創的造型
01:45:19:17		有非常原創的光
01:45:22:07		我們非常期待
01:45:22:25		我覺得這樣剛剛聽完老師這樣講的時候
01:45:24:16		大家一定很期待
01:45:25:14		希望說當小華山要跟大家見面的時候
01:45:28:12		到底老師會帶給大家
01:45:30:00		一個怎麼樣不同的文創園區
01:45:32:23		有別於其他的文創園區
01:45:34:28		然後也希望
01:45:35:27		老師真的能夠很具體的告訴我們
01:45:37:28		到底我們要如何從東方的思想出發
01:45:41:07		做出屬於我們自己最有優勢
01:45:43:19		而不是只是照著別人的腳步走的
01:45:46:19		沒錯...
01:45:47:21		那最後我想花一點時間
01:45:48:22		跟老師談一談老師的雷射作畫
01:45:51:23		因為我覺得
01:45:52:13		這個對老師的藝術生涯來說
01:45:54:24		是一個非常特別的環節跟面向
01:45:58:05		這個是也很難從別人的作品上
01:46:00:14		看到的
01:46:01:27		這裡面就可以提到我父親的創作
01:46:06:03		他是一路走來
01:46:07:21		從最寫實到寫意
01:46:10:15		到這個最後的這種宇宙系列
01:46:14:05		到不鏽鋼
01:46:15:27		那麼朱銘朱老師
01:46:18:19		拜師在我父親的門下
01:46:20:24		在我們家住了六年
01:46:23:08	01:46:25:24	他比我長十歲
01:46:27:00		那麼他在我父親的這個門下
01:46:31:16		有六年多
01:46:32:27		把這個我父親的山水系列
01:46:36:16		從太極做一個延伸了
01:46:39:26		那剛好在十年之後
01:46:42:05		我藝專畢業
01:46:44:16		我父親正在推廣雷射
01:46:47:21		也就是在日本發現
01:46:50:03		雷射它會影響我們未來的生活
01:46:53:21		所以他在台灣組了一個
01:46:55:13		雷射推廣協會
01:46:57:04		集結了醫學界, 工程界
01:47:00:00		這個科技界
01:47:01:27		那我也在這個組織裡面
01:47:03:28		我就等於被我父親安排
01:47:06:00		跟科學家
01:47:08:06		尤其有一位叫胡錦標胡教授
01:47:11:11		他當時在台大的
01:47:13:24		非破壞檢測實驗室裡面
01:47:16:27		我在那裡跟他學了兩年的
01:47:20:08		叫做全像攝影
01:47:22:03		用雷射
01:47:23:29		就等於拍出來的景象
01:47:26:06		看得到, 摸不到
01:47:29:13		就好比一個輪胎
01:47:31:09		飛機的輪胎
01:47:32:19		它可以用全像攝影
01:47:35:10		拍了一張放在這裡
01:47:37:00		這個輪胎還在
01:47:38:12		可是飛了五百小時以後
01:47:40:04		再拿回來拍
01:47:41:20		它的干涉現象
01:47:42:23		已經可以讀出飛機的輪胎壽命
01:47:46:27		沒有破壞這個物體
01:47:48:23		而能夠檢測它的壽命
01:47:52:07		這個是一個舉例
01:47:53:22		那這方面的技巧我們運用在藝術上
01:47:56:14		那就不得了了
01:47:57:26		所以我在那兩年的這個
01:48:00:06		跟科學家們在一起的
01:48:02:11		實驗室裡面
01:48:03:28		我也突然體會
01:48:05:26		要做一個不一樣的藝術家
01:48:08:09		必須要有科學的研究精神
01:48:12:05		所以我用學習全像攝影的
01:48:14:29		過程裡面
01:48:16:09		我玩盡了所有的光學儀器
01:48:20:23		光與物的關係
01:48:23:22		那我在實驗室裡面
01:48:25:26		其實已經創作了
01:48:27:06		上萬張的這種作品
01:48:30:19		可是真正的雷射光它是立體的
01:48:34:06		我們只是說能夠把它記錄下來
01:48:35:22		所謂立體就是3D的嘛
01:48:37:01		對...
01:48:38:12		但是我們用這個
01:48:40:27		當時我還自己創造了一個
01:48:43:07		叫潑墨感覺
01:48:45:12		等於說我把光當顏料
01:48:47:22		然後用潑墨的一個作法
01:48:49:23		用山水的這種意境
01:48:52:09		完成了很多
01:48:53:26		所謂東方思想的雷射藝術品
01:48:58:11		那當然我父親也會陪伴著我
01:49:00:17		會指導我
01:49:02:04		其實在這一個畢業以後
01:49:04:16		我進入到這個台大的這種領域裡面
01:49:08:28		影響我未來的創作很大
01:49:11:15		所以我父親會不斷地鼓勵我
01:49:14:08		你就把光研究盡吧
01:49:17:11		所以這三十年來
01:49:18:13		我每年都做光的實驗
01:49:22:10		然後我覺得它越來越有趣
01:49:25:23		藝術生活化
01:49:27:11		科學生活化
01:49:29:09		各種專業集結起來
01:49:32:19		我們都把它生活化
01:49:35:05		就為未來的年輕人
01:49:36:22		打下一片天吧
01:49:39:15		我覺得這樣聽完老師的訪問之後
01:49:41:22		大家應該都會覺得說
01:49:43:06		其實藝術還有很多
01:49:44:08		值得我們去理解, 去發掘
01:49:46:15		還有很多不同的面向
01:49:49:06		不同的深度
01:49:50:17		讓我們可以慢慢一一去體會
01:49:52:18		以後不管是在...
01:49:53:27		不管是雷射作畫也好
01:49:55:07		或者是我們會在不同的建築物
01:49:57:01		或公共設施
01:49:57:28		甚至是文化創意園區
01:50:00:11		我們都會看到老師的作品
01:50:01:24		希望大家能夠佇足久一點點
01:50:04:09		然後看清楚
01:50:05:13		在不同的時空之下
01:50:06:17		老師想要帶給大家
01:50:07:22		多少不一樣的訊息
01:50:09:01		今天非常謝謝
01:50:09:28		楊老師來到我們的現場
01:50:11:08		希望我們在不同的地方
01:50:12:08		可以看到很多你的作品
01:50:13:16		謝謝
01:50:14:02	01:50:15:12	好, 謝謝...
