01:00:30:09	01:00:33:14	巨大的章魚腳攀附在建築物上
01:20:57:25		就是會去欣賞藝術的人
01:20:59:11		他也是要心胸開闊的
01:21:00:22		他必須要有很大的心胸
01:21:02:22		他不是來論斷說
01:21:04:08		這個藝術好, 不好
01:21:05:22		值多少錢
01:21:06:14		我覺得他要去能夠體會說
01:21:09:15		這個生命狀態
01:21:10:15		他為什麼要做這樣的東西
01:21:12:29		為什麼...
01:21:14:06		就像那個痞子路克(Filthy Luker)
01:21:15:08		他為什麼要用吹氣球的方式
01:21:18:04		把一個動物
01:21:18:27		塞在一個建築物裡面
01:21:21:05		他到底想要傳達什麼
01:21:23:05		那對我來講
01:21:24:00		我會覺得說
01:21:25:04		好像動物在抗議說
01:21:26:21		你們人就把我吃掉對不對
01:21:28:11		其實我好像被鎖在一個
01:21:32:05		沒有辦法掙脫的
01:21:34:13		這不是只是空間的問題
01:21:36:05		這是一個精神的問題
01:21:37:21		就覺得你們人到底怎麼了
01:21:39:25		所以我覺得從藝術裡面
01:21:41:18		我可以得到很多的反思
01:21:43:11		我會去反省自己說
01:21:45:13		從藝術家的想要去傳達的東西
01:21:47:14		我們就開始去反省說
01:21:49:13		人真的有這麼偉大嗎
01:21:50:24		人是不是應該要謙卑一點
01:21:53:04		對待動物
01:21:53:27		像我們這次那個痞子路克(Filthy Luker)
01:21:55:09		有一個樹上面有兩個大眼睛
01:21:56:27		也是一樣的好可怕
01:21:58:02		半夜看到會嚇到
01:21:59:22		突然...
01:22:00:29		有一種那種鬼太郎出現的感覺
01:22:03:13		那我就覺得說
01:22:04:13		它放在旁邊
01:22:05:15		我走過去的時候
01:22:06:07		我會覺得樹在告訴你說
01:22:08:11		也許我才是這塊地的主人
01:22:10:06		我明明長在這裡
01:22:11:04		你把我砍掉對不對
01:22:12:07		好, 我現在...
01:22:13:02		你要小心喔
01:22:13:25		你路過去的汽車
01:22:15:14		是不是不要給我太多的汙染
01:22:17:18		來汙染我
01:22:18:16		這是真的
01:22:19:11		因為其實...
01:22:20:17		因為我們有時候都會覺得
01:22:21:25		這些植物或者是建築物好了
01:22:24:02		我們覺得它們...
01:22:24:21		不管是植物
01:22:25:15		或是一些無生命的
01:22:27:19		對
01:22:28:08		只是在我們身邊
01:22:29:05		所以我們很容易的就走過去了
01:22:30:22		對
01:22:31:12		但我永遠不會忘記有一天
01:22:32:16		我走在敦化南路上的時候
01:22:34:11		那天下大雨
01:22:35:27		然後下大雨的時候
01:22:36:15		我一開始的時候
01:22:37:20		我心想說下雨好煩喔
01:22:39:08		路很泥濘, 很黏
01:22:41:07		然後車子經過又會有水
01:22:43:28		或是什麼的
01:22:44:20		但是我抬頭看見那棵樹的時候
01:22:46:14		我突然覺得其實它很開心耶
01:22:48:16		是啊
01:22:49:05		因為你知道
01:22:49:26		敦化南路有多少車子經過
01:22:51:18		平常我們走過它的時候
01:22:52:27		只要是不下雨的天氣
01:22:54:18		它都是蒙著一個塵的
01:22:56:11		但是因為下雨天
01:22:57:11		雖然我覺得很煩
01:22:58:15		但它是覺得它是最乾淨
01:23:01:04		最能夠呼吸的
01:23:02:12		我覺得真不好意思
01:23:04:04		你開心點...
01:23:05:09		然後我也就開心起來了
01:23:06:21		對
01:23:07:08		有的時候我覺得就是
01:23:08:16		你在你很覺知的
01:23:09:29		去觀察你身邊的很多事情
01:23:11:28		而藝術品
01:23:12:24		是可以讓我們稍稍停下來
01:23:15:13		喘息一下
01:23:17:04		想一想為什麼
01:23:19:00		它為什麼會在這裡
01:23:20:05		它想告訴我們什麼
01:23:21:14		它想告訴我們
01:23:22:20		我們跟環境之間的關係
01:23:24:08		東區也是一樣的
01:23:25:23		這些商家
01:23:26:14		除了提供我們商品之外
01:23:28:18		我們到底還能得到些什麼
01:23:30:11		我們能看到些什麼
01:23:31:12		提升些什麼
01:23:32:11		因為你知道
01:23:32:29		我覺得今天這樣訪問你
01:23:34:17		對我來說
01:23:35:11		我其實有點驚訝
01:23:38:04		為什麼
01:23:38:22		我有點刮目相看
01:23:39:17		因為我總覺得
01:23:41:08		感覺執行長聽起來
01:23:43:14		就是個執行長
01:23:45:28		應該講生活長好了
01:23:47:02		就是你知道
01:23:48:14		我們有時候都會幻想說
01:23:49:23		執行長就是個頭銜嘛
01:23:52:00		下面一定有很多
01:23:52:25		來人啊
01:23:53:14		然後人就來了那種感覺
01:23:55:04		但我這樣聽完
01:23:55:22		我會覺得說
01:23:57:14		是沒錯
01:23:58:04	01:23:59:25	否則拎著這些...
01:24:01:07		酸甜苦辣我應該講是...
01:24:02:12		我是它的啦啦隊長吧
01:24:03:08		你真的是都有經歷在裡面
01:24:06:10		而且你知道
01:24:07:14		在這個過程當中
01:24:08:16		這八年來
01:24:09:22		你帶給了
01:24:10:17		不只是看到這些藝術品的人
01:24:13:11		製作這些藝術品的人
01:24:14:17		收留這些藝術品的人
01:24:15:28		他們的心理的變化
01:24:17:14		他們人生的成長
01:24:18:26		其實那都是種在他們心裡的
01:24:22:07		那顆很重要的種子
01:24:24:02		不只是一個
01:24:24:28		粉紅色的活動而已
01:24:26:06		對...
01:24:27:17		所以我們都在講說
01:24:28:12		一切從分享開始
01:24:30:14		我們的基金會成立的時候
01:24:33:09		我們都講
01:24:34:03		藝術生活化, 生活藝術化
01:24:36:02		一切從分享開始
01:24:38:13		可是我們之前也聽到說
01:24:40:00		粉樂町其實你預計只做十年
01:24:41:28		對
01:24:42:10		你都是十年一個計畫嗎
01:24:43:12		像一開始聽說是
01:24:44:20		本來是在富邦有那種小推車嗎
01:24:46:12		對... 小餐車
01:24:47:15		小餐車
01:24:48:11		然後這就是你們的一個開始
01:24:50:08		對
01:24:50:25		這是第一個十年
01:24:51:21		第二個十年是粉樂町了
01:24:53:14		那兩年之後
01:24:54:18		其實粉樂町就要告一個段落
01:24:56:06		對
01:24:56:18		在東區跟大家說再見了
01:24:58:05		下一個十年你有想要做什麼嗎
01:25:00:14		我們可能去經營
01:25:01:22		松菸文創這塊地方
01:25:03:28		那我覺得松菸文創是一個
01:25:06:07		會是育成中心
01:25:08:01		將來台灣最重要
01:25:11:11		不管是影劇界也好
01:25:13:06		音樂界也好
01:25:14:11		應該都是在那邊被養育出來
01:25:18:06		都是一些未來有潛力
01:25:21:03	01:25:22:24	有...
01:25:23:29		怎麼講
01:25:24:13		我會覺得說它是一個
01:25:25:12		年輕人以後
01:25:26:06		一定要在那邊聚集的
01:25:27:17		得到養分的地方
01:25:29:04		那被栽培, 被看重
01:25:31:21		它是一個舞台
01:25:34:20		這個我在想
01:25:36:03		就好像北京的798一樣
01:25:37:22		台灣以後的松菸
01:25:39:02		可能就是北京798
01:25:40:09		每一個人到台灣來
01:25:42:13		如果要瞭解台灣的文化
01:25:43:24		就必須到那個地方去
01:25:45:24		那我自己會對那個地方
01:25:47:11		有這樣子的期待
01:25:48:24		我會覺得很多台灣優秀的人才
01:25:51:11		都應該在那邊被養育成
01:25:53:22		那富邦在這當中
01:25:54:24		會扮演一個什麼樣的角色呢
01:25:56:20		我們就是...
01:25:57:14	01:25:58:23	又是媒婆
01:25:59:20		我們永遠在當媒婆感覺你要拿個扇子出來
01:26:01:11		那種感覺有沒有
01:26:02:28		我們今天要先暫時
01:26:04:01		謝謝我們的媒婆一號
01:26:05:17		因為其實粉樂町
01:26:06:22		跟富邦藝術基金會
01:26:07:24		之所以能夠在這些年來
01:26:09:16		有這麼多的成績
01:26:10:16		包括像你剛剛說的
01:26:11:23		這麼多人跟你說
01:26:12:15		你們一定要持續做下去
01:26:14:10		其實除了媒婆一號之外
01:26:15:14		你還有媒婆二號, 三號
01:26:16:15		很多...
01:26:17:09		接下來為大家訪問到的是
01:26:18:11		媒婆二號跟三號
01:26:19:15		我們來訪問她們一下
01:26:20:15		先謝謝你, 謝謝
01:26:21:08		謝謝...
01:26:22:02	01:26:23:05	謝謝執行長
01:26:57:16		粉樂町-台北東區當代藝術展
01:27:00:05		開辦八年以來
01:27:01:27		一直是夏日台北東區
01:27:03:22		重要的藝術嘉年華會
01:27:06:09		不僅為城市帶來繽紛創意
01:27:09:08		也是藝術家們
01:27:10:14	01:27:13:00	揮灑才華的重要舞台
01:27:15:15		這些參展作品
01:27:17:04		多是藝術家們
01:27:18:12		根據空間與店家的特色
01:27:20:28		所量身設計
01:27:22:27	01:27:25:28	有時也結合當地居民的參與
01:28:05:18		粉樂町的精神
01:28:06:24		就是要在人與藝術
01:28:09:00		空間與藝術之間
01:28:10:23		創造出有趣, 好玩的聯結
01:28:13:18	01:28:16:15	讓藝術與生活一起呼吸著
01:28:18:14		好, 接下來為大家介紹
01:28:19:22		這兩位媒婆呢
01:28:20:26		在富邦藝術基金會
01:28:21:25		也是非常重要
01:28:23:07		因為沒有她們
01:28:24:02		很多好姻緣
01:28:25:06		就沒有辦法呈現在大家面前了
01:28:26:20		為大家介紹的是
01:28:27:17		富邦藝術基金會的總幹事
01:28:28:29		熊傳慧, 你好
01:28:29:28		嗨, 你好, 寶儀
01:28:32:02		還有富邦講堂的組長
01:28:34:05		組長好
01:28:34:28		吳雨致, 你好
01:28:36:01		寶儀, 你好
01:28:37:08		其實你看, 我們說第八年了
01:28:40:02		一路走來
01:28:41:19		其實你應該是...
01:28:43:14		最久的
01:28:44:04		就是心裡會特別百感交集的
01:28:46:28		因為第一年開始的時候
01:28:48:11		大家都不知道
01:28:49:11		這是一個什麼概念
01:28:51:06		不管是你要去跟藝術家講好
01:28:53:07		或是跟商家
01:28:54:02		跟東區的商家解釋
01:28:55:17		你們想要做什麼也好
01:28:56:29		大家一定都會覺得說
01:28:58:13		詐騙集團吧
01:28:59:11		對...
01:28:59:29		就是你是來騙的吧
01:29:01:01		對...
01:29:01:10		你還記得第一年做的時候
01:29:02:21		你有經歷過些什麼
01:29:03:26		特別的過程嗎
01:29:04:29		對, 這個第一年就是
01:29:07:19		這個展覽本來是先從香港
01:29:09:18		然後到了澳洲
01:29:11:00		到了澳洲之後要...
01:29:12:07		出國比賽很成功嘛
01:29:13:14		因為就發現
01:29:14:07		台灣的當代藝術非常棒
01:29:16:05		然後甚至還被邀展到了
01:29:18:20		澳洲的柏斯
01:29:20:00		那準備回來的時候
01:29:21:12		所以所有的人
01:29:22:04		都開始很關注台灣當代藝術
01:29:23:24		那時候是一九九九年
01:29:25:18		兩千年要回到台灣
01:29:26:25		所以我們當時就講說
01:29:28:03		要很瘋狂的來做一點
01:29:29:14		就是走出美術館
01:29:30:17		因為在香港跟澳洲
01:29:32:02		都在美術館
01:29:33:13		所以就一樣這三十件東西
01:29:35:13		要放到台灣
01:29:36:08		放到無牆的狀態
01:29:37:25		就是說放到走廊啦, 牆壁啦
01:29:40:00		但是你知道
01:29:40:22		因為現成作品有很多尺寸
01:29:42:29		它是適合室內空間
01:29:44:12		但不適合戶外
01:29:45:11		包括材質
01:29:46:18		所以那時候
01:29:48:20		我確實是在第一年的時候
01:29:50:15		是做這個展點洽談的那個人
01:29:53:12	01:29:55:22	就是那個詐騙集團的首腦
01:29:56:24		然後又拿著金控集團的名片
01:30:01:09		所以...
01:30:01:25		一看就是非法吸金
01:30:02:25		絕對非法
01:30:03:14		不知道在想什麼
01:30:04:18		然後大家就不知道
01:30:05:20		金控集團又要打什麼算盤
01:30:07:16		在東區
01:30:08:22		所以在一九九九年到兩千年的
01:30:11:13		那個跨的時間
01:30:12:18		我們談了三十個展點
01:30:14:02		真的千辛萬苦
01:30:15:12		我記得我自己在216巷的東區
01:30:18:19		基本上
01:30:19:04		好像談定了一個展點之後
01:30:20:16		就是要先...
01:30:21:25		大吃一頓
01:30:22:23		然後放聲大哭真的耶
01:30:24:19		走在路上告訴他們說
01:30:26:00		我又談下來一個展點這樣子
01:30:28:18		這麼難喔
01:30:29:13		就很難
01:30:29:28		因為大家根本不理解
01:30:31:13		你要幹什麼
01:30:32:07		而且東區寸土寸金
01:30:34:06		為什麼要把我租的空間
01:30:36:17		借給你展覽, 對不對
01:30:38:14		所以那一年很特別的是
01:30:40:12		那一年借給我們的三十個展點
01:30:43:04		裡面有十八個地下室
01:30:46:01		地下室反而比較大方一點
01:30:47:13		就地下室OK啦
01:30:48:13		反正你不要影響我
01:30:49:16		所以那一年...
01:30:50:15		但很不巧
01:30:51:04		我們就碰到納莉颱風
01:30:53:05		所以就淹壞了一半以上的作品
01:30:56:08		那是個宿命
01:30:57:25		所以這個展覽從兩千年
01:30:59:16		到二○○七年才重新開始承諾
01:31:02:07		就是因為我們
01:31:03:06		把整個事情搞壞了
01:31:04:19		就是前面
01:31:05:19		所以那個大膽的作法
01:31:07:09		在兩千年就劃下終止點
01:31:10:01		因為我們把所有展品回來
01:31:11:17		大概一半以上的作品都泡壞了
01:31:13:09		就是那個風災
01:31:14:26		所以這真是第一年談的
01:31:16:09		很難忘的一件事情是
01:31:18:07		我後來就是要到
01:31:19:14		所有的這個展品都在地下室
01:31:21:01		滿起來的水裡面漂浮著
01:31:23:10		哭了吧, 那個時候
01:31:24:10		颱風來的時候
01:31:25:02		你應該有一種
01:31:25:23		老天爺, 怎麼會這樣
01:31:27:06		來不及哭
01:31:27:24		就是是風是雨的走在東區裡面
01:31:30:06		就覺得整個世界就是毀滅
01:31:32:01	01:31:33:02	這樣子
01:31:33:13		那後來是怎麼樣捲土重來的呢
01:31:35:11		你們並沒有說
01:31:36:15		捲土重來也不是一個
01:31:37:19		基金會的預先的構想
01:31:40:00		是我們的企業金控
01:31:42:06		成立成金控之後
01:31:43:24		做了一個品牌的調查
01:31:45:25		結果他們竟然在裡面
01:31:47:00		有百分之十二的一般大眾認為
01:31:51:00		富邦除了金控的形象以外
01:31:52:26		有一個做藝術推廣的品牌印象
01:31:56:03		然後這個品牌印象
01:31:57:02		很多人舉證了
01:31:58:00		就是粉樂町這件事情
01:31:59:01		所以那時候惹的禍
01:32:00:16		竟然在六年之後
01:32:02:09		它還留在很多人的這個
01:32:04:08		無法抹滅的印象當中
01:32:05:16		因為本來是藝文新聞
01:32:07:12		突然變成社會新聞的時候
01:32:09:09		大家就會記得起來
01:32:10:11		老天爺反而幫了你們一把
01:32:12:12		所以當時他們大概覺得財團嘛
01:32:14:12		對不對
01:32:15:04		把別人東西搗壞了
01:32:16:15		然後也不擔心嘛, 是不是
01:32:17:23		你幹嘛這樣跟她...
01:32:19:00		你幹嘛這樣跟她說
01:32:20:03		是老闆曾經這樣跟你說
01:32:21:19		因為我們剛剛才訪問完老闆喔
01:32:23:07		然後所有的藝術家
01:32:24:09		都慘慘白白的站在旁邊
01:32:26:06		就看著自己的東西
01:32:27:07		就真的是一個很可怕的過程
01:32:29:10		所以有的時候就是因禍得福了
01:32:31:04		結果後來品牌就決定說
01:32:33:05		既然這件事情
01:32:34:04		不如我們把它
01:32:35:02		更斬釘截鐵的做好
01:32:37:05		然後在這個六年當中
01:32:38:16		其實我們都沒有閒著
01:32:39:27		我們其實一直用企業的空間
01:32:42:02		在練習, 在操練
01:32:43:17		就所有我們企業空間
01:32:44:25		很瘋狂的在做著
01:32:45:23		各式各樣的裝置藝術
01:32:47:09		那是在家裡面
01:32:48:10		沒關係在家裡面
01:32:49:07		對, Exactly
01:32:50:05		所以...
01:32:50:23		但是這個練兵的動作沒有少
01:32:52:17		譬如說廣場的啦, 外牆的啦
01:32:54:27		大樓空間什麼
01:32:55:26		這些都有一直在練習著
01:32:57:21		然後你接觸的藝術品的
01:32:59:07		材質跟形式越來越多元這樣
01:33:02:09		所以我們就想說好
01:33:03:10		就是變成跟市府的一個承諾
01:33:05:15		就承諾
01:33:06:07		企業把這個當成是一個
01:33:07:25		回饋社會的事項
01:33:09:06		要做十年
01:33:10:08		那雨致呢
01:33:10:25		雨致其實也是因為這樣
01:33:12:04		所以吸引你進入
01:33:13:10		因為你是比較後進來富邦的成員
01:33:15:21		我記得
01:33:16:12		第一年的粉樂町開始的時候
01:33:17:25		我那時候是大學學生
01:33:19:16		然後我在校園裡面翻到了手冊
01:33:21:10		然後我覺得非常非常的驚訝
01:33:22:29		因為我記得那個時候
01:33:24:06		就是我看到一隻透明的
01:33:26:02		充氣的大狗爬在一個水塔上面
01:33:29:01		然後我那時候就記得
01:33:30:05		這個單位是一個瘋狂的單位
01:33:32:04		所以後來就是
01:33:33:13		我看到有職缺的時候
01:33:34:29		就非常想要應徵
01:33:36:26		然後就進到富邦講堂這樣
01:33:39:00		你們兩個印象當中
01:33:40:15		覺得最...
01:33:42:11		讓你們覺得不管是驕傲的
01:33:44:04		或者最驚訝的
01:33:45:11		我記得那個一百年
01:33:46:28		一百年我們那時候
01:33:47:27		就是攻占了百貨公司這件事情
01:33:50:11		粉樂町去了百貨公司這件事
01:33:52:15		然後百貨公司是一個百貨賣場
01:33:54:00		所以我的團隊
01:33:54:24		全部都在十點半以後
01:33:56:05		進入到賣場裡頭
01:33:57:24		所以就滿地都是工作同仁
01:34:00:03		所以我們就都在精品等等...
01:34:02:15		這些精品賣店門口就坐癱了
01:34:04:12		就想說你喜歡什麼
01:34:05:13		非常的好玩
01:34:06:10		很有意思
01:34:07:09		然後在百貨公司
01:34:08:27		碰到一個很大的事情是
01:34:10:04		我們找了一個台灣本土藝術家
01:34:11:17		叫游文富
01:34:12:23		他是竹山人
01:34:14:01		然後他曾經是個飛行員
01:34:15:13		所以他做的東西都跟羽毛相關
01:34:17:22		所以我們要把這個
01:34:18:27		羽毛跟竹籤這件作品
01:34:20:14		放在百貨公司的這個
01:34:22:20		四樓還是五樓
01:34:23:13		這個挑高的中環地方
01:34:25:16		結果才裝置好
01:34:28:13		可是品牌隔天進來之後
01:34:30:06		就嚴重的抗議
01:34:31:25		為什麼
01:34:32:14		因為這個羽毛跟竹籤的高度
01:34:34:11		擋住了它的這個品牌的櫥窗
01:34:38:15		然後我們就面臨到
01:34:39:22		跟百貨公司對峙這件事情
01:34:41:12		就是說到底要...
01:34:44:08		一個精品的品牌
01:34:45:03		而且是一個知名的手錶品牌
01:34:46:27		它整個樓層都是精品的手錶
01:34:48:29		到底是他們要欣賞藝術
01:34:51:04		還是藝術要去做妥協這樣
01:34:54:03		這件事情就很有意思
01:34:55:17		然後包括執行長
01:34:57:03		然後她也是深夜
01:34:59:08		大家都素顏的
01:35:00:06		就到了百貨公司集合
01:35:01:27		是一個凌晨的時間
01:35:03:17		然後我覺得很有意思是
01:35:05:03		這個過程就是
01:35:06:05		我的團隊就好像那個仙子
01:35:08:07		就是常常在城市
01:35:09:25		路燈都要熄掉了
01:35:11:02		全部街燈都是黑的時候
01:35:13:04		我們這群人才開始到了
01:35:15:03		這個街角上面工作
01:35:17:13		就是跟清道夫差不多的概念
01:35:19:03		對, 我剛剛想說仙子
01:35:20:20		講得真漂亮
01:35:21:19		清道夫, 我懂了
01:35:22:19		清道夫...
01:35:23:20		就是那樣的工作
01:35:25:17		所以最大型的物件
01:35:27:27		進到城市裡面來安裝
01:35:29:09		都是在半夜
01:35:30:16		偷偷摸摸的
01:35:31:10		都是一個偷偷摸摸的
01:35:33:06		但這一直是我覺得
01:35:35:20		一百年的進百貨公司這件事情
01:35:38:21		很驚嚇
01:35:39:21		然後後來是
01:35:40:22		我們最後
01:35:42:03		是百貨公司還是讓這個藝術品
01:35:44:21		長在那個地方
01:35:46:21		太棒了
01:35:47:09		很棒, 然後這個過程是我覺得
01:35:49:02		藝術家也哭了
01:35:50:14		然後我們後來決定說不展了
01:35:52:11		然後不展了之後
01:35:54:06		藝術家在那個時刻
01:35:55:13		把我拉到邊邊
01:35:56:14		告訴我說他想展
01:35:59:02		無論他把它放在哪裡
01:36:00:26		他都要展的時候
01:36:02:11		我就決定要去把這個架吵成功
01:36:04:13	01:36:05:24	這樣子
01:36:06:06		你現在講到這個
01:36:07:05		眼睛其實都濕濕紅紅的對... 我很容易
01:36:09:19		我這個門檻很低的一個人
01:36:12:02		對...
01:36:12:21		這個也是我們談展點一個訣竅
01:36:15:17		就是你說淚眼婆娑的看著說
01:36:18:11		求求你
01:36:19:19		讓我把畫放在這裡一定要
01:36:21:21		這是一個小技術
01:36:24:02		你現在讓全台北人都知道了
01:36:27:05		不過其實我覺得有時候做...
01:36:29:20		尤其是做這種非營利的事情
01:36:32:07		交心是很重要的
01:36:33:09		對...
01:36:33:25		就你到底是為了什麼嘛
01:36:34:29		因為說實在的
01:36:35:28		展品放在這裡
01:36:37:24		你也不知道...
01:36:38:24		其實商家也不知道
01:36:39:19		到底帶給他多少好處
01:36:41:00		對
01:36:41:15		其實你多放一件東西
01:36:42:21		他少擺兩件衣服
01:36:43:17		對
01:36:44:06		他可能就少賺一點錢了
01:36:44:27		對... 沒錯他也不知道
01:36:46:08		它不是一個可以對價的東西
01:36:48:13		沒錯
01:36:49:07		藝術家也是一樣
01:36:50:05		就好像你剛剛說的
01:36:51:16		誰知道
01:36:52:06		尤其是戶外的展覽
01:36:54:04		室內可能大家還覺得說
01:36:55:17		室內也會淹水
01:36:56:24		天啊, 這是想都沒想到的
01:36:59:07		但是大家都是交心
01:37:00:16		就是我相信你, 你相信我
01:37:02:06		其實是一個三方的
01:37:03:19		是...
01:37:04:09		所以你這個媒婆
01:37:05:15		其實當得還挺成功的耶
01:37:07:01		因為其實這個過程
01:37:08:12		我覺得企業在中間
01:37:09:16		不知道哪裡來的這個勇氣
01:37:11:22		就是說他們願意
01:37:12:19		我們比一般的銀行行員還厲害
01:37:14:25		行員還可以躲在櫃台裡面
01:37:16:22		我們得是實戰的走到人面前
01:37:19:23		所以什麼長相, 什麼口氣
01:37:22:02		你什麼目的, 什麼作法
01:37:24:01		全部都要
01:37:24:22		然後這個展期很長
01:37:25:26		從一個月到兩個月
01:37:27:23		每天就有不斷...
01:37:29:02		東西有被偷啦
01:37:30:00		有被破壞啦
01:37:31:16		都什麼事情層出不窮的發生的
01:37:33:28		被偷怎麼辦
01:37:36:02		就是我們有保險
01:37:37:13	01:37:38:25	有富邦保險
01:37:39:21		也對
01:37:40:10		有理賠
01:37:41:06		然後呢
01:37:41:29		但是這個機率都讓它盡量降小
01:37:44:11		但是初期的幾年
01:37:46:09		這些事情都是層出不窮的
01:37:48:08		等於一直忙乎
01:37:49:04		然後另外一個就是
01:37:50:13		台灣是一個一直有颱風的地方
01:37:53:04		所以我們有曾經一整次的展期
01:37:56:16		大概一個月吧
01:37:57:11		大概每個禮拜都有一個颱風
01:38:00:28		不過這就是老天爺給你們的考驗
01:38:02:23		你會發現
01:38:03:13		其實你們在做這件事情的時候
01:38:05:05		讓大家對東區的整個觀感
01:38:06:28		其實也有點改變
01:38:08:03		因為以前我們想到東區
01:38:09:22		我們都覺得
01:38:10:12		是天龍國中的天龍國
01:38:12:13		就是...
01:38:13:18		應該就是有錢人, 流行的人
01:38:16:02		去逛逛的地方
01:38:17:06		但是其實你看
01:38:18:12		透過粉樂町這些年來的努力
01:38:21:07		不只是會買東西的人去那裡了
01:38:24:16		不只是生活在那裡的人
01:38:25:27		會在附近走了
01:38:27:00		有很多人
01:38:28:07		就是當你看...
01:38:29:01		你走在路上
01:38:29:23		看到有些人拿著地圖
01:38:30:22		像在尋寶的
01:38:32:08		在那兩個月當中
01:38:33:08		很開心的
01:38:34:10		一個一個景點去找的時候
01:38:35:16		其實東區對於不只是台北市
01:38:37:22		對於全台灣的人的意義
01:38:38:25		好像變得也不太一樣了
01:38:40:19		粉樂町會在東區的原因
01:38:42:10		本來我們只是就便
01:38:43:25		因為我們的企業總部
01:38:45:15		有四, 五棟大樓在東區
01:38:47:04		是
01:38:48:02		所以先這個地方
01:38:49:01		基本上
01:38:49:20		你就贊助有四, 五個展點
01:38:51:12		空間有各式迥異
01:38:52:22		有廣場, 有什麼
01:38:53:26		我有保全可以幫我看顧
01:38:55:17		剛開始是這樣
01:38:56:15		從這裡走到社區
01:38:58:03		只是就便
01:38:59:14		可是東區確實就是
01:39:01:09		有它不一樣的性格
01:39:02:20		我覺得它有點像
01:39:03:15		紐約的蘇活區(SoHo)
01:39:04:25		只是說它沒有這麼集中
01:39:06:23		那現在當然如果就有了松菸
01:39:08:21		有了華山
01:39:09:15		它是大範圍區的
01:39:10:21		還是處在一個我覺得菁英多
01:39:13:29		知識的水平比較整齊的
01:39:17:09		一個所在
01:39:18:11		然後對藝術的接納度
01:39:20:12		複合的接納度
01:39:21:16		然後異種文化的接納度
01:39:23:03		這個地方確實是多的
01:39:24:29		粉樂町是一個
01:39:25:27		無牆形式的美術館
01:39:27:15		它最主要還是
01:39:28:26		跟所有街坊鄰居的生息
01:39:31:16		是相關的
01:39:32:15		因為它沒有牆
01:39:33:23		沒有圍牆
01:39:34:26		所以使用者
01:39:36:03		就是我們講
01:39:36:21		你怎麼使用這件事情的人
01:39:38:12	01:39:39:13	很重要
01:40:12:10		所以其實我們團隊最難的
01:40:14:01		不在藝術品的選擇
01:40:15:08		不在空間的選擇
01:40:16:06		最難的是持續
01:40:18:04		就是說這件事情好有趣
01:40:19:22		很有趣
01:40:20:12		所以第一屆的策展人
01:40:22:07		張元茜小姐
01:40:22:29		她是亞洲總部的總會的理事長
01:40:25:08		她就跟我講說
01:40:26:14		傳慧, 這個事情呢
01:40:28:03		就策展人的角度
01:40:29:07		一輩子做一次就好
01:40:30:27		就是很瘋狂的事
01:40:32:06		但你們要做十年
01:40:32:27		你們做了十次
01:40:33:16		應該就是不正常
01:40:34:25	01:40:36:01	瘋狂
01:40:36:25		有點小小被虐的程度
01:40:38:19		但是這個持續裡頭
01:40:41:17	01:40:43:18	締造了我們意想不到的效益
01:40:44:27		而且在這個過程當中
01:40:46:12		除了我們的總幹事
01:40:48:09		一家一家挨家挨戶
01:40:49:25		哭的, 笑的
01:40:51:02		然後去求他們之外
01:40:52:12		其實還有一個東西
01:40:53:27		也幫助我們富邦
01:40:55:24		在這個過程當中更順利的
01:40:57:26		跟我們在地的社區交朋友
01:40:59:11		就是我們現在手上有看到這個
01:41:01:00		媒婆報
01:41:01:19		看起來很三八的這個媒婆報
01:41:05:05		這你要不要解釋一下
01:41:06:22		這個媒婆報很好玩
01:41:07:22		我記得是有一年
01:41:09:03		好像總幹事到日本去玩
01:41:10:28		然後她就在日本
01:41:11:20		看到一個當地的社區小報
01:41:13:20		然後總幹事回來就說
01:41:14:19		阿致... 你看
01:41:15:21		人家能夠做這個
01:41:16:16		東區難道做不起來嗎
01:41:18:21		這麼興奮喔
01:41:19:15		很興奮
01:41:20:07		做不起來嗎
01:41:21:04		然後我們就看一看
01:41:21:29		然後覺得粉樂町其實每年
01:41:23:25		都在跟東區的店家發生關係
01:41:25:15		是
01:41:26:02		我們其實在展覽的過程裡面
01:41:27:23		透過展覽
01:41:28:14		我們也看到東區有很多
01:41:29:16		很有創意的店家
01:41:30:27		所以我們其實發現
01:41:32:03		東區的那個文化的層次跟創意
01:41:34:03		是可以被報導的
01:41:35:16		其實透過粉樂町它每年一次
01:41:38:12		然後媒婆報每年是四次
01:41:41:03		我們在四次的東區走訪裡面
01:41:42:23		我們也會很快的知道
01:41:44:00		東區店家的消長
01:41:45:20		就什麼時候有好玩的店家出現了
01:41:47:29		有什麼樣有趣的空間
01:41:49:11		然後我們也透過跟店家的聊天
01:41:51:18		然後店家其實對藝術基金會
01:41:53:18		也有一些相當程度的熟悉這樣
01:41:56:11		所以這個報紙
01:41:57:06		就是跟粉樂町之間
01:41:58:05		有這樣子的相生相息的關係
01:42:01:28		而且這個報紙應該是一推出
01:42:03:28		因為它是免費索取的
01:42:05:00		對...
01:42:05:23		就整個就...
01:42:07:01		你知道
01:42:07:24		我們也常在東區走啊
01:42:09:22		我沒看過
01:42:11:12		因為聽說一推出
01:42:12:17		整個就是被索取一空了
01:42:14:12		因為其實它是非常有用的
01:42:16:27		對, 它是功能性的
01:42:17:25		對
01:42:18:19		而且它做得很細
01:42:20:12		然後每次都有主題
01:42:21:14		我覺得感覺上
