00:00:35:08 在劇場燈光下
00:22:43:01 但宋少卿就想弄那一下
00:22:45:03 你看嘛, 我一次不寫劇本
00:22:47:06 讓他寫一次就弄來一點毛病
00:22:50:10 可是那你
00:22:50:25 可是你會覺得發生這樣的事情
00:22:52:06 是因為
00:22:52:21 OK的, 我認為我覺得OK
00:22:54:02 因為我覺得
00:22:54:26 大家也是找一個話題切入
00:22:57:13 說一說我們
00:22:58:20 不會是那種比方說
00:23:00:02 你總不能
00:23:01:03 你總不能那個金曲獎頒獎典禮
00:23:03:04 馮翊綱, 宋少卿說點相聲
00:23:04:12 我們還被讚揚
00:23:06:02 幹嘛呢
00:23:06:21 我們是去給人家增光的
00:23:08:21 所以你說說我們
00:23:10:07 其實還是報導了金曲獎
00:23:13:00 我覺得很符合新聞的一個原理
00:23:15:07 所以你們不會說
00:23:16:07 為什麼台灣人沒有幽默感啊
00:23:17:26 或是說難道不知道
00:23:19:02 其實我們在開玩笑嗎
00:23:20:04 或是怎麼大家不做點功課
00:23:21:18 不知道宋少卿是原住民這樣嗎
00:23:23:16 我回到課堂上再講就好了
00:23:26:18 OK
00:23:27:10 對啊
00:23:27:14 好, 那...
00:23:29:26 我們剛有聊到說
00:23:31:03 其實你寫了這麼多的劇本
00:23:33:02 如果要真要讓你介紹的話
00:23:35:15 你會最想介紹
00:23:36:29 你的哪一個劇本給大家呢
00:23:38:10 對
00:23:39:16 聯合文學作為支持我的出版社
00:23:44:13 哪現在還有這樣的出版社嘛
00:23:46:01 就專門印劇本的
00:23:47:07 真是只有一, 兩家
00:23:48:15 聯合文學就是一家
00:23:49:29 而且很榮幸的聯合文學是印
00:23:51:23 諾貝爾得獎者的劇本的出版社
00:23:55:09 這好頭彩, 對不對
00:23:57:21 印了很多很多我的相聲創作了
00:24:00:21 幾乎就是我寫一個
00:24:01:22 它就能夠出一個
00:24:03:07 我真的多年來是非常的感念
00:24:05:25 這一次馬上要演出的這個戲
00:24:07:28 「迷香」
00:24:09:23 是滿不同於前一陣子的
00:24:12:18 創作樂趣
00:24:13:25 我調整了一下我的創作方向
00:24:16:03 我在結構上思考相聲藝術
00:24:19:07 在結構上思考喜劇藝術
00:24:21:25 但是我不再寫成
00:24:23:11 馮翊綱跟宋少卿的對話
00:24:25:08 或宋少卿跟黃士偉的對話
00:24:27:05 不再用這種對話關係
00:24:28:21 而是創造出十個角色來
00:24:30:27 五個男性角色跟五個女性角色
00:24:33:23 賦予他們奇特的人生
00:24:35:24 而他們的人生, 他們的個性
00:24:37:23 以及整個劇本的架構
00:24:39:13 採用相聲劇
00:24:40:25 採用喜劇的架構方式來建構它
00:24:44:20 這樣還可以稱之為相聲劇嗎
00:24:46:16 相聲劇或更寬廣的
00:24:48:08 我們就俗稱為喜劇
00:24:50:13 或稱為笑鬧劇
00:24:52:04 這種方式來創作出來
00:24:54:02 我相當期盼
00:24:56:11 「迷香」被演出的那個樣貌
00:24:58:18 現在正在排戲嘛
00:24:59:28 所以我非常期待
00:25:01:14 看到它怎麼被演出
00:25:02:28 那這個劇本呢
00:25:03:23 它現在也正在排版中
00:25:06:02 我已經計畫
00:25:06:25 「迷香」是要成為日後
00:25:08:15 我在學校裡面跟學生探討
00:25:10:27 劇本創作的時候的一個
00:25:13:00 一個教材
00:25:13:21 作為我跟學生談話的一個範本
00:25:16:03 來利用
00:25:16:27 OK, 既然我們已經說到這兒了
00:25:18:06 今天我們其實也是想為觀眾
00:25:19:20 好好介紹「迷香」這個戲
00:25:21:13 大家五月份可以看到這個戲
00:25:22:25 對, 到底這個戲有多特別
00:25:24:07 而且我們也邀請到了
00:25:25:08 這個戲其中一位女主角來到現場
00:25:27:03 我們休息一下, 馬上回來
00:25:28:14
00:26:02:11 各位觀眾大家好
00:26:04:06 我是相聲瓦舍
00:26:05:13 「迷香」的導演王琄
00:26:07:06 這次我做導演, 不做演員
00:26:09:00
00:26:13:26 「迷香」是馮翊綱先生的劇本
00:26:17:03 那它主要是在講一個
00:26:18:11 童年的幸福的記憶
00:26:21:15 然後在生活中
00:26:23:00 我們一直想要去尋找那個
00:26:25:07 簡單的幸福
00:26:27:01 那如何確定這個幸福
00:26:28:29 在生活中都有
00:26:30:09 它是一個非常非常
00:26:33:17 有點微甜的一個戲
00:26:35:24
00:26:43:20 其實瓦舍這次做這個戲
00:26:47:08 主要是跟相聲有點不一樣
00:26:48:29 可是它還是著重在語言的
00:26:51:12 特殊性
00:26:52:08 所以它是藉由一個
00:26:54:09 很多對話的方式
00:26:55:16 去傳達一個小時候的幸福
00:26:57:24 幸福的記憶
00:26:59:12 那「迷香」
00:27:02:14 對我來說
00:27:03:04 做導演困難也在這個地方
00:27:04:16 講這個故事
00:27:05:22 是跟以前瓦舍很不一樣的
00:27:07:23 因為所有觀眾進瓦舍來聽
00:27:11:15 都是想聽相聲
00:27:12:27 可是這一次卻要看戲
00:27:15:15 可是我又希望保有
00:27:17:03 瓦舍原來的語言的風格
00:27:19:22 那我自己在尋找這個
00:27:21:20 中間的平衡值
00:27:22:29
00:27:30:29 馮翊綱是我大學同學
00:27:32:18 同班同學
00:27:33:09 然後我們是藝術學院
00:27:35:20 現在叫台北藝術大學的第三屆同學
00:27:38:10 那我們同樣都修過導演課
00:27:40:15 而且有趣的是
00:27:42:09 導演課的畢業製作
00:27:43:28 導演課的製作
00:27:45:05 我就是導相聲
00:27:46:15 然後這兩個演員是誰
00:27:48:03 我相信大家都應該有耳聞過
00:27:50:21 一個叫做
00:27:52:05 「運轉手之戀」的導演
00:27:53:07 叫陳以文
00:27:54:17 另外一個是現在非常有名的producer
00:27:58:05 製作製片及導演
00:27:59:16 叫做陳希聖
00:28:00:28 所以他們兩個
00:28:01:13 曾經是我的相聲演員
00:28:03:11 所以不找我導, 找誰導呢對不對
00:28:05:26
00:28:13:13 其實可以分為兩個部分啦
00:28:15:05 一個是習慣看瓦舍相聲的朋友
00:28:18:22 我希望帶著一個
00:28:20:28 接受瓦舍新挑戰的心態
00:28:22:25 去看瓦舍的戲
00:28:24:19 因為瓦舍
00:28:26:06 馮翊綱先生也是很大膽
00:28:27:26 拿他自己的招牌來試這件事情
00:28:30:24 而且找我做這件事情
00:28:32:03 我覺得他也是一個挑戰
00:28:33:19 那另外一個部分是
00:28:35:01 不行, 不太知道
00:28:37:14 應該說不太有機會進劇場
00:28:40:06 看瓦舍戲的朋友
00:28:41:13 其實也可以進來看看
00:28:43:03 瓦舍其實有另外一種風貌
00:28:45:07 所以用這一個開放的心
00:28:47:11 愉悅的心, 微甜的心
00:28:49:17 進到劇場看瓦舍的「迷香」
00:28:52:04 會有不同的滋味
00:28:53:18
00:28:54:25 同時來到現場的
00:28:55:27 就是「迷香」的女主角之一
00:28:57:27 亞里, 你好
00:28:58:25 寶儀姊好
00:29:00:00 亞里其實如果常看公視的話
00:29:01:18 就會知道
00:29:02:05 是我們公視的主持人了
00:29:03:22 但是可能有一些人會注意
00:29:05:13 其實你有在演一些電視劇
00:29:07:17 這是你第一次演舞台劇吧
00:29:09:05 第一次演舞台劇, 真的
00:29:10:22 你不會害怕嗎
00:29:11:16 就跟這些前輩, 老手然後
00:29:14:12 去咬一口, 一口咬下去又這麼會講話, 對不對
00:29:17:04 其實我在排戲的前一週
00:29:19:05 我就跟我的朋友說
00:29:20:00 你們這一週不要找我
00:29:21:08 我要在家裡
00:29:22:07 我要做功課
00:29:23:21 然後可是那一整個禮拜
00:29:24:19 我都在家裡想說怎麼辦
00:29:26:06 少卿哥, 馮老師, 士偉哥
00:29:28:17 前輩他們都很有經驗
00:29:29:27 是
00:29:30:21 然後第一天去排戲的時候
00:29:32:19 其實我有一點點被嚇到
00:29:35:03 因為第一天
00:29:35:17 只有馮老師, 琄姊, 我
00:29:38:10 還有那個少卿哥
00:29:39:24 就是下馬威之夜就對了
00:29:42:01 對
00:29:43:02 那個下馬威不是在戲上面
00:29:45:14 是氣勢上
00:29:46:16 而且他們私底下
00:29:47:11 聊天的那些話題
00:29:48:29 我都有一點就是
00:29:50:01 搭不上...
00:29:50:22 對
00:29:51:23 那個王琄是我大學同學
00:29:54:25 那我跟她跟少卿
00:29:57:04 我們一起在大學時代
00:29:59:02 創辦相聲瓦舍
00:30:00:05 我們不是講
00:30:01:06 在大學時代
00:30:01:26 這個說相聲給大家聽嗎
00:30:03:26 王琄是我們一起的創辦人
00:30:06:02 所以我們所講的事情
00:30:08:10 這話題一開就是三十年
00:30:10:15 這位小朋友
00:30:11:09 當然插不上話啊
00:30:12:12 這麼年輕的小朋友
00:30:13:13 怎麼接得上話呢
00:30:15:09 也是因為這一次我覺得
00:30:18:01 我有兩位女演員
00:30:20:27 我寫出來的角色
00:30:21:27 一共是五個女性角色
00:30:23:15 那我覺得要有一個一趕四的
00:30:26:10 一個從頭到尾串演的
00:30:29:11 都很... 戲分都很重
00:30:31:13 我也很希望能夠找到新的夥伴
00:30:34:09 所以我就跟王琄商量這個事情
00:30:36:13 請她來當導演吧
00:30:38:05 竟然不是找她當演員
00:30:39:29 因為找她當演員
00:30:40:15 是非常理所當然的事
00:30:41:24 而你是找她當導演
00:30:42:26 請她當導演
00:30:43:28 那於是她二話不說
00:30:46:06 我才知道王琄跟亞里
00:30:47:16 私底下是非常要好的朋友
00:30:49:18 所以王琄就說
00:30:51:01 我有個小朋友
00:30:51:22 我覺得我非常喜歡她
00:30:53:08 我要帶她來, 你看看她
00:30:54:24 要是可以的話
00:30:55:11 我們就請她出演一個
00:30:56:29 就來了
00:30:57:28 而且我跟琄姊的淵源也是我們
00:30:59:28 大概三, 四年前拍過客台的戲
00:31:02:22 然後那個時候
00:31:03:19 因為我們都是新人
00:31:04:23 所以那個製作公司就找了琄姊
00:31:07:01 來當我們的表演老師
00:31:09:06 然後我最記得就因為
00:31:10:14 那個時候我剛開始演戲
00:31:11:15 所以對於那個哭戲的掌握
00:31:13:07 不是很能夠...
00:31:14:16 就是不是很能夠調配
00:31:16:20 然後我第一次
00:31:17:13 真的在鏡頭前面哭出來就是
00:31:19:29 我說我要琄姊
00:31:21:10 然後她就來抱了我一下
00:31:22:23 然後我就...
00:31:24:02 我就開始哭了
00:31:25:12 所以琄姊就是她在最早
00:31:27:04 她開啟了你演戲的這個窗戶就對了
00:31:30:08 對, 她就是很能夠引導人
00:31:32:11 進到某一個情境裡面
00:31:35:00 其實我發現所謂引導這件事情
00:31:37:03 有時候不是說你說了什麼話
00:31:39:00 或者是什麼的
00:31:40:05 有時候就是一個眼神
00:31:41:26 而你真的看進去
00:31:43:17 你對手的眼神裡面的時候
00:31:45:28 其實你也就在那個情境裡面了
00:31:47:25 我覺得這是演戲最神奇的事情
00:31:50:01 因為我們都會說演戲
00:31:52:03 尤其是看演舞台劇好了
00:31:54:17 你覺得你看到的是一個場景
00:31:56:29 那個場景帶來的就是
00:31:58:16 可能會是一個家
00:31:59:16 或是它是一個公園或什麼的
00:32:01:25 但沒有, 其實有的時候
00:32:04:02 我覺得那個戲
00:32:04:23 就在一個演員的眼睛裡
00:32:06:18 你就看到了整齣戲
00:32:07:28 我覺得這是最神奇的地方
00:32:09:08 這個是在表演工作坊
00:32:10:14 演過戲的女演員
00:32:12:02 說出來的話
00:32:12:16 請不要提這件事...
00:32:15:16 我都不好意思了
00:32:16:12 你看, 演過舞台劇的人
00:32:17:20 她那個感受上
00:32:18:20 她講的就是準確的
00:32:20:18 我突然臉紅了
00:32:21:14 我們現在來聊聊「迷香」吧
00:32:23:15
00:32:24:17 這個戲到底是在講什麼呢
00:32:26:04 馮老師
00:32:26:25 這個戲的故事性比較淺
00:32:29:21 一般來講我們說有一個戲
00:32:31:06 它是什麼故事線
00:32:32:04 故事線比較淺
00:32:33:13 我最主要這個戲的關鍵
00:32:35:18 是在講幾組人物關係
00:32:38:01 尤其是不同年齡層的愛情
00:32:40:19 我想要藉由一個
00:32:41:16 很簡單的小事件
00:32:42:28 看出不同年齡層他的愛情
00:32:45:13 愛情觀
00:32:46:10 不是愛情觀, 愛情關係
00:32:47:28 關係
00:32:48:18 就是這個人跟這個人...
00:32:51:06 那簡單的故事線
00:32:52:17 就是從日本來了一個神偷
00:32:54:20 女的
00:32:55:21 這個很年輕的女的神偷呢
00:32:57:18 她從日本的黑道家族偷了一個
00:33:00:18 很重要的一個秘方
00:33:03:06 一個甜點的秘方
00:33:05:07 那麼這個黑道家族已經派了殺手
00:33:07:21 在後面一路追她
00:33:09:00 這麼嚴重
00:33:09:18 她就逃... 逃到台灣
00:33:11:00 可以講逃回台灣來
00:33:12:10 因為她媽媽台灣人
00:33:13:17 逃回台灣來
00:33:14:21 很湊巧的我們
00:33:15:28 她在台灣也有一個前夫
00:33:17:28 這個角色是宋少卿演的
00:33:19:20 他好適合演前夫喔
00:33:22:11 但是宋少卿才是這整個故事的
00:33:25:05 大概核心
00:33:25:28 核心的事件的那個發生者吧
00:33:28:15 簡單說就是這麼一個配方
00:33:30:19 甜點配方
00:33:31:17 所勾引出來的各組人物
00:33:34:05 他的核心的物件
00:33:35:04 其實是我們台灣非常...
00:33:38:13 可以講平民化的一個貴重甜點
00:33:41:08 米香
00:33:42:00 爆米香嗎
00:33:43:21 「迷香」其實就是
00:33:45:05 迷上了米香的意思
00:33:48:11 那個甜點秘方就是昭和年間
00:33:51:16 原來台灣總督府的一個廚師
00:33:54:09 帶回日本去的
00:33:55:18 他珍貴的記錄了
00:33:56:20 他在台灣的生活
00:33:57:29 所以米香只是一個介質
00:34:00:02 談的是我們可貴的
00:34:01:17 台灣人的生活價值
00:34:03:12 對於幸福的那個追求
00:34:06:06 聽起來好吸引人喔
00:34:07:18 對
00:34:08:00 所以你演的是...
00:34:09:04 其實我這個角色是本來
00:34:11:22 我第一次
00:34:12:04 就是跟馮老師見面的時候
00:34:13:17 他就說, 我跟你說
00:34:15:01 我現在有個劇本
00:34:16:05 這個角色本來是我要演的
00:34:18:02 是我要演
00:34:18:19 他說他本來是他要演的
00:34:19:26 是寫給我自己的
00:34:20:28 然後他說可是我寫一寫...
00:34:22:19 我覺得這個角色是個女的
00:34:25:29 對
00:34:26:12 我想說你們兩個差太多了吧
00:34:29:14 可那是我寫的過程當中
00:34:30:25 逐漸把我的女性特質
00:34:32:09 都給勾引出來了
00:34:34:25 越來越覺得
00:34:35:24 如果我自己親自演這個角色
00:34:37:11 其實是不適合的
00:34:39:09 那我就需要一個
00:34:40:21 你好理智喔
00:34:41:24 不... 好多情喔
00:34:43:17 我需要一個年輕的
00:34:47:13 情感豐沛的
00:34:49:01 而又博學的
00:34:50:10 又能言善道的一個人來演我
00:34:54:26 那你OK
00:34:56:14 你繞了一圈就是在說
00:34:57:16 都是他很好, 對...
00:34:59:00 但是的確我要掌握這個角色
00:35:00:28 很難
00:35:02:10 為什麼, 他們如果挑上你
00:35:03:14 一定也是看到
00:35:04:03 你身上有馮老師的特質
00:35:06:22 高大威猛, 文質彬彬
00:35:09:09 不, 那都是騙人的外在
00:35:11:05 我們講的是內在的質材
00:35:13:27 因為的確這個角色裡面
00:35:15:10 真的就是反映很多馮老師
00:35:16:26 譬如說他真的
00:35:17:26 非常非常博學的部分
00:35:19:24 然後還有他很喜歡
00:35:21:12 就是超合金玩具啊
00:35:23:18 我們剛剛已經聊到這個部分
00:35:25:04 你還沒聽到這部分我們就聊到了
00:35:26:20 馮老師他非常有趣的地方是
00:35:28:18 我第一次去排練的時候
00:35:29:24 他就說亞里, 你來...
00:35:31:19 就在排練室旁邊
00:35:32:26 有兩個很大很大的那個箱子
00:35:35:17 大概我想有單人床
00:35:37:18 然後兩層那麼高
00:35:38:16 我這樣講就是我們劇團
00:35:39:26 出去巡迴演出所要用的
00:35:41:08 我們所謂大號的規格箱
00:35:43:12 裡面通常是放燈具啊
00:35:44:26 放大道具的很大...
00:35:46:03 大規格箱
00:35:46:29 然後他就打開來
00:35:48:21 裡面都是他的玩具
00:35:50:29 都是他的玩具
00:35:51:22 然後他跟我說不只這些
00:35:53:11 你用這麼好的箱子裝你的玩具
00:35:55:15 我是劇團團長嘛
00:35:57:29 公器私用
00:35:58:20 我們的... 不...
00:36:00:01 那個是我個人出錢打造的個人的, OK...
00:36:01:26 但是劇團要有一個角落
00:36:03:09 讓我藏我的玩具
00:36:04:29 這就是對於劇團
00:36:05:24 這就是當團長的好處
00:36:07:09 劇團團長的那個特權啦
00:36:09:02 而且還沒有說完喔
00:36:10:07 他的那個日本的
00:36:12:04 MIKRO MAN...
00:36:15:06 他會把它用類似女生的珠寶盒
00:36:17:22 就是那種有絨面的
00:36:19:11 藍色的盒子打開來
00:36:21:00 然後把它特別做了一個
00:36:22:09 像是珠寶盒的東西
00:36:23:16 放他的玩具
00:36:24:18 好愛喔
00:36:25:08 好愛
00:36:25:21 真愛啊, 這真的是
00:36:26:27 然後打開之後我都不好意思摸
00:36:28:10 我說這個摸了
00:36:29:02 你要戴手套吧
00:36:29:27 對
00:36:30:15 對, 還要淨身沐浴吧
00:36:31:15 不... 我也沒有讓她摸
00:36:33:16 我是讓她看看更壞
00:36:35:04 我沒有說可以摸, 我讓她看看
00:36:36:08 你要戴口罩喔
00:36:37:01 你不能呼氣對著它喔
00:36:38:11 譬如他會給我們看什麼他會說
00:36:39:23 這個等一下
00:36:40:15 因為它的質材很脆
00:36:41:21 這個已經是古董了
00:36:42:19 你們不要摸
00:36:43:19 我說OK
00:36:44:15 執著
00:36:45:10 你看到的其實是一種執著吧
00:36:47:21 然後他還說了一句話
00:36:49:12 那天我們一直笑他
00:36:50:27 他就說
00:36:51:19 我就說這個是不是因為
00:36:52:13 你小時候的某一些情操沒有被
00:36:55:07 沒有被滿足
00:36:56:02 就是那種
00:36:56:18 孩子想要玩玩具的部分
00:36:57:29 沒有被滿足
00:36:59:01 他說沒有
00:37:00:02 他說你看那種就是
00:37:01:13 玩具放在盒子裡面的人
00:37:03:10 他們才是就是想要收藏
00:37:05:16 就是孩子時候的那個渴望
00:37:08:15 他說我的玩具我都有玩的
00:37:10:27 我認為啦, 每個男生
00:37:12:13 心裡面都住著一個男孩
00:37:15:01 只有在他覺得很安全
00:37:16:29 或者是說
00:37:19:27 某一種情境之下他才會出現
00:37:21:28 不會, 我隨時都很安全
00:37:23:07 那就好啊
00:37:23:28 那表示你活得很開心啊
00:37:25:10 我隨時都是男孩
00:37:26:08 所以我什麼話我都劈里啪啦說
00:37:28:05 有時候也是把人家會嚇到的
00:37:30:17 排練的時候都好多秘密
00:37:32:15 好多秘密
00:37:33:03 所以會不會是
00:37:33:26 表示這個劇本非常的特別
00:37:35:15 所以你也把原本
00:37:36:25 寫給自己的這個角色
00:37:37:29 變成了一個女生的角色
00:37:39:06 然後
00:37:39:20 其實你也可以自己當導演的
00:37:41:05 然後找了一個女性導演來導演
00:37:42:05 對, 我好想看
00:37:43:16 我好想看這個過程
00:37:45:04 一個女導演
00:37:45:28 如何帶著漂亮的女演員
00:37:47:20 把原本我自己所提煉出來的
00:37:50:03 我自己心裡面的那個女性形象
00:37:52:21 把它呈現出來
00:37:53:25 我好想看
00:37:54:27 所以現在排練到目前為止
00:37:56:20 你覺得目前這個戲看起來
00:37:58:26 目前我們講話的時候呢
00:38:00:16 戲才剛剛達到了
00:38:02:20 各位演員要重新適應它的台詞
00:38:05:14 我們還要把台詞
00:38:06:02 進行進一步修改的這個階段
00:38:07:21 所以還沒有走起來
00:38:08:28 我們現在還言之過早
00:38:10:07 OK, 那好
00:38:11:09 我們也一一介紹吧
00:38:12:11 除了你之外呢
00:38:13:04 還有基本的團員少卿
00:38:15:18 宋少卿
00:38:17:10 黃士偉
00:38:18:06 黃士偉也要一趕四
00:38:20:12 他也一趕四喔
00:38:21:06 他一個人要演四個男性角色
00:38:23:21 那麼另外就是楊千霈
00:38:25:22 楊千霈一個人要演
00:38:27:02 四個女性角色
00:38:29:07
00:38:30:02 對演員來說也是非常大的挑戰
00:38:32:06 是
00:38:32:19 不容易, 好不容易
00:38:33:22 而且其實對觀眾來說
00:38:35:01 還有另外一個好康
00:38:36:11 這時候我們不免也要
00:38:37:15 跟觀眾介紹一下
00:38:38:16 因為既然這個戲叫「迷香」
00:38:40:08 講的是爆米香的故事
00:38:42:14 好像現場還可以吃到, 對不對
00:38:43:27 這我們正在安排
00:38:45:04 我希望能夠完美的安排到
00:38:47:07 就是第一個, 觀眾離場的時候
00:38:50:02 如「寶島一村」
00:38:50:26 我覺得這個idea我就承認
00:38:52:07 是跟「寶島一村」有關的
00:38:54:01 「寶島一村」的劇情當中
00:38:55:19 有很棒的包子
00:38:57:13 於是各位觀眾
00:38:58:14 看「寶島一村」的人
00:38:59:18 離場的時候
00:39:00:04 都可以帶一個包子走
00:39:01:18 不管你把它視為是紀念品啊
00:39:03:23 還是塞肚子的點心啊
00:39:05:25 都好
00:39:06:10 它是一種跟戲
00:39:08:08 一個觀眾來看了戲
00:39:09:13 他帶了一點戲的戲味離開的這種情感
00:39:13:12 所以我覺得這個idea非常的好
00:39:15:08 我沿用這個idea
00:39:16:03 所以我這一齣戲呢
00:39:17:10 就可以讓大家帶一塊米香走
00:39:19:07 我們也聯絡廠商
00:39:20:16 是在台上現場做
00:39:21:18 砰完之後再發給大家, 不是
00:39:23:14 差不多
00:39:24:14 那麼觀眾離場所帶走的那一塊
00:39:27:02 是我們請廠商特別包裝的
00:39:28:26 OK
00:39:29:09 然而我們在部分的場次
00:39:31:02 我們現在因為還沒有講定
00:39:32:26 部分的場次應該會安排
00:39:36:04 真的
00:39:36:25 真的, 你離開
00:39:37:23 你離開劇場的時候
00:39:38:24 外面真的有人在爆米香現場爆
00:39:41:08 你知道爆米香
00:39:41:25 你可以吃到現場
00:39:42:20 爆米香真的是
00:39:43:16 我們小時候一個很特別的回憶
00:39:46:11 好幸福的感覺
00:39:47:05 爆米香來到你家巷子的時候
00:39:49:27 那就跟叭噗叭噗來的時候
00:39:51:26 那種小孩子萬人空巷
00:39:54:01 就說來啦
00:39:55:14 瘋啊
00:39:56:08 然後趕快叫媽媽趕快
00:39:57:08 拿一個罐頭裡面裝米, 裝糖
00:40:00:00 來排隊
00:40:00:12 來排隊
00:40:01:09 然後呢
00:40:02:00 因為小時候其實
00:40:03:10 我們沒有這麼多電視可以看
00:40:04:24 沒有這麼多收音機
00:40:05:14 可以聽的時候
00:40:06:15 那時候爆米香一砰的時候
00:40:08:04 會有很多煙
00:40:08:24 你跟比你大多少歲的人
00:40:10:04 一起長大
00:40:10:25 我的天啊
00:40:11:14 沒有啊, 我是我們家最大的
00:40:12:19 因為你這麼年輕
00:40:13:19 然後你居然講出來的事情
00:40:14:20 都是我小時候的事情
00:40:17:12 突然之間有一種
00:40:18:04 把自己秘密洩漏出來
00:40:19:25 但真的, 因為爆的時候會有煙
00:40:22:28 很大的一陣煙
00:40:24:19 然後大家都會在那個煙裡面跑來跑去
00:40:26:19 然後因為以前哪有什麼
00:40:27:23 我們哪知道什麼乾冰
00:40:29:11 或什麼東西
00:40:30:11 然後都是看電視覺得說
00:40:32:14 綜藝節目裡面噴射出來的東西
00:40:34:12 怎麼會在現實生活當中
00:40:35:22 竟然在爆米香的時候會出現
00:40:37:15 所以你現在承認
00:40:38:01 我劇本寫得好吧
00:40:39:18 很真實
00:40:40:12 這有寫進去嗎
00:40:41:03 人家馬上提的第一個感受
00:40:43:22 講到米香的地方就是那一陣煙
00:40:46:09 那一陣煙太神奇了
00:40:47:07 那陣煙就是我們這齣戲的關鍵
00:40:50:00 真的嗎
00:40:50:14 對
00:40:51:05 那一場魔幻的煙
00:40:52:13 吸到一百次就能心想事成
00:40:55:20 無往不利了
00:40:56:18 所以你們是魔幻寫實啊
00:40:58:04 是我設定的一個魔幻
00:41:00:17 這劇本很重要的一個核心關鍵
00:41:02:19 就是這一陣煙
00:41:03:27 你看他好得意喔
00:41:05:19 不過我剛才從寶儀姊嘴巴聽到的時候
00:41:07:23 我說原來這不是只有他的經驗
00:41:10:23 你以為是他自己幻想出來的嗎
00:41:13:03 我以為是他的年代沒有...
00:41:15:20 你小時候都跑去幹嘛了你
00:41:17:13 不是, 我們那個
00:41:18:12 她距離我們有點遙遠
00:41:19:22 我們那個年代
00:41:20:08 已經都是一袋一袋裝好然後
00:41:22:07 幸福的小孩
00:41:22:16 沒有看到過程
00:41:23:16 幸福的小孩沒有
00:41:24:15 但那個真的是大家的共同回憶
00:41:26:12 我相信這個戲一定會
00:41:29:10 我覺得可能不同年紀的人看
00:41:30:28 會得到不同的東西
00:41:32:15
00:42:07:06 我曾經看過一個
00:42:09:01 我忘記是導演還是編劇
00:42:10:15 曾經說過一個話
00:42:11:16 他說其實一個好的劇本
00:42:13:19 只有三個要素
00:42:15:15 就是角色
00:42:17:13 還有角色
00:42:19:05 還有角色
00:42:20:21 你上過我的課
00:42:21:18 我沒有上過你的課
00:42:23:10 我也是聽人家說的
00:42:24:15 可是...
00:42:25:05 那個人上過我的課
00:42:27:10
00:42:29:13 敝人在北藝大教劇本創作
00:42:31:12 也說過同樣的話
00:42:32:05 趕快報名吧
00:42:33:29 這個江湖上流傳得很快啊
00:42:35:11 對
00:42:36:11
00:42:37:03 可是事實上是真的, 因為...
00:42:39:29 說實在的
00:42:40:21 我覺得只要角色成立了
00:42:42:24 你不管把他放在任何情境
00:42:44:11 都是一齣非常好看的戲
00:42:47:08 你就會很想知道
00:42:48:20 不管
00:42:49:09 我這樣講
00:42:49:26 我們稍微做人要謙虛
00:42:51:27 話不是我講的
00:42:53:22 這個話是一種體會
00:42:55:02 一種對於前人所寫的
00:42:57:00 好的劇本的體會
00:42:59:01 好劇本它之所以令人回味無窮
00:43:02:07 就是因為它有精彩的人物
00:43:03:22 是
00:43:04:03 有精彩的角色
00:43:05:00 是
00:43:05:22 那個就是劇本的根本命脈
00:43:08:06 所以這會不會跟你以前
00:43:09:17 寫的劇本有點不太一樣
00:43:10:29 相當的不一樣...
00:43:12:03 你有看過以前
00:43:13:03 馮老師不管是他演出
00:43:14:11 或他寫的劇, 有嘛
00:43:15:14 看了不少
00:43:16:02 大忠大孝啊, 是不是
00:43:17:23 然後也...
00:43:19:02 而且也研究了非常多的中國歷史
00:43:21:10 中國文化
00:43:22:10 然後教會了我們很多東西
00:43:24:14 但你突然之間又把這個focus
00:43:27:10 又降到... 不要說降到啦
00:43:29:17 可能這也是另外一種提升也不一定
00:43:31:15 又集中在人或人的感情的身上
00:43:34:07 你覺得這是對你來說
00:43:35:03 是一個什麼樣的轉變
00:43:36:26 大概是我老了
00:43:38:15 嘆了這口氣, 我好害怕喔
00:43:40:29 搞不好是因為真的體會到自己
00:43:43:17 年齡上來了
00:43:44:12 因為眼睛的變化, 膝蓋的變化
00:43:48:16 人身體是先告訴你的一件事情
00:43:51:23 血壓的變化
00:43:53:20 是有一些你要
00:43:55:24 不得不服氣的事情在發生
00:43:58:12 所以你感受到生命的
00:44:00:16 流轉跟變化
00:44:01:14 你感覺到自己逐漸的往一個
00:44:03:23 沒有以前那麼強健的體魄
00:44:06:06 發展的時候
00:44:07:07 你如何來體會自己
00:44:08:24 上了一點年紀之後
00:44:10:01 還要活得很美的那個感覺
00:44:13:12 追求無論如何
00:44:14:11 我都要幸福的活著的那個感覺
00:44:16:16 也許是這個檢討
00:44:18:01 就產生了這個作品
00:44:19:15 我覺得馮老師其實
00:44:21:06 他感覺起來就是
00:44:22:09 他說的好像都是大道理
00:44:23:16 可是其實他內在有很多
00:44:25:27 我感覺他在生命中體驗很多
00:44:27:25 跟愛, 然後跟接受
00:44:29:21 跟包容有關的
00:44:31:05 都在劇本裡面
00:44:32:06 我覺得我是被愛
00:44:33:19 被愛了很久
00:44:34:25 被大家捧著很久
00:44:37:13 被大家關注了很久
00:44:38:26 被各種我幸運的, 幸福的
00:44:42:03 一路活過來的
00:44:43:02 所有這樣對待我的人
00:44:44:29 我覺得這些體會應當要
