01:00:30:15	01:00:31:09	你看
01:23:25:07		就不疾不徐的站起來
01:23:27:09		然後把身上那些穢物抖掉
01:23:28:29		而且那天我們還吃麻辣鍋
01:23:30:10		就是什麼都有
01:23:32:05		還有什麼蟹味棒什麼有的沒的
01:23:34:01		他就把那些東西清完之後
01:23:35:17		然後坐下來
01:23:36:03		怎麼樣, 有沒有好一點了
01:23:37:15		從此之後
01:23:38:03	01:23:39:19	我吃飯再也沒坐過他旁邊
01:23:40:28		因為我大概有效射程
01:23:42:00		大概五十公分左右
01:23:42:25	01:23:44:15	還有效射程
01:24:16:22		就是有一些很特別的點滴
01:24:19:13		這是你們師徒之間的感情
01:24:21:06		然後可是也就是因為
01:24:22:17		你們是這麼不一樣的人
01:24:24:13		就是不管是成長的歷程
01:24:27:19		人的個性
01:24:28:25		也是一樣的
01:24:29:22		所以你最終一定會走上一條
01:24:31:20		自己的道路
01:24:32:26		而我覺得故事工廠
01:24:34:06		就是你要開始走
01:24:35:20		my way的時候了
01:24:37:15		其實像你的第一齣戲
01:24:40:06		就是「白日夢騎士」
01:24:42:03		如果那就是你的處女...
01:24:44:21		就等於是故事工廠的
01:24:46:06		處女作的話
01:24:47:25		你覺得那很能代表你嗎
01:24:49:24		是...
01:24:51:08		我覺得我自己就是白日夢騎士
01:24:55:01		「白日夢騎士」談的是一個
01:24:56:10		現代的唐吉訶德
01:24:58:23		我當時做那齣戲
01:25:00:19	01:25:01:29	其實我有一個想法
01:25:03:12		而這個想法其實是在
01:25:05:02		兩年前國修老師還在世的時候
01:25:07:14		他都要我在做一齣戲之前
01:25:08:29		問自己兩個問題
01:25:10:06		我為什麼要做這齣戲
01:25:12:01		這齣戲跟這個時代有什麼關係
01:25:14:25		黃致凱為什麼在二○一四年
01:25:16:24		做了「白日夢騎士」
01:25:17:21		因為我覺得
01:25:19:01		活在這個22K的世代
01:25:21:02		我們這一輩的年輕人
01:25:22:23		都失去了做夢的勇氣
01:25:25:09		所以我決定做一個
01:25:26:14		「白日夢騎士」
01:25:27:29		然後來喚醒每個人心目中
01:25:30:01		那個沉睡的唐吉訶德
01:25:32:05		但問題來啦
01:25:33:20		我在戲裡面探討一件事就是說
01:25:35:03	01:25:36:25	人活著沒有夢想等於死亡
01:25:38:07		但如果實現夢想的代價是死亡
01:25:41:12		你做不做
01:25:42:24		這是我在創作當中
01:25:44:07		一直問自己的
01:25:45:11		那現在我就是那白日夢騎士
01:25:48:07		你... 我不做戲會死
01:25:49:27		但是...
01:25:51:12	01:25:53:07	你願意為劇場付出多少代價
01:25:55:03		我裡面有
01:25:56:04		「白日夢騎士」有借用了
01:25:57:28		國修老師的一句
01:25:59:03		他曾經說過一句話
01:26:00:13		擺在戲裡面
01:26:01:17		叫做我願意死在舞台上
01:26:05:03		我把這句話擺進來
01:26:06:22		因為他是我心中最偉大的
01:26:08:29		唐吉訶德
01:26:10:10		老師在他生前就寫了墓誌銘
01:26:13:04		他的墓誌銘裡面有這麼一段話
01:26:14:20	01:26:15:06	他說
01:26:16:07		在這裡躺著一個小老頭
01:26:19:00		終其一生未完成他兩個夢想
01:26:21:16		第一
01:26:22:05		成立一個兩百人的全職劇團
01:26:25:05		第二
01:26:26:01		興建一個一千五百人次的
01:26:27:25		屏風專屬演劇場
01:26:30:17		在他的墳前
01:26:31:26		你毋須放上一束鮮花
01:26:33:24		只需放上一張
01:26:34:28		你曾經觀賞過的屏風戲票
01:26:38:12		這是我心中最偉大的唐吉訶德
01:26:40:22		所以我覺得
01:26:42:07		「白日夢騎士」這個創團作品
01:26:43:15		對我來說有很多的意義
01:26:44:22		它既談我自己
01:26:46:04		也是代表我用這齣戲
01:26:48:07		向我的恩師李國修致敬
01:26:50:27		哭了耶
01:26:52:19		不是, 因為...
01:26:54:00	01:26:54:16	對
01:26:56:25	01:26:58:22	是墓誌銘的關係嗎
01:26:59:23	01:27:00:21	他背得很好啦
01:27:01:17	01:27:02:11	一字不漏
01:27:03:01		太感人了
01:27:03:19		那就是他的強項啊
01:27:04:14		真的
01:27:05:09		對啊
01:27:06:05	01:27:06:20	對
01:27:07:16		你剛一直在搞笑
01:27:08:23		你突然之間哭了
01:27:10:00		我真的是
01:27:10:24		沒關係, 你要習慣...
01:27:12:11		我只要提到李國修
01:27:13:24		我整個人就... 對
01:27:15:25		這個是...
01:27:17:11		這需要一點時間
01:27:18:12		對...
01:27:19:02		我可以理解
01:27:19:28		好...
01:27:22:26		我要繼續問囉
01:27:23:20		可以...
01:27:25:22		OK的, 我很OK的
01:27:27:05		因為我剛...
01:27:27:25		因為我們剛剛說
01:27:29:02		如果說「白日夢騎士」
01:27:30:13		是你的風格的戲的話
01:27:32:13		那就表示其實
01:27:34:13		故事工廠要開展一個新的路了
01:27:38:05		也就是說
01:27:40:15		屏風的觀眾群
01:27:43:03		跟故事工廠的觀眾群
01:27:43:28		勢必有一天
01:27:45:04		可能會走到一個不一樣的路
01:27:47:02		因為屏風承接的是這麼多年
01:27:49:29		這麼多年陪伴著屏風長大
01:27:51:20		當然已經有一些有新血進來
01:27:53:12		可是很多人
01:27:54:02		其實是跟著國修老師的
01:27:55:25		我不要講情懷
01:27:57:13		其實屏風有非常非常多的作品
01:27:59:26		有很深的
01:28:00:23		國修老師的情懷在裡面
01:28:02:17		而大家是跟隨著這個情懷走的
01:28:04:20		而接下來你要發展的是新世代
01:28:07:02		你屬於致凱自己的情懷
01:28:09:11		我覺得那就會面臨的一個就是
01:28:11:07		觀眾也會想說
01:28:12:15		那這個就跟我們想的
01:28:13:27		有點不太一樣
01:28:15:05		可是也有可能就會吸引新一批
01:28:17:18		我們就是吸取同樣的奶水
01:28:19:12		跟養分長大的觀眾
01:28:21:01		來看說
01:28:21:23		對嘛, 我們看的劇場
01:28:22:29		這才叫劇場嘛
01:28:24:26		就是我們比較了解我們比較懂
01:28:26:12		我們笑得出來的嘛
01:28:27:28		所以其實廠長
01:28:28:27		你也要面對這樣的問題耶
01:28:31:01		一開始我們在成立的時候
01:28:32:22		曾經聊過
01:28:33:22		就是未來我們發表的作品
01:28:35:28		走向是如何
01:28:37:14		我說在前面的這幾年
01:28:39:02		我們必須要讓一般的人
01:28:41:12		都看得懂
01:28:42:23		所以剛剛講的非常對就是
01:28:44:20		所有的人進到劇場
01:28:45:22		都覺得劇場是一個
01:28:47:10		非常好玩的地方
01:28:48:27		劇場的作品很輕鬆
01:28:50:26		然後非常的貼近我的生活
01:28:53:18		我們希望把這樣的故事
01:28:55:25		一路的說下去
01:28:57:03		讓所有的人走進劇場
01:28:58:19		就會回去說
01:29:00:09		劇場真的很不一樣喔
01:29:01:27		很好看喔
01:29:03:07		我們只要把作品的品質顧好
01:29:05:28		我說的故事跟你我的生活
01:29:07:26		通通有關
01:29:09:08		你喜歡了
01:29:10:05		我就會有下一批的觀眾
01:29:11:19		如果你要這樣講的話
01:29:12:22		我必須要跟你們說
01:29:13:20		其實你們這樣做還滿成功的
01:29:15:09		因為那天跟我一起去看的朋友
01:29:17:06		是從來沒有看過舞台劇的
01:29:18:28		我也不知道我哪來的勇氣說
01:29:20:10		你要不要一起去看舞台劇
01:29:22:21		沒有嚇到人吧
01:29:23:17		不是, 因為我做這個節目
01:29:25:23		其實要看大量的表演
01:29:27:26		而沒有那麼多人想要看舞台劇
01:29:30:01		不知道
01:29:30:26		就應該說
01:29:31:29		比如上禮拜看過
01:29:32:19		我這禮拜可能就會覺得說
01:29:33:21		我想休息一下
01:29:34:24		所以我必須, 我也要開發
01:29:36:14		一起陪我看戲的朋友
01:29:38:15		所以我就開發了一個
01:29:39:29		從來沒有看過舞台劇
01:29:41:13		然後看的過程
01:29:42:28		我跟你講
01:29:44:11		看的過程當中我自己都很煎熬
01:29:46:27		就會... 因為我是一個挺
01:29:48:23		我不是看戲
01:29:49:14		我就只集中在我自己身上
01:29:50:25		我也想要照顧身邊的人
01:29:52:15		所以有時候自己看戲
01:29:53:09		是另外一種樂趣
01:29:54:18		所以我必須要照顧他
01:29:55:25		看完之後他說
01:29:57:17		我覺得舞台劇還滿好看的
01:29:59:19		所以我以前以為舞台劇
01:30:01:05		如果在那邊要坐九十分鐘
01:30:02:21		或兩個小時
01:30:03:10		有的你知道舞台劇超長
01:30:04:16	01:30:05:12	三個小時
01:30:06:15		光是用想的都覺得下次吧
01:30:09:09		或是說下輩子吧
01:30:11:05		沒想到還...
01:30:12:15		因為他也笑得很開心
01:30:13:26		我那朋友沒有那麼愛笑
01:30:14:29		所以他笑的時候我還想說
01:30:16:14		他有笑出來, 我真的覺得
01:30:18:13		真的心中的大石頭有落地
01:30:20:18		所以如果是這樣的話
01:30:22:20		我必須站在觀眾的角度
01:30:24:09		跟你們說
01:30:25:08		如果你們目標
01:30:25:29		是朝這方向走的話
01:30:26:23		其實你們有做到這件事
01:30:28:14		就請繼續努力的往前走
01:30:30:10		好, 那個
01:30:31:25		第二齣作品「3個諸葛亮」
01:30:33:12		非常快的在下半年
01:30:34:27		又要跟大家見面了
01:30:36:12		然後「3個諸葛亮」
01:30:37:03		當然就三個演員嘛
01:30:38:05		就三個演員沒錯吧
01:30:39:14		然後兩男一女
01:30:40:22		對
01:30:41:23		一枝獨秀耶
01:30:43:02		這一朵鮮花耶
01:30:45:00	01:30:47:01	插在兩坨
01:30:48:07		不會啦, 不會, 很開心
01:30:49:18		來, 身為演員
01:30:50:09		說一下這個故事吧
01:30:52:14		我其實故事的內容跟大綱
01:30:54:20		以及劇本
01:30:55:17		其實都在導演的腦袋裡面
01:30:57:17		因為這部戲非常特別喔
01:30:59:19		就是我們開排的第一天
01:31:01:04		大家就劇本呢...
01:31:02:20		沒有劇本
01:31:03:27		那故事結構
01:31:05:03		沒有故事結構
01:31:06:07		大綱, 只有一個小綱
01:31:08:09		就他就寫在...
01:31:08:24		關鍵字
01:31:10:04		真的就只有關鍵字喔
01:31:11:25		就寫在白板上
01:31:12:23		然後就關鍵字寫出來
01:31:14:09		關鍵字多嗎
01:31:15:24		加起來不到三十個字吧
01:31:18:09		差不多二十幾個, 差不多
01:31:19:06		二十幾個嘛, 差不多
01:31:20:10		然後就要排一齣戲
01:31:21:15		就要排一齣戲
01:31:22:18		然後
01:31:23:16		我真的是
01:31:24:25		雖然你知道這個環境
01:31:26:02		難怪你又要哭了
01:31:26:29		真的, 我為什麼會難過會想哭
01:31:28:17		這個環境是我喜歡的
01:31:29:29		然後合作的
01:31:31:12		合作人員都是我愛的
01:31:33:05		可是問題
01:31:34:00		對於這樣的一個創作方式
01:31:35:24		是我第一次
01:31:36:23		就是我從二○○五年接觸屏風
01:31:39:02		然後接觸舞台劇到現在
01:31:40:05		我這是第一次參與這樣的
01:31:41:29		無本排演
01:31:42:18		對, 無本
01:31:43:22		我就發現我自己的那個
01:31:46:04		這叫什麼
01:31:46:20		創作能力真是有夠低耶
01:31:48:28		就是因為我可以
01:31:50:20		比如說像以往的經歷
01:31:51:22		就是拿到劇本
01:31:52:19		好, 我去做角色功課
01:31:53:23		然後我去把這個角色
01:31:55:20		把它長出它的形狀出來
01:31:57:11		然後去詮釋這個角色
01:31:58:26		然後在當中可能去發展一些
01:32:00:24		我自己的一些東西出來
01:32:02:18		比如喜劇我很喜歡
01:32:04:03		我可以去養出一些東西出來
01:32:05:12		可是都沒有, 什麼都沒有耶
01:32:07:19		就空空的
01:32:08:16		然後我要去...
01:32:09:25		我發現好難喔
01:32:11:26		所以我時常
01:32:12:20		所以最近在排練場
01:32:13:20		我時常處於放空的狀態
01:32:15:18		我一開始覺得
01:32:16:20		原來朱德剛這麼厲害
01:32:18:25		我另外一個隊友
01:32:20:08		他叫林東緒
01:32:21:19		原來他這麼幽默
01:32:23:00		他滿好笑的喔
01:32:24:16		林東緒滿好笑的
01:32:25:24		他很優秀
01:32:26:16		我才知道
01:32:27:09		原來創作能力
01:32:28:04		是這樣子培養出來
01:32:29:15		然後我就在旁邊
01:32:30:10		就默默的看著他們
01:32:31:08		然後說可不可以先放過我一馬
01:32:33:11		讓我先好好當個觀眾
01:32:34:24		我先從他們身上先吸取一下
01:32:36:24		我才知道
01:32:37:20		原來這遊戲規則是這樣玩
01:32:39:14		因為我自己不是科班出身
01:32:40:26		所以很多劇場的
01:32:42:16		或者是一些
01:32:43:27		比如說像演員應該具備的一些
01:32:46:02		我覺得
01:32:46:26		我以前好像欠缺這方面的東西
01:32:49:00		所以我最近也跟著他們
01:32:50:08		他們在創作
01:32:51:04		然後我在旁邊上課
01:32:52:13	01:32:53:28	我自己的心得是這樣啦
01:32:56:23	01:32:58:21	愛情故事可以怎麼說
01:32:59:26		故事工廠推出第二回作品
01:33:02:12		「3個諸葛亮」
01:33:04:01		由三位說書人使出渾身解數
01:33:07:12	01:33:10:13	精彩演繹中國四大愛情傳說
01:33:11:01	01:33:13:10	小姐, 多少錢
01:33:14:17		多少錢都買不到
01:33:15:24		你那甜美的笑容
01:33:17:18		你叫什麼名字
01:33:19:07		我叫嫦...
01:33:20:04		嫦娥什麼都沒說
01:33:22:20		她是欲言又止
01:33:24:26	01:33:26:19	我...
01:33:27:00		祝英臺女扮男裝赴杭州求學
01:33:30:07		上的卻是游泳課
01:33:32:22	01:33:35:06	女兒身分會因此被識破嗎
01:33:36:15		從這個畫面我們可以看得出
01:33:37:25		這堂體育課
01:33:38:19		被安排在溪谷邊上游泳課
01:33:41:03		左... 畫面左邊是馬文才
01:33:42:21		中間是梁山伯, 右邊祝英臺
01:33:44:18		因為被怕發現是女兒身
01:33:45:25	01:33:47:02	所以不敢下水
01:33:50:26		接下來這個畫面我們可以看到
01:33:52:09		祝英臺趁梁山伯與馬文才
01:33:54:13	01:33:56:04	在比賽憋氣的時候偷偷下水
01:33:59:20		接下來...
01:34:00:08		后羿射下九個太陽
01:34:02:02		求取長生不老藥
01:34:04:06		都與嫦娥的慾望有關
01:34:06:10		我好餓
01:34:08:12		我們不是才剛吃過晚飯嗎
01:34:10:28		現在的餓跟剛剛吃過晚飯的餓
01:34:14:00	01:34:14:28	不一樣
01:34:16:07		我懂了
01:34:17:27	01:34:19:11	你想吃消夜
01:34:23:00		其實剛剛是嫦娥的口誤
01:34:25:11	01:34:26:20	她要說的是
01:34:28:19	01:34:29:21	我好熱
01:34:30:22		熱啊
01:34:32:00		熱就把衣服給脫下來啊
01:34:34:27		后羿誤解了嫦娥的意思
01:34:36:07		他立馬衝到外面
01:34:37:12		拿起一把弓
01:34:38:19	01:34:39:27	彎弓瞄準
01:34:46:22	01:34:48:14	射下了一顆太陽
01:34:49:04		牛郎與織女的遠距離戀愛
01:34:51:29		因為太陽神阿波羅的介入
01:34:54:08		而鬧進法庭
01:34:55:18		傳天帝
01:34:56:11		去年七夕搭完橋之後
01:34:58:12		牛郎就要我一路跟蹤織女回家
01:35:01:09		那你看到什麼
01:35:02:15		一五一十說來
01:35:03:21	01:35:05:07	那時我看到的是
01:35:06:27		嗨, 織女
01:35:08:25		從今天起
01:35:09:25		你叫我Candy就可以了
01:35:12:28		你取了一個英文名字
01:35:14:12		這樣你比較好記啊
01:35:16:06		達令
01:35:17:03		英文名字不能亂取的
01:35:19:07		Candy不是正式的名字
01:35:21:12		通常只有鋼管女郎
01:35:23:09		才會叫做Candy
01:35:25:01		那...
01:35:26:10	01:35:27:03	Sophia
01:35:27:12		許仙一天比一天衰老
01:35:30:01		白素貞卻青春永駐
01:35:32:21		兩人的婚姻生活
01:35:34:01		將迎來何種結局
01:35:35:26		許仙發燒病倒了
01:35:38:02		白素貞悉心照顧他
01:35:40:11	01:35:43:24	這時年輕男子登門拜訪
01:35:45:02		向白素貞示愛表白
01:35:47:15		白素貞回絕了年輕男子的求愛
01:35:50:20		轉身照顧病懨懨的許仙
01:35:53:24	01:35:57:11	最後, 體力不支累倒睡著了
01:35:58:27		一連串瘋狂的想像
01:36:00:24		將大家耳熟能詳的經典故事
01:36:03:16		重新解構
01:36:05:03	01:36:07:25	從現代的眼光賦予新的面貌
01:36:14:10		「3個諸葛亮」
01:36:15:09		由朱德剛, 杜詩梅, 林東緒
01:36:18:13		擔綱演出
01:36:20:02		三位演員曾經同台演出
01:36:22:06		屏風表演班的「三人行不行」
01:36:25:08		累積兩百場以上的經驗
01:36:27:10		默契十足
01:36:29:06		這一次三人再度同台飆戲
01:36:31:24	01:36:34:07	又會碰撞出什麼樣的火花
01:37:06:26		「3個諸葛亮」其實它這個戲
01:37:08:14	01:37:10:16	跟三國演義完全無關
01:37:12:17		其實它談的是三個說書人
01:37:14:19		然後要重新去
01:37:16:11		顛覆中國四大民間愛情故事
01:37:19:17		那因為三個說書人
01:37:20:14		都自以為自己最聰明
01:37:22:01		自以為是嘛
01:37:23:00		因為說書人要博古通今嘛
01:37:24:24		所以這三個人都叫諸葛亮
01:37:27:08		搶著要說故事
01:37:28:24		那這個戲
01:37:29:25		其實它在重新去解構裡面的
01:37:34:26		這有些傳統故事裡面有瑕疵
01:37:37:06		例如說我們講嫦娥奔月好了
01:37:40:00		嫦娥她很自私偷吃了靈藥
01:37:42:06		她飛到月球上面去了
01:37:44:06		我覺得有瑕疵, 為什麼
01:37:45:19		因為后羿他既然能夠射日
01:37:48:07		他為什麼不把月亮射下來
01:37:49:09		找嫦娥算帳呢
01:37:49:23		因為他愛她
01:37:51:05		你就覺得這是瑕疵
01:37:52:21		我們是開玩笑
01:37:53:15		朱德剛說其實后羿有夜盲症
01:37:55:08		所以他看不到月亮
01:37:57:01		對, 你要講瑕疵的話其實是
01:37:59:11		你有些東西是可以切進去的
01:38:01:05		對
01:38:01:18		因為那個
01:38:02:06		因為民間故事
01:38:03:26		字真的不多
01:38:05:14		可是事實上人生很漫長
01:38:07:22	01:38:10:11	你要怎麼切其實都有可能性的
01:38:11:05		當然我們也是用現代人的觀點
01:38:13:19		再重新去談嘛
01:38:14:26		因為我們談古代人其實
01:38:16:05		所有在談古代作品
01:38:17:09		都是借古諷今
01:38:18:13		這是一定的
01:38:19:02		是
01:38:20:11		其實那故事在談的是
01:38:22:12		愛情中的自私
01:38:24:03		就嫦娥偷吃靈藥
01:38:25:22		是愛情中的自私
01:38:26:15		因為我自己在談戀愛
01:38:30:11		或是在聽朋友在敘述愛情
01:38:32:04		大家分享過程當中
01:38:33:07		明白一件事情就是
01:38:34:15		有些人他可以共患難
01:38:37:09		不能共享樂
01:38:38:29		這個是很怪的事情, 對不對
01:38:41:14		我們通常都覺得說
01:38:43:11		共患難都熬過了
01:38:44:22		怎麼沒有辦法共享樂呢
01:38:46:11		竟然沒辦法
01:38:47:01		但其實最殘忍的是這一點
01:38:48:12		對, 因為共患難的時候
01:38:50:07		是大家什麼都沒有
01:38:51:07		沒錯
01:38:51:19		都一樣苦嘛
01:38:52:22		所以我沒有什麼好失去的
01:38:54:11		但是一旦當有利益出來的時候
01:38:58:06		賺錢了
01:38:59:15		我們就開始想
01:39:00:08		為什麼你分得比較多
01:39:02:13		就是說如果當時
01:39:04:07		沒有那顆靈藥呢
01:39:06:19		那嫦娥和后羿
01:39:07:19		他們是不是就可以安貧樂道
01:39:08:23		幸福快樂的過一輩子
01:39:10:04		對不對
01:39:11:01		所以其實我「3個諸葛亮」
01:39:12:04		就在談這個事情
01:39:14:18		那像還有一個故事叫牛郎織女
01:39:18:18		牛郎織女是遠距離戀愛嘛
01:39:20:10		對
01:39:20:28		所有在故事
01:39:21:24		這是中國最古早的遠距離戀愛
01:39:24:20		那我就突發奇想嘛
01:39:25:28		那一年只見一次面
01:39:27:23		有沒有可能是說
01:39:29:06		突然
01:39:30:05		織女身邊來了一個阿波羅神
01:39:32:19		金髮碧眼的阿波羅神出現了
01:39:34:11		因為他阿波羅太陽神
01:39:35:03		每天都可以經過織女面前
01:39:37:12		所以這個戲在探討的
01:39:39:00		愛情當中的關於堅貞
01:39:41:02		甚至會探討了所謂的
01:39:42:21	01:39:45:12	跨文化戀愛這些事情
01:39:46:18		這都是我們現在
01:39:49:06		其實這個東西還是回到
01:39:50:08		談台灣人有時候
01:39:51:08		男人在戀愛當中
01:39:52:17		有時候會處於一種
01:39:53:21		自卑的一種狀態
01:39:55:09		或是說會去覺得說
01:39:56:13		所有去跟外國人談戀愛的人
01:39:59:02		都是崇洋媚外
01:40:00:02		其實不見得
01:40:01:08		其實不見得崇洋媚外
01:40:02:06		有的時候是
01:40:03:21		人家能給你不能給的某些浪漫
01:40:07:00		或是說
01:40:08:06		跟外國人談戀愛會有一種
01:40:09:23		想像的空間
01:40:10:26		他是愛上那個想像的空間
01:40:13:15		有時候並不是外國人本身
01:40:16:02		對, 所以我覺得這個戲
01:40:17:19		就是在談愛情當中
01:40:19:29		我們很多
01:40:20:24		就是藉由古代的題目
01:40:23:01		來借題發揮
01:40:24:01		那中間會有用很多很好玩的
01:40:25:24		這些說故事的形式
01:40:27:20		例如說有...
01:40:28:25		說故事有相聲嘛
01:40:30:24		然後像我裡面有皮影戲
01:40:33:23		皮影戲
01:40:34:11		對
01:40:35:08		人影
01:40:36:00		皮影戲
01:40:36:25		然後人影
01:40:37:22		然後有雙簧
01:40:40:23		然後有竹板快書等等
01:40:42:27		所以它會融合很多的這個
01:40:44:24		包括默劇等等
01:40:45:23		會有很多的形式在裡面
01:40:49:02		所以就是我一直在探討說
01:40:51:19		我們人為什麼要聽故事
01:40:53:22		人為什麼要聽愛情故事
01:40:55:17		所以我開玩笑說
01:40:57:00	01:40:58:14	愛情故事有三種
01:41:00:18		從此過著幸福快樂的日子
01:41:02:25		叫做童話
01:41:03:29		童話故事
01:41:05:21		愛得死去活來
01:41:07:15		悲劇收尾
01:41:08:09		叫做經典
01:41:10:12		因為訊息已讀未回而吵架
01:41:12:25		叫做真實人生
01:41:14:15		這三種愛情故事
01:41:15:15		OK, 這才是
01:41:16:04		現在會發生的事情了
01:41:17:28		所以而且因為她是
01:41:19:19		就杜詩梅是唯一的女生
01:41:21:22		在這個戲裡面
01:41:22:16		所以你同時也要扮演嫦娥
01:41:25:16		之類的
01:41:26:14		但其實
01:41:27:19		我們現在創作的過程當中
01:41:29:12		因為他用了四大愛情故事
01:41:32:00		對, 還有包括梁祝
01:41:33:16		還有白蛇傳
01:41:35:02		所以你是白素貞
01:41:36:21		就是...
01:41:37:05		好開心的角色喔
01:41:38:28		歷代的女神都是杜詩梅
01:41:41:12		好棒的選角喔
01:41:42:19		但我目前
01:41:43:27		就是我是被這樣的吸引
01:41:45:07		來參與這齣戲的演出
01:41:47:11		就他的號召
01:41:48:11		尤其你看聽他講完故事就覺得
01:41:50:26		這個年輕人太會說故事了
01:41:52:12		好吸引人
01:41:53:08		這個戲它跟過往的創作
01:41:55:02		不太一樣
01:41:55:16		因為我過去我的劇本
01:41:57:14		其實複雜度是很高的
01:41:59:05		我過去都是
01:41:59:29		本子都已經先完成才來排戲的
01:42:02:09		那這次不太一樣是因為
01:42:04:11		這個戲
01:42:04:27		我們當時跟鋒哥在討論說
01:42:07:00		我們要做一個
01:42:07:26		三人行不行的一個變種作品
01:42:10:26		所以是以演員為主體的
01:42:12:25		一個創作
01:42:13:18		明白了
01:42:14:12		那因為那個東西
01:42:15:05		很多是靠演員的肢體跟想像力
01:42:17:16		來呈現的
01:42:18:15		就誰來演就差很多了
01:42:19:24		對
01:42:20:06		演員非常重要...
01:42:21:20		所以其實在編劇
01:42:22:23		我很多東西是
01:42:23:29		我沒有辦法用文字來形容
01:42:26:04		形容出來
01:42:26:15		但是我必須要給一個架構
01:42:28:08		那國修老師當時他有
01:42:30:04		也有跟我談關於集體型創作
01:42:31:25		他用八個字來說
01:42:33:02		遇強則強, 遇弱則弱
01:42:34:14		沒錯
01:42:34:29		因為當你沒有
01:42:35:23		你沒有本嘛
01:42:36:20		你跟演員一起激盪
01:42:37:17		你演員強能丟出來的東西就好
01:42:38:27		沒錯
01:42:39:16		所以這次的這三個演員
01:42:41:00		都非常優秀
01:42:42:06		小曼她剛其實非常非常客氣的
01:42:44:06		她其實是一個非常優秀的演員
01:42:46:23		當然你在剛開始
01:42:48:11		在使用一個新的方式的時候
01:42:49:27		我們都在摸索
01:42:50:29		我自己也在摸索
01:42:52:13		但是我們當一剛開始
01:42:54:15		花了兩到三次的一個排練之後
01:42:56:28		我其實很快的
01:42:57:24		我整理東西非常快
01:42:59:06		我準備要收網了
01:43:00:28		我的戲通常比較複雜
01:43:02:25		因為我非常在意我的燈光
01:43:05:13		跟音樂的cue點
01:43:06:16		流暢度
01:43:07:05		我非常在意這些東西
01:43:08:09		有點龜毛
01:43:09:02		所以我最少在開演前一個月
01:43:11:28		我基本上要定稿了
01:43:13:13		我中間可以去發展嘛
01:43:14:28		那其實中間
01:43:15:23		他們其實丟了很多的東西
01:43:17:05		我覺得非常過癮
01:43:19:03		我覺得很好玩是因為
01:43:21:06		我們...
01:43:22:13		國修老師曾經說過他說
01:43:23:29		如果萬物都有陰陽的話
01:43:27:12		我跟他一樣都算是陰性的男人
01:43:31:23		我們算是比較陰性的男人
01:43:33:29		那我...
01:43:36:20		我到什麼時候發現這件事
01:43:37:26		是我三十歲那時候
01:43:39:09		我在三十歲之前
01:43:41:01		我聽的歌是很男生的
01:43:42:23		但我在三十歲之後
01:43:44:01		我開始去聽女生的歌
01:43:47:24		以前不聽女生的歌
01:43:49:04		現在會聽
01:43:49:29		比如江美琪, 梁靜茹
01:43:51:18		或是張懸, 陳綺貞等等
01:43:53:16		所以它無形當中
01:43:54:17		會讓我在對於女性的這一塊
01:43:57:20		會多了某一些的判斷
01:43:59:18		我畢竟我還是不能夠代表
01:44:01:05		女人的心聲
01:44:02:01		但是至少在創作的時候
01:44:04:01		我會嘗試著去聽女生的聲音
01:44:07:14		聽她們說的話
01:44:08:21		然後透過創作
01:44:10:16		我也不要求說
01:44:11:16		自己要來反應什麼
01:44:12:13		女性的什麼對愛情的看法
01:44:15:02		因為我就是男性嘛
01:44:16:16		而且我也不認為說
01:44:17:14		很多人說談愛情一定要是
01:44:19:29		女生的編劇才了解女人
01:44:22:15	01:44:23:17	我不這麼認為
01:44:25:14		反倒就是
01:44:26:18		我就是一個男性的編劇
01:44:28:14		所以我就可以
01:44:29:15		讓你們更清楚知道
01:44:30:20		到底我們男生心裡
01:44:32:08		腦子在想什麼
01:44:34:01		男人的自私
01:44:36:01		男人有些對於某些愛情的
01:44:37:26		某些那種
01:44:39:16		這種
01:44:41:11		那種很奇怪的堅持
01:44:43:14	01:44:44:10	然後
01:44:45:00		很多是女生想不透的
01:44:46:16		但是我們男生看男生
01:44:47:15		就很清楚的知道他在想什麼
01:44:50:04		你知不知道你的男...
01:44:51:15		你為什麼
01:44:52:06		永遠是跟這種的男生交往
01:44:55:15		有些人就是他的愛情
01:44:56:29		形成一個慣例了
01:44:58:06		你永遠是跟這種男生交往
01:44:59:09		永遠是被這種男生
01:45:00:21		吸引
01:45:01:20		對, 那為什麼
01:45:02:29		我們男生看男生就很明白了嘛
01:45:06:13		對不對
01:45:07:01		所以我覺得這反倒是我一個
01:45:08:09		男性的創作者的一個優勢
01:45:11:25		所以你...
01:45:13:15		好, 現在你是
01:45:14:18		因為你沒有參與其中創作了
01:45:16:15		你會怎麼看待
01:45:17:09		「3個諸葛亮」這個戲呢
01:45:19:15		其實這樣
01:45:20:04		就是我搭建的叫做一個平台
01:45:22:23		所以我期待在致凱的手上
01:45:25:22		在這三個演員共同的
01:45:27:24		集體創作的過程裡面
01:45:29:24		他們會把很多
01:45:31:24		故事裡面我們原始設定
01:45:33:13		要探討的這些愛情的主題
01:45:35:22		他可以說得非常的完整
01:45:38:11		但是過程當中
01:45:39:28		讓所有來參與的朋友
01:45:41:17		能夠是一個非常輕鬆而歡樂的
01:45:44:01		當你進來劇場你就發現
01:45:46:04		原來劇場這麼可愛
01:45:48:00		劇場可以談這麼多有趣的道理
01:45:50:07		但是為什麼它可以用這麼
