01:00:19:02	01:00:20:13	賣竹竿
01:22:11:08		快... 輕一點
01:22:12:15		好了, 你不要動嘛
01:22:13:14		我要動
01:22:13:27	01:22:15:13	我要做事...
01:22:17:05	01:22:18:00	來...
01:22:20:11	01:22:21:13	沒了
01:22:22:23		沒有了好了
01:22:24:10		沒有流血
01:22:25:16		而且連這個傷痕都沒了
01:22:27:13		也不痛了
01:22:28:11	01:22:29:11	不痛
01:22:30:01		老師, 你這個藥膏好厲害喔
01:22:32:14		厲害的不是藥膏
01:22:33:26		厲害的是這兩罐
01:22:36:10		原來這兩罐神秘的溶液
01:22:39:00		一個是加水稀釋的硝酸鐵
01:22:41:17		一個是硫氰化鉀
01:22:44:03		當淡黃色的硝酸鐵溶液
01:22:46:01		塗在咱們黃皮膚的人手上
01:22:48:24	01:22:50:20	彷彿隱形一樣
01:22:52:07		再用浸泡過硫氰化鉀溶液的假刀
01:22:54:29	01:22:56:26	就能劃出血痕
01:22:57:17		因為這兩種化學物一旦混合
01:22:59:28		便能迅速產生色彩變化
01:23:02:05	01:23:04:29	轉眼變成鮮血般的深紅色了
01:23:13:05		冒出的血
01:23:14:02		是因為我們手上
01:23:15:02		塗有硝酸鐵的關係
01:23:16:20		當三價的鐵離子
01:23:18:02		跟硫氰化鉀作用
01:23:20:05		就會形成紅色
01:23:21:09		那只要利用藥膏的油脂跟水分
01:23:24:15	01:23:27:07	就可以輕易的把血跡給它塗掉
01:23:27:27		老師說
01:23:28:20		這就是鐵離子的錯合反應
01:23:30:22		甚至還能做出血書效果呢
01:23:33:27		只要將宣紙沾染硫氰化鉀
01:23:36:06		再靠著硝酸鐵溶液的幫忙
01:23:38:08		要蓋血手印, 塗鴉寫字
01:23:40:09	01:23:41:25	都沒問題啦
01:23:44:27		這一集實驗
01:23:45:19		我們發現有一些電視購物
01:23:47:11		為了要快速展現商品的效果
01:23:49:27		會用各種手法凸顯商品的功能
01:23:52:15		像是借位拍攝
01:23:53:24	01:23:56:03	讓粉筆灰裝作是刮痕
01:23:56:15		優碘竟然可以裝作各種的髒汙
01:23:58:25	01:24:01:00	再藉由還原劑來清除
01:24:02:13		甚至還能利用鐵離子的錯合反應
01:24:04:29		做出流血效果
01:24:06:13		各種驚奇的實驗
01:24:07:23		可是讓電視機前的觀眾朋友
01:24:09:27		分不清商品的成效
01:24:11:14		但是幸運的是
01:24:12:21		電視購物有個極大的好處
01:24:14:16		就是有鑑賞期能夠辦理退貨
01:24:17:06		但是購物之前多比較, 多篩選
01:24:19:16		讓聰明的腦袋瓜冷靜之後
01:24:21:16		再分析商品
01:24:22:25	01:24:24:25	才能避免當冤大頭喔
