01:01:03:26	01:01:07:05	立育, 你在看什麼書啊
01:26:43:06		其實我一直在
01:26:44:22		一件一件的完成夢想
01:26:46:08		第一個夢想是
01:26:47:04		希望自己可以當老師嘛
01:26:51:04		然後現在其實也完成了一半
01:26:52:27		雖然還不是正式老師
01:26:54:00	01:26:56:13	但是其實也已經完成了一半
01:26:57:13		對, 然後念研究所
01:26:59:11		今年也完成了我的這個夢想
01:27:01:28		就是我現在正在念研究所
01:27:04:12		還有我想要帶給學生
01:27:06:01		什麼樣的音樂課
01:27:07:05		就是讓他們覺得音樂很好玩
01:27:10:06		而且學起來會很有成就感
01:27:13:13		然後讓他們覺得
01:27:14:08		音樂是他們生活的一部分
01:27:16:07		其實我們教書
01:27:17:07		其實不是在教書
01:27:18:10		是在教人
01:27:19:19		如果可以去發掘
01:27:20:24		每一個小孩的專長
01:27:22:29		發現他的優勢
01:27:24:24		發現他的特質
01:27:26:04		我覺得對老師來講
01:27:27:02	01:27:29:09	都是最大的成就感
01:27:31:06		思斐勇敢的面對自己
01:27:34:00		跨越視力的障礙
01:27:35:29		用努力去克服先天的不足
01:27:38:28		放心大膽的發揮專長
01:27:41:10		去做自己想做的事
01:27:43:18		思斐的例子告訴我們
01:27:45:17		身心障礙朋友不要自我放棄
01:27:48:03		也不要自我設限
01:27:50:02		如果心中有夢就要努力去追求
01:27:54:03	01:27:57:11	終會有夢想實現的一天
01:30:23:11	01:30:24:24	OK
01:30:25:29	01:30:27:06	打扮好了
01:30:27:18	01:30:29:07	讓我看看
01:30:34:17		有點像外國人了
01:30:36:23		因為這齣戲
01:30:38:07		有一個外國人的角色
01:30:40:25		他的英文
01:30:41:25		你們聽不懂
01:30:43:06		你們的中文
01:30:44:16		他聽不懂
01:30:46:15		所以我們需要一位翻譯
01:30:50:06		你
01:30:50:19		不, 我不會啊
01:30:52:20		你
01:30:53:09		我... 我不行
01:30:54:28		那你
01:30:56:03		不... 我也不懂啊
01:30:58:06		你
01:30:58:29		我
01:31:00:02		選我啊
01:31:02:04	01:31:03:27	好啊...
01:31:05:26		還是算了吧
01:31:07:00		你我
01:31:08:07		不然就你吧
01:31:10:11		我... 僑導
01:31:12:01		一般演員是用口語
01:31:14:08		我們聾人是比手語
01:31:17:19		那麼這位外國人
01:31:19:07	01:31:21:25	要比美國手語嗎
01:31:22:06		對啊, 有道理
01:31:23:21		這個建議好
01:31:25:03		布萊德
01:31:26:04		待會兒拍戲
01:31:27:05		他們都比台灣手語
01:31:28:21		你就比美國手語
01:31:30:13	01:31:31:15	OK吧
01:31:34:14		好的, 各位觀眾朋友
01:31:36:16		今天手語劇場要拍的戲是
01:31:39:14		「愛的麵包魂」
01:31:41:15		以台灣手語和美國手語
01:31:43:03		雙語演出
01:31:44:19		五
01:31:45:03		四
01:31:45:14		三
01:31:46:01		二
01:31:47:01	01:31:48:08	開麥拉
01:32:02:06		你們今天生意那麼好
01:32:04:03		都沒有麵包了耶
01:32:05:24		剩一個喔
01:32:06:27	01:32:08:27	老闆, 我買這個啦
01:32:09:26	01:32:10:25	好
01:32:11:20		不用包啦
01:32:13:09	01:32:15:07	來... 我直接吃
01:32:21:19		現在生意為什麼那麼好啊
01:32:24:09		很好吃耶
01:32:25:17	01:32:26:25	真的嗎
01:32:27:13		對啊, 很好吃
01:32:29:01	01:32:32:16	曉萍, 這是你們外國師傅做的
01:32:33:23		布萊德
01:32:34:25		她問這個麵包是你做的嗎
01:32:37:18		不... 那不是我做的
01:32:39:20	01:32:42:10	是糕餅做的
01:32:44:07	01:32:46:26	這麵包是糕餅做的喔
01:32:48:16	01:32:50:23	糕餅跟你學的啦
01:32:53:09		自從你們外國師傅來了以後
01:32:55:25	01:32:58:19	生意就變好了耶
01:33:01:02	01:33:01:26	卡
01:33:02:16		歐巴桑, 這麵包好吃嗎
01:33:05:28		好吃
01:33:06:25	01:33:08:18	很好吃
01:33:09:17		用手拍拍臉頰
01:33:11:16		就是手語的好吃
01:33:14:12		好吃
01:33:16:18		我們也可以比吃起來很棒
01:33:19:09		好吃
01:33:21:02		好吃
01:33:22:22		你看
01:33:24:03		捏起來鬆鬆軟軟的是
01:33:27:13	01:33:29:07	麵包
01:33:30:10		麵包
01:33:32:00		接下來是
01:33:34:05		拿一塊糕餅放進嘴巴吃
01:33:37:12	01:33:38:24	手語就是...
01:33:40:15		糕餅
01:33:42:06	01:33:45:15	糕餅...
01:33:45:29		但是我告訴你
01:33:47:09		這裡說的糕餅
01:33:48:15		指的是人的名字
01:33:50:04		所以要加一個男生
01:33:51:20	01:33:53:26	也就是糕餅男
01:33:54:16		糕餅男
01:33:56:18	01:33:58:18	表示是人名, 瞭解吧
01:33:59:11		僑導, 請問你
01:34:02:01	01:34:05:26	我們歐巴桑的手語要怎麼比
01:34:06:21		歐巴桑啊
01:34:08:00		原本沒有這個手語
01:34:09:13		所以我們就照字面比
01:34:13:00		就比歐巴桑
01:34:16:17		但是聾人可能看不懂
01:34:18:18		因為歐巴桑
01:34:19:21		是從日語發音翻譯過來的
01:34:22:09		通常用來稱呼中老年的婦女
01:34:26:02	01:34:28:10	所以我們會看情形
01:34:28:23		像曉萍這樣是
01:34:30:27		四, 五十歲的歐巴桑
01:34:33:11		或者看起來
01:34:35:09		你看
01:34:35:25		五, 六十歲的歐巴桑
01:34:38:01		是這樣子的
01:34:39:09	01:34:42:28	那麼你看我是幾歲啊
01:34:46:02	01:34:50:20	你是七, 八十歲的歐巴桑
01:34:52:06		沒禮貌
01:34:53:20		我不要跟你說話了啦
01:34:54:29		走開啦
01:34:56:12	01:34:58:01	我要吃麵包了
01:34:58:16		我吃糕餅
01:34:59:28		繼續拍戲
01:35:00:24	01:35:02:00	開麥拉
01:35:09:12		糕餅哥哥, 我要買麵包
01:35:14:14		嗨, 小豆腐
01:35:16:17	01:35:17:23	嗨
01:35:19:04		今天生意這麼好
01:35:21:02		全都賣完了
01:35:22:07		那我們明天再來買好了
01:35:24:02		好不好
01:35:25:14	01:35:26:28	卡
01:35:27:29	01:35:30:10	盤子上面光光的
01:35:31:05		食指彎曲刮一下
01:35:32:22		手語的意思就是一掃而空
01:35:36:12		一掃而空
01:35:38:19		如果這個手語放在頭上光光呢
01:35:42:03		就是剃光頭
01:35:44:08	01:35:45:26	剃光頭
01:35:46:20		下巴有鬍子
01:35:48:13		刮在下巴就是刮鬍子
01:35:52:13	01:35:53:26	刮鬍子
01:35:54:18		歐洲人眼睛很深邃
01:35:57:12		這個食指彎曲挖眼睛的意思
01:35:59:13		就是歐洲
01:36:01:04	01:36:02:26	歐洲
01:36:03:10		兩隻手在臉頰兩邊刮呢
01:36:05:27	01:36:08:18	就是好奇
01:36:10:00	01:36:11:25	好奇
01:36:12:09		我們把剛才教的幾個手語
01:36:14:13	01:36:16:09	串成句子
01:36:27:23		手語是不是很有趣呢
01:36:29:10		好, 繼續拍戲
01:36:30:17	01:36:31:20	開麥拉
01:36:36:28	01:36:39:25	可是明天就要搬家了
01:36:42:01		搬家
01:36:43:14	01:36:45:05	是要搬去哪裡
01:36:46:01		去台北啊
01:36:47:14		就想說給小豆腐
01:36:49:07		去念比較好的學校
01:36:50:24	01:36:52:22	所以要搬去台北
01:36:54:05	01:36:56:17	什麼時候要走
01:36:57:05		大概明天八, 九點
01:36:59:00	01:37:00:14	早上
01:37:03:26	01:37:04:24	小豆腐
01:37:05:14		明天早上
01:37:07:03		糕餅哥哥再做好吃的菠蘿麵包
01:37:10:13		給你吃
01:37:11:27	01:37:13:15	好不好啊
01:37:14:27		可是我比較想吃
01:37:16:26		布萊德哥哥做的
01:37:18:23	01:37:20:00	不可以
01:37:21:01		不可以
01:37:22:00	01:37:24:04	不可以這樣子啦
01:37:25:23	01:37:28:29	他們明天要搬到台北
01:37:30:06	01:37:33:15	為了換個好環境, 對吧
01:37:35:25		你能為他們做個好吃的麵包嗎
01:37:40:10		當然可以
01:37:42:00		我明天做一個特別的給你
01:37:46:07		我明天給你
01:37:48:23	01:37:49:27	卡
01:37:50:10		今天難得請到外國人布萊德
01:37:52:23		到手語劇場來
01:37:54:11		不如我們就來學點美國手語
01:37:56:10		好不好
01:37:57:11	01:37:58:20	OK
01:37:59:15		台灣手語
01:38:00:28	01:38:02:26	當然可以
01:38:03:19		當然可以
01:38:06:01	01:38:07:25	那美國手語呢
01:38:08:16		Of course
01:38:11:02	01:38:13:04	Of course
01:38:14:00		台灣手語
01:38:15:14		明天
01:38:17:11		明天
01:38:18:27	01:38:20:25	那美國手語呢
01:38:21:26		Tomorrow
01:38:23:27	01:38:25:08	Tomorrow
01:38:26:07		台灣手語
01:38:27:20		特別
01:38:29:12		特別
01:38:30:29	01:38:33:05	美國手語呢
01:38:33:17		Special
01:38:36:09	01:38:38:21	Special
01:38:39:10		當然可以
01:38:41:18	01:38:44:29	明天做一個特別的給你
01:38:47:03		Of course
01:38:48:28		I will make a surprise
01:38:51:24	01:38:54:09	for you tomorrow
01:38:55:03		很多人都問過
01:38:57:08		手語是不是全球通用的語言呢
01:39:00:11		你現在應該知道了
01:39:01:22		每個國家
01:39:02:11		因為不同的語言, 風俗, 文化
01:39:06:04	01:39:09:04	所以手語自然也是不相同的
01:39:09:25	01:39:11:24	That's right
01:39:12:27		但是有些肢體動作的手語
01:39:15:11		是一樣的
01:39:16:29	01:39:18:12	比如說呢
01:39:18:26		開車
01:39:20:03		開車
01:39:21:13		睡覺
01:39:23:00		睡覺
01:39:24:07		棒
01:39:25:07		棒
01:39:26:18		棒
01:39:27:12		五
01:39:28:02		四
01:39:28:21		三
01:39:29:08		二
01:39:29:24	01:39:31:16	開麥拉
01:39:35:14		他說明天做一個
01:39:37:16	01:39:39:24	特別的東西給你, 好不好
01:39:40:25	01:39:42:00	好
01:39:42:10	01:39:43:29	那明天見
01:39:46:00	01:39:48:13	那明天再來喔, 好不好
01:39:51:10		跟他們說謝謝
01:39:52:27		再見
01:39:54:06		再見
01:39:55:18		拜拜
01:39:56:19		明天見
01:39:57:23		拜拜
01:39:58:10		再見...
01:40:00:24		再見...
01:40:03:19		OK, 今天的戲拍完了
01:40:06:00		謝謝大家
01:40:06:24		拍了一天辛苦了
01:40:08:01	01:40:10:11	來...
01:40:16:21	01:40:18:06	你看
01:40:20:05		歐巴桑
01:40:21:10		你怎麼還有麵包可以吃啊
01:40:23:29		不是都賣光了嗎
01:40:26:05		對啊
01:40:27:10		你先幫觀眾朋友複習手語
01:40:30:24		複習完之後
01:40:32:04		我再告訴你啦
01:40:34:18	01:40:35:22	好
01:40:36:07	01:40:37:08	來
01:40:38:16	01:40:40:04	好吃
01:40:41:12	01:40:42:25	好吃
01:40:44:10	01:40:45:24	好吃
01:40:46:29	01:40:48:11	好吃
01:40:49:15	01:40:51:10	麵包
01:40:52:12	01:40:53:28	麵包
01:40:55:18	01:40:57:10	糕餅
01:40:58:07	01:40:59:21	糕餅
01:41:00:26	01:41:03:03	一掃而空
01:41:03:12	01:41:05:11	一掃而空
01:41:06:05	01:41:07:25	剃光頭
01:41:08:16	01:41:10:04	剃光頭
01:41:10:29	01:41:12:17	刮鬍子
01:41:13:00	01:41:14:13	刮鬍子
01:41:15:10	01:41:16:29	歐洲
01:41:17:24	01:41:19:21	歐洲
01:41:20:24	01:41:22:15	好奇
01:41:23:09	01:41:25:01	好奇
01:41:26:00		當然可以
01:41:28:13	01:41:31:01	當然可以
01:41:31:27	01:41:33:26	明天
01:41:34:16	01:41:35:29	明天
01:41:37:06	01:41:38:25	特別
01:41:39:11	01:41:40:27	特別
01:41:42:17		好, 複習完了
01:41:44:04		來
01:41:45:03		這是我在還沒拍戲前
01:41:47:06		就買好的麵包啦
01:41:49:04		大家一起享用
01:41:50:03		太好了
01:41:50:27		來
01:41:52:05	01:41:54:10	好有愛的歐巴桑喔
01:41:55:07		等等...
01:41:56:05		等等... 別急...
01:41:58:03		別急...
01:41:59:26		觀眾朋友
01:42:00:26		請收看剛才拍好的手語短劇
01:42:04:05	01:42:07:28	「愛的麵包魂」
01:42:10:00	01:42:11:08	大家吃喔
01:42:11:19		來...
01:42:12:14		給我...
01:42:13:02	01:42:14:11	你也有...
01:42:15:14	01:42:17:04	走了...
01:42:17:18		導演, 我的麵包呢
01:42:20:14		麵包呢
01:42:21:24	01:42:23:25	我的麵包呢
01:42:40:08		你們今天生意這麼好
01:42:42:04		都沒麵包了耶
01:42:43:22		剩一個而已
01:42:45:03		老闆, 我要買這個啦
01:42:47:13	01:42:48:13	來
01:42:49:05		不用包了
01:42:50:25		來, 給我...
01:42:52:03	01:42:53:12	直接吃啦
01:42:59:22		現在生意為什麼這麼好
01:43:02:13		很好吃耶
01:43:03:23	01:43:04:29	真的嗎
01:43:05:19	01:43:07:00	對啊, 很好吃
01:43:07:16		曉萍
01:43:08:15		這是你們外國師傅做的嗎
01:43:11:10		不...
01:43:12:07		布萊德
01:43:13:15		她問這麵包是你做的嗎
01:43:16:02		不, 那不是我做的
01:43:18:04	01:43:20:28	是糕餅做的
01:43:22:20	01:43:25:07	這麵包是糕餅做的喔
01:43:26:18	01:43:28:28	糕餅跟你學的啦
01:43:31:21	01:43:34:12	可能是糕餅跟他學的喔
01:43:34:29		自從你們外國師傅來以後
01:43:37:10		生意就變好了
01:43:39:09	01:43:40:22	是不是
01:43:51:08	01:43:54:14	糕餅哥哥, 我也要買麵包
01:43:55:03		嗨, 小豆腐
01:43:57:05	01:43:58:10	嗨
01:43:59:14		今天生意這麼好
01:44:00:14	01:44:01:28	全都賣完了
01:44:02:26		就像你看到的
01:44:04:10		全部都賣光了
01:44:06:19		那我們明天再來買, 好不好
01:44:08:19	01:44:12:00	可是明天就要搬家了耶
01:44:14:17		搬家
01:44:16:02	01:44:17:28	是要搬去哪裡
01:44:18:22		去台北啊
01:44:19:28		就想說
01:44:21:01		給小豆腐去念比較好的學校
01:44:23:06	01:44:25:08	所以要搬到台北
01:44:27:01	01:44:29:07	什麼時候要走啊
01:44:29:26		大概明天八, 九點
01:44:31:19	01:44:33:01	早上
01:44:36:08		小豆腐
01:44:37:23		明天早上
01:44:39:14		糕餅哥哥再做好吃的菠蘿麵包
01:44:42:18		給你吃
01:44:43:25	01:44:45:26	好不好啊
01:44:47:26		可是我比較想吃
01:44:49:22	01:44:51:28	布萊德哥哥做的
01:44:53:16		不可以
01:44:54:13	01:44:56:01	不可以這樣啦
01:44:58:27	01:45:01:27	他們明天要搬到台北
01:45:02:29	01:45:06:21	為了換個好環境, 對吧
01:45:09:03		你能替他們做個好吃的麵包嗎
01:45:13:02		OK嗎
01:45:14:14		當然可以
01:45:15:24		我明天做一個特別的給你
01:45:18:22	01:45:20:23	我明天給你
01:45:21:12		他說
01:45:22:09		明天做一個特別的東西給你
01:45:24:19	01:45:25:27	好不好
01:45:26:13	01:45:27:16	好
01:45:28:04	01:45:30:00	那明天見
01:45:31:27	01:45:33:27	那明天再來喔
01:45:37:10		跟他們說謝謝
01:45:38:20		再見囉
01:45:39:16	01:45:40:17	再見
01:45:41:06	01:45:42:11	拜拜
01:45:43:04		明天見, 拜拜
01:45:45:07	01:45:47:05	再見...
01:45:54:29		曉書, 你換新手機了啊
01:45:57:18		是不是
01:45:58:18		對啊
01:45:59:10	01:46:03:10	這是朋友提前送我的聖誕禮物
01:46:04:24		這麼好啊
01:46:06:06		聖誕節都還沒有到
01:46:08:06		你就已經開始收聖誕節禮物了
01:46:10:19		好棒喔
01:46:11:27		沒辦法, 我人緣好啊
01:46:14:16		對了, 你換新手機
01:46:17:19	01:46:20:29	那舊的手機要怎麼處理
01:46:22:28		不知道耶
01:46:24:26		舊手機雖然還沒壞
01:46:26:22		不過已經用了兩年多了
01:46:28:23		就算要送人
01:46:30:04		應該也沒有人要吧
01:46:32:14		其實每次換新手機
01:46:34:22		最傷腦筋的
01:46:35:25		就是舊手機要怎麼處理
01:46:38:06		丟掉捨不得
01:46:39:20		這留著又佔地方
01:46:42:19	01:46:45:13	真是傷腦筋耶
01:46:46:13		的確
01:46:47:16		現在大家換手機的速度
01:46:50:03		都挺快的
01:46:51:13		以前是壞掉了才會換
01:46:54:08		但是現在根本不是
01:46:56:10		可以說是只要想換
01:46:58:25		就立刻就換了
01:47:00:21		那麼這些還能用的舊手機
01:47:02:26		要怎麼處理呢
01:47:04:09		其實我們只要稍微動動腦筋
01:47:06:18		這些舊手機
01:47:07:13	01:47:10:13	馬上就能找到新的用途囉
01:47:12:08		聽你這麼說
01:47:13:28		好像有什麼好的建議
01:47:16:04		說來聽聽
01:47:17:16		我問你
01:47:18:28		你平常開車
01:47:20:27		車上是不是會去買
01:47:22:29		汽車導航來裝啊
01:47:25:17		對啊
01:47:26:17		我最近才想去買個導航
01:47:28:25		來裝在車上
01:47:30:28		不過這和舊手機有什麼關係
01:47:34:18	01:47:36:19	當然有關係啦
01:47:37:06		你知道現在的智慧手機
01:47:40:02		基本上都有導航地圖
01:47:42:11		和GPS的功能
01:47:44:09		所以你只要花個一, 兩百塊
01:47:47:01		去買一個車用支架
01:47:49:03		和連接點菸器的電源線
01:47:52:19		然後再用舊手機下載離線地圖
01:47:58:19		就可以把舊手機放在車上
01:48:01:07	01:48:04:00	當導航儀來使用了
01:48:04:24		對耶, 這真是個好方法
01:48:07:20		那麼除了這個
01:48:08:20	01:48:10:24	舊手機還可以做什麼
01:48:11:16		可以做的可多了
01:48:13:21		比如說第一
01:48:15:11		下載行車記錄的APP
01:48:18:16	01:48:22:06	就可以當成行車記錄器來使用
01:48:22:27		第二
01:48:24:10		就是下載文書掃描的APP
01:48:28:11	01:48:33:06	就可以當成掃描器來使用了
01:48:33:25		至於第三呢
01:48:36:08		下載遙控器的APP
01:48:39:20		那麼就可以
01:48:40:25		把舊手機當成遙控器
01:48:44:21		總而言之
01:48:46:01		可以應用的範圍非常非常的多
01:48:49:09		反正只要我們動動腦
01:48:52:08		就可以讓舊手機
01:48:53:18	01:48:55:07	找到它的第二春
01:48:56:11		立育, 你好厲害喔
01:48:58:05		竟然可以想出這麼多的方法
01:49:00:15		使用舊手機耶
01:49:03:05	01:49:04:22	真棒
01:49:05:04		沒有啦
01:49:06:21		其實這些方法
01:49:08:22	01:49:12:00	也都是從別人那邊學來的
01:49:13:08		太好了
01:49:14:20		觀眾朋友
01:49:15:20		如果你們有想到什麼
01:49:17:10		關於舊手機二度利用的方法
01:49:20:25		也歡迎你們
01:49:21:21		在我們的網站上留言
01:49:23:17	01:49:25:17	跟我們分享喔
01:49:26:28		沒錯
01:49:28:05		今天我們的節目就進行到這了
01:49:31:17		「聽聽看」我們下週再見
01:49:34:22		拜拜
01:49:35:14	01:49:36:20	拜拜
01:49:42:19	01:49:44:00	台灣的手語
01:50:04:07	01:50:07:04	他們要搬去台北
01:50:14:15		你們今天生意這麼好啊
01:50:16:28	01:50:18:19	都沒有麵包了
