01:01:03:09	01:01:05:07	大家好, 我是曉書
01:30:22:22	01:30:24:25	感受世界各地的文化
01:30:25:13		一九九九年起
01:30:26:26		從事製造業的
01:30:27:22		芳本光司跟田中真吾
01:30:30:10		拿正職工作賺的錢充當盤纏
01:30:33:09		不定期到世界各地去旅行
01:30:35:27		免費巡迴表演
01:30:37:14		至今超過二十個國家
01:30:39:13	01:30:41:28	演出了五百一十二場次
01:30:46:06		這些都是我們去過的國家
01:30:48:21		都去過
01:30:49:15	01:30:50:07	去過
01:30:50:18		這次大阪默劇團
01:30:51:25		想要來台灣表演
01:30:53:06		所以透過社群網站
01:30:54:04	01:30:56:01	找台灣聽障朋友幫忙
01:30:57:04		日本聾人透過社群網站
01:30:59:14		跟我聯絡
01:31:00:13		我不認識他們
01:31:01:28		他們自我介紹
01:31:03:07		說劇團在日本是很有名氣的
01:31:05:19		我在台灣沒有聽說過這個團體
01:31:07:28		就留下他們的訊息
01:31:09:17		請日本的友人代為了解
01:31:12:10		確認的確是這樣
01:31:14:00	01:31:15:29	我就邀請他們來台灣表演
01:31:18:05		很榮幸
01:31:19:15		可以和日本大阪默劇團的
01:31:21:21		聽障朋友
01:31:23:05	01:31:25:22	一起坐高鐵
01:31:26:17	01:31:28:12	現在要去哪裡呢
01:31:29:05		台南
01:31:30:12		因為他們要在
01:31:31:12		台南大學附屬啟聰學校表演
01:31:35:11		芳本與田中原本只在台北表演
01:31:38:07	01:31:40:11	後來特別加碼去台南表演
01:31:40:25		本來他們來台灣只表演一場
01:31:43:13		後來南部的聽障朋友知道了
01:31:45:17		就紛紛告訴我
01:31:47:11		從來沒有看過日本劇團的表演
01:31:49:22		很希望能夠欣賞
01:31:51:03		我就問日本聾人
01:31:52:03		是否能夠在台南加演一場
01:31:54:20		台南啟聰學校
01:31:56:16		他們不知道台南在哪裡
01:31:58:04		我就畫了台灣的地圖
01:32:00:07		告訴他們台北往南走
01:32:04:04		日本聾人看了之後
01:32:05:26		馬上學會台南的手語
01:32:08:19	01:32:11:06	他們也連說OK...
01:32:12:00		這裡的溫度比較高
01:32:14:01		日本冷
01:32:14:26	01:32:15:28	這裡涼爽
01:32:19:24		為了招待遠道而來的
01:32:21:03		芳本光司與田中真吾
01:32:23:08		南大附聰特別派車接送
01:32:25:19		這樣貼心的服務
01:32:26:28		讓兩人有賓至如歸的感覺
01:32:29:13		不過或許因為路途遙遠
01:32:31:11		他們實在耐不住疲累
01:32:33:04	01:32:35:03	一上車就閉目養神了
01:32:43:04		好累
01:32:44:14		在車上坐著坐著就睡著了
01:32:47:11	01:32:49:16	現在被車子震醒了
01:32:50:28	01:32:52:05	他還在睡
01:32:53:23		剛才小睡了一下
01:32:55:13		現在精神來了
01:32:56:28		待會兒要好好表演
01:32:59:04		讓台灣的聽障學生
01:33:01:04		能夠感受我們的熱情
01:33:03:14	01:33:04:12	謝謝
01:33:05:16		抵達南大附聰之後
01:33:07:10		芳本光司與田中真吾
01:33:09:05		一刻也沒閒著
01:33:10:13	01:33:12:02	開始忙碌了起來
01:33:14:21		這要做什麼啊
01:33:15:25		秘密
01:33:17:04		不能說
01:33:18:07		提早曝光就不精采了
01:33:21:01		要保密
01:33:22:00		待會兒你看了就知道了
01:33:24:01		不能公開, 先保密
01:33:26:08		等表演的時候
01:33:27:00		才會有驚豔的感覺
01:33:29:02		我知道了, 謝謝
01:33:30:11		不打擾了
01:33:31:12	01:33:32:13	請...
01:33:33:11		這個道具是演默劇還是演魔術
01:33:36:07		一向保密到家的
01:33:37:10		日本大阪默劇團
01:33:39:02	01:33:41:07	到底葫蘆裡賣什麼藥
01:33:41:24		濂僑也湊熱鬧
01:33:43:15		是演下樓梯喔
01:33:46:03	01:33:48:15	不錯, 演得有模有樣耶
01:33:49:07		距離開演的時間還有一個小時
01:33:51:25		芳本光司與田中真吾
01:33:53:19		趕快抓緊時間準備
01:33:55:16		除了道具
01:33:56:15		連服裝與化妝
01:33:57:22	01:33:59:23	都是自己一手包辦的
01:34:01:11		兩位日本聾人
01:34:02:25		道具準備妥當之後
01:34:04:28		接著就是換裝以及化妝
01:34:10:17	01:34:11:24	你們看
01:34:29:01		他反應不錯
01:34:30:19		棒
01:34:31:28	01:34:34:24	他在測試我跟他有沒有默契
01:34:51:15	01:34:52:19	厲害
01:34:53:23	01:34:54:19	OK
01:34:55:06		為了一睹
01:34:55:25		日本大阪默劇團的精采表演
01:34:57:24		不僅全校師生總動員
01:34:59:17		還有畢業的校友呼朋引伴
01:35:01:14		特地回來母校
01:35:02:25		在現場觀眾的歡呼聲中
01:35:04:17		好戲終於登場了
01:35:05:29		節目一開場
01:35:06:22		就秀出中英日三種語言的字卡
01:35:09:13		接著進入芳本光司
01:35:11:06	01:35:13:18	與田中真吾的默劇世界
01:35:13:29		這次演出的時間長度
01:35:15:18		約一個半小時
01:35:17:02		分別表演好幾個不同的橋段
01:35:19:21		包括我們看到的暖身操
01:35:22:00		變長的手腳
01:35:23:16		提皮箱等等
01:35:24:27		大家都看得津津有味
01:35:27:04		因為表演經驗豐富的兩人
01:35:29:10		演得活靈活現, 唯妙唯肖
01:35:32:05	01:35:35:06	讓觀眾覺得十分的有趣
01:35:59:01		你們表演默劇的靈感
01:36:00:14		是從哪裡來的
01:36:02:16		有參考其他的戲劇嗎
01:36:05:18		沒有
01:36:06:15		還是自己想的
01:36:07:18		自己想的
01:36:08:25		哪來的靈感呢
01:36:10:05		聾人覺得有趣, 好玩的動作
01:36:12:27		我們就慢慢的加入
01:36:14:15		也有人會給我們建議
01:36:16:07		只要對方同意
01:36:17:05	01:36:18:13	也會融入表演
01:36:19:08		聽人的默劇
01:36:20:09		臉部比較沒有表情
01:36:22:13		這是他們的特色
01:36:24:10		但是我們學習他們的節奏感
01:36:28:13		利用強烈的節奏
01:36:30:09		融入聾人豐富的臉部表情
01:36:33:18	01:36:36:26	這是我們聾人最大的優勢
01:36:37:29		當默劇演員真的不容易
01:36:40:04		除了靈活的肢體語言
01:36:41:24		及生動的臉部表情
01:36:43:25		更重要的
01:36:44:22		是需要對生活的觀察和體驗
01:36:47:09		才能夠發揮想像力
01:36:49:03		不過看到兩人的表演
01:36:50:21		濂僑我也心癢了
01:36:52:09	01:36:53:27	想秀一下演技
01:36:57:11	01:36:59:00	現在看我表演
01:37:16:06		你們也有這段表演嗎
01:37:18:13		這是以前老一輩聾人的表演了
01:37:21:29		跟你一樣
01:37:22:26		我們不想模仿
01:37:24:19		我們有自己創作的創新的默劇
01:37:27:01	01:37:27:26	這樣啊
01:37:28:12		沒錯, 創意是靈感的根源
01:37:31:09		也是默劇裡
01:37:32:06		不可或缺的元素要件
01:37:34:11		為了可以讓大家
01:37:35:15		有耳目一新的感覺
01:37:37:06		芳本光司與田中真吾
01:37:39:04		常常會利用工作之餘
01:37:40:29		不斷的嘗試新的題材
01:37:42:23		思考設計默劇表演的動作
01:37:45:05		就像發想「淋浴」主題
01:37:47:23		原本由一個人演
01:37:49:13		但是他們覺得
01:37:50:09		唱獨角戲就顯得單調了
01:37:52:26		所以就改成兩個人一起演
01:37:55:09		一位入浴
01:37:56:09		另一位當蓮蓬頭
01:37:57:28		形成有趣的互動
01:37:59:16		就成為兩人默劇表演中
01:38:01:14	01:38:03:16	最受歡迎的重頭戲
01:38:22:00	01:38:22:24	讚喔
01:38:23:15		大家看了都笑得合不攏嘴
01:38:26:04		很好笑
01:38:27:06		你覺得笑點是什麼
01:38:28:26		淋浴的蓮蓬頭
01:38:30:04	01:38:32:25	淋浴, 用蓮蓬頭洗澡
01:38:33:11		這個是大家共同的經驗
01:38:36:04	01:38:38:08	所以都看得懂
01:38:39:09		你們覺得單人默劇跟雙人默劇
01:38:43:02		哪一種表演形式比較好
01:38:44:29		雙人好
01:38:46:02		只有一個人演戲太單調了
01:38:48:05		有人搭檔
01:38:50:04		可以隨著劇情互相作戲
01:38:52:28		吸引觀眾的目光
01:38:54:27		一來一往
01:38:55:29	01:38:57:18	有更豐富的畫面呈現
01:38:58:07		「淋浴」
01:38:58:27		是芳本光司與田中真吾
01:39:01:01		最為得意的表演作品
01:39:02:29		除了年輕美女
01:39:04:07		還有阿婆也來湊一腳
01:39:06:08		那麼兩人之間
01:39:07:05	01:39:09:16	到底會擦出什麼樣的火花呢
01:40:02:07	01:40:03:16	太讚了
01:40:05:01		看到聾人憂愁不開心的臉
01:40:08:01		我希望能夠將歡樂帶給大家
01:40:11:12		讓每個人充滿了歡笑
01:40:13:06		不管外界的紛紛擾擾
01:40:15:14		也不管聽人的世界
01:40:17:17		發生了什麼麻煩的事情
01:40:19:24		只要聾人彼此團結
01:40:22:12		沒有紛爭
01:40:23:15		和平相處
01:40:24:27	01:40:27:20	這就是聾人心裡一致的想法了
01:40:28:09		為了推廣默劇
01:40:29:18		演出結束後
01:40:30:19		還邀請小朋友一起上台體驗
01:40:33:08		芳本光司與田中真吾
01:40:35:02	01:40:38:03	熱心指導他們基本的默劇動作
01:40:40:11		我們就很開心的
01:40:42:28		等待這樣的兩位好朋友
01:40:45:26	01:40:47:19	來台灣表演
01:40:48:12		特別是因為我們的孩子們
01:40:51:19		也都以聽障為主
01:40:53:24		其實他們很習慣
01:40:55:22		用表情和肢體語言
01:40:59:03		在跟世界溝通
01:41:00:29		所以我們可以看到
01:41:02:12		在表演的過程
01:41:04:06		這兩位聾人朋友在表演的過程
01:41:07:20	01:41:09:24	我們孩子非常的陶醉
01:41:10:15		肢體語言跟表情動作
01:41:14:01		是沒有國界
01:41:15:26	01:41:18:22	也沒有語言的界線的
01:41:19:10		這樣的語言的表達
01:41:21:11		其實是一個無邊界的表達
01:41:25:09		他們就非常的喜歡
01:41:28:15		透過這樣的方式
01:41:30:15	01:41:35:03	來跟世界傳達內在的情感
01:41:39:00	01:41:40:26	OK, 很好
01:41:41:27		剛才教下樓梯
01:41:44:02		你學會了嗎
01:41:45:11		會啊
01:41:46:06		再表演一次動作給我看
01:41:48:07	01:41:49:25	下樓梯
01:41:51:18		就這樣
01:41:53:09	01:41:54:06	好棒啊
01:41:54:22		剛剛的表演
01:41:55:18		你最喜歡哪一段
01:41:57:01		表演那麼多
01:41:57:25		喜歡哪一段
01:41:59:03		剛才我們看到他們表演淋浴
01:42:02:08		真的超級好笑
01:42:03:13		有夠好笑淋浴那一段啊
01:42:04:26		老婆婆超好笑的
01:42:06:26		因為他們的動作
01:42:07:27		看起來很好笑是不是
01:42:10:12		是啊
01:42:11:00		你以後會不會學他們
01:42:12:21		不會
01:42:13:21		為什麼
01:42:15:08	01:42:16:27	我比較害羞
01:42:17:11		你覺得今天的表演怎麼樣
01:42:18:24		很讚
01:42:19:11		怎麼說
01:42:20:05		他們融入了很多的肢體動作
01:42:23:10		模仿得相當像
01:42:24:17		讓大家看得很過癮
01:42:26:12		不是只有呆板的動作
01:42:28:06		讓同學們有耳目一新的感覺
01:42:31:28		相當特別
01:42:32:17		你看完以後有什麼感覺
01:42:34:20		佷棒啊
01:42:35:19		動作, 表情都很好
01:42:37:23		就跟日本默劇一樣
01:42:39:11		的確
01:42:40:12		只要「看」到
01:42:41:05		觀眾的掌聲和笑容
01:42:42:26		就是芳本光司
01:42:44:01	01:42:46:08	與田中真吾的最大成就
01:43:16:10		既然難得來到台灣巡迴演出
01:43:18:22		兩人就特地利用回國前的空檔
01:43:21:07	01:43:23:14	想要到台灣各處走走
01:43:25:22		他們來台灣的機票, 食宿
01:43:27:14		都自理
01:43:28:14		把表演獻給台灣
01:43:29:23		真的讓我很感動
01:43:31:26		表演不收費是好事
01:43:33:19		但是我相信
01:43:34:18		日本聾人對台灣一定會很好奇
01:43:37:16		所以我決定要幫他們
01:43:39:28		他們想要去九份
01:43:41:02		或是台北101旅遊
01:43:43:28	01:43:45:26	這件事就包在我的身上
01:43:48:06	01:43:49:14	好, 出發
01:43:51:11		今天要跟著他們去九份旅行
01:43:53:20		雖然天公不作美
01:43:55:08		雨一直下個不停
01:43:56:23		但沒有澆熄他們的興致
01:43:58:24		尤其看到雨中的九份景色
01:44:01:03	01:44:02:23	特別有朦朧之美
01:44:04:04		前幾天到處去表演
01:44:06:23		表演結束
01:44:07:18		今天來到了九份
01:44:09:08	01:44:12:11	讓他們能夠放鬆的逛逛街
01:44:13:01	01:44:15:13	你們之前有來過這裡嗎
01:44:16:01		我跟太太來過
01:44:17:20		田中是第一次
01:44:18:11	01:44:19:15	第一次
01:44:19:27		濂僑我可要好好的把握機會
01:44:22:03		充當嚮導
01:44:23:08		帶著芳本光司與田中真吾
01:44:25:09	01:44:27:17	到九份老街去走走
01:44:29:17		好吃嗎
01:44:30:17		好吃
01:44:31:17		和日本的糕點很像
01:44:33:12		很好吃
01:44:34:21		裡面包的是鳳梨餡
01:44:36:22	01:44:37:19	一樣
01:44:42:02		街道窄窄長長的
01:44:43:28	01:44:45:12	我逛得好開心
01:44:45:23		我們來到一家
01:44:46:22		賣花生捲加冰淇淋店
01:44:48:24		潤餅皮包上滿滿的花生糖
01:44:51:01		跟冰淇淋
01:44:51:29		一口咬下去
01:44:53:05		兩種滋味融合在口中
01:44:54:29		讓芳本光司與田中真吾
01:44:57:01	01:44:58:16	覺得很新鮮
01:45:00:04		好吃耶
01:45:01:14	01:45:04:18	我第一次吃冰淇淋口味
01:45:12:20		來, 乾杯
01:45:13:19	01:45:15:02	乾杯...
01:45:17:08		我醉了
01:45:18:16	01:45:20:12	老闆, 你給我喝什麼
01:45:20:29	01:45:22:19	我也醉了
01:45:23:01		老闆笑得好開心
01:45:24:12	01:45:25:21	No...
01:45:26:12		來到了九份觀光
01:45:27:20		當然少不了
01:45:28:11		一定要吃一碗九份芋圓
01:45:30:23		不過沒想到
01:45:31:14		芳本光司一看到生芋圓
01:45:33:24		竟然以為可以直接吃
01:45:35:19		當然不行了
01:45:36:17		要先煮熟才行
01:45:38:16	01:45:39:29	吃吧
01:45:41:01	01:45:42:12	試吃一口
01:45:44:13		好吃
01:45:44:29		好甜喔
01:45:46:08		讚
01:45:47:04	01:45:48:01	讚
01:45:48:26		雲霧繚繞
01:45:49:28		看不清楚遠方的海景
01:45:51:26		不過山風吹來清涼舒暢
01:45:54:07		沒有都市的悶熱感
01:45:55:29		我們還發現芳本光司
01:45:57:20		還帶著自己心愛的玩偶
01:45:59:08		一起旅行
01:46:00:14		甚至全世界走透透
01:46:02:18		讓玩偶代替他自己
01:46:04:09		在如畫的風景中擺個pose
01:46:06:16	01:46:08:19	在鏡頭中留個紀念
01:46:13:11		這就是你的替身
01:46:15:00	01:46:16:18	卓別林
01:46:17:09		為什麼要帶著它
01:46:18:14		到各地去拍照呢
01:46:20:17		帶著它在世界各地拍照留念
01:46:24:01		以後看相簿
01:46:25:23		回想起當時的情景
01:46:27:11		一頁一頁的回憶陪伴著我
01:46:29:10	01:46:31:05	覺得很可愛
01:46:31:27		不管是巡迴演出或旅行
01:46:34:04		都會有台灣聽障朋友相隨
01:46:36:11		讓芳本光司與田中真吾
01:46:38:12		感受到台灣人的熱情
01:46:40:12	01:46:42:05	也心存感激
01:46:44:18		他們兩個回日本的前一晚
01:46:47:05		說想去PUB聊個通宵
01:46:50:00		大家同樂一下
01:46:51:11		到最後他們兩位
01:46:53:17	01:46:56:23	對我們幾個深深一鞠躬
01:46:57:20		非常有誠意
01:46:59:06		離別的時候
01:47:00:22		他們都難過的哭了
01:47:02:18		他們說在國外
01:47:03:25		從來沒有得到過這麼多的幫助
01:47:06:25		台灣真的很有人情味
01:47:08:25		不但陪他們巡迴演出
01:47:10:22		顧爸還開車載他們到處跑
01:47:13:09		非常的熱情
01:47:14:18		食衣住行育樂
01:47:15:20		各方面都很滿意
01:47:17:04		讓他們很難忘
01:47:18:07	01:47:19:28	只能夠一再的道謝
01:47:20:19		於是芳本光司與田中真吾
01:47:22:24		帶著一顆感恩的心
01:47:24:07	01:47:26:17	前往下一個國家巡迴表演
01:47:27:11		接下來
01:47:28:18	01:47:33:06	你們還要去哪裡表演默劇呢
01:47:34:01		台灣巡迴結束之後
01:47:37:05	01:47:41:22	接下來可能是去大陸吧
01:47:42:27	01:47:46:19	我們大概九月會去
01:47:47:17		對於芳本光司與田中真吾來說
01:47:50:05		默劇就像旅行一樣
01:47:52:02		沒有國界和種族之分
01:47:54:06	01:47:56:23	只想把歡笑帶給全世界
01:47:58:15		真的很開心
01:47:59:20		跟日本大阪默劇團的聽障朋友
01:48:01:21		齊聚一堂
01:48:03:04		跟他們互相切磋
01:48:04:15		真是受益良多
01:48:06:10		我覺得默劇表演
01:48:07:20		是一種視覺藝術
01:48:09:12		以無聲的肢體語言
01:48:11:09		和觀眾朋友一起交流
01:48:13:14		融合社會與聾人文化
01:48:16:02		同時也藉由默劇的推廣
01:48:18:11		來提升聽障朋友的地位
01:48:20:15		讓聽障朋友
01:48:21:18	01:48:24:22	能夠受到社會的肯定以及重視
01:48:29:05		I love you
01:48:30:23	01:48:33:04	台灣Love
01:48:33:25	01:48:34:20	Love
01:48:42:15		曉書, 你生病了嗎
01:48:45:25		拿這麼多藥做什麼
01:48:47:28		沒有啦
01:48:49:01		我看這些藥都放太久了
01:48:51:01	01:48:53:17	所以打算拿去藥局回收
01:48:55:01		你也太浪費了吧
01:48:56:28		這麼多藥
01:48:58:14		我看裡面
01:48:59:14		還有醫生開的胃藥, 退燒藥
01:49:02:23		應該還可以留著下次再用吧
01:49:05:21		你難道不知道
01:49:07:10		七, 八, 九這三個月
01:49:09:18		是藥品最容易壞掉的季節
01:49:12:07		現在天氣熱
01:49:13:27		很多人都知道
01:49:15:00		要幫冬天的衣服, 棉被換季
01:49:18:20		但是卻不知道
01:49:20:16		其實也應該
01:49:21:21		把家裡大大小小吃剩
01:49:24:07		或是放太久的藥水, 藥丸等
01:49:26:10		一起處理
01:49:27:25		什麼
01:49:29:13	01:49:31:27	連藥物也要換季
01:49:32:14		也不是說換季啦
01:49:34:08		就是要注意一下保存的方式
01:49:37:09		像是不能曬到太陽
01:49:40:09		或是放在溫度太高的地方
01:49:43:07		不然很容易變質的
01:49:45:27		還有就是
01:49:47:11		像醫生開的藥吃剩下來的
01:49:50:20		也千萬不要留著拿給別人
01:49:53:16		或者是等下次生病的時候吃
01:49:56:13	01:49:59:04	這樣是很危險的
01:50:00:26		聽你這麼說
01:50:02:01		好像也有道理
01:50:03:16		那我待會兒回去爸媽家
01:50:05:14		幫爸爸過父親節的時候
01:50:07:22		就順便幫他們把家裡的藥物
01:50:09:27	01:50:11:21	一一拿出來檢查一下
01:50:12:27		沒想到
01:50:13:18	01:50:16:03	你還真是個孝順的乖兒子
01:50:16:23		那還用說嗎
01:50:18:09		時間快來不及了
01:50:19:11		我不跟你說了
01:50:20:08		我還要趕著
01:50:20:29	01:50:22:27	帶爸爸去醫院做檢查
01:50:23:14		別急...
01:50:24:22	01:50:27:17	先跟觀眾朋友說再見吧
01:50:28:05		也對
01:50:29:03		在這裡祝福所有的爸爸們
01:50:31:25		父親節快樂
01:50:34:06		也別忘了
01:50:35:04		下週繼續收看「聽聽看」
01:50:37:28	01:50:41:01	我們下週見, 拜拜
