01:01:04:08	01:01:05:03	曉書
01:30:13:28	01:30:16:08	助理, 導演還沒來嗎
01:30:18:02		導演已經來啦
01:30:20:15	01:30:21:04	到了
01:30:22:13	01:30:24:26	導演有來, 我怎麼沒有看見啊
01:30:26:10		那為什麼還不拍戲啊
01:30:27:27	01:30:29:08	我們等很久了耶
01:30:31:04	01:30:33:21	導演到底在哪裡啊, 去廁所嗎
01:30:35:15	01:30:36:10	來了...
01:30:37:21		快來啊
01:30:38:12	01:30:39:12	來... 導演
01:30:42:20		大家那麼急做什麼啊
01:30:44:10		我都還沒有買完耶
01:30:46:26		大家都在等你, 快點啦
01:30:49:20		對啊快點啦...
01:30:50:24		快...
01:30:52:05		不好意思, 讓大家久等了
01:30:54:23		既然來百貨公司拍戲
01:30:57:06		我剛才就忍不住小逛了一下
01:31:02:00		對不起
01:31:03:02		你怎麼這樣啊
01:31:04:06		太可惡了我們在等你耶, 真是的
01:31:07:02		走了啦
01:31:08:16		你們不要落跑啊
01:31:10:03	01:31:12:07	趕快回來拍戲啊, 你們
01:31:14:27		今天手語劇場要拍的戲是
01:31:18:21		「落跑三人行」
01:31:21:14		快點回來啦
01:31:22:29		五, 四, 三, 二
01:31:24:22	01:31:25:12	開麥拉
01:31:52:18		你剛才買的那個化妝品
01:31:54:25		真的很划算耶
01:31:56:19		是嗎
01:31:57:17	01:31:59:05	是啊, 我本來要買的
01:32:00:22		是什麼樣的化妝品啊
01:32:04:15		你們男生不懂啦
01:32:06:06	01:32:08:10	我們每天都要用到的
01:32:10:25	01:32:13:02	來...
01:32:14:04	01:32:17:14	你們看, 我剛剛買的化妝品
01:32:20:11	01:32:22:06	你看什麼看啦, 走開
01:32:24:29		女生們每天都要用到化妝品
01:32:29:12	01:32:31:24	化妝品塗抹在臉上
01:32:33:05		嘴邊左右各一個口
01:32:34:24	01:32:35:28	變成三個口是品
01:32:41:26		教化妝品的手語
01:32:43:23	01:32:45:23	一定要示範給大家看
01:32:48:09		對了
01:32:49:14	01:32:53:10	現在女性節目流行素顏大公開
01:32:54:16	01:32:56:03	我們也來試試看, 好不好
01:32:57:24	01:33:01:13	書導, 你要素顏嗎
01:33:02:26		素顏, 我
01:33:04:07		對啊
01:33:05:15	01:33:06:22	不行...
01:33:08:14		就你吧
01:33:09:15	01:33:11:03	你最年輕, 最適合, 來...
01:33:15:24	01:33:16:17	好了
01:33:17:27		現在我要教各位畫基礎彩妝
01:33:22:12		這第一個步驟是擦
01:33:25:08	01:33:25:27	隔離霜
01:33:29:00		抹在臉上可以隔離紫外線等傷害
01:33:32:25	01:33:33:22	就是
01:33:37:13		接著是
01:33:38:19	01:33:39:09	粉底
01:33:40:22	01:33:43:12	把黏稠的粉底塗抹在臉上
01:33:48:05	01:33:49:04	接著是
01:33:51:04	01:33:52:03	粉餅
01:33:53:18	01:33:55:21	粉狀的, 撲打在臉上
01:33:59:17	01:34:00:26	下一個步驟
01:34:02:19	01:34:05:04	這個把顏色畫在眼皮上
01:34:08:01	01:34:09:16	還有第五個步驟喔
01:34:10:27	01:34:12:15	紅色抹在嘴脣上
01:34:14:19		觀眾朋友, 注意到了嗎
01:34:18:00		化妝品的手語
01:34:20:20		只要按照化妝的動作來操作
01:34:25:06		手語就可以看得很清楚囉
01:34:28:11		是啊
01:34:29:18		好的
01:34:30:12		現在基礎的化妝都完成了
01:34:33:20		接下來請看看
01:34:35:10	01:34:39:00	我們化妝前後的對照照片
01:34:40:04	01:34:41:03	請看
01:34:43:29		你剛買那化妝品真的很划算耶
01:34:46:10		是嗎
01:34:47:09	01:34:48:26	對啊, 我本來想買的
01:34:50:12		是什麼樣的化妝品啊
01:34:52:05		你們男生不懂啦
01:34:53:20	01:34:55:12	我們每天都要用的
01:35:04:17	01:35:05:24	副總
01:35:07:00		你們都在啊
01:35:08:22		好巧喔
01:35:10:12		好久不見耶
01:35:12:01	01:35:14:11	你今天怎麼有空出來逛街啊
01:35:18:08		我知道了啦
01:35:19:19	01:35:22:24	副總要買衣服送夫人, 對不對
01:35:26:24	01:35:27:21	卡
01:35:28:14		向各位介紹我身邊這位新好男人
01:35:33:19		我告訴你啊
01:35:34:26		這新好男人要具備的首要條件是什麼呢
01:35:38:15		當然就是愛老婆
01:35:40:24	01:35:43:20	會買衣服送太太
01:35:46:03	01:35:47:19	錢拿出來
01:35:54:15	01:35:55:18	錢交給我
01:36:00:03	01:36:03:15	這禮物包裝好交給人是送
01:36:08:03	01:36:10:00	結婚的女生
01:36:14:06	01:36:15:01	串成句子喔
01:36:16:12		衣服買, 太太送
01:36:21:01	01:36:24:11	衣服買, 太太送
01:36:25:11	01:36:29:12	中文句子的意思就是買衣服送給太太
01:36:31:12	01:36:32:10	書導
01:36:34:27		你幫我選的這件衣服真是漂亮
01:36:38:06		我太太一定會喜歡
01:36:40:06	01:36:42:17	我迫不及待想要拿給她了
01:36:44:04		真的是新好男人耶
01:36:47:13		沒問題, 交給我就對了
01:36:50:10		是啊
01:36:50:23		走吧
01:36:51:08		好
01:36:52:04		好棒喔
01:36:53:16	01:36:54:25	這...
01:36:57:06		不是要買衣服送老婆嗎
01:36:59:07		怎麼還那麼親熱啊
01:37:00:20	01:37:01:16	對啊
01:37:06:27		副總, 你好
01:37:09:01		你好...
01:37:11:01		出來拜訪客戶啊
01:37:13:16		對啊...
01:37:16:06	01:37:18:06	副總現在過得怎麼樣啊
01:37:24:26		副總, 對不起
01:37:27:08		我們跟聯合的紀高專已經約好了
01:37:31:18		我們先走了
01:37:33:13		那不要遲到
01:37:34:22		趕快去...
01:37:36:17		好, 副總再見, 拜拜好... 副總再見
01:37:38:22	01:37:39:23	再見, 拜拜
01:37:44:03		你豬頭啊你
01:37:45:18		怎麼了
01:37:46:17	01:37:49:15	你忘了副總早就已經被優退了
01:37:50:21		現在這個時間還有空在街上閒晃
01:37:53:27		這... 這看也知道啊
01:37:56:13		「英英美黛子」
01:37:59:02	01:38:00:02	你還那麼白目
01:38:01:05	01:38:01:24	卡
01:38:03:18		這句話有兩個比較難懂的手語
01:38:08:01		讓我來為各位解釋...
01:38:11:22		白目是怎麼來的呢
01:38:15:01		照字面上是牙齒白
01:38:17:08	01:38:21:08	目字的形狀就是白目
01:38:25:02		意思就是只有眼白
01:38:28:13		沒有瞳孔的眼睛
01:38:30:22		當然看不到東西啦
01:38:32:20		所以看不清楚狀況笨笨的亂說話
01:38:36:18		就是自然手語
01:38:38:18	01:38:39:12	來
01:38:46:04		原來白目是看不清楚
01:38:49:02	01:38:50:04	然後笨笨的
01:38:51:16	01:38:56:03	那麼英英美黛子又是什麼呢
01:38:57:15		這句話是源自於台灣俚語
01:39:01:10		從發音轉成文字
01:39:03:26		英英美黛子
01:39:06:24	01:39:10:22	意思是閒閒的沒有事情做
01:39:16:09		聾人聽不見聲音
01:39:18:09		所以只看字面很難理解
01:39:21:08		還會誤以為是英俊美麗的黛子
01:39:27:00	01:39:28:05	真的是
01:39:29:14		所以如果和聾朋友玩比手畫腳
01:39:34:03		不要用同音字
01:39:36:16		要用形狀
01:39:39:01		這樣子聾朋友才猜得出來
01:39:42:06		是不是這樣
01:39:43:11		講得好, 很聰明啊
01:39:45:21	01:39:47:20	這你一點都不白目嘛
01:39:48:26	01:39:51:04	好, 繼續拍戲
01:39:52:12	01:39:53:08	開麥拉
01:39:59:22	01:40:01:02	我哪知啊
01:40:02:13	01:40:03:28	你們有沒有覺得
01:40:05:14		副總現在好像變得很消沉, 很蒼老
01:40:08:27		根本就沒有以前那麼意氣風發
01:40:13:01	01:40:14:20	怎麼會變成這個樣子啊
01:40:17:00		他原本是高高在上的副總
01:40:20:03		忽然被資遣了
01:40:22:18	01:40:23:09	你看看
01:40:25:07		人要是失去了舞台就會像這樣
01:40:28:12		就好像失去了生命的動力
01:40:31:08		你啊, 皮最好繃緊一點
01:40:34:22	01:40:36:12	要是再這樣少根筋
01:40:38:01		早晚輪到你
01:40:39:25		對啊, 你啊
01:40:41:14		我...
01:40:42:08		呸...
01:40:44:16		烏鴉嘴
01:40:46:27	01:40:47:28	走吧...
01:40:53:09		OK, 卡
01:40:55:21		今天的戲拍完了
01:40:57:04	01:40:59:15	大家可以準備收工吧
01:41:00:29		書導
01:41:01:28		你買的化妝品效果很好耶
01:41:05:21	01:41:07:00	我也想要買一套
01:41:08:11		書導
01:41:09:11		你幫副總挑的女裝真是漂亮耶
01:41:12:21		你看
01:41:14:04		很漂亮耶可不可以
01:41:15:11	01:41:17:26	也幫我太太挑一套啊
01:41:20:00		大家別急, 包在我身上
01:41:23:07		不過我們先幫觀眾朋友
01:41:25:16		複習今天教過的手語, 好不好
01:41:27:28	01:41:29:06	好...
01:42:32:07		好, 複習完了
01:42:34:23	01:42:38:04	我們要去百貨公司血拼了
01:42:40:20		等等... 等等啊
01:42:43:04		怎麼這麼急啊
01:42:45:12		真是的
01:42:46:25		觀眾朋友
01:42:48:02	01:42:51:06	請收看完整的手語短劇
01:42:52:15		「落跑三人行」, 請看
01:42:56:08		拜
01:42:57:05	01:42:58:02	等等我啊
01:43:27:12		你剛買那化妝品真的很划算耶
01:43:29:19		是嗎
01:43:30:15	01:43:32:03	對啊, 我本來想買的
01:43:33:05		是什麼樣的化妝品啊
01:43:35:04		你們男生不懂啦
01:43:36:19	01:43:38:08	我們每天都要用的
01:43:43:13	01:43:44:07	是啊
01:43:47:15	01:43:48:09	副總
01:43:49:10		你們都在啊
01:43:51:22		好巧喔
01:43:53:06		好久不見耶
01:43:54:29	01:43:57:13	今天怎麼會有空出來逛街啊
01:44:01:03		我知道了啦
01:44:02:14	01:44:05:04	副總要買衣服送夫人喔
01:44:11:14		副總真的是新好男人耶
01:44:14:27	01:44:15:24	好
01:44:17:09		副總, 你好
01:44:19:11		你好...
01:44:21:13		出來拜訪客戶啊
01:44:24:04		對啊...
01:44:27:00	01:44:29:11	副總, 你現在過得怎麼樣
01:44:35:07		副總, 對不起
01:44:37:19		我們跟聯合的紀高專已經約好了
01:44:41:24		我們先走了
01:44:43:29		那不要遲到, 趕快去
01:44:46:26		好...
01:44:47:24		副總再見, 拜拜
01:44:49:04	01:44:50:23	拜拜...拜拜, 副總, 拜拜
01:44:54:22		你豬頭啊你
01:44:55:23		我...
01:44:56:18	01:44:59:29	你忘了副總早就已經被優退啦
01:45:01:24		現在這個時間還有空在街上閒晃
01:45:05:28		看也知道是英英美黛子
01:45:09:06		你還那麼白目
01:45:10:28		我...
01:45:12:21	01:45:14:02	我哪知啊
01:45:15:18	01:45:17:08	你們有沒有覺得
01:45:18:21		副總現在好像變得很消沉很蒼老耶
01:45:22:18		根本就沒有以前那麼意氣風發
01:45:26:09	01:45:28:03	怎麼會變成這個樣子啊
01:45:30:01		他原本是高高在上的副總
01:45:33:10		忽然被資遣了
01:45:35:29	01:45:36:24	你看看
01:45:38:18		人要是失去了舞台就會像這樣
01:45:41:27		就好像失去了生命的動力
01:45:44:18		你啊, 皮最好繃緊一點
01:45:47:19		對
01:45:49:08		要是再這樣少根筋
01:45:51:12		早晚輪到你
01:45:53:07		對, 你啊
01:45:55:19		你們
01:45:56:16		呸... 烏鴉嘴
01:46:00:09	01:46:01:07	走吧...
01:46:11:09	01:46:13:01	俊松, 你到底在打什麼
01:46:15:23		今天看到游高晏弟弟
01:46:18:28		年紀輕輕的就已經出了自己的書
01:46:22:24		你也出了兩本書了
01:46:25:06		所以我想說
01:46:26:22		或許我也可以來寫寫看啊
01:46:30:16		但是沒想到寫了半天
01:46:32:28		竟然連一個字也寫不出來
01:46:35:13	01:46:36:21	真是太沮喪了
01:46:38:25		其實寫書
01:46:40:06		說簡單也簡單, 說困難也困難
01:46:43:25		對了
01:46:44:26		你平常不是很喜歡旅遊嗎
01:46:46:27		也許你可以試著
01:46:48:02		從聽障的角度去寫旅遊書啊
01:46:51:08		這個主意不錯喔
01:46:52:19		而且我老婆是聽人
01:46:55:20		又是個外國人
01:46:57:15		或許我可以跟大家分享
01:46:59:19		我們夫妻倆的旅遊故事喔
01:47:02:15		看吧, 你已經有想法了
01:47:06:19		對了
01:47:07:13		如果你的旅遊書需要找人畫插畫的話
01:47:10:26		可以找我喔
01:47:12:14	01:47:14:18	我算你便宜一點啦
01:47:16:20		還要錢啊
01:47:18:16		我以為你會友情贊助
01:47:22:01		拜託, 我有兩個小孩要養耶
01:47:25:16	01:47:28:08	你忍心叫我友情贊助嗎
01:47:30:24		好啦...
01:47:32:07		這件事情
01:47:33:09		我們下了節目再好好的討論...
01:47:35:29		現在節目的時間也差不多了
01:47:38:17		我們還是先跟觀眾朋友說再見吧
01:47:41:06		親愛的觀眾朋友
01:47:42:24		如果有任何意見
01:47:44:15		歡迎到我們節目的社群網站
01:47:46:18		留言給我們喔
01:47:48:19		「聽聽看」
01:47:49:22	01:47:51:29	我們下週再見, 拜拜
