01:00:33:11	01:00:36:01	世界上最大的變色龍是牠
01:21:42:07		要不是因為牠顏色落差這麼大
01:21:44:19		我怎麼會看得到啊
01:21:46:10		這位大剌剌的枯葉變色龍太太
01:21:49:03		看來大腹便便
01:21:50:25		該不會是已經懷有龍種了吧
01:21:53:20		牠肚子很明顯比牠大很多耶
01:21:55:26		牠也許真的有蛋
01:21:56:25	01:22:00:02	但是不一定已經受精了
01:22:01:02		不管是不是已經懷有小寶寶
01:22:03:05		只要這位變色龍小姐的肚子裡有卵
01:22:06:02		我就覺得
01:22:06:26		牠們的未來充滿希望
01:22:08:15	01:22:10:19	不擔心沒有下一代啦
01:22:11:06		好啦
01:22:11:19		各自回去睡覺好不好
01:22:13:03	01:22:14:11	Kiss night
01:22:15:24	01:22:18:01	好, 回去睡覺囉
01:22:18:27	01:22:20:21	晚安
01:22:23:09		好lucky喔
01:22:24:06		對啊
01:22:25:17		一下子看到兩隻
01:22:26:17	01:22:28:05	兩隻變色龍
01:22:29:05		拜拜
01:22:30:12	01:22:31:26	滿足
01:22:33:21		今天一整天
01:22:34:23		我們搜尋變色龍的身影
01:22:36:28		發現變色龍世界裡
01:22:38:24	01:22:40:28	最長的奧力士變色龍
01:22:41:28		最大的國王變色龍
01:22:43:27		還有最小的枯葉變色龍
01:22:46:19		我發現變色龍會變色
01:22:48:21		已經很厲害
01:22:49:27		沒想到
01:22:50:21	01:22:53:04	還有很多其他的神秘功夫
01:22:53:25		以及我想像不到的體型和造型
01:22:56:20	01:22:58:06	真是超有趣的
01:23:01:20		你也跟我一樣愛上變色龍了嗎
01:23:04:24		馬達加斯加的變色龍
01:23:06:09	01:23:08:16	期待下次的見面喔
