01:00:04:06	01:00:05:28	來, 走
01:43:26:19		那今天我為了要給孩子做榜樣
01:43:30:01		所以帶著她來跟你們道謝的
01:43:33:08		還有道歉啦, 爸爸
01:43:35:08		對... 道歉, 對
01:43:38:05		這沒什麼啦
01:43:39:17		而且這種事情
01:43:40:07		女生比較知道怎麼處理啊
01:43:43:00	01:43:44:05	是...
01:43:45:29		那個...
01:43:46:27	01:43:48:04	那位小姐她...
01:43:49:25	01:43:50:22	她在忙
01:43:54:00		對了, 你們一定還沒吃東西吧
01:43:55:27		我帶了一點韭菜盒子給你們
01:43:57:13	01:43:58:10	當點心的
01:43:59:12	01:44:01:02	你下次不要再買這個了
01:44:02:10		我是很喜歡吃啊
01:44:03:06		可是雙雙姊她很討厭吃韭菜
01:44:06:08		她說吃了會卡牙縫
01:44:07:16	01:44:08:15	嘴巴還會臭
01:44:10:01		這樣子
01:44:10:14		那我們下次帶蔥油餅好了
01:44:13:11		不用啦, 沒關係啦
01:44:15:11		我等下客人還要忙
01:44:16:23		好...
01:44:18:06	01:44:20:01	對了, 等我一下
01:44:27:06		這是妹妹的褲子
01:44:29:12		雙雙姊昨天就幫你洗好烘乾囉
01:44:32:07		謝謝
01:44:33:18		那我先進去喔
01:44:34:11		好, 謝謝喔
01:44:35:13	01:44:36:14	謝謝...
01:44:39:27	01:44:40:23	走...
01:44:47:18		為什麼隔壁的阿姨
01:44:48:20	01:44:50:28	可以把衣服洗得那麼香呢
01:44:53:29	01:44:56:12	對, 我洗得比較臭
01:44:59:02		我連買那個韭菜盒子
01:45:02:04	01:45:03:15	蔥油餅都臭
01:45:08:05		小玲啊
01:45:09:25		你說爸爸要送什麼東西
01:45:11:27		給隔壁的阿姨
01:45:13:11	01:45:14:22	才比較有誠意啊
01:45:16:25		不知道耶
01:45:18:05	01:45:19:21	這問題好難喔
01:45:21:13	01:45:24:19	也許只有隔壁的阿姨才會知道
01:45:46:14	01:45:47:05	別走
01:45:48:28		你聽我說...
01:45:50:02		你不要激動...
01:45:50:28		不要叫...
01:45:52:27		你聽我說
01:45:53:14		我是來跟你道歉的...
01:45:56:02		我謝謝你那天幫我的忙
01:45:57:24		所以我希望你能夠給我一個
01:45:59:00	01:46:00:04	謝謝你的機會
01:46:03:03		你放手
01:46:04:23		你說什麼
01:46:06:00		我叫你放手啦
01:46:07:21	01:46:10:04	對... 對不起...
01:46:11:06		我知道是我的錯
01:46:13:00		不用在那邊裝好心
01:46:14:06		是...
01:46:15:02		我知道真的是我的錯
01:46:16:15		所以房屋的租約
01:46:18:03		只要到期了以後
01:46:19:12		我一定馬上搬走
01:46:20:14	01:46:21:28	絕對不會再來煩你的
01:46:25:05		真的嗎
01:46:26:14	01:46:27:28	真的...
01:46:31:20	01:46:34:22	所以你什麼都願意做
01:46:50:12		這女的夠狠
01:46:52:07	01:46:53:16	連這一招都想得到
01:47:05:20		年輕人
01:47:06:21		要不要按摩
01:47:08:02		幼齒的
01:47:09:11		有健康檢查
01:47:11:04	01:47:12:05	很乾淨喔
01:47:23:12	01:47:25:05	雙雙姊, 你在笑什麼啊
01:47:52:21		魁手哥
01:47:53:24	01:47:55:20	我們做完筆錄後會不會有案底
01:47:56:21		如果有案底的話
01:47:57:18		我會很難找工作耶
01:47:59:15	01:48:00:22	我要還助學貸款
01:48:02:10		什麼啦
01:48:03:26	01:48:04:16	助學貸款
01:48:06:12		你幾年次的
01:48:07:14		我
01:48:08:23		我八六啊
01:48:10:14		八六
01:48:12:07	01:48:13:12	那已經十八歲了嘛
01:48:17:08	01:48:18:01	好
01:48:33:21		現在是在開玩笑嗎
01:48:35:18		你帶一個小朋友來幹嘛
01:48:37:28	01:48:39:07	他已經十八歲啦
01:48:42:02		我經驗可是很豐富的喔
01:48:45:00		同學, 你有錢嗎
01:48:48:02	01:48:50:01	我們這裡沒有學生優待
01:48:54:06		拜託
01:48:55:19	01:48:57:04	你以為我第一天出來混
01:49:01:07	01:49:02:06	交給你啦
01:49:13:28	01:49:16:15	弟弟, 來
01:49:26:25		之前是我的錯
01:49:28:25		所以我要補償你三個客人
01:49:31:28	01:49:33:06	現在還差一個
01:50:04:11	01:50:05:07	魁手哥
01:50:06:14		魁手哥
01:50:07:22		我跟你講
01:50:08:11		昨天真的是超high的
01:50:09:07		這裡...
01:50:10:22		那個女的啊
01:50:11:24		你知道嗎
01:50:12:20		她真的是很棒
01:50:14:18		好...
01:50:15:10		上班的時候不要講這個好不好
01:50:17:03		又沒關係
01:50:18:22		你有出一半的錢啊
01:50:19:25		我一定要跟你分享
01:50:20:25		好, 謝謝你
01:50:21:19		好, 這個事情可以不用分享
01:50:23:26		可是那個女的她真的很棒
01:50:25:10		我知道...
01:50:26:12		她的手藝真的
01:50:27:11	01:50:29:08	真的是很棒, 很厲害
01:50:49:09		年輕人
01:50:50:11		要不要爽一下
01:50:51:15		幼齒的
01:50:52:26		都有健康檢查
01:50:53:26		很乾淨耶
01:50:54:29	01:50:56:15	不用了, 我在等女朋友
01:51:09:24	01:51:10:25	你怎麼會在這
01:51:12:11		買菸啊
01:51:14:00		你在幹嘛
01:51:15:12	01:51:16:18	我在幫你找客人啊
01:51:18:21		笑什麼啦
01:51:20:18	01:51:21:16	上車啊
01:51:27:22	01:51:28:18	坐好喔
01:53:10:16		我再去繞一繞
01:53:11:16	01:53:13:03	說不定還可以找到客人
01:53:14:17		幹嘛
01:53:15:06		這樣四處問會被警察抓啦
01:53:17:19		不然呢
01:53:18:27	01:53:20:16	答應你要找三個客人啊
01:53:23:21	01:53:25:05	你也可以當客人啊
01:53:34:11	01:53:35:14	我沒錢喔
01:53:36:15		趴下啦
01:53:38:05		這次沒錢先欠著
01:53:39:29	01:53:41:04	以後常來就好
01:53:55:06	01:53:57:15	怎麼樣, 舒服喔
01:53:59:27		你真的好厲害喔
01:54:01:12		廢話
01:54:02:25	01:54:04:29	我客人都說我是神之手
01:54:10:06	01:54:12:04	你什麼時候開始做這個的
01:54:14:26		算命的說我斷掌剋夫
01:54:17:11		只要跟我好過的都會死
01:54:19:27		只要我剋死一千個
01:54:21:00	01:54:22:04	就會有好姻緣
01:54:23:20	01:54:25:02	你剛好是第一千個
01:54:27:03	01:54:29:12	你以為我會去相信你說的話喔
01:54:30:16	01:54:31:24	信不信隨便你
01:54:33:22		你呢
01:54:35:08	01:54:36:11	你為什麼會跑到這裡
01:54:38:12		這裡啊
01:54:39:20		風水好啊
01:54:41:09		會發財啊
01:54:42:22		胡說
01:54:44:01	01:54:45:15	會發財我早就發了
01:54:48:05		有頭有臉的人
01:54:49:19		才不會住在這種地方
01:54:52:00		會住在我們這邊
01:54:52:25	01:54:54:22	都是我們這種沒名沒姓
01:54:58:04		說真的
01:54:59:27	01:55:02:22	我以前是三家機車行的老闆
01:55:05:05	01:55:06:24	我以前還做總統耶
01:55:08:23	01:55:09:29	我是說真的啦
01:55:15:25	01:55:17:23	我就是因為太愛喝酒
01:55:19:21		結果生意失敗
01:55:22:06	01:55:23:09	老婆跑了
01:55:25:06	01:55:27:18	才會流落到這個地方來
01:55:36:14		不過還好
01:55:38:03	01:55:40:01	我還有一個很可愛的女兒
01:55:44:24		對啦
01:55:46:13	01:55:48:00	會這樣想就對啦
01:55:49:16	01:55:51:09	為了小孩一定要堅強
01:55:54:16	01:55:55:17	加油
01:55:58:28		同是天涯淪落人
01:56:01:28	01:56:04:17	我們都是靠手藝在討生活
01:56:06:00		靠手藝喔
01:56:08:07		是什麼意思啊
01:56:10:17		意思就是說
01:56:12:27		你是黑手修理機車
01:56:15:29	01:56:20:05	我是桂花手修理男人
01:58:45:07		爸爸, 你最近心情很好耶
01:58:47:28		有嗎
01:58:49:01	01:58:51:15	有啊, 你最近常一個人在傻笑
01:59:17:10		幹什麼, 嚇我一跳
01:59:20:08		答應我一件事, 好不好
01:59:21:23		不要
01:59:23:16		我都還沒說, 你就說不要
01:59:25:24	01:59:27:25	男人的要求都沒有好事
01:59:33:01	01:59:34:28	不要再幫別人按摩了, 好不好
01:59:38:03	01:59:39:08	包括你喔
01:59:41:00	01:59:42:29	我是說除了我之外
01:59:44:04		說什麼瘋話
01:59:45:17		只有你一個客人
01:59:46:09	01:59:47:21	我不就是要喝西北風
01:59:50:23		不是, 我的意思是
01:59:52:18		去找一個正常的工作嘛
01:59:54:21	01:59:56:02	不要再做這個了
01:59:59:16		男人都一個樣
02:00:01:07		灑尿佔地盤
02:00:03:02		不, 你聽我說嘛
02:00:04:11		我不做這個
02:00:05:17	02:00:06:18	你是要養我喔
02:00:16:05		你之前有沒有按摩的經驗
02:00:18:29		是有去給別人按
02:00:20:27		但這種的是第一次啦
02:00:24:09		不用擔心啦
02:00:25:10	02:00:27:11	你只要躺好放鬆啦
02:00:29:17		我現在已經放鬆了啊
02:00:31:11		不然怎樣才是放鬆
02:00:33:11		等一下你就知道了啦
02:00:35:00	02:00:37:10	大家都說我是神之手耶
02:00:46:07		麻煩你快一點, 我趕著上班
02:00:48:04		我知道, 你這台比較麻煩一點
02:00:50:04		老闆, 我車子爆胎
02:00:52:16		可以麻煩幫我換一下輪胎嗎
02:00:54:14		我趕著要上班
02:00:56:01		你先讓我處理這一台, 好不好
02:00:57:14		她也等著要去趕著上班啊
02:01:00:14	02:01:02:11	換個輪胎應該不會很久吧
02:01:03:25		拜託啦
02:01:05:20		來啦, 我來幫你修啦
02:01:08:05	02:01:09:02	謝謝
02:01:20:12	02:01:21:28	謝謝你喔, 老闆
02:01:28:15	02:01:29:28	喇叭今天怎麼沒來
02:01:34:21	02:01:36:06	是我叫他不用來了
02:01:38:25		我早就知道他的手腳不乾淨
02:01:42:21		昨天下班我把他留下來問
02:01:46:00		他還向我撒謊
02:01:48:06		他說是你叫他做的
02:01:51:04	02:01:52:09	哪有這種人
02:01:56:07		對啦
02:01:57:12		偷東西不是一件好事啊
02:01:59:27		但他還那麼年輕
02:02:01:15		他應該有他的苦衷
02:02:02:23	02:02:04:07	你要不要再給他一次機會
02:02:08:26	02:02:09:16	機會
02:02:10:23		我沒叫警察抓他
02:02:12:08	02:02:13:21	就是給他機會了
02:02:15:06		你就是心太軟
02:02:18:00	02:02:20:04	才會搞到三家店都沒了
02:02:22:27	02:02:24:28	都不知道社會的現實
02:02:30:11		你錢給得這麼少
02:02:31:12	02:02:32:22	社會當然現實啊
02:02:34:26		我告訴你
02:02:36:14		如果說修理機車
02:02:38:06		你確實有一手
02:02:40:06		但是要怎麼做生意
02:02:43:01		要怎麼在這個社會立足
02:02:45:06	02:02:46:22	我可以當你師父
02:02:50:16	02:02:51:28	這就是現實
02:02:57:19		怎樣, 不高興嗎
02:03:00:06	02:03:02:03	不高興你可以不做啊
02:03:04:08	02:03:07:05	喝酒喝到手抖成那樣
02:03:08:25		如果哪一天
02:03:11:02		沒有把螺絲鎖緊
02:03:13:14		害客人摔車
02:03:14:20	02:03:16:01	也是要我負責啊
02:03:18:23		我跟你說
02:03:20:02		是我可憐你
02:03:21:29	02:03:23:19	你不要不知好歹
02:03:26:05		你是在凶什麼
02:03:28:02		你是要怎樣
02:03:29:07	02:03:30:06	不然你想要怎樣
02:04:08:26		小姐
02:04:10:06		不好意思, 你的健保卡鎖住了
02:04:12:28		被鎖喔
02:04:14:04	02:04:15:07	因為你健保費沒有繳
02:04:16:14		是要多少錢
02:04:17:25	02:04:18:29	保證金五百
02:04:34:18		小姐, 這是你的藥
02:04:36:08	02:04:38:02	好, 謝謝
02:05:21:01		幹嘛這樣啦
02:05:22:11		很好玩, 是不是
02:05:23:15		不是很厲害
02:05:25:00		很會打啊
02:05:26:07	02:05:27:19	那麼厲害你自己走回去啊
02:05:29:13		這跟厲害有什麼關係啊
02:05:30:28		你看我這個樣走得回去嗎
02:05:32:25	02:05:33:18	你也知道喔
02:05:35:02		都一個女兒的爸爸
02:05:36:08	02:05:37:20	然後把自己搞成這樣
02:05:39:23		就是吞不下那口氣
02:05:42:06		你們女人不懂啦
02:05:43:23	02:05:44:21	我不懂
02:05:46:13		我除了吞一口氣
02:05:47:09		我還要吞別的東西啦
02:05:49:14		你這樣就受不了
02:05:51:04		你要怎麼在社會上面生存
02:05:53:28	02:05:55:06	你要怎麼養我
02:06:05:10	02:06:06:02	對不起
02:06:07:26	02:06:08:27	是我不懂
02:06:10:14		再給我一點時間, 好不好
02:06:13:01	02:06:15:06	我一定會讓你過上好日子
02:06:26:23	02:06:28:00	好不好
02:06:58:06	02:06:58:25	我來啦
02:07:00:08	02:07:01:08	好了啦
02:07:46:08		爸爸, 你怎麼了
02:07:49:22	02:07:50:15	沒事
02:07:52:27		要不要扶你啊
02:07:55:02		不用擔心
02:07:56:05	02:07:57:03	我可以的
02:08:15:06		我還真的沒想到
02:08:16:19		我們四個人第一次吃飯
02:08:19:07		這房子就要拆了
02:08:21:18		拆就拆啊
02:08:22:23		反正是違法的
02:08:23:18	02:08:24:12	又不是我們的房子
02:08:25:27		講得那麼容易
02:08:27:13		搬家是要花錢的
02:08:30:04	02:08:31:21	吃飯不要講到錢
02:08:34:03		我在三重那邊租了一個房子
02:08:35:21		我現在住在那
02:08:37:05	02:08:39:03	看你們要不要搬過來和我擠一下
02:08:43:06		趕快吃啦
02:08:44:17		吃那麼久, 碗還是滿的
02:08:46:14	02:08:47:11	還是要我餵你
02:08:49:25	02:08:51:13	小孩在這, 不要講這個
02:09:09:09		你把你媽的照片掛在這裡喔
02:09:11:24	02:09:12:13	對啊
02:09:14:04	02:09:15:21	你真的很糟糕
02:09:26:15		你在幹嘛
02:09:28:08		跟你媽道歉啊
02:09:29:07	02:09:30:21	每天晚上都吵到她
02:09:42:15		其實我要謝謝我媽
02:09:45:01		一定是她在保佑
02:09:47:07	02:09:50:06	所以才會讓我遇到你
02:10:07:26	02:10:09:05	你好噁心喔
02:10:27:14		來...
02:10:31:25	02:10:32:27	好
02:10:54:01		你這張床
02:10:55:07		我那邊放不下喔
02:10:56:29		放心啦, 床不會搬過去
02:10:59:16	02:11:01:07	我把它賣給二手家具店了
02:11:02:15		有點可惜
02:11:03:21	02:11:04:23	它看起來不錯
02:11:06:12		剛搬來的時候
02:11:07:07		我還跟搬家工人吵架
02:11:09:08		床差點搬不上去
02:11:11:11		那個時候我以為
02:11:12:21		是我人生最糟的時候
02:11:15:08		沒想到現在更糟
02:11:17:09	02:11:19:04	連放床的地方都沒有
02:11:21:20		不會啦
02:11:23:05	02:11:24:18	你還有我跟小玲啊
02:12:59:28	02:13:03:25	寫一首幸福的歌
02:13:05:00		用來紀念過去的鹹淡
02:13:10:17	02:13:14:12	寫一首幸福的歌
02:13:15:19	02:13:20:07	用來期待未來的苦澀
02:13:23:25	02:13:28:00	人生啊, 有影無影
02:13:29:20		生活啊, 有笑有痛
02:13:34:27		快樂啊, 實實在在
02:13:40:10		幸福啊, 真真正正
02:13:45:26		幸福是
02:13:48:15		平安的過日來享受
02:13:53:05		春夏秋冬四季的氣味
02:13:58:14		看著日頭從海面升起
02:14:03:23		看到月娘沉落山的那面
02:14:08:18		幸福是
02:14:09:25		健康的過日來看盡
02:14:14:13		悲歡離合人生的滋味
02:14:19:25		活在當下啊自由自在
02:14:25:04	02:14:30:11	拈花微笑, 無罣無礙
