01:00:26:10	01:00:28:10	請問這裡是古舍古鄉嗎
01:53:47:03	01:53:48:27	回憶很重要沒錯
01:53:49:25	01:53:51:13	但是我的稿子更重要
01:53:58:22		魏艾
01:54:00:07	01:54:01:25	以後我去到哪
01:54:03:22	01:54:05:07	你就跟著我
01:54:05:27	01:54:07:24	我們隨時可以在一起
01:54:09:22	01:54:11:26	隨時可以到處走走
01:54:29:10		你看他手上拿的那個東西
01:54:31:09	01:54:34:03	看起來還滿值錢的
01:54:42:28		你在幹嘛啊
01:54:44:13		你不是說不動這裡的人
01:54:46:10		他只是來打工的
01:54:47:19		不算這裡的人
01:54:48:14		不是... 他是民宿的人
01:54:49:25		走開啊
01:54:51:13	01:54:52:25	別鬧了啦
01:54:53:21	01:54:55:04	不要煩啦
01:55:15:03		小玲姊
01:55:17:01	01:55:18:23	振凱, 你來啦
01:55:21:02	01:55:22:13	怎麼一個人
01:55:25:09	01:55:26:28	吵架了喔
01:55:28:22		我跟你講啦
01:55:29:25		情侶在一起
01:55:30:23		吵架都難免的
01:55:32:05		但是有什麼問題都要溝通啊
01:55:34:27		不要像你一樣
01:55:35:21	01:55:38:05	老是悶在心裡面不講嘛
01:55:39:03		還是怎麼樣
01:55:40:00		跟小玲姊講
01:55:40:28		我可以幫你想想辦法
01:55:42:20		怎麼樣
01:55:43:10		我覺得兩個人...
01:55:43:25		魏艾過世了
01:55:45:11	01:55:46:27	我不是一個人
01:55:48:07		你介意嗎
01:55:49:20		你在說什麼啊
01:55:51:07		我怎麼會介意呢
01:55:53:10		可是...
01:55:55:03		怎麼會啊
01:55:56:14	01:55:57:18	空難
01:55:58:17	01:56:00:29	她原本要去美國讀書
01:56:09:23		我看
01:56:11:10		你這次也不要住工作房了啦
01:56:15:00		你帶魏艾
01:56:16:15	01:56:18:07	你就住好一點的
01:56:20:18	01:56:21:24	沒關係
01:56:22:18		她那次有跑進我那間房間看
01:56:26:15		能跟心愛的人一起擠一張床
01:56:30:09	01:56:32:01	勝過任何地方
01:56:33:15	01:56:35:17	所以我們可以...
01:56:36:20	01:56:37:28	我們可以住那間嗎
01:56:40:13		當然可以啊
01:56:43:14	01:56:45:19	你們兩個開心就好了啦
01:56:47:29	01:56:49:05	振凱
01:56:50:05	01:56:51:26	你不要太難過啦
01:56:52:24		既然帶魏艾出來玩
01:56:54:12	01:56:56:06	就要開心一點啊
01:56:58:05	01:56:59:28	你先去休息啦
01:57:06:23	01:57:08:06	謝謝小玲姊
01:57:32:10	01:57:33:24	你在找什麼啊
01:57:35:05	01:57:36:15	魏艾不見了
01:57:38:25		你不要急...
01:57:39:26		你先去路上找找看
01:57:40:21		看有沒有掉在來的路上
01:57:42:03		我先去報警
01:57:43:08		對... 長什麼樣子啊
01:57:44:27	01:57:46:02	銀色的罐子
01:58:35:25	01:58:37:22	你看, 這不知道是什麼
01:58:40:25	01:58:42:22	感覺還滿值錢的
01:58:46:28		真的是死人骨頭啊
01:58:48:22	01:58:50:13	我要先去吃豬腳麵線
01:59:48:07		我不管你找多少人
01:59:50:05	01:59:51:20	用什麼方法
01:59:54:07	01:59:56:27	一定要把那個王八蛋給我找到
02:00:00:03	02:00:01:04	還有
02:00:01:18		我女兒在他手上
02:00:03:26		你在弄死他之前
02:00:05:25	02:00:08:00	一定要先找到我女兒
02:00:11:00	02:00:12:11	李振凱
02:01:58:00	02:01:59:14	你在等人嗎
02:02:06:07	02:02:07:24	我在找人
02:02:12:03		我的女朋友...
02:02:14:07	02:02:15:15	不見了
02:02:18:14	02:02:20:00	我的女朋友
02:02:20:23	02:02:22:02	也不見了
02:02:25:05	02:02:27:13	三年前我來到這邊
02:02:29:04	02:02:30:18	遇見了小安
02:02:32:08	02:02:34:17	她左邊臉上有胎記
02:02:36:01	02:02:37:25	讓她很沒有信心
02:03:20:15	02:03:22:03	不要跟著我啦
02:03:23:17	02:03:25:25	不要啦, 我會被看到
02:03:32:11		好啦, 那...
02:03:34:06		打給我
02:03:34:24		但這樣的她
02:03:36:07	02:03:37:17	很純真
02:03:38:07	02:03:39:18	很善良
02:03:51:25	02:03:53:03	手給我
02:03:59:08	02:04:00:16	這是什麼
02:04:01:22	02:04:03:03	自己做的嗎
02:04:17:10		我就跟我自己說
02:04:19:00		我要留在這裡
02:04:20:26	02:04:22:24	永遠跟她在一起
02:04:34:18	02:04:36:17	哪知道她一下子就不見了
02:04:47:07		她家把人家倒會了
02:04:50:20		都逃跑了
02:04:52:25		他們走了
02:04:53:29	02:04:56:12	對啦, 走...
02:04:57:06	02:04:59:22	遇到瘋子, 真的是
02:05:00:18		已經兩年四個月
02:05:04:03		又十二天了
02:05:05:23		您所撥的電話無法接聽
02:05:08:14		請稍後再播
02:05:10:12		我等的時間
02:05:12:05		都已經比我們相愛的時間
02:05:13:13	02:05:14:23	還長了
02:05:18:05		先說好喔
02:05:19:10		等一下我們大哥這邊要先處理
02:05:22:20		對不起, 我聽不懂台語
02:05:25:19		聽不懂喔
02:05:26:23		我說等一下我們大哥這邊
02:05:28:05	02:05:29:10	要先處理
02:05:30:22		可是我不是來討錢的耶
02:05:32:24		那你在這邊幹嘛
02:05:34:16	02:05:36:09	我是來等人
02:05:38:17	02:05:40:03	意思不是一樣
02:05:44:17	02:05:45:18	小安
02:05:46:14	02:05:47:26	你在哪裡
02:05:48:27	02:05:50:06	會回來嗎
02:05:51:16	02:05:54:23	還是我去找你
02:06:03:19	02:06:04:25	我等你
02:06:05:27	02:06:06:25	不見
02:06:07:17	02:06:08:21	不散
02:06:11:26	02:06:13:16	其實我很羨慕你
02:06:15:04		我還真希望小安已經死掉了
02:06:17:28		這樣的話我一樣看不到她
02:06:20:01		一樣會想她
02:06:22:09	02:06:24:01	一樣不會忘記她
02:06:25:03	02:06:26:13	但至少
02:06:27:28	02:06:29:28	不用每天在這裡打轉
02:06:30:24	02:06:32:14	跟你今天一樣
02:06:45:13	02:06:49:17	好幾次我在站牌等車想走
02:06:50:20	02:06:52:06	但每班車到了
02:06:53:09	02:06:55:00	就有一個念頭告訴我
02:06:56:13	02:06:57:14	別走
02:06:58:06	02:07:01:03	也許下一班車她就會出現了
02:07:23:09		她從早到晚都一直陪我
02:07:26:21	02:07:28:09	陪在我身邊
02:07:43:14	02:07:45:00	謝謝你, 魏艾
02:08:43:28		人呢
02:08:44:22		抱歉, 還沒找到人
02:08:46:21	02:08:49:01	人沒找到你打電話來幹什麼
02:08:53:03	02:08:55:12	有個消息先讓老闆知道
02:08:56:08		昨天有人報案
02:08:58:00	02:08:59:28	也是骨灰罈失竊
02:09:01:04	02:09:02:04	在哪裡
02:09:12:01	02:09:13:04	小心
02:09:22:11	02:09:23:23	魏艾
02:09:24:17	02:09:26:07	你不要走
02:09:29:02	02:09:30:19	不要走
02:09:43:17	02:09:44:22	李振凱
02:09:45:18	02:09:48:20	你這個混帳東西你給我滾出來
02:09:50:20		你在哪裡
02:09:51:28		請問一下你有什麼事情啊, 先生
02:09:53:05	02:09:54:14	你給我滾出來
02:09:57:04	02:09:58:01	先生
02:10:01:00	02:10:02:06	李振凱
02:10:06:01		這位先生
02:10:07:01		請問你到底要幹嘛
02:10:08:12		你把我的門都撞壞了耶
02:10:10:09		你一共幾扇門
02:10:11:15		我全包了可不可以
02:10:13:03		我告訴你
02:10:14:16		我魏天保不會欠你一毛錢
02:10:17:08	02:10:18:06	李振凱
02:10:19:09	02:10:20:29	混帳東西
02:10:24:21	02:10:25:25	李振凱
02:10:27:29	02:10:29:13	還給我躲在這裡
02:10:31:24		打死你
02:10:32:11	02:10:33:15	魏先生
02:10:34:04		你不要打, 你冷靜
02:10:36:04	02:10:37:04	伯父
02:10:38:07		魏先生
02:10:39:24		你不要打了啦
02:10:40:29	02:10:42:06	魏先生
02:10:43:09	02:10:44:08	伯父
02:10:44:21	02:10:45:17	對不起
02:10:48:13	02:10:50:24	你們害我撞到魏艾了啦
02:11:18:15	02:11:19:18	伯父
02:11:22:01	02:11:23:09	對不起
02:11:24:23		沒有經過你的同意
02:11:25:25	02:11:27:15	就把魏艾帶走
02:11:40:28	02:11:42:10	她走的那一天
02:11:44:00	02:11:45:07	有來找我
02:11:49:07	02:11:50:16	什麼都沒有說
02:11:53:24	02:11:55:12	也沒有說她要離開
02:11:59:28		就只是說要出去走走
02:12:01:19	02:12:03:23	一直說要出去走走
02:12:13:26	02:12:15:05	我那天趕稿啊
02:12:16:12	02:12:18:18	沒什麼理她, 還傷害她
02:12:23:13		要是我知道她要去美國
02:12:25:08	02:12:27:06	我一定會出去陪她
02:12:28:03	02:12:29:18	我一定陪她走走
02:12:30:16	02:12:31:28	一定陪她走走
02:12:34:23	02:12:36:06	陪她走走
02:12:47:29	02:12:49:22	魏艾最後的願望
02:12:50:19	02:12:52:04	是你會來找她
02:12:55:27	02:12:57:02	我有找她
02:12:57:18		我一直找她
02:12:59:07		從昨天到現在都一直找她
02:13:01:21		都一直找她
02:13:03:21		一直找她
02:13:05:06	02:13:06:23	都一直找她
02:13:38:18	02:13:39:24	李振凱
02:13:41:13	02:13:43:16	不要再把我女兒搞丟了
02:13:46:00	02:13:47:05	謝謝伯父
02:13:48:01	02:13:50:05	謝謝伯父...
02:13:51:08	02:13:52:06	謝謝伯父
02:14:10:22		你不要再打了好嗎
02:14:12:04		已經跟你說過了
02:14:13:07	02:14:15:17	我是送瓦斯的, 不是賣菜的
02:14:18:05	02:14:19:11	對不起
02:14:21:04	02:14:22:19	我不會再打了
02:16:08:27	02:16:10:12	以後我去到哪
02:16:12:19	02:16:14:00	你就跟著我
02:16:14:22	02:16:16:14	我們隨時可以在一起
02:16:18:14	02:16:20:05	隨時可以到處走走
02:16:45:10	02:16:48:28	有人說緣分不能相信
02:16:49:26		那是愛情騙子
02:16:50:29	02:16:53:28	拿來玩弄別人感情的藉口
02:16:54:19		不愛就不愛了
02:16:56:08	02:16:57:22	什麼緣分盡了
02:17:00:19	02:17:03:00	可是如果不能相信緣分
02:17:03:29	02:17:06:29	那麼還有勇氣真心相愛的人
02:17:07:27	02:17:09:08	能有什麼希望呢
02:17:14:07	02:17:15:19	所以我說
02:17:16:17	02:17:20:17	緣分是旅行中的再遇見
02:17:37:17	02:17:38:20	這一趟旅行
02:17:39:29		對於等待的人而言
02:17:42:05	02:17:43:09	是起點
02:17:47:23	02:17:49:18	對於尋找的人而言
02:17:50:16	02:17:51:23	是終點
02:17:53:09	02:17:57:16	旅行就是在回家的路上
02:18:03:12	02:18:05:14	他們都在回家的路上
02:18:06:12	02:18:07:21	因為愛
