01:01:53:00	01:01:54:15	不可以喔
01:50:03:01	01:50:04:04	你等等
01:50:22:03	01:50:23:15	姊姊
01:50:24:23	01:50:26:15	呼呼
01:50:34:11		這是辰歸他媽留下來的衣服
01:50:37:24		如果你不嫌棄的話
01:50:39:16		暫時穿一穿
01:50:41:16		你看
01:50:42:28	01:50:45:23	穿個男生的衣服多難看啊
01:50:56:02		欠的也是你
01:50:57:16		要還的也是你
01:50:59:00		我現在已經有錢了
01:51:00:18		你給我幾天的時間
01:51:01:22		我一定會還你
01:51:02:25		我聽不懂
01:51:04:03		給我幾天時間
01:51:05:08	01:51:07:05	我就會還你了
01:52:03:03	01:52:04:05	那個錢
01:52:06:07		是為我兒子存在銀行去的
01:52:09:10		如果你需要的話
01:52:11:12	01:52:13:10	你就拿去吧
01:52:16:15		我們都是無家可歸的人
01:52:19:16		如果你能夠拿這個錢還債的話
01:52:24:09	01:52:26:17	我存得也值得了
01:52:31:10		我很早就離開家了
01:52:35:06		民國三十八年隨部隊到了台灣
01:52:40:27	01:52:42:09	當時就在想
01:52:43:10		在台灣只是暫住一下子
01:52:46:03		很快就可以回大陸去了
01:52:50:02		那個時候有個口號
01:52:52:25		叫一年準備
01:52:55:07		兩年反攻
01:52:56:20		三年掃蕩
01:52:58:06	01:52:59:29	五年成功
01:53:02:08		五年成功...
01:53:06:15	01:53:09:00	我等了多少個五年了
01:53:13:14	01:53:16:12	頭髮都等白了
01:53:18:13		那年改革開放
01:53:21:28		可以回去探親了
01:53:24:14		我急於想回去
01:53:26:23		看看我的爸爸媽媽
01:53:29:08	01:53:30:12	沒想到
01:53:31:11		我一個小同鄉回來
01:53:33:22		告訴我說
01:53:35:27		老溫啊
01:53:37:14	01:53:39:11	你的爸爸媽媽
01:53:40:28		在文化大革命的時候
01:53:44:04	01:53:46:14	被鬥爭死了
01:53:49:08	01:53:50:26	慘啊
01:53:52:08		悲啊
01:53:53:15	01:53:55:24	我真是很悲
01:54:00:19		俗語說得好
01:54:02:17	01:54:04:19	落葉歸根
01:54:05:08		我當然希望回家看一看
01:54:09:01	01:54:16:01	結果我兒子把我留下
01:54:32:07		這個戒指是我為辰歸他媽買的
01:54:38:00		他媽無福消受
01:54:41:02	01:54:44:21	所以我一直留到現在
01:54:46:03		薇薇, 你是聰明人
01:54:50:03		我們打開天窗說亮話
01:54:52:27		我希望你能夠嫁給我
01:54:55:06		不... 你不要誤會
01:54:57:29	01:54:59:24	是假結婚
01:55:00:23		結完婚以後
01:55:02:20		你可以拿我這筆錢
01:55:04:16		拿去還債
01:55:06:07	01:55:08:00	剩下的錢
01:55:08:17	01:55:11:06	你就可以做個小生意
01:55:12:17		等到我死了以後
01:55:14:11		這個房子就是你的
01:55:17:13		而且每個月
01:55:19:10		還可以拿一萬多塊錢的半俸
01:55:22:23		希望我死了以後
01:55:25:10	01:55:27:23	你好好照顧我的兒子
01:55:32:01		別跟我開玩笑了
01:55:34:20		我雖然不敢奢望
01:55:35:26		有男人可以娶我
01:55:37:14	01:55:40:24	但是我也不至於嫁給一個老頭子
01:55:41:19		你要我嫁給你
01:55:43:00		是希望我可以照顧辰歸
01:55:45:06		難道你不怕你死了之後
01:55:48:19	01:55:50:05	我落跑了
01:55:51:10		薇薇啊
01:55:53:09		我們雖然只短短的相處了幾天
01:55:58:06		但是我看得出來
01:56:01:09	01:56:03:26	你是一個善良的女孩子
01:56:06:09		所以我用我的一切
01:56:09:15	01:56:11:04	跟你賭一把
01:56:12:25		薇薇啊
01:56:14:16	01:56:18:20	難道你不希望有個安定的家嗎
01:56:59:01	01:57:02:18	請問你們是誰要跟誰結婚
01:57:06:16	01:57:11:14	是我要跟他結婚
01:57:20:28		好, 我們現在來拍一張合照喔
01:57:24:02		大家笑一個
01:57:26:06		麻煩站近一點
01:57:28:03		好, 伯伯, 要看鏡頭喔
01:57:30:19		好
01:57:31:14		對...
01:57:32:27	01:57:33:25	好
01:57:34:17		看鏡頭
01:57:36:10	01:57:40:04	三, 二, 一
01:58:00:02		乾杯
01:58:01:07	01:58:02:22	乾杯
01:58:03:04		兒子啊
01:58:03:25		乾杯來...
01:58:05:00	01:58:06:26	乖...
01:58:11:19		過兩天我陪你把債還清了
01:58:16:24		剩下來的錢呢
01:58:18:24		就存在你戶頭裡面
01:58:21:05		我們這個房子把它賣掉
01:58:23:26		買個新房子
01:58:25:10		你看怎麼樣
01:58:27:03		不是住得好好的
01:58:28:17	01:58:30:16	幹嘛搬家
01:58:31:21		既然你嫁給我了
01:58:33:25		我不能讓你受委屈
01:58:36:05		老睡在這個沙發上
01:58:37:26		那怎麼成呢
01:58:39:07	01:58:40:28	對身體不好
01:58:43:26		幹嘛對我那麼好啦
01:58:46:05		我又不是你真的老婆
01:58:48:08		真老婆也好
01:58:50:02		假老婆也好
01:58:51:28		反正我們現在
01:58:52:23		不就是一家人了嗎
01:58:54:28		我們買一棟大點的房子
01:58:58:00		高高興興, 快快樂樂過日子
01:59:01:15	01:59:02:24	你看好嗎
01:59:27:10	01:59:29:11	辰歸, 是你啊
01:59:35:25	01:59:37:17	爸爸在裡面炒菜啊
01:59:38:25	01:59:40:03	媽媽
01:59:40:28	01:59:42:05	媽媽
01:59:50:02		辰歸
01:59:51:14		為什麼爸爸會突然間
01:59:53:05		跟這個女人結婚
01:59:55:15		媽媽沒有錢
01:59:57:08	01:59:59:17	爸爸給他錢
02:00:03:17	02:00:05:18	是用辰歸的錢吧
02:00:16:00	02:00:17:05	吃飯囉
02:00:19:29		嚇我一跳
02:00:21:01		你什麼時候進來的啊
02:00:22:26		嫂子在做菜啊
02:00:26:00		你上次說是溫師傅的姪女
02:00:29:00		我就覺得奇怪
02:00:31:07		搞了半天
02:00:33:05		你們結婚啦
02:00:34:28		你到底有什麼事啦
02:00:36:11		沒事...
02:00:37:24		我帶了些番茄
02:00:39:09		等會兒溫師傅回來
02:00:41:02	02:00:42:15	你弄給他們吃
02:00:52:08		來, 乖
02:00:53:28	02:00:55:04	吃飯了
02:00:58:11	02:00:59:20	好吃喔
02:01:00:22		薇薇啊
02:01:01:23		過兩天我們到郵局去
02:01:05:10		把你的事情辦完了
02:01:08:05		你我的事就成了
02:01:11:16		你這筆錢
02:01:13:05	02:01:15:13	原本是想拿來做什麼的
02:01:27:29	02:01:29:23	回老家去
02:02:00:29		你說我戶頭沒有錢了
02:02:03:19		這怎麼可能呢
02:02:05:12		溫伯伯, 不好意思
02:02:06:19		我們確認過很多次了
02:02:08:06		您兒子的戶頭的確沒有錢了
02:02:11:01		你再給我查查
02:02:11:29		再給我查一查嘛
02:02:13:28		這些年來
02:02:15:05		每個月都是我請專人
02:02:18:00		把錢放這個地方來的
02:02:20:01	02:02:21:13	怎麼會
02:02:27:12	02:02:28:26	不可能
02:02:33:13		薇薇, 你聽我解釋嘛
02:02:35:27		我真不知道這個錢
02:02:38:00		會轉到什麼地方去嘛
02:02:40:08		薇薇
02:02:41:21		薇薇
02:02:43:07		你是講完沒
02:02:45:16		你給我點時間
02:02:47:03		我回去問問賴打好不好
02:02:49:13		你問賴打幹嘛啦
02:02:50:27		錢被他拿走了
02:02:52:01		他會還你喔
02:02:53:01		你以為他是傻瓜嗎
02:02:54:21		我跟你說啦
02:02:55:27		這一次結婚不算
02:02:58:01		大家以後別再連絡了
02:03:01:01		媽媽薇薇
02:03:02:00		媽媽
02:03:02:28		薇薇
02:03:04:03	02:03:05:07	媽媽
02:03:06:14		媽媽...
02:03:10:20	02:03:12:11	媽媽
02:03:34:14		媽媽
02:03:35:26		媽媽
02:03:36:28		媽媽, 不要走
02:03:38:13		媽媽
02:03:39:23		媽媽
02:03:41:08		媽媽, 不要走
02:03:43:05		媽媽, 不要走
02:03:45:10		媽媽
02:03:46:17		爸爸
02:03:47:12		媽媽, 不要走
02:03:49:04		媽媽, 你不要走
02:03:50:28	02:03:52:15	媽媽, 不要走
02:03:59:19		媽媽, 不要走
02:04:01:01		先生...
02:04:02:12		你沒事吧
02:04:04:16		媽媽
02:04:05:10		媽媽, 不要走...
02:04:07:13		要不要打電話給警察
02:04:08:10		媽媽, 不要走
02:04:10:17	02:04:12:00	先生...
02:04:16:27		媽媽, 我們回家
02:04:22:07		我們回家
02:04:25:03		媽媽, 不要走
02:04:27:09		爸爸
02:04:29:09		爸爸
02:04:31:08	02:04:33:05	爸爸
02:04:36:08	02:04:37:01	辰歸
02:04:38:01	02:04:39:06	辰歸
02:04:40:21	02:04:41:27	辰歸
02:04:43:05	02:04:45:18	辰...
02:04:49:23	02:04:51:02	辰歸
02:05:06:26	02:05:08:05	伯伯, 你醒啦
02:05:14:12		請問
02:05:16:03		這是什麼地方
02:05:17:14		伯伯, 你在路邊昏倒
02:05:18:22		被人送到急診室
02:05:20:17		你現在怎麼樣
02:05:21:20	02:05:23:10	有沒有好一點
02:05:29:00		我兒子
02:05:30:12	02:05:32:04	我兒子辰歸呢
02:05:34:05		辰歸...
02:05:36:02		不是, 小姐
02:05:37:07		我要找我兒子
02:05:38:20		我兒子重度智障啊
02:05:40:12		沒有我的話
02:05:41:07		他回不了家啊
02:05:42:13		你冷靜一點, 伯伯
02:05:43:05		辰歸
02:05:44:12		伯伯... 冷靜一點
02:05:45:08		你不要阻止我
02:05:47:04		我要找我兒子
02:05:47:27		對... 你躺一下...
02:05:48:27		我要找我兒子
02:05:50:02		躺一下...
02:05:51:23		我兒子回不去
02:05:52:25		沒有... 你先休息...
02:05:53:28		你先休息一下
02:05:55:27	02:06:00:14	先躺一下...
02:06:09:01		爸爸...
02:06:17:08	02:06:30:09	爸爸...
02:06:33:28	02:06:36:08	爸爸再也不會離開你了
02:06:38:24		永遠不會離開你
02:06:41:15	02:06:42:16	好不好
02:07:41:21	02:07:44:01	辰歸, 叫姊姊
02:07:45:16		姊姊
02:07:46:27		我加你錢嘛
02:07:48:10	02:07:49:17	我不要
02:07:52:28	02:07:54:12	兩千還你
02:07:58:29		借過...
02:08:00:26		你有沒有看到一個女生跑過去
02:08:04:11	02:08:05:23	沒有
02:08:11:10	02:08:12:20	痛
02:08:36:07	02:08:37:20	吃
02:08:38:24	02:08:39:28	不痛
02:08:56:17	02:08:57:23	溫伯伯
02:08:59:03		溫伯伯
02:09:00:27	02:09:02:06	你醒啦
02:09:05:27		你是誰啊
02:09:07:03		我叫露露
02:09:08:17		我是社工
02:09:10:02		那你以後有什麼需要幫忙的
02:09:11:22		或有問題都可以告訴我
02:09:14:06		我兒子辰歸呢
02:09:16:22		你不要擔心
02:09:17:28		里長已經告訴我們辰歸的狀況
02:09:20:00		我已經把他暫時安頓在養護中心
02:09:22:19		等你狀況穩定一點
02:09:24:01		我們再來討論後續要怎麼安排
02:09:26:24		這怎麼行啊
02:09:27:28		我要找我兒子辰歸
02:09:29:13		我要找我兒子
02:09:30:13		辰歸在我們那邊被照顧得很好
02:09:31:25		你不要擔心
02:09:32:19		你先好好休息嘛
02:09:34:04		照顧得很好
02:09:36:02		你知道嗎
02:09:37:13		我兒子從小到大
02:09:39:02		從來也沒有離開過我
02:09:41:04		你們對他這麼安排
02:09:42:29		他怎麼回家
02:09:44:15	02:09:46:04	他怎麼活
02:09:47:14		但是醫生說你還不能起來
02:09:49:14		溫伯伯
02:09:50:21		小心...
02:09:51:10		醫生...
02:09:53:15		先坐下來嘛
02:09:54:17		小心...
02:09:55:21		先坐下來
02:09:56:24		溫伯伯, 不要急...
02:09:58:08	02:09:59:26	先坐下來
02:10:04:25		小姐
02:10:06:10		你知道嗎
02:10:08:05		我兒子從小到大
02:10:10:17		沒有離開過我
02:10:12:28		你們這樣子安排
02:10:15:04	02:10:17:18	我能不擔心嗎
02:10:21:21	02:10:22:28	不好意思
02:10:26:06	02:10:26:25	喂
02:10:27:18	02:10:29:00	主任
02:10:30:26		我要回家
02:10:32:27		他爸爸現在情況怎麼樣
02:10:34:19		我們現在好幾個人都壓不住他
02:10:37:04	02:10:39:09	可不可以請他爸爸過來一趟
02:10:43:09		可是他才剛醒
02:10:44:10		醫生說需要留院觀察
02:10:46:03	02:10:47:16	還不能下床
02:10:48:11		你看
02:10:49:04	02:10:51:00	看書喔我要回家
02:10:55:26		等一下就可以回家了
02:10:57:15	02:10:58:24	回家
02:10:59:19		是我兒子的聲音
02:11:00:21	02:11:02:11	我兒子
02:11:05:02		喂, 你哪位
02:11:07:09		把電話給我兒子
02:11:08:27		回家
02:11:09:29		等一下就可以回家了
02:11:11:12		回家
02:11:12:07	02:11:14:06	我要回家
02:11:17:18		兒子, 不要哭
02:11:19:16		我是爸爸啊
02:11:21:15		你等我
02:11:22:22		我待會會去接你
02:11:25:04		爸爸等一下就來了
02:11:26:11		我要回家
02:11:29:18		好啦...
02:11:31:03		不要哭了
02:11:33:07		爸爸...
02:11:35:08		爸爸馬上去接你
02:11:38:12	02:11:42:24	我要回家...
02:11:46:17	02:11:49:12	溫伯伯, 你先不要著急
02:11:51:06		既然辰歸這麼不習慣陌生的環境
02:11:54:02		那您看有沒有什麼辰歸比較熟悉的人
02:11:57:02		可以先來陪他
02:11:58:27	02:12:01:25	或者是我先暫時把辰歸送過去
02:12:12:17		不要...
02:12:15:08		為什麼不回家呢
02:12:17:06		不要
02:12:17:26		辰歸...
02:12:18:12		沒事...
02:12:18:29		不要...
02:12:20:05		不然先來里長家好不好
02:12:22:10		不要...
02:12:24:03		沒事...
02:12:24:22		不要
02:12:26:13	02:12:27:20	辰歸
02:12:28:16		辰歸
02:12:30:00		媽媽...
02:12:32:17		乖, 不哭
02:12:33:16		媽媽回來了
02:12:34:14		媽媽乖
02:12:36:11		乖, 我們回家
02:12:37:27		我們回家去
02:12:39:16		我們回家去喔
02:12:40:27		乖
02:12:42:01		媽媽
02:12:42:23		好... 媽媽在...
02:12:45:16		媽媽在你旁邊
02:12:46:23		不哭...
02:12:49:03		我們回家
02:12:50:05		回家
02:12:52:19	02:12:54:01	媽媽
02:12:59:22		辰歸, 乖
02:13:00:16	02:13:01:19	吃飯飯
02:13:02:18		好不好吃
02:13:04:00		來, 再吃一口
02:13:05:29	02:13:07:05	乖
02:13:09:14	02:13:11:02	擦嘴嘴
02:13:22:13		走, 辰歸
02:13:23:27		快進去
02:13:24:13		快
02:13:25:17		快點進去
02:13:26:17		不要講話
02:13:27:01	02:13:28:07	門關起來
02:13:56:07		是這間對吧
02:13:58:02		對
02:13:59:08	02:14:00:13	這間
02:14:02:16	02:14:03:22	你如果開錯門
02:14:06:01	02:14:07:25	你就死定了
02:14:14:29		有消息要通報一下喔
02:14:18:20	02:14:20:01	我知道
02:14:58:02	02:14:59:06	再躲啊
02:16:19:01	02:16:20:15	你幹嘛
02:16:26:10		做什麼
02:16:28:26	02:16:30:13	你是怎麼樣
02:16:33:03		怎麼樣
02:16:34:03		很會叫嘛
02:16:36:08		我跟你說
02:16:37:03		既然你這麼會跑
02:16:38:16		我就送你去地府
02:16:40:19		你再呼吸啊
02:16:42:14	02:16:43:22	你再叫啊
02:16:45:11	02:16:46:20	再來啊
02:16:53:12	02:16:56:16	喘氣啊...
02:19:00:18	02:19:01:29	薇薇啊
02:19:03:11		你知道嗎
02:19:05:12		我為什麼
02:19:07:08	02:19:11:23	給我兒子取辰歸這個名字嗎
02:19:13:18	02:19:15:12	出生的時候
02:19:16:08	02:19:17:19	我就在想
02:19:18:27	02:19:22:03	我們可以早點回老家去
02:19:25:21		沒想到我給他取了這個名字
02:19:30:08	02:19:32:16	反而回不去了
02:19:34:29	02:19:36:17	薇薇啊
02:19:38:20	02:19:40:06	答應我
02:19:41:06		如果有空的時候
02:19:44:14	02:19:52:27	就帶我跟辰歸到海邊去看看海
02:19:55:13	02:19:57:21	我只要看到海
02:19:58:18	02:20:02:15	就像是看到我的老家一樣
02:21:01:24	02:21:02:29	老溫
02:21:05:04	02:21:06:10	老溫
02:21:07:20	02:21:09:01	回家囉
02:21:10:06	02:21:11:22	我們回家囉
02:21:30:18	02:21:32:02	薇薇
02:21:33:09	02:21:35:05	謝謝你
02:21:37:09		睡呀
02:21:39:27	02:21:42:06	睡呀
02:21:49:06		狂風有時停
02:21:54:16		暴雨有時靜
02:22:00:08		燕子歸來時
02:22:05:21	02:22:12:09	滿眼就是春
