01:00:08:20	01:00:10:25	阿嬤, 你叫什麼名字
01:35:27:28		阿嬤要去燒香了
01:35:30:03	01:35:31:18	小心...
01:35:33:17	01:35:35:28	擦都擦不乾淨
01:35:37:07		真的是要怎麼睡
01:35:40:11	01:35:42:07	床也這樣硬邦邦的
01:35:44:28		破成這樣要怎麼睡啦
01:35:46:15		我要回去睡我的席夢思啦
01:35:49:21		還嫌呢
01:35:52:04	01:35:54:12	這樣已經算不錯了啦
01:35:55:03		在我們還小的時候
01:35:57:23		我們四個兄弟姊妹
01:35:59:10	01:36:01:26	還要擠同一張床呢
01:36:03:02		要不是我十四歲
01:36:05:15	01:36:08:08	就去台北工作賺錢
01:36:08:23	01:36:11:12	買下隔壁嬸婆的豬舍
01:36:12:12		哪有辦法多蓋這兩間房間
01:36:15:07		聽你在臭屁
01:36:16:21		你要是那麼厲害
01:36:17:21		怎麼不蓋間別墅
01:36:19:17		這裡我可是待不下去了
01:36:21:13		你到底什麼時候
01:36:22:13		才要去問阿母樂透的事
01:36:24:18	01:36:27:16	阿母就說她沒中
01:36:28:05		阿母說沒中
01:36:28:27		你就相信
01:36:30:01		你就是太老實了
01:36:32:07	01:36:34:15	才會常常吃兄弟的虧
01:36:36:01		新聞就說
01:36:37:19		那個中獎的阿嬤是買了一百塊
01:36:40:28	01:36:44:17	一百塊可以買兩張
01:36:45:28		對喔
01:36:48:00		那阿母怎麼都不說
01:36:49:19		一定是因為之前
01:36:51:07		金海把阿母趕出來
01:36:52:18		阿母在記恨啦
01:36:54:04		所以現在才會故意考驗我們
01:36:57:28		對啦
01:36:59:18	01:37:03:02	一定是金海不夠孝順阿母
01:37:03:17		小聲一點啦
01:37:04:25	01:37:06:13	等一下被別人聽到
01:37:16:04		若要比孝順
01:37:17:09	01:37:19:04	我哪會輸你
01:37:40:14	01:37:41:27	阿母
01:37:44:00		海仔, 你怎麼會這樣貼膏藥
01:37:47:05	01:37:49:20	還全身都是汗
01:37:50:06		沒有啦
01:37:51:29		我是怕阿母你會冷
01:37:54:22	01:37:59:20	我先幫你把被子弄暖
01:38:02:11	01:38:05:03	我先去廁所一下
01:38:17:28		山仔, 你怎麼沒穿衣服
01:38:21:28		沒有啦
01:38:23:08		我知道你晚上都會起來上廁所
01:38:26:12	01:38:27:22	晚上蚊子很多
01:38:29:20		我想說先把蚊子餵飽
01:38:31:26	01:38:34:09	這樣就不會叮你了
01:38:41:10		佛祖啊
01:38:43:07		我這兩個兒子好像怪怪的
01:38:47:15	01:38:51:07	你要保佑我們全家平安
01:38:51:29	01:38:53:01	阿母
01:38:54:18		我把這張作怪的樂透跟平安符
01:38:57:08		一起燒成符水給你喝
01:38:59:06	01:39:00:24	壓壓驚
01:39:05:02		我還想說
01:39:06:07		他們兩個怎麼突然這麼孝順
01:39:09:17		結果是想錢想瘋了
01:39:12:09	01:39:14:04	實在是太扯了
01:39:18:18		要過年了
01:39:20:13	01:39:23:14	你怎麼沒有回去家裡
01:39:24:23	01:39:26:24	我就...
01:39:29:29		阿母
01:39:31:21	01:39:34:05	我現在才知道你的心情
01:39:34:22		老公沒用
01:39:36:05		子女又只知道跟你要錢
01:39:38:08		錢有什麼用
01:39:39:26		多煩惱的
01:39:42:03		不然我就住在這兒
01:39:44:12		如果他們又不孝順
01:39:46:00	01:39:48:00	我們也沒在怕他們
01:39:51:08		再怎麼說他們也是我的孩子
01:39:55:20		我可以看到子孫好好相處
01:39:59:25		我就很高興了
01:40:02:14	01:40:04:05	你知道嗎
01:40:17:07		從小到大
01:40:18:16		我總是只能撿我哥哥不要的衣服來穿
01:40:22:09		即使我長大了
01:40:24:05		他們仍把我當成保鏢來使喚
01:40:27:13		當著眾人叫我去買香菸, 檳榔
01:40:30:22		讓我在前女友面前丟臉
01:40:34:05		當初我就是因為被哥哥瞧不起
01:40:37:01		才離開台灣的
01:40:39:04	01:40:42:07	所以就算遺產只有五塊錢
01:40:43:00	01:40:45:02	我也要回來爭一口氣
01:40:52:03	01:40:54:19	阿母, 我回來了
01:41:03:08	01:41:05:01	你們是誰
01:41:09:07	01:41:10:22	阿星
01:41:12:18	01:41:14:17	你怎麼會在這兒...
01:41:18:20		你先換衣服
01:41:19:17		阿母現在在睡午覺
01:41:20:17	01:41:21:29	等一下就起來了
01:41:23:13	01:41:25:03	這門怎麼這麼低
01:41:25:23	01:41:28:05	你是外國房子住太久了啦
01:41:29:07	01:41:30:17	小心...
01:41:35:17	01:41:38:16	剛剛那個瘋女人到底是誰
01:41:39:08		那個是山仔新娶的老婆
01:41:40:29	01:41:42:28	現在懷孕要生了
01:41:44:19	01:41:46:29	你實在太久沒回來了
01:41:48:14		山仔那種人喔
01:41:49:26	01:41:52:12	三五年就換個老婆
01:41:53:01		跟我有沒有回來有什麼關係
01:41:55:22		是說阿銘實在有夠可憐
01:41:59:29		對啊, 阿銘就像從小沒爸爸
01:42:03:08		還是我們兩個帶大他的
01:42:05:16		我說真的
01:42:07:02		山仔, 海仔
01:42:08:14		幾百年不回家的人
01:42:10:21		怎麼會一起在這裡
01:42:12:20		是不是回來分財產的
01:42:15:05		財產
01:42:16:13		我們哪裡有什麼財產啦
01:42:18:10		他們是以為阿母中樂透
01:42:19:20	01:42:21:07	才會回來的
01:42:24:23	01:42:26:11	你在幹嘛啦
01:42:27:28		阿母中樂透
01:42:29:12		是中多少
01:42:30:28		拜託
01:42:32:07		不要跟他們一起發瘋好不好
01:42:34:14		阿母哪有可能中樂透
01:42:36:10		阿母就說她沒中了
01:42:37:28		我還把彩券燒了
01:42:39:14	01:42:41:10	他們還是不信
01:42:42:15		阿母說她沒中
01:42:43:25		對啊
01:42:45:12		所以可能被氣到身體不舒服
01:42:48:10	01:42:50:24	我才打電話叫你回來
01:42:52:26	01:42:55:09	這一定有什麼陰謀
01:42:56:16		不管啦...
01:42:58:09		這兩個人從小就把我當成小弟
01:43:01:12		現在我長大了
01:43:02:24		還繼續把我當成小弟
01:43:05:08		賺了錢, 娶了老婆
01:43:07:11		不想分錢給我
01:43:08:28		就把我趕走
01:43:10:06		現在我有錢了
01:43:12:03	01:43:15:23	我一定要爭一口氣回來
01:43:18:15		我們兄弟姊妹不和
01:43:19:21		阿母已經很操心了
01:43:21:18		我叫你回來不是來添亂的
01:43:24:01		這件衣服是誰的
01:43:24:26		怎麼穿了很彆扭
01:43:26:29	01:43:28:21	就跟山仔借的
01:43:29:21		我的天
01:43:31:07		耶穌啊
01:43:32:17	01:43:35:07	怎麼還是撿到他的衣服啦
01:43:37:25	01:43:39:02	阿母
01:43:39:21		來...
01:43:40:22		這是你的金孫
01:43:42:00		他叫麥可
01:43:44:03	01:43:45:25	已經五歲了
01:43:46:08	01:43:48:07	你叫做賣哭喔
01:43:49:00		我叫做罔笑啦
01:43:50:07		是你的阿嬤
01:43:51:27		你要叫我阿嬤喔
01:43:54:15		乖孫耶
01:43:55:21	01:43:57:10	賣哭
01:43:59:29		阿母, 你怎麼哭了
01:44:03:07	01:44:04:22	沒有啦
01:44:05:15		這個孫子都長這麼大了
01:44:07:00		我才第一次看到
01:44:09:06	01:44:13:25	下一次不知道能不能再看到
01:44:15:18	01:44:19:25	賣哭, 阿嬤太高興
01:44:21:04	01:44:22:22	對啦... 這個...
01:44:23:15		來, 這個...
01:44:25:13		不用啦... 是我不孝
01:44:27:28		我沒有早一點帶孩子回來給你看
01:44:29:24		這個不用啦
01:44:30:24		沒有啦, 我這是要給金孫的
01:44:33:04	01:44:34:13	真的不用啦
01:44:35:01	01:44:37:15	你收起來啦
01:44:39:10		阿母...
01:44:41:07		你幹嘛還包紅包給阿星
01:44:43:00		是阿星要包給你才對
01:44:44:20		沒有啦
01:44:45:16		這我要包給我的孫子賣哭
01:44:48:26		沒有啦, 阿母
01:44:50:10		你又沒什麼錢
01:44:51:17		我是大伯
01:44:53:05	01:44:56:07	這是中華文化嗎
01:44:57:14	01:45:01:19	今年比較戲劇化一點
01:45:02:29	01:45:05:11	我的寶貝
01:45:06:16		阿星, 澳洲沒有放年假
01:45:08:16		快回去忙
01:45:09:23		沒關係啦...
01:45:11:09		我都喬好了
01:45:12:13		對啦
01:45:13:17		這裡也沒有準備你的房間
01:45:15:11	01:45:17:11	我帶你去旅館睡啦
01:45:19:17		你們這是在幹嘛啦
01:45:22:12	01:45:24:05	是錢喔
01:45:24:21		拿去啦
01:45:25:29		錢啦
01:45:26:28		要不然這樣
01:45:27:26		阿星住我的房間
01:45:29:02		我去跟阿母睡
01:45:30:04		不用...
01:45:31:11		我的房間讓給阿星住...
01:45:33:02		我們去跟阿母睡...
01:45:35:13		不用了
01:45:37:00	01:45:39:05	我自己有準備房間來
01:45:57:03		小心
01:45:57:20	01:45:59:27	慢慢來... 來這裡...
01:46:07:09		阿嬤, 你快來看
01:46:08:26		還有廚房跟廁所耶
01:46:10:04		老闆, 請簽收
01:46:11:09	01:46:12:17	好高級
01:46:13:07	01:46:15:05	還有沙發耶
01:46:15:20	01:46:18:18	這下子難搞了...
01:46:29:02		阿母, 吃飯啦
01:46:32:04		我吃不下啦
01:46:33:26		你不用擔心啦
01:46:35:09		不然明天我就跟阿星講
01:46:36:22		叫他進來一起吃飯
01:46:37:26		這樣好嗎
01:46:39:05		對啦
01:46:40:07		阿嬤, 快吃
01:46:41:05	01:46:43:03	對啦, 阿嬤
01:47:05:18	01:47:08:21	你想加入他們嗎
01:47:28:01		阿母, 吃飯啦
01:47:31:04		阿星那個孩子沒用了
01:47:32:27		現在變外國人了啦
01:47:34:16		對, 不用煩惱他
01:47:36:28		他都不曾回來
01:47:38:22		你就當作這個兒子不見了
01:47:40:24		說不定以後祖先牌位
01:47:42:18		他也不會回來拜
01:47:44:07		你們說夠了沒
01:47:45:18		阿母就已經很難過了
01:47:47:04	01:47:49:03	你們還說這些有的沒的
01:47:50:16		當初我跟阿星
01:47:51:26		十幾歲就幫你們工作
01:47:54:01		每天做到三更半夜
01:47:55:16		結果呢
01:47:56:09		你跟二嫂
01:47:57:07		留一些剩菜剩飯給他吃
01:47:59:09	01:48:01:16	難怪現在阿星不願意進來吃
01:48:02:15		你現在在說什麼
01:48:04:15		當初你們來台北找工作
01:48:07:03		要不是我跟二嫂煮給你們吃
01:48:09:16		你們有得吃嗎
01:48:10:18	01:48:11:29	還嫌
01:48:12:24		你跟阿星都一樣啦
01:48:14:28		生意正忙的時候
01:48:17:11		跟你那個流氓老公跑了
01:48:19:21		害我們少賺好幾百萬
01:48:22:05		要不是我跟山仔出錢
01:48:24:01		阿星憑什麼有辦法買房子
01:48:26:04		去住路邊好啦
01:48:27:14		是說完了沒有
01:48:29:21		買房子出個頭期款
01:48:31:00		是要講一輩子是嗎
01:48:32:13		阿星, 來...
01:48:33:24		來吃飯
01:48:34:18		一起來吃
01:48:35:09		阿星, 來吃飯
01:48:36:27		不要拉啦
01:48:38:21		我今天就是要一次講清楚
01:48:41:21		想說買個房子給我
01:48:43:09		老爸, 老媽就算我的了
01:48:46:08		山仔
01:48:47:26		整天泡妞吧
01:48:50:00		你有在顧公司嗎
01:48:51:13		還不是我在顧
01:48:53:13		海仔, 你也是一樣啦
01:48:55:10		娶老婆了就沒有兄弟
01:48:57:05		怕我們兩個分錢
01:48:58:24		趕我們走
01:48:59:29		最後公司買的那間房子
01:49:01:24		還不是偷偷過戶給你老婆
01:49:03:29		為什麼只有罵我
01:49:05:17		阿海呢
01:49:06:14		為什麼不罵他
01:49:08:17		我就是為了照顧阿母
01:49:10:12		每天跟小莉吵架
01:49:11:23		吵到分手
01:49:13:00		我就是因為這樣
01:49:13:22		才不想待在台灣的
01:49:16:05		說我不孝
01:49:17:22		你們是有多孝順
01:49:20:00		為什麼阿母會到警察局去
01:49:21:19		你現在是在說什麼
01:49:23:04		阿母現在不是我們兩個輪流在照顧
01:49:25:28		你呢
01:49:26:16		你自己跑到國外逍遙
01:49:27:23		還敢說
01:49:29:00		做大哥就比較倒楣嗎
01:49:31:00	01:49:33:12	要不是阿母中樂透
01:49:33:28	01:49:37:05	我看阿母現在還在警察局裡面過年
01:49:37:28	01:49:39:28	我就知道
01:49:40:18		你專程千里迢迢回到台灣
01:49:43:21		也是為了分錢
01:49:45:01		裝什麼孝順
01:49:46:28		我跟你們講喔
01:49:48:16		這彩券是阿母買給我的啦
01:49:51:02		你們誰都別想要分
01:49:53:11		我就知道
01:49:54:26		說什麼回來掃墓
01:49:57:01		騙誰
01:49:58:23		阿母你自己不要
01:49:59:28		半夜叫我去載回來
01:50:01:27		現在說彩券是你的
01:50:03:28		這次阿母是要來我家住
01:50:06:01	01:50:08:29	所以彩券如果有中是我的
01:50:10:06		最後是誰把阿母接回來
01:50:13:02		你們有關心阿母嗎
01:50:14:18		只會當成皮球踢來踢去
01:50:16:25		阿母都說她沒中了
01:50:19:10		對喔
01:50:20:29		阿母最早是你接走的
01:50:24:03		你從中搞鬼
01:50:26:05		你想要獨吞吧
01:50:27:21		一定是她怕我們不分她
01:50:30:11		她就叫阿星回來助陣
01:50:32:21		你們兩個都是同一國的啦
01:50:33:25		誰不知道
01:50:35:22	01:50:37:24	被說中了吧
01:50:38:28	01:50:42:05	我不是以前那個細漢的啦
01:50:43:19		要分錢我也有份啦
01:50:45:00		你現在是在大小聲什麼
01:50:46:25		怎樣
01:50:47:16		家裡你最小
01:50:49:02	01:50:49:23	不然怎樣
01:50:56:23		我沒中啦
01:50:59:04		阿母說她沒中啦
01:51:01:22		我沒中啦
01:51:04:16	01:51:06:22	阿母說沒中啦
01:51:11:02	01:51:14:15	好啦, 我有中啦
01:51:18:12		阿嬤
01:51:18:26		阿母
01:51:19:18	01:51:22:20	阿母阿嬤...
01:51:34:27		阿嬤醒了
01:51:36:02		阿嬤...
01:51:37:02		阿母
01:51:38:20		阿母
01:51:39:10		你本來要買給我的那張彩券
01:51:40:28		真的有中嗎
01:51:42:11		沒有啦
01:51:43:17		阿海趕你出來
01:51:44:23		你那張彩券
01:51:45:04		本來是要拿來給我的對不對
01:51:46:17		走開
01:51:47:19	01:51:48:29	阿母, 我阿星啦
01:51:50:03		阿母才剛醒來
01:51:51:22		你們還在吵
01:51:52:23		你們到底有沒有良心
01:51:54:05		沒有
01:51:55:16		阿母
01:51:56:16		那張彩券本來就是要給我的
01:51:58:14		是要給我的
01:51:59:16		阿母就說了
01:52:00:04		說那個彩券
01:52:00:22		本來要拿來我家給我
01:52:01:14		你怎麼這樣
01:52:02:06		要給我的...
01:52:02:29	01:52:05:11	沒有啦...
01:52:09:11		會家破人亡啊
01:52:12:03		要笑二十四小時
01:52:14:23		說那張彩券
01:52:15:06		本來要拿到我家給我的
01:52:16:19		要給我的...
01:52:17:27	01:52:19:14	你在講什麼啦
01:52:21:21		阿嬤, 你怎麼在笑
01:52:24:18	01:52:27:15	我有中啦
01:52:28:20		我就知道...
01:52:29:29		阿母... 那張彩券放在哪裡
01:52:32:14	01:52:34:00	在哪裡
01:52:36:05	01:52:38:13	你們...
01:52:39:12	01:52:43:00	你們是誰啊
01:53:03:05	01:53:05:29	你有跟別人講嗎
01:53:12:08		國運, 我阿母到底怎麼了
01:53:15:00		這個是現代醫學無法解釋的
01:53:18:07	01:53:21:16	你們阿母應該是去煞到啦
01:53:21:29	01:53:23:05	有沒有
01:53:23:19	01:53:24:18	對不對
01:53:25:11		拜託一下啦
01:53:26:20		可不可以請示佛祖
01:53:27:27		看有沒有什麼辦法
01:53:28:24		可以治好我阿母
01:53:30:12	01:53:32:27	對啊... 拜託...
01:53:39:26		佛祖說你阿母是被煞到的
01:53:42:26		她的三魂七魄
01:53:43:29	01:53:45:15	現在只剩兩魄
01:53:45:29		有沒有喔
01:53:47:02		剩兩魄
01:53:48:04		這樣是少幾魄啊
01:53:50:04		少五魄啦
01:53:51:06		這樣也不會算
01:53:52:13		呆子
01:53:53:20		拜託一下
01:53:54:20	01:53:56:27	現在要怎麼處理啊
01:53:57:21	01:53:59:12	有解嗎
01:54:00:12		拜託一下啦
01:54:02:04	01:54:03:19	這...
01:54:04:25		國運我有請示佛祖
01:54:07:00		請天兵天將去調查
01:54:09:08	01:54:12:16	現在我們看佛祖有什麼指示
01:54:15:29	01:54:17:05	二
01:54:18:10		他是廟公也能當桌頭喔
01:54:21:28	01:54:24:09	應該是一種整合行銷
01:54:25:17	01:54:26:20	四
01:54:46:04	01:54:48:00	這是一字笑
01:54:48:16		你阿母還剩二十四小時
01:54:51:26		如果二十四小時之內
01:54:54:01		她都沒有笑
01:54:55:14	01:54:58:10	她的魂魄就很難回來了
01:54:59:23	01:55:01:07	有沒有...
01:55:04:07		罔笑...
01:55:06:07		我的阿母叫做罔笑
01:55:08:17		罔笑...
01:55:10:13		我的阿母叫做罔笑
01:55:12:14		拜託一下
01:55:13:11		阿母, 你趕快笑
01:55:16:06		拜託一下, 阿母
01:55:18:00	01:55:21:01	我是三太子李哪吒
01:55:23:24	01:55:25:26	我的寶藏
01:55:26:09		阿母, 拜託一下
01:55:27:23		快笑...
01:55:29:29	01:55:33:20	死小孩, 你是要把阿嬤嚇死喔
01:55:43:25	01:55:46:03	阿嬤都不笑
01:55:46:23	01:55:49:13	阿嬤都不理我
01:56:01:06		阿母
01:56:02:05	01:56:03:21	你怎麼了
01:56:05:00	01:56:06:27	你要上廁所嗎
01:56:07:12	01:56:09:05	好, 來...
01:56:10:10		都你們兩個啦
01:56:11:08		沒事在那邊爭什麼
01:56:12:21		那彩券是我的
01:56:13:19		不然阿母不會這樣
01:56:14:24		都是你把阿母趕出來
01:56:16:09		不然阿母今天也不會變這樣
01:56:17:22		你們想要獨吞才會變這樣好嗎
01:56:19:09	01:56:20:27	我幫你開門
01:56:29:09	01:56:31:23	阿母, 你人不舒服嗎
01:56:39:28	01:56:41:13	阿母
01:56:42:22	01:56:44:04	阿母
01:56:46:20		你沒事喔
01:56:48:06	01:56:51:04	怎麼沒早點告訴我
01:57:10:00		你們在做什麼
01:57:12:00	01:57:13:27	這是阿母的嫁妝耶
01:57:24:16		阿母都已經變這樣了
01:57:26:01	01:57:27:17	你還在想那個
01:57:28:09		我們都是苦到大的
01:57:30:11		阿母燒了一輩子的香
01:57:31:20		好不容易燒來一張樂透
01:57:33:19		除了這些破房子, 破衣服
01:57:35:25		到頭來什麼都沒留下
01:57:37:16		誰說沒有
01:57:38:14	01:57:40:15	不然你是從哪來的
01:57:41:27		要不是阿母省吃儉用
01:57:44:17	01:57:46:21	我們早就餓死了
01:57:47:23		說來說去
01:57:49:15	01:57:51:15	我就是沒有那個命, 那個運啦
01:57:54:11	01:57:57:22	這個枕頭這麼舊還在縫
01:58:03:09		你做什麼啦
01:58:04:27	01:58:08:05	搞不好那張樂透就藏在裡面
01:58:09:03	01:58:10:26	你懂什麼
01:58:21:04		這顆枕頭
01:58:23:11	01:58:25:27	是我出社會賺錢
01:58:26:16	01:58:29:08	買給阿母的第一個東西
01:58:32:22	01:58:35:01	都已經好幾十年了
01:58:36:14	01:58:40:01	想不到阿母一直在睡這顆枕頭
01:58:52:09	01:58:54:11	我小時候
01:58:54:27	01:58:56:13	跟人打架
01:58:56:29	01:58:58:21	打輸了被打
01:58:59:24		打贏了
01:59:00:11	01:59:03:03	回來也要被老爸吊起來打
01:59:03:19	01:59:05:03	為什麼
01:59:05:20	01:59:07:21	因為我們窮
01:59:08:09	01:59:10:12	不打給人家看不行
01:59:12:25	01:59:15:19	那時候我就發誓
01:59:17:01	01:59:20:05	我長大一定要賺很多錢
01:59:21:17	01:59:24:18	打一顆純金的枕頭給阿母睡
01:59:25:25	01:59:28:10	叫全村的人都來看
01:59:33:00	01:59:34:19	阿母
01:59:35:21	01:59:38:13	你為什麼不等我
01:59:40:27	01:59:42:28	海仔
01:59:44:02		不要再玩布袋戲了
01:59:47:01	01:59:49:15	趕快去學校讀書
01:59:49:27	01:59:51:18	對啦...
01:59:52:20		阿母
01:59:53:29		我阿海啦
01:59:56:06		小時候我如果不去上課
01:59:58:24		跑去玩布袋戲
02:00:00:10		都是你來把我抓回去的
02:00:02:15	02:00:05:17	阿母, 你記得了嗎
02:00:06:14		有啦, 我記得
02:00:08:15		每次阿母要去抓你的時候
02:00:10:18		她會先準備一個便當
02:00:12:19		讓你吃飽
02:00:13:28	02:00:16:16	才把布袋戲偶收起來
02:00:19:23		阿母
02:00:21:20		小叔, 來
02:00:23:01		低頭
02:00:24:09	02:00:26:06	好, 謝謝
02:00:35:14		大伯, 來
02:00:36:00	02:00:38:00	我幫你裝豬鼻子
02:00:38:14	02:00:40:15	為什麼我是豬八戒
02:00:41:07	02:00:43:19	為什麼我是沙悟淨
02:00:46:06		好啦, 我們團結一點啦
02:00:49:20		先逗阿母笑
02:00:51:08		阿母醒了的話
02:00:53:18		這樣啦
02:00:54:27	02:00:59:00	彩券大家平分, 好嗎
02:01:02:28	02:01:04:05	來...
02:01:04:26		阿母啊
02:01:05:17		我記得
02:01:06:18		你最愛看我演那個「西遊記」
02:01:08:16	02:01:10:09	我現在演一段給你看
02:01:12:00		來喔
02:01:12:22	02:01:14:05	阿母在看
02:01:26:06		有點像
02:01:28:00		還有點像
02:01:29:08		「西遊記」...
02:01:31:17		孫悟空跟唐三藏
02:01:33:29		豬八戒, 沙悟淨四個人
02:01:36:13		要到西方取經
02:01:39:04	02:01:41:00	來到中途
02:01:41:16		遇到蜘蛛洞裡面的蜘蛛精
02:01:44:19		用美人計迷住豬八戒
02:01:48:07		沙悟淨為了阻止豬八戒
02:01:51:03	02:01:53:22	兩人發生了爭鬥
02:01:56:19		這個時候
02:01:58:09		被妖怪所擒的唐三藏
02:02:01:06		開始對豬八戒說教
02:02:04:03		爸
02:02:04:29		八戒
02:02:06:11		你實在大逆不道
02:02:09:00		竟然受到金錢和美色的誘惑
02:02:11:29		出賣師父
02:02:13:20		難道說你忘記了
02:02:15:10	02:02:19:14	我們去西方取經的重責大任嗎
02:02:20:27		取經要做什麼
02:02:22:09		理想能夠當飯吃嗎
02:02:24:16		要不是你爸賺錢給你花
02:02:26:22		你有辦法讀書讀那麼高
02:02:28:16		阿母啊
02:02:29:09	02:02:31:00	他在罵阿銘啦
02:02:32:07		你這個不肖子
02:02:34:11		整天沒事做
02:02:36:09		搞那些有的沒的
02:02:38:00		穿成這樣可以看嗎
02:02:39:01		你啊...
02:02:40:06		沒有啦
02:02:41:14	02:02:44:18	你們在演哪齣啊
02:02:46:20		對不起啦, 阿母
02:02:47:19		那個豬八戒吃錯東西
02:02:49:19	02:02:51:08	亂講話
02:02:52:09	02:02:54:03	再一次啦
02:02:55:12		師父
02:02:56:27		取經要做什麼
02:02:59:03		理想又不能當飯吃對不對
02:03:01:21		我們做人
02:03:03:01		只要有得喝, 有得吃, 有得穿
02:03:05:09		這樣就好了
02:03:07:15	02:03:10:01	師父, 你實在太傻了
02:03:10:22	02:03:12:02	爸
02:03:13:29		八戒
02:03:15:06		為什麼你不能瞭解為師的想法
02:03:19:21		人生在世
02:03:21:09		除了要吃, 要穿, 要喝以外
02:03:24:12		最重要的就是要有理想
02:03:27:24		人如果沒有理想
02:03:28:22		跟畜生有什麼不同
02:03:30:14		你說...
02:03:31:20		不肖子
02:03:32:10		豬八戒, 你這樣不對
02:03:35:10		沒照師父的理想
02:03:37:19		你看
02:03:38:09	02:03:42:00	害三藏被蜘蛛精吃掉了
02:03:43:21		八戒師兄
02:03:46:10		實在是可惡
02:03:48:07		竟然為了那個狐狸精
02:03:51:15		不顧我們師徒跟兄弟之情
02:03:55:23		實在是可惡
02:03:58:21		你說什麼
02:04:01:18		是你先受了西域金絲貓誘惑
02:04:07:09	02:04:09:21	背叛師兄在先
02:04:16:11		思妤...
02:04:17:14		媽
02:04:18:28		換我上台了沒有
02:04:20:22		我這樣漂亮嗎
02:04:22:20		我有看到
02:04:24:00	02:04:26:12	蜘蛛精在那邊
02:04:27:16		原來蜘蛛精在這邊
02:04:29:07		還我的房子來
02:04:31:00	02:04:32:16	不要跑
02:04:33:10		蜘蛛精
02:04:34:16		都別打我啦
02:04:36:12	02:04:38:15	給她死
02:04:39:27		不是金絲貓什麼狐狸精啦
02:04:42:12		我們現在是在演蜘蛛精
02:04:44:19		孫悟空還沒回來
02:04:45:12	02:04:47:02	你們是在幹嘛
02:04:47:21	02:04:49:08	別追我
02:04:50:10	02:04:52:14	你別追我
02:05:04:17	02:05:07:17	長大會偷牽牛
02:05:08:29		海仔, 借我玩十分鐘
02:05:11:01		我才不要
02:05:11:28		這是我玩陀螺贏來的
02:05:14:17		哪一家的猴囝仔
02:05:16:21	02:05:19:09	敢偷拿我家的布袋戲偶
02:05:20:22		是不是你
02:05:22:14	02:05:24:15	要不然是別人嗎
02:05:25:23	02:05:28:02	是我偷的
02:05:30:02	02:05:32:08	看你以後還敢不敢
02:05:54:13		蜘蛛精
02:05:56:02		看我的厲害
02:05:57:21		站住
02:05:59:13		你要替這個蜘蛛精出頭
02:06:02:04		山仔, 小的時候你替我被打
02:06:04:29		有傷痕你怎麼都沒跟我說
02:06:07:00		我替你被打那麼多次
02:06:09:01	02:06:11:11	你是說哪一次
02:06:16:07		你怎麼這樣看我
02:06:17:25	02:06:19:15	你發神經喔
02:06:20:04		老公... 他們欺負我
02:06:22:11	02:06:24:13	你快解決掉他們
02:06:25:19		大膽妖精
02:06:27:21		八戒師弟
02:06:28:25		你的腳已經受傷了
02:06:30:05	02:06:32:18	接下來交給我老孫處理就好
02:06:33:07	02:06:36:19	海仔, 你「中猴」喔
02:06:37:03		你這隻蜘蛛精
02:06:38:28		竟然敢破壞我們兄弟之情
02:06:41:20	02:06:43:20	古時候的人說
02:06:46:29	02:06:48:10	兄弟如手足
02:06:48:27		女人如衣服
02:06:50:24		今天由我老孫負責把你解決掉
02:06:54:00	02:06:56:13	看我的金箍棒
02:07:04:18	02:07:05:25	抱歉啦
02:07:06:09		老婆, 忍著點
02:07:07:21	02:07:09:01	為了錢啦
02:07:15:26	02:07:18:02	阿嬤在笑了
02:07:20:03	02:07:21:12	阿嬤
02:07:23:25		阿母
02:07:24:20		你笑了
02:07:25:21		小的時候
02:07:26:24		只有你看我演布袋戲還會笑
02:07:29:11		真好...
02:07:30:02		阿母笑了
02:07:30:20		這樣彩券就有希望了
02:07:31:28		有希望...
02:07:33:20		阿母, 我海仔
02:07:35:13	02:07:36:16	你認得嗎
02:07:37:22		有像海仔
02:07:39:28		是啦
02:07:41:11		阿母, 你都想起來了
02:07:43:11		那你還記得彩券放在哪裡
02:07:45:17		桌頭說不要說彩券的事情
02:07:47:19	02:07:49:13	要不然我們怎麼知道
02:07:51:00		我...
02:07:52:19		我不記得了
02:07:54:29	02:07:56:15	不是, 阿母
02:07:58:23		阿母, 我阿星
02:08:00:26		阿星
02:08:01:19	02:08:03:08	記得嗎, 阿星
02:08:04:02		阿星
02:08:04:15		對...
02:08:06:12		你就是阿星
02:08:07:09	02:08:09:01	對... 阿星
02:08:10:18	02:08:12:07	阿星
02:08:12:26		阿星
02:08:14:20		你阿爸要把你抱去送養了
02:08:18:06	02:08:20:11	這樣不行啦
02:08:22:18		阿嬤
02:08:23:14	02:08:24:15	阿爸
02:08:25:02		阿爸
02:08:26:03		你不要把阿星賣掉好不好
02:08:28:14	02:08:30:10	裝成是阿公...
02:08:32:22		對了
02:08:33:16		你爸沒有錢養你
02:08:35:23		把你賣了
02:08:36:17		還可以換兩頭牛呢
02:08:38:12	02:08:39:27	我
02:08:41:05		山仔
02:08:42:09		快點
02:08:43:02		把星仔抱走...
02:08:46:14		才不會被你爸賣掉
02:08:47:27		快點, 把你爸擋住
02:08:50:06		擋住才不會被他抓走
02:08:52:20		快點, 抱走
02:08:54:05		阿母好像要恢復記憶了
02:08:55:21		你記得你小時候
02:08:56:21		真的有抱阿星去藏
02:08:58:28		那是小的時候
02:09:00:21	02:09:02:27	現在一個這麼大隻
