01:03:27:08	01:03:28:04	樹仔
01:57:07:20		那都是他自己努力來的啦
01:57:10:09		我也沒有功勞
01:57:12:13		他喔, 只會嫌我土
01:57:15:10		王大哥, 天然的最好啦
01:57:18:19		自強他是個重感情不重外表的人
01:57:20:28	01:57:22:21	不要想太多
01:57:24:17		他現在比很多明星都紅
01:57:27:25		工作忙得很
01:57:29:02	01:57:31:06	要見他一面不容易啊
01:57:33:17	01:57:34:19	是啊
01:57:36:04	01:57:37:21	不容易啊
01:58:10:18		傑森
01:58:12:12	01:58:13:28	喬治
01:58:15:25		好久不見了
01:58:16:16		真的, 想死你了
01:58:18:16		跟你介紹個新朋友
01:58:20:06		王大哥
01:58:21:14	01:58:22:26	王大哥
01:58:24:02		這樣就好...
01:58:26:07		看不出來
01:58:27:08	01:58:29:12	小王還挺害臊的嘛
01:58:30:18		今天什麼節目
01:58:31:27		今天的節目可精彩了
01:58:33:13		兩個冠軍對打耶
01:58:34:23		真的啊真的
01:58:36:08		那我們趕快下去看
01:58:37:02	01:58:38:02	走
01:58:38:21		你怎麼那麼久沒有來
01:58:40:07		認識新朋友就不來找我了喔
01:58:42:13		別這樣講嘛
01:58:44:09	01:58:46:01	來看一下...
01:58:47:27	01:58:49:19	帶新朋友來, 讓一下
01:58:51:07		打啊...
01:58:52:11	01:58:54:20	借一下位子...
01:59:14:04	01:59:15:17	腳踢...
01:59:17:19	01:59:18:17	腳
01:59:20:24	01:59:21:19	讚
01:59:34:27		一
01:59:36:16		二
01:59:38:12		三
01:59:40:11		四
01:59:42:00		五
01:59:43:29		六
01:59:45:29		七
01:59:47:21		八
01:59:49:20		九
01:59:51:17	01:59:52:28	十
02:00:06:04		我在家看電視
02:00:07:23	02:00:10:19	也都是看這種摔角頻道
02:00:12:18		我年輕的時候也很喜歡看電視的
02:00:15:16		但是啊
02:00:16:18		這個電視打的都打假的
02:00:18:04		都表演的
02:00:19:03		還是看現場的比較精彩
02:00:20:17		真實啊
02:00:22:14		什麼打假的
02:00:24:21		打假的一樣會打死人呢
02:00:26:20	02:00:27:18	真的啊
02:00:28:18		打真的還得了
02:00:30:25		是說我年輕的時候
02:00:32:22		也是海軍陸戰隊的
02:00:34:21		我在部隊大家都叫我王關公
02:00:37:17	02:00:39:10	我這個散打
02:00:40:00		從沒輸過
02:00:40:29	02:00:42:02	真的啊
02:00:43:04		不過都是打健康的
02:00:46:11	02:00:48:21	真的打會傷感情
02:00:50:06		我年輕的時候也學過柔道
02:00:52:06		真的喔
02:00:54:00		來...
02:00:55:04		我們上去切磋切磋
02:00:56:23		那不行...
02:00:58:06		我們上去會變成王關公打這個老蟾蜍
02:01:02:12		不好...
02:01:03:03	02:01:06:06	還是看他們年輕人表演
02:01:15:05		你幾歲了
02:01:16:03		我啊, 六十六
02:01:19:14		大哥啊
02:01:20:21		我還少你一歲呢
02:01:22:20		真的啊
02:01:25:16		只是說喔
02:01:27:11		你年紀都這麼老了
02:01:29:02		還跟這些年輕小夥子這樣抱來抱去
02:01:33:09	02:01:35:10	不怕人家講閒話嗎
02:01:36:15		也不知道能活幾歲啦
02:01:38:12		活得自在就好
02:01:39:28	02:01:42:12	省得走的時候遺憾
02:01:49:15	02:01:54:13	我這輩子就是顧慮太多
02:01:57:08	02:01:59:19	什麼事情都沒有做到
02:02:03:17		可是大哥啊
02:02:05:20		你要是真的為了自強好
02:02:08:09		你就要勸他嘛
02:02:10:04	02:02:13:18	趕快結個婚, 生個孩子啊
02:02:18:02	02:02:20:03	自強有個好爸爸
02:02:21:02		來
02:02:22:10		乾杯
02:02:23:06		來, 我敬你
02:02:24:12		王大哥, 來
02:02:26:03	02:02:27:18	多喝一點
02:02:40:28		走好...
02:02:42:07	02:02:44:17	王大哥今天喝得還可以吧
02:02:47:14	02:02:48:27	有年紀了啦
02:02:50:01	02:02:51:09	酒要喝少一點
02:02:51:27		要常來台北啊
02:02:52:24		好...
02:02:54:10	02:02:56:21	自強在那邊等我們
02:02:59:18	02:03:00:23	小心車
02:03:04:26	02:03:05:29	喬治
02:03:07:04		喬治
02:03:07:17		送醫院
02:03:08:02	02:03:09:07	快送醫院
02:03:12:28		叫你檢查不檢查
02:03:14:27		要裝心導管了吧
02:03:16:07		我沒事
02:03:18:00		還沒事
02:03:19:10		要不要喝水
02:03:20:10		不用了
02:03:21:17		你扶我坐高一點
02:03:22:28		躺久了不舒服
02:03:24:15	02:03:26:08	來... 出力
02:03:27:20	02:03:29:12	好了, 行了
02:03:32:12		王大哥
02:03:33:20		這次虧了你在
02:03:35:03	02:03:37:14	要不然我就麻煩了
02:03:39:20		不要鐵齒啦
02:03:41:26		身體要顧
02:03:43:17	02:03:46:16	人要是死了什麼都沒有了是啊
02:03:50:00	02:03:51:03	爸
02:03:51:28	02:03:54:07	小潔, 你們來啦
02:03:55:20		擔心死了啦
02:03:57:24		我沒事, 放心
02:04:00:00		還說沒事
02:04:01:11		臉色那麼蒼白
02:04:03:15		我不這個樣子你怎麼會來伺候我啊
02:04:06:07	02:04:07:22	亂說話
02:04:08:19		我有準備你平常愛吃的東西喔
02:04:10:21		謝謝
02:04:11:19	02:04:14:23	你看媽還準備你最愛吃的東西
02:04:22:11		喬治, 那我們先走好了
02:04:24:11	02:04:27:06	好, 謝謝喔
02:04:28:11	02:04:29:27	爸, 我們先走
02:05:08:21	02:05:09:25	自強
02:05:13:08		我看啊
02:05:15:00		你還是趕快娶老婆
02:05:17:06	02:05:19:09	才不會在那邊胡思亂想
02:05:31:04		你就看我不習慣嘛
02:05:33:21	02:05:35:29	你來台北找我幹什麼
02:06:03:26		喝水
02:06:05:13		我去拿睡衣
02:06:07:06	02:06:09:04	你不用忙了啦
02:06:15:24		來, 睡衣
02:06:16:25	02:06:18:15	晚上穿這個
02:06:29:21	02:06:31:04	自強啊
02:06:32:28		你也有年紀了
02:06:34:19	02:06:36:19	自己要有自覺一點
02:06:40:23		我是要自覺什麼
02:06:43:13	02:06:44:16	爸
02:06:45:24		我們做父母的
02:06:48:09		總是希望自己的孩子
02:06:50:29		有一番事業
02:06:52:29		將來可以娶妻生子
02:06:55:04		過一個美滿的家庭
02:06:58:10		你看喬治
02:07:00:06	02:07:03:05	喬治也有一個很好的家庭啊
02:07:04:11		喬治他家
02:07:05:28		不是你看到的這樣啦
02:07:07:11		喬治就是和別人不一樣啦
02:07:10:01		你跟喬治這種不正常的關係
02:07:12:15		你這一輩子就沒用了啦
02:07:14:09		我不是跟你說過了
02:07:15:19	02:07:18:11	你就過你的, 我就過我的嘛
02:07:20:05		已經好多年了
02:07:21:05	02:07:23:14	你就不要再逼我了, 好不好
02:07:31:13	02:07:34:18	你就當我死掉了啦
02:09:37:28		(Antony, 我真的老了)
02:09:40:04	02:09:41:24	(你爸也是)
02:10:24:26		(好幾年沒跟爸一起吃飯了)
02:10:26:27		(阿爸在我這)
02:10:28:14		(明天來我這)
02:10:29:28	02:10:31:22	(陪阿爸吃個飯吧)
02:10:44:27	02:10:45:20	光輝
02:10:46:18		光輝
02:10:47:17		你要喝啊
02:10:48:23		好啊... 來...
02:10:50:05		大哥, 我們不要理他啦
02:10:51:20	02:10:52:29	來...
02:10:54:12	02:10:55:19	爸
02:10:57:28	02:10:59:15	爸, 吃早餐喔
02:11:01:29	02:11:03:02	爸
02:11:36:08	02:11:37:11	你們喔
02:11:41:25		門關起來
02:11:43:15	02:11:44:19	謝謝
02:11:49:01	02:11:50:03	爸呢
02:11:55:15	02:11:57:07	你們來太晚了啦
02:11:58:25		怎麼這樣
02:12:00:09		來沒通知, 去沒相辭
02:12:02:20	02:12:04:15	看不懂在搞什麼
02:12:09:28		你們不覺得很奇怪嗎
02:12:11:06	02:12:13:15	阿爸這次突然來找我們
02:12:14:10	02:12:15:18	超突然的
02:12:24:00	02:12:26:05	你們有多久沒有回去看阿爸了
02:12:29:16	02:12:30:28	什麼我們
02:12:31:19		什麼你們我們
02:12:33:11	02:12:35:00	你在講什麼
02:12:36:19	02:12:38:28	你自己多久沒有回去了
02:12:43:00	02:12:44:07	還說我們
02:12:55:13		不然我們今天都有空
02:12:57:02	02:12:58:16	我們回去一趟好了
02:13:06:13		好啊...
02:13:08:01	02:13:09:18	我去換衣服
02:13:24:17	02:13:26:18	你檳榔不要吃那麼多啦
02:13:28:15	02:13:29:26	有口香糖
02:13:30:27	02:13:32:02	你幫他拿一下
02:13:35:26	02:13:37:27	那麼累, 要不要我開啊
02:13:39:00	02:13:40:07	不用
02:13:41:03	02:13:43:10	這種路程我常開
02:13:49:27	02:13:51:05	喂, 阿姨喔
02:13:53:11		小可現在在咳嗽
02:13:56:07	02:13:58:12	不要讓她喝冰的
02:13:59:21		橘子也不要給她吃
02:14:02:02	02:14:03:16	再麻煩你
02:14:05:14	02:14:06:21	謝謝喔
02:14:41:14	02:14:42:21	良子
02:14:44:20	02:14:46:09	我有帶那個
02:14:47:25		你在世的時候最愛吃的棗子
02:14:51:14	02:14:52:29	你收到
02:14:59:28	02:15:01:07	良子
02:15:02:29	02:15:04:05	謝謝你
02:15:05:19	02:15:08:06	謝謝你留這些孩子給我
02:15:10:08	02:15:11:21	謝謝
02:15:33:12	02:15:35:11	人就是這樣啦
02:15:37:28	02:15:39:11	平安就好
02:15:54:10	02:15:55:16	阿爸
02:15:58:11		阿爸
02:15:59:13	02:16:02:11	輝仔, 問問看嬸嬸在不在
02:16:10:09	02:16:11:19	嬸嬸
02:16:14:01	02:16:15:10	嬸嬸
02:16:17:00	02:16:19:03	沒人耶
02:16:20:05		嬸嬸
02:16:20:23	02:16:21:16	嬸嬸
02:16:23:05		阿輝啦
02:16:24:11		我哥啦
02:16:25:18		阿強啦
02:16:27:10		阿娟啦
02:16:29:02		原來是你們三個喔
02:16:31:21		是啊
02:16:32:10		我們想說要回來找我爸吃飯
02:16:34:24		喊了半天找不到人
02:16:36:12		找你爸吃飯喔
02:16:38:27		你們不是不要你們老爸了
02:16:40:11	02:16:43:01	為什麼現在又回來找我要老爸
02:16:44:00		沒有啦
02:16:44:28		我們在台北工作比較忙
02:16:46:08		所以今天約一約一起要...
02:16:47:25		好啦... 知道啦...
02:16:49:21		不用說這麼多...
02:16:51:27		說也奇怪
02:16:53:21		我去看我孫子
02:16:55:02		也才剛回來而已
02:16:56:14		今天好像都沒有看到他
02:16:59:11		阿樹仔
02:17:00:27	02:17:02:03	爸
02:17:04:06		還是去隔壁泡茶
02:17:06:19		沒有啦, 他是能去哪裡
02:17:08:13		去前面看看
02:17:09:10	02:17:10:23	看有沒有在那裡啦
02:17:12:28		阿樹仔
02:17:14:11	02:17:15:13	爸
02:17:16:19	02:17:17:28	阿樹仔
02:17:20:08	02:17:21:16	阿樹仔
02:17:22:26		小黑怎麼在那裡
02:17:24:28		怎麼沒看到你爸
02:17:25:23		牠自己在那裡幹嘛
02:17:27:07	02:17:28:16	小黑啊
02:17:29:04	02:17:30:06	小黑啊
02:17:32:13		我們過去好了
02:17:33:13		怎麼都不理我, 過去看看好了
02:17:34:20	02:17:35:27	小黑來
02:17:36:16		你叫牠不會聽啦
02:17:38:10	02:17:39:29	我叫牠, 牠都不來了
02:17:40:26		小黑啊
02:17:42:12	02:17:43:18	來啊
02:17:44:04	02:17:46:07	怎麼都叫不動呢
02:17:47:28		你有聞到什麼味道嗎
02:17:48:14		好像臭臭的
02:17:49:22		小黑, 你在那邊幹嘛
02:17:50:24	02:17:52:05	怎麼臭臭的
02:17:53:26		那是死老鼠的味道嗎
02:17:54:17		怎麼這麼臭
02:17:55:06	02:17:57:03	小黑啊, 你...
02:18:01:28	02:18:03:10	樹仔
02:18:04:27	02:18:06:09	阿樹
02:18:07:26	02:18:09:12	樹仔
02:18:42:08	02:18:43:11	哥
02:18:46:02		阿輝, 這是你爸的死亡證明
02:18:49:19		他的死因我們已經檢驗出來了
02:18:52:01		他的死因是心肌梗塞
02:18:54:13		已經死四天了
02:18:56:25		請你們不要傷心
02:18:58:12		請你們節哀
02:18:59:25		我接下來還有行程要走
02:19:01:17	02:19:03:01	不然我先走
02:19:04:15	02:19:06:07	慢走好
02:19:32:13		我才去看我孫子
02:19:34:07	02:19:36:10	幾天沒回來而已
02:19:37:06	02:19:39:18	就發生這種事情
02:19:41:11		這個啊
02:19:43:11	02:19:46:11	就是孤單老人的悲哀啦
02:20:30:06	02:20:31:25	幫我抓
02:20:42:00	02:20:44:08	一直叫我走
02:20:48:09	02:20:50:20	那些小孩子在幹嘛
02:20:52:05	02:20:53:29	一直叫我走
02:20:58:00	02:20:59:14	往這邊
02:21:00:10	02:21:01:27	往這邊啦
02:21:06:06		到底在哪裡
02:21:08:17		在這裡
02:21:09:21		哪裡
02:21:10:29		那又不是
02:21:12:06		猴崽子
02:21:13:18		不要在田裡玩
02:21:15:15		作物都被你們踩死了
02:21:17:25		我打你們喔
02:21:19:17	02:21:20:25	快走
02:21:22:15		玩到沒地方玩了嗎
02:21:24:06	02:21:25:26	我要打你們喔
02:21:27:20	02:21:29:02	猴崽子
