01:01:33:02	01:01:34:04	成績單呢
01:42:37:25	01:42:39:21	好戲準備上場
01:42:51:16		那個男的傳來的
01:42:53:03	01:42:54:05	是
01:42:55:17	01:42:57:06	不過這一切都不重要了
01:42:58:09		重要的是...
01:43:00:23	01:43:02:18	SHELLY已經看到了
01:43:04:13	01:43:06:09	你最好快點去追她
01:43:07:28		你再不追她的話
01:43:10:02	01:43:11:22	就來不及囉
01:43:20:15	01:43:21:11	嗨
01:43:29:25		JULIE
01:43:31:17	01:43:32:25	你還好嗎
01:43:34:12	01:43:35:17	我沒事
01:43:36:14		史考特先生
01:43:38:23	01:43:40:25	我們約會的時間已經結束了
01:43:43:20	01:43:44:21	對不起
01:43:45:27		尾款我會再匯給你
01:43:47:29	01:43:49:06	再見
01:43:53:24	01:43:54:28	謝謝惠顧
01:44:52:22	01:44:53:21	飛高高囉
01:44:54:14	01:44:55:21	很危險耶
01:45:00:28		現在不幫別人跑腿
01:45:02:07	01:45:03:19	改當豬頭啊
01:45:04:13	01:45:05:14	對啊
01:45:05:29	01:45:07:09	蠻適合你的
01:45:11:18		就是因為有些人
01:45:12:10		不得不需要別人假扮他們
01:45:14:07	01:45:17:01	所以就由我來假扮他們
01:45:18:12	01:45:20:13	我完全聽不懂你的歪理
01:45:23:03	01:45:24:09	其實很簡單啦
01:45:24:24	01:45:27:20	就是我太笨了, 不會解釋
01:45:35:03		你不是說希望我找一個工作
01:45:36:16	01:45:37:26	好好的做嗎
01:45:38:24		我覺得我現在這個工作
01:45:41:06		做得還不錯啊
01:45:43:14	01:45:44:18	還不錯
01:45:49:00	01:45:50:06	你說的是這個嗎
01:45:54:02		小玫, 你不要生氣
01:45:55:15		你先冷靜
01:45:56:11		事情不是你想的那樣
01:45:57:08		那天打電話給你
01:45:58:03		你不接
01:45:59:04		跟一個不認識的女生
01:46:00:04	01:46:01:27	在公園裡自拍
01:46:02:22	01:46:04:19	你覺得我應該不要生氣
01:46:05:28		不是啦, 那個是演戲
01:46:07:22		那個是假的
01:46:09:11	01:46:10:13	假的
01:46:13:03		不然你想想看嘛
01:46:14:03		怎麼可能會有一個女生
01:46:15:08		願意讓一個陌生男生
01:46:16:14		這樣子吃豆腐的
01:46:18:02		所以你還吃她豆腐
01:46:19:25		不是...
01:46:21:07		我是說我們都是演戲
01:46:22:16	01:46:24:04	真的都是假的
01:46:24:19		真的都是假的
01:46:26:01		所以是真的還是假的
01:46:28:24	01:46:32:00	假的, 真的都是假的啊
01:46:32:19		你看, 你現在講到最後
01:46:34:12	01:46:36:29	自己也分不出是真的還是假的
01:46:38:23	01:46:40:24	我不是你的女朋友嗎
01:46:41:07		每次見面的時候
01:46:42:10		你就是打電動, 看漫畫
01:46:44:06	01:46:45:25	講一些無聊的笑話
01:46:46:25	01:46:49:00	你都不擔心我發生什麼事嗎
01:46:51:03	01:46:52:27	你有替未來打算過嗎
01:47:05:26	01:47:06:25	小玫
01:47:08:03		你到底發生什麼事情
01:47:08:28	01:47:10:22	你跟我說好不好
01:47:13:07	01:47:14:24	是不是錢的事情
01:47:15:21		如果是錢的事
01:47:16:09		你告訴我
01:47:16:24		你還缺多少
01:47:17:12		我來想辦法
01:47:18:17	01:47:20:03	不是錢的事
01:47:20:19	01:47:21:23	我要走了
01:47:45:04		何董要跟上海的股東開會
01:47:46:25	01:47:48:03	你有五分鐘
01:48:01:01		你好
01:48:01:24		史先生
01:48:02:27	01:48:04:10	聽說你風評不錯
01:48:05:13	01:48:07:07	請你叫我史考...
01:48:08:15	01:48:10:04	算了...
01:48:12:22		何先生, 你好
01:48:13:20		請問需要什麼服務嗎
01:48:15:13	01:48:17:12	過幾天是我爸爸生日
01:48:18:00	01:48:18:28	瞭解
01:48:19:07		那請問是要買限量禮物
01:48:20:29		還是要排隊人氣蛋糕
01:48:22:25	01:48:23:20	都好
01:48:24:11		除了別讓他喝酒
01:48:26:12	01:48:28:29	他想什麼都依他就好
01:48:29:15		其他小事
01:48:31:04	01:48:32:09	你看著辦就好
01:48:33:29	01:48:34:27	沒問題
01:48:37:19	01:48:39:17	請問還有什麼其他的要求嗎
01:48:41:10	01:48:42:04	還有
01:48:43:03		在我爸面前
01:48:45:01	01:48:46:12	你要假裝是我
01:48:49:01		你的工作就是假扮我
01:48:50:27	01:48:52:09	陪我爸過生日
01:48:54:29		可是我跟你長得也太不像了吧
01:48:57:18	01:48:58:19	不用擔心
01:48:59:09	01:49:00:19	他不會認得你的
01:49:30:06	01:49:31:04	爸
01:49:34:01	01:49:35:14	你是誰
01:49:41:12	01:49:43:04	我是你兒子啊
01:49:45:00	01:49:46:09	我來看你囉
01:49:52:00	01:49:53:13	弟弟
01:49:55:00	01:49:56:14	你來啦
01:49:58:01	01:49:59:03	對啊, 爸
01:50:01:13	01:50:02:15	爸
01:50:02:23	01:50:03:27	蛋糕
01:50:05:12		你肚子餓不餓
01:50:07:07	01:50:08:24	想不想先吃飯
01:50:09:16	01:50:11:06	還是先吃蛋糕
01:50:15:29	01:50:17:25	我想喝酒
01:50:25:05	01:50:26:14	爸
01:50:27:00	01:50:30:25	這個你真的不能喝啊
01:50:33:00	01:50:35:17	我想了二十年了
01:50:36:25	01:50:38:06	二十年了
01:50:52:03	01:50:53:11	我喝
01:51:09:10		爸, 你笑我
01:51:10:14	01:51:11:21	不信你喝
01:51:33:10	01:51:34:05	怎麼樣
01:51:34:25		好喝
01:51:36:09		好喝
01:51:37:04		好喝
01:51:38:06	01:51:39:11	好喝
01:51:47:28		但是你不可以讓別人知道
01:51:50:00	01:51:51:17	我讓你偷喝酒喔
01:52:01:14		何伯伯
01:52:02:21	01:52:06:21	我把高粱裡的酒換成水
01:52:07:05	01:52:08:29	希望你不要生我的氣喔
01:52:09:10	01:52:10:06	生日快樂
01:52:17:04	01:52:18:05	小玫, 對不起
01:52:18:21	01:52:19:26	我又遲到了
01:52:21:16	01:52:22:19	怎麼了
01:52:23:02	01:52:24:16	你的臉...
01:52:26:15		我的臉怎麼樣
01:52:27:12	01:52:28:25	幹嘛戴著鬍子啊
01:52:31:11		剛剛有一個舞台劇的那個演員
01:52:33:20		他臨時請假
01:52:34:20	01:52:36:01	找我去代班啦
01:52:37:21		而且我剛才演完一場
01:52:39:18		等一下還有下一場
01:52:40:15	01:52:41:22	超刺激的
01:52:48:04		好啊
01:52:48:27		既然你這麼忙的話
01:52:49:26		那就改天再約啊
01:52:51:04	01:52:52:08	等一下...
01:52:53:25		我都已經專程來了
01:52:55:28		你有什麼要跟我說的
01:52:56:28	01:52:58:13	你就直接說啊
01:53:00:26	01:53:02:24	你是不是還在生氣啊
01:53:12:03	01:53:14:09	事事達人史考特先生
01:53:14:28		我現在要你
01:53:15:14	01:53:17:13	扮演我一天的男朋友
01:53:17:23	01:53:20:00	我說的是真正的男朋友
01:53:22:17	01:53:24:01	什麼意思啊
01:53:26:06		我不是本來就是
01:53:27:03	01:53:29:04	你真正的男朋友嗎
01:53:34:24	01:53:36:00	接不接
01:53:42:04	01:53:43:17	接不接
01:53:49:29	01:53:51:03	我接
01:55:06:12		你家裡最近還好嗎
01:55:08:05	01:55:09:04	還好啊
01:55:10:24	01:55:11:21	對了
01:55:12:08	01:55:14:18	你最近都沒有在玩遊戲喔
01:55:15:09	01:55:16:06	對啊
01:55:16:25	01:55:19:24	這個工作比我想像中的忙很多
01:55:20:12	01:55:22:11	我已經有好一陣子沒有玩了
01:55:23:00	01:55:24:07	是喔
01:55:31:15		你在笑什麼
01:55:32:27	01:55:34:11	沒有啊
01:55:35:04		其實我覺得今天滿開心的
01:55:39:13		對啊, 沒想到你扮演男朋友
01:55:42:04	01:55:43:26	扮演得還滿好的嘛
01:55:44:07		當然啦
01:55:45:16	01:55:47:19	你是我的VVIP耶
01:55:49:09		其實我還有準備一個禮物
01:55:50:18	01:55:51:26	要給你
01:55:53:03	01:55:54:16	按照計畫
01:55:54:26	01:55:56:06	應該差不多了吧
01:56:29:07		事事達人
01:56:30:17	01:56:32:05	約會時間結束囉
01:56:33:20	01:56:34:21	對不起
01:56:37:19	01:56:38:23	謝謝惠顧
01:56:55:09	01:56:56:28	之前你不是說
01:56:57:20	01:56:59:26	為什麼每次都是你來找我
01:57:00:24		其實...
01:57:03:03		我是真的有想過
01:57:03:26	01:57:05:15	要去找你的
01:57:06:00		但是...
01:57:07:18	01:57:09:23	你最後還是沒有來找我啊
01:57:16:07	01:57:18:16	我是真的有想過你說的話
01:57:19:17		我不是不願意
01:57:20:06	01:57:21:28	去找一個好的工作
01:57:22:17		只是我覺得我現在的工作
01:57:25:06	01:57:26:24	很適合我啊
01:57:27:07	01:57:28:23	而且我也做得很拿手
01:57:30:16	01:57:31:19	所以呢
01:57:33:11		所以...
01:57:36:05		我有一點不知道
01:57:37:18		在真實的生活裡面
01:57:39:00	01:57:41:07	我應該去做什麼樣的工作
01:57:41:19		或是我做什麼樣的工作
01:57:43:24	01:57:45:25	才可以符合你的期待
01:57:46:17		所以...
01:57:49:12		我才會不敢去找你
01:57:53:29		但是你又可以扮演別人
01:57:57:20	01:57:59:02	扮演得很好
01:58:00:02		但那個都是演戲
01:58:01:13	01:58:02:20	那都是假的
01:58:02:29		就算我們演得再像
01:58:04:15		那感情都不會是真的感情
01:58:06:11		我們大家都心知肚明
01:58:08:08		那種假裝的關係
01:58:09:19		也不會有未來
01:58:11:10	01:58:12:08	真的
01:58:15:27	01:58:19:17	其實那天我們吵架
01:58:20:28		我原本想告訴你
01:58:23:12		我爸媽想見見你
01:58:25:17	01:58:27:08	想當面謝謝你
01:58:29:16	01:58:30:27	我可以去啊
01:58:36:01		我多想帶你回去見見我爸媽
01:58:39:05		多想讓他們知道
01:58:40:20		我交到一個很好的男朋友
01:58:43:04		有穩定的工作, 很上進
01:58:46:02	01:58:47:25	不會讓他們擔心
01:59:01:26		其他要說的話
01:59:03:08	01:59:05:08	我都寫在這封信裡了
01:59:12:11		不論是扮演別人
01:59:13:28	01:59:15:22	或是扮演你自己
01:59:16:08	01:59:19:26	最終都是最真實的你做的決定
01:59:23:23	01:59:24:23	謝謝你
01:59:32:16		欠你的錢
01:59:33:10	01:59:34:24	我會再還給你
01:59:37:08	01:59:38:25	我們分手吧
02:00:22:03	02:00:24:02	從這天晚上開始
02:00:24:17	02:00:26:11	打電話給小玫
02:00:27:11	02:00:29:11	就只剩下這個回覆
02:00:30:21		對不起
02:00:31:18		您所撥的號碼沒有回應
02:00:34:01	02:00:35:17	請稍後再撥
02:00:39:10	02:00:42:24	而這個世界上還會關心我的
02:00:43:23	02:00:45:21	就只剩下這些
02:00:46:15	02:00:48:25	這些虛擬帳號的訊息了
02:00:56:26		您有一個新留言
02:00:59:26		史考特先生
02:01:01:09		我是何順堂
02:01:02:22		上次你來
02:01:04:03	02:01:05:13	我爸很開心
02:01:05:26		你可以排個時間
02:01:06:20	02:01:08:08	帶他出去走走嗎
02:01:08:25		來看看喔
02:01:09:09	02:01:10:21	帽子都有特價
02:01:12:14		老闆, 帽子怎麼賣
02:01:13:22	02:01:15:10	現在都特價九十九
02:01:24:19	02:01:25:15	戴戴看
02:01:27:01	02:01:28:27	爺爺戴這個好好看喔
02:01:29:22	02:01:30:22	他是我爸
02:01:32:16	02:01:33:21	喜不喜歡
02:01:35:03	02:01:35:29	不喜歡喔
02:01:40:16	02:01:42:00	那...
02:01:45:28	02:01:46:26	那這個呢
02:01:49:06	02:01:49:28	戴戴看
02:01:52:21		爸爸戴這個很年輕耶
02:01:54:00		來, 看看鏡子
02:01:55:19	02:01:56:13	喜歡嗎
02:01:56:25	02:01:57:18	看一下
02:01:59:21	02:02:01:03	好帥喔
02:02:01:22		這頂好不好
02:02:02:29	02:02:03:25	好
02:02:05:04	02:02:05:27	老闆
02:02:08:07		來
02:02:08:24	02:02:10:00	謝謝
02:02:12:17	02:02:13:12	謝謝
02:02:17:01		爸
02:02:18:02	02:02:19:03	你看
02:02:24:05	02:02:26:06	我們也去放風箏好不好
02:02:37:02	02:02:38:06	飛
02:02:40:17	02:02:42:02	爸, 你看它飛了...
02:02:45:09	02:02:46:07	飛
02:02:56:22		有沒有
02:02:57:18	02:03:01:23	好, 成功...
02:03:12:11	02:03:13:05	好累
02:03:34:05		玩遊戲...
02:03:35:22		一天到晚只會玩遊戲
02:03:37:12		你能不能有用一點啊
02:03:39:06	02:03:41:08	能不能...
02:03:45:17	02:03:47:17	我不是你的女朋友嗎
02:03:47:28	02:03:50:00	你有替未來打算過嗎
02:03:55:13	02:03:56:10	爸
02:03:58:16	02:04:00:00	你知道嗎
02:04:03:19	02:04:06:07	我其實很想要跟小玫說
02:04:08:06	02:04:10:13	我想要好好的照顧她
02:04:12:01		我希望她可以放心的
02:04:13:04	02:04:15:19	把未來交到我手上
02:04:19:27	02:04:21:28	可是我又說不出口
02:04:30:10	02:04:32:11	因為我覺得我沒有辦法
02:04:33:06	02:04:34:21	我做不到
02:04:48:22	02:04:51:08	我是不是真的很沒用啊
02:05:01:25	02:05:02:29	爸
02:05:04:22	02:05:07:01	我真的好想小玫喔
02:05:10:10	02:05:12:20	我再也不想要假扮別人了
02:05:28:04	02:05:29:02	乖
02:05:31:17	02:05:35:01	爸帶你到公園去玩, 好不好
02:05:42:04	02:05:42:29	好
02:05:47:13	02:05:48:11	你也要玩
02:05:49:21	02:05:51:08	來, 這給你
02:05:51:19	02:05:52:17	小心喔
02:05:59:16		沒關係
02:06:00:03	02:06:01:04	再丟一個
02:06:02:07	02:06:03:04	用力
02:06:04:21	02:06:05:15	加油
02:06:08:21	02:06:10:05	變遠了...
02:06:12:11	02:06:13:15	好不好玩啊
02:06:20:02	02:06:21:21	謝謝你
02:06:23:25	02:06:25:07	小夥子
02:06:35:02	02:06:37:13	謝謝你, 爸
02:06:43:12	02:06:44:13	你還要玩啊
02:06:45:00	02:06:46:16	來, 都給你
02:06:58:15		幾天之後
02:06:59:25	02:07:01:20	何老闆傳訊息給我
02:07:02:23	02:07:04:26	告訴我何伯伯離開了
02:07:08:18	02:07:10:29	我不想再扮演別人了
02:07:12:18	02:07:14:03	聽說你不做了
02:07:16:00	02:07:17:02	對
02:07:17:15	02:07:19:00	游董, 不好意思
02:07:19:15	02:07:21:11	我現在已經不做了
02:07:23:01	02:07:24:21	好, 那我就不廢話
02:07:25:21		我找一個女的跟你假扮是夫妻
02:07:28:21	02:07:32:00	然後出國一趟帶一些東西
02:07:32:15	02:07:33:13	就這樣
02:07:36:10	02:07:37:25	然後這一疊就你的了
02:07:41:21		可以出國玩又有妹陪
02:07:44:02		輕輕鬆鬆的賺錢
02:07:45:09	02:07:49:04	這應該不會拒絕的吧
02:07:53:11		游董, 不好意思
02:07:56:10		不是我不接你這個案子
02:07:58:16	02:08:01:01	是我現在真的已經沒有在做了
02:08:16:07	02:08:17:04	看一下
02:08:21:17		我是不知道
02:08:22:07	02:08:24:08	怎麼會拍到這種照片的
02:08:24:18		因為他現在
02:08:26:20	02:08:28:12	已經失蹤了
02:08:30:10	02:08:31:10	小史啊
02:08:31:22	02:08:33:14	我覺得你記性好像不太好
02:08:34:10	02:08:36:05	監視器是你裝的喔
02:08:37:00		如果警方要找
02:08:38:27	02:08:40:03	第一個找你啦
02:08:42:17		小江
02:08:43:12		是, 董事長
02:08:45:01	02:08:47:10	你不要嚇人家好不好
02:08:47:23	02:08:48:17	是
02:08:51:20		我就是知道你把網站關掉了
02:08:53:21	02:08:55:19	所以才找你過來聊一聊
02:08:56:15	02:08:57:21	我說過了嘛
02:08:58:08		有機會
02:08:59:22	02:09:01:11	我們再合作啊
02:09:20:28	02:09:22:04	你放心
02:09:23:04		說讓正妹陪你
02:09:24:02	02:09:26:08	就會讓正妹陪你
02:09:28:20	02:09:31:04	而且只要你乖乖聽話的話
02:09:32:13		我會讓她跟你做夫妻之間
02:09:35:24	02:09:39:05	真正該做的事都可以
02:09:39:19	02:09:42:04	可是如果你不聽話的話
02:09:45:22	02:09:47:11	後果會怎麼樣
02:09:47:24	02:09:50:05	我就很難跟你保證了
02:09:53:12		我怎麼會這樣子拍你呢
02:09:55:04	02:09:57:05	真是沒有禮貌
02:09:59:20	02:10:01:04	小兄弟
02:10:01:25		我給你再考慮考慮
02:10:03:15	02:10:04:18	打電話給我
02:10:05:10	02:10:06:15	我等你電話
02:10:25:25		弟弟, 新工作還順利吧
02:10:27:10		我看你最近常常不在家
02:10:28:25	02:10:30:03	應該做得還不錯喔
02:10:36:04	02:10:37:04	沒做了
02:10:37:28		怎麼又沒做了
02:10:39:17	02:10:40:18	我就知道
02:10:41:24	02:10:42:26	你知道什麼
02:10:43:19		弟弟
02:10:44:16	02:10:45:21	你說什麼
02:10:46:01	02:10:48:15	你有問過我為什麼我沒做嗎
02:10:49:17		那你這四年來
02:10:50:27		有哪個工作做超過一個月的啊
02:10:53:23		有嗎
02:10:54:29		那你們呢
02:10:56:09		每次看哥
02:10:56:27		跟看我的眼神都不一樣
02:10:58:17		我都知道
02:10:59:22		那是因為你哥啊
02:11:00:25	02:11:02:17	從來沒有讓我們操心過
02:11:02:26		那你乾脆把我掐死, 把我捏死
02:11:04:16		不要生我就好啦
02:11:06:06		爸爸不是這個意思
02:11:07:05		不然什麼意思啊
02:11:08:26	02:11:10:24	反正你們有哥就好啦
02:11:13:07		哪天要是我死掉或失蹤
02:11:14:28	02:11:16:20	你們也不會在意啦
02:11:18:01		弟弟
02:11:18:26	02:11:20:22	媽媽剛剛問你工作順不順
02:11:27:00	02:11:28:02	還不錯啊
02:11:39:25	02:11:40:25	爸
02:11:41:12	02:11:43:08	星期天有空嗎
02:12:13:29		爸
02:12:14:27		天氣這麼熱
02:12:15:18		挑一頂帽子啦
02:12:16:26	02:12:18:03	來看看喔
02:12:29:05		爸, 這頂很適合你耶
02:12:30:15	02:12:31:12	戴戴看
02:12:32:12	02:12:34:06	這是你們年輕人戴的啦
02:12:34:18	02:12:35:19	我不要
02:13:06:13	02:13:07:25	考慮得怎麼樣了
02:13:08:11		我想說你怎麼不來找我呢
02:13:10:06		再不來的話
02:13:10:24	02:13:12:24	我就要去你們家坐坐了
02:13:15:03	02:13:16:08	我可以接
02:13:16:29		但是我有幾個問題想要先問你
02:13:19:17	02:13:20:19	你問
02:13:22:07	02:13:24:10	跟我假扮夫妻的人是誰
02:13:25:02	02:13:26:16	她有類似的經驗嗎
02:13:27:12	02:13:29:01	還有她今年幾歲
02:13:29:26		我們要去哪裡
02:13:30:24	02:13:31:28	目的又是什麼
02:13:33:00	02:13:34:10	你現在問這麼多要幹嘛
02:13:35:01		幹嘛動手動腳的
02:13:36:27		讓他說完嘛
02:13:38:17		我會問這些都是有原因的
02:13:41:06		我們是新婚, 二度蜜月
02:13:43:03		還是家庭旅行
02:13:44:14		還是去工作
02:13:46:06		我必須要清楚的分析以後
02:13:47:18	02:13:49:26	才有辦法演得像真的一樣
02:13:51:12	02:13:53:06	你們也不希望我失敗吧
02:14:03:08	02:14:04:04	好
02:14:04:19		給你個讚
02:14:06:03	02:14:07:11	厲害
02:14:08:01		真的, 我就說他會成功嘛
02:14:09:16		你看到沒有
02:14:10:13		思緒多麼清楚啊
02:14:12:13		好
02:14:13:17	02:14:15:06	你問的問題非常好
02:14:16:01		但是我想
02:14:17:29		就讓你的老婆
02:14:19:12	02:14:21:04	來回答你的問題吧
02:14:50:12		怎麼兩個人不熟啊
02:14:52:03	02:14:53:18	不打個招呼啊
02:14:57:16	02:14:59:22	這到底是怎麼一回事啊
02:15:00:18	02:15:01:23	小史啊
02:15:02:15		你問問你馬子他們家
02:15:04:26	02:15:06:14	欠我們董事長多少錢啦
02:15:11:07		可是他們家
02:15:12:06		不是都已經還錢了嗎
02:15:14:05		上次是只還了手續費
02:15:18:00	02:15:20:17	本金加利息還差得遠呢
02:15:22:13	02:15:23:25	那還差多少
02:15:25:04	02:15:25:28	不多
02:15:27:09		五十萬
02:15:28:15	02:15:29:18	我給你
02:15:30:17	02:15:32:22	五百萬
02:15:41:01		也不要說我游董這個人
02:15:43:09		不近人情
02:15:44:15		好不好
02:15:45:20	02:15:46:16	來
02:15:46:29		你們兩個
02:15:48:22	02:15:50:12	再幫我飛兩趟
02:15:52:16	02:15:54:25	所有的錢就不用還了
02:15:55:11	02:15:57:29	你看, 這個多好啊是不是
02:15:58:15		所有的錢都不用還
02:15:59:17	02:16:01:26	但是你們兩個不要想給我跑
02:16:02:18	02:16:07:03	上次有一對小情侶臨陣脫逃
02:16:10:11	02:16:11:21	那個下場
02:16:13:16	02:16:14:25	很慘
02:16:21:22		一切按照計畫進行就會沒事了
02:16:25:12	02:16:26:17	你放心
02:16:58:21	02:16:59:14	先生
02:17:00:12		先生, 請等一下
02:17:01:07		先生
02:17:01:22	02:17:02:21	請等一下
02:17:03:21	02:17:05:14	你的包包沒有關耶
02:17:11:10		謝謝
02:17:12:04		走吧
02:17:12:25	02:17:13:28	等一下
02:17:15:07	02:17:16:12	是你啊
02:17:17:17	02:17:19:16	你不是JULIE的新男友嗎
02:17:22:18		對
02:17:23:27	02:17:26:21	但是我們已經分手了
02:17:27:20	02:17:28:21	是嗎
02:17:30:16		所以你現在跟你的新女友...
02:17:33:17		不是, 她是我的未婚妻
02:17:34:24		我們要去度蜜月
02:17:35:23		不好意思, 我們趕飛機
02:17:36:18	02:17:37:22	下次再聊
02:17:38:24	02:17:39:20	等一下
02:17:45:16		你們以為整完我之後
02:17:49:00	02:17:50:22	就沒事了嗎
02:17:54:10	02:17:58:04	事事達人史考特先生
02:18:02:10	02:18:04:06	請把你的行李打開
02:18:08:04	02:18:09:25	史考特先生
02:18:10:05	02:18:11:29	請把你的行李打開
02:18:17:21		現在是執行公務
02:18:19:28	02:18:21:27	請打開你的行李
02:18:22:10	02:18:23:22	打開你的行李
02:18:29:28		在這一刻
02:18:31:18	02:18:33:06	我終於知道了
02:18:34:00		為什麼我之前假扮別人
02:18:35:12	02:18:37:06	可以這麼輕鬆
02:18:37:25	02:18:40:28	要當自己卻這麼困難
02:18:42:05	02:18:44:24	因為我以為假扮別人不用負責
02:18:45:12	02:18:46:28	那是他們的人生
02:18:47:26		我接單
02:18:49:07		做事
02:18:50:16	02:18:51:24	收錢
02:18:52:06	02:18:53:29	明天過後互不相干
02:18:54:20		但其實沒有什麼事
02:18:55:26	02:18:57:18	是不用負責任的
02:18:58:04		我根本不是那個
02:18:58:28	02:19:00:28	網路裡的事事達人
02:19:01:07		我活在一個
02:19:02:25		按下TRY AGAIN也不會重來的
02:19:05:23	02:19:07:20	真實世界
02:19:20:04		雖然打電動
02:19:20:21	02:19:22:12	跟真實的生活不一樣
02:19:22:27		但是我確實在遊戲當中
02:19:25:05		學到不少做人處事的道理
02:19:27:16		最重要的
02:19:28:26		就是當你卡關的時候
02:19:30:29		要不就是找攻略開外掛
02:19:33:10	02:19:37:01	不嘛就是組成聯盟找人幫忙
02:19:38:29		我幫游董的前女友拆了監視器
02:19:41:16		經過一番苦口婆心的勸說
02:19:44:12	02:19:46:07	她決定跟我一起報案
02:19:48:00	02:19:50:12	我則是帶著要出國的東西自首
02:19:51:19		當然假冒身分闖入民宅
02:19:53:12	02:19:54:27	還是有罪的
02:19:55:09		但總比運毒被逮到好多了
02:19:57:24	02:19:58:28	你說對吧
02:20:24:02	02:20:25:12	那個...
02:20:28:10	02:20:30:04	今天謝謝你
02:20:30:19	02:20:32:17	謝謝你幫我演了這場戲
02:20:35:14		之後
02:20:35:22		如果還有需要你協助的地方
02:20:37:28	02:20:39:10	我們會再通知你
02:20:50:11	02:20:53:07	那之前的事
02:20:56:07	02:20:57:24	過去就過去了吧
02:21:01:16		說起來
02:21:03:21	02:21:05:12	我還得謝謝你們
02:21:09:24	02:21:11:18	你太客氣了啦
02:21:12:06	02:21:15:03	其實我才應該要謝謝你
02:21:20:14	02:21:21:20	不客氣
02:21:33:23	02:21:34:23	結束了耶
02:21:36:14	02:21:37:07	結束了
02:21:39:22	02:21:41:00	所以...
02:21:43:20	02:21:45:05	接下來
02:21:48:07		我覺得這幾天可能是我人生中
02:21:50:29	02:21:52:20	最刺激的時候了
02:21:53:16	02:21:56:14	我想我會一輩子記得
02:21:59:16	02:22:04:11	那我們...
02:22:23:06	02:22:24:03	哥
02:22:41:13	02:22:42:24	抱歉...
02:22:44:07		我就跟你說我很忙了
02:22:47:01		你就先去把包廂訂好就好了
02:22:49:27	02:22:52:28	你怎麼那麼番, 講不聽啊
02:22:55:19	02:22:56:21	我知道...
02:23:30:02	02:23:32:00	爸爸交代我給你的
02:23:45:00	02:23:48:28	爸爸他其實沒有比較疼我
02:23:50:13	02:23:51:15	你知道嗎
02:23:55:28	02:24:00:24	畢竟我們都是一樣的
02:24:32:29		沒錯
02:24:34:01	02:24:35:22	這就是我的故事
02:24:36:02	02:24:38:09	現在我已經不再扮演別人了
02:24:39:01	02:24:41:01	我只扮演我自己
02:24:41:15		謝謝你聽完我的故事
02:24:43:10	02:24:44:25	我要先去加班囉
