01:00:00:16	01:00:01:24	這什麼鬼地方啊
01:33:14:23		你自己一個人玩團啊
01:33:16:13		你再講一次
01:33:17:10		你說什麼
01:33:17:28		你再講一次啊...
01:33:19:17		快點回去
01:33:21:07		滾啊
01:33:22:16	01:33:23:27	叛徒啦
01:33:24:27		沒用的傢伙
01:33:25:25		通通都叛徒
01:33:26:14		你最沒用啦
01:33:27:28	01:33:29:26	就你最廢物
01:33:31:20	01:33:33:21	好了啦, 沒事了
01:33:46:07	01:33:47:28	我媽和我爸離婚之後
01:33:49:13		我好不容易
01:33:50:17	01:33:52:17	找到彈吉他這個方式
01:33:53:04	01:33:54:26	讓大家不要再取笑我
01:33:57:22	01:33:59:05	現在我手廢了
01:34:00:28		我團員居然背叛我
01:34:02:26		還隨便找一個一臉白癡的爛咖
01:34:04:12	01:34:06:02	就要頂替我上台
01:34:08:13		難道我林子閎
01:34:09:16	01:34:11:08	就這麼沒有價值嗎
01:34:13:02	01:34:14:23	好了啦, 沒事了
01:34:18:13		昨天才去
01:34:19:18		怎麼現在就要帶泡麵跟可樂
01:34:21:15		全部都被那老先生沒收啦
01:34:23:18		那裡怪可怕的
01:34:25:02		昨天他一進去
01:34:26:00	01:34:27:18	他就想要逃出來了
01:34:28:24		那就得靠祖兒你
01:34:29:27	01:34:32:15	和那群樂團朋友多多鼓勵他
01:34:33:14		他今天還因為樂團的事
01:34:35:28	01:34:38:07	跟其他團員打了一架
01:34:38:23		學校寒假的時候
01:34:39:24		就已經記他大過了
01:34:41:14	01:34:44:17	可是現在要取消他的比賽資格
01:34:48:18		祖兒
01:34:49:18	01:34:51:11	你帶我去林先生那兒看看
01:34:52:22		林媽媽, 你看
01:34:53:25		那破車
01:34:55:11		然後輪胎還長草
01:34:57:05		昨天晚上才六點多
01:34:58:18		就什麼人都沒有
01:35:00:02		還一直散發出那種很奇怪
01:35:02:17	01:35:03:24	很可怕的煙
01:35:04:13	01:35:06:10	這裡真的超毛的
01:35:07:11	01:35:08:11	就是這間
01:35:12:24		林媽媽, 你要小心
01:35:14:16		這個門鈴聲音很奇怪
01:35:16:09	01:35:17:15	很恐怖
01:35:25:14		聲音越恐怖越好
01:35:26:21		這樣才能嚇到小偷啊
01:35:28:13		這是我設計的防盜措施
01:35:30:25	01:35:32:20	亂碰東西都會亂叫的
01:35:33:17		林太太
01:35:34:04	01:35:36:01	大駕光臨有什麼事嗎
01:35:37:13		這是我自己做的滴雞精
01:35:39:10	01:35:42:06	想說帶來讓你跟子閎一起喝
01:35:43:05		謝謝啦
01:35:44:01	01:35:45:25	我會讓他喝得比我多
01:35:49:10		不好意思, 林先生
01:35:51:08		我知道這段時間
01:35:52:23		我最好不要過來看他
01:35:55:07	01:35:56:29	可是...
01:35:58:16	01:35:59:14	怎麼樣
01:36:00:20		這次肇事意外
01:36:02:10		學校懲處公告出來了
01:36:04:21		除了記過處罰之外
01:36:06:21		他們還取消了
01:36:07:15	01:36:10:09	子閎代表學校去參加音樂比賽
01:36:11:17		我知道他是真的很希望
01:36:13:19		能夠參加音樂比賽
01:36:15:17	01:36:18:15	他花了很多時間準備還有練習
01:36:19:26		他現在被取消資格
01:36:21:29		他知道了
01:36:23:06		一定會很難過
01:36:25:00	01:36:27:15	所以我想說過來看看他
01:36:29:21		我想你還是不要上去安慰他
01:36:32:11		這小子欠磨練
01:36:33:15	01:36:35:07	不能一輩子當媽寶
01:36:36:10		不過我想他只要在這裡
01:36:39:17		好好地做復健
01:36:41:11	01:36:43:25	說不定就會有奇蹟出現
01:36:44:10	01:36:45:19	因為我是魔術師
01:36:49:27	01:36:51:08	你是他的女朋友
01:36:53:00		昨天晚上
01:36:53:23	01:36:56:04	在游泳池旁邊偷偷約會
01:36:57:17		以後不要再拿可樂
01:36:58:23	01:37:00:26	跟科學麵給他吃了
01:37:01:05	01:37:02:21	這種東西吃多了不好
01:37:03:17		好
01:37:04:17	01:37:05:12	還有
01:37:06:01		我們現在講的這些話
01:37:07:12	01:37:08:23	都不能告訴他
01:37:09:27	01:37:10:28	好
01:37:11:06		也不能跟他講我已經知道
01:37:12:28	01:37:15:02	他不能參加比賽這件事
01:37:15:22	01:37:16:19	好
01:37:17:22	01:37:18:21	OK
01:37:19:19	01:37:20:16	OK
01:37:21:00		確定
01:37:22:01	01:37:23:01	確定
01:37:27:09		你也太慘了吧
01:37:28:22		無照駕駛耶
01:37:29:25		手廢了
01:37:30:23	01:37:32:09	還取消電視演出
01:37:32:29		更活該啊
01:37:34:02		不取消也沒辦法啊
01:37:35:08		誰叫你闖了禍
01:37:37:10		對, 手都廢了
01:37:39:08	01:37:40:22	怎麼可能參加比賽
01:37:41:04		太蠢了吧
01:37:41:26	01:37:43:03	笑死我了
01:37:44:12		學長, 你就好好休息
01:37:46:17	01:37:48:19	這次比賽交給我就搞定了
01:37:55:24	01:37:56:28	不行
01:37:57:21		一定要趕快叫他教我魔術
01:37:59:09	01:38:00:13	復健我的手
01:38:05:02	01:38:07:16	想趕快學魔術做復健對不對
01:38:10:13	01:38:11:06	過來
01:38:30:13	01:38:31:14	看到沒有
01:38:32:14		可是你的手受傷
01:38:34:11		這種飛龍在天的高級動作
01:38:36:25	01:38:37:22	就免了
01:38:49:01		這個比較簡單
01:38:50:02	01:38:51:06	你就練這個
01:38:51:24		這罐啊
01:38:52:18	01:38:55:13	是你媽媽特地送來的滴雞精
01:38:56:04	01:38:58:14	媽媽的愛心要記得把它喝掉
01:39:01:09		你這...
01:39:02:22		幹嘛
01:39:03:28		你現在才發現
01:39:04:27	01:39:06:28	我以為你都不關心呢
01:39:07:09	01:39:09:26	舊傷復發就是被你撞的
01:39:10:15		好好練
01:39:11:15		好好復健
01:39:12:21		都不練
01:39:13:18	01:39:15:01	咱們就法院見
01:39:16:13	01:39:19:02	好痛...
01:39:21:19	01:39:23:03	好痛...
01:39:27:25	01:39:30:29	死老頭, 每次都來這套
01:41:31:06	01:41:32:07	傑克
01:41:32:18	01:41:35:06	爺爺不知道這樣做到底對不對
01:41:35:26		為了達到我們的目的
01:41:37:25		我竟然騙他說
01:41:39:24		練魔術是最好的復健
01:41:42:21	01:41:44:05	會不會太唬爛
01:41:47:18		可是爺爺還真的很希望
01:41:50:27	01:41:52:25	他能穿上這一件斗篷
01:41:53:17	01:41:55:26	代替你來變這一套魔術
01:42:25:24		「黑矸子裝醬油」, 看不出來
01:42:28:00	01:42:30:16	想不到這個草莓族還這麼認真
01:42:56:01	01:42:57:18	林子閎, 你不會成功啦
01:42:57:29		大師出手
01:43:01:02		你會成功嗎
01:43:02:04		你會嗎
01:43:03:03	01:43:04:09	你會嗎
01:43:05:15	01:43:06:10	你看
01:43:06:20		再一次...
01:43:07:08	01:43:08:07	好
01:43:14:03	01:43:15:22	你到底會不會啊
01:43:19:05		你三餐都吃那種東西
01:43:21:14	01:43:22:14	會飽喔
01:43:23:08	01:43:25:12	你三餐都吃那個不煩喔
01:43:25:27	01:43:27:09	問這個沒意思啦
01:43:30:23	01:43:32:14	那你為什麼想當魔術師啊
01:43:35:01		你今天很多話喔
01:43:36:04	01:43:37:06	問題很多喔
01:43:38:12		魔術啊
01:43:39:22		就是一種
01:43:41:02		利用平常大家都沒有發現的角度
01:43:44:16	01:43:45:25	做一場表演
01:43:46:03	01:43:47:23	騙過大家的眼睛
01:43:48:27		那你的意思就是說
01:43:49:22	01:43:51:05	魔術都是騙人的吧
01:43:52:05		你的想法太負面了啦
01:43:54:09		騙人是為了帶給大家驚喜
01:43:56:25	01:43:58:19	那是娛樂, 是正面的
01:43:59:19	01:44:01:19	魔術還有更正面的意義
01:44:02:04		那就是喔
01:44:03:23		如果你也能像變魔術一樣
01:44:06:24		嘗試去尋找用不同的角度
01:44:09:17		不同的態度來生活的話
01:44:11:20	01:44:14:00	說不定會變得更快樂
01:44:15:02	01:44:16:23	所以我喜歡魔術
01:44:21:01	01:44:22:25	傑克, 時候到了
01:44:23:16	01:44:25:10	該讓他去面對觀眾了
01:44:26:14	01:44:27:10	加油
01:44:27:23	01:44:30:17	距離咱們的目標越來越接近了
01:44:33:27	01:44:35:17	年輕人, 上來
01:44:39:03	01:44:40:29	來... 坐
01:44:42:22	01:44:43:15	請坐
01:44:43:23	01:44:44:25	請上座
01:44:54:04	01:44:55:05	你幹嘛啊
01:44:55:15		這張道具椅很久沒檢修了
01:44:58:00	01:44:59:05	看起來還OK
01:45:00:23		那也不必拿我來檢修吧
01:45:02:16	01:45:03:14	你囉嗦
01:45:06:19	01:45:07:22	你現在要幹嘛
01:45:08:13		造型也是魔術師很重要的一門功課
01:45:13:03	01:45:14:07	造型
01:45:25:01		請進
01:45:26:06	01:45:27:24	傑克爺爺, 你好
01:45:28:07		No...
01:45:29:07	01:45:31:08	是傑克的爺爺
01:45:32:18		是這樣的, 傑克的爺爺
01:45:35:04		已經有兩, 三個買家
01:45:36:01		在詢問你的房子了
01:45:37:13		我們一定會用最快的速度
01:45:38:17		幫您賣一個好價錢的
01:45:40:22	01:45:43:13	Good, 那就麻煩你們了
01:45:44:05	01:45:45:12	越快越好
01:45:45:29	01:45:47:29	我恐怕沒什麼時間等了
01:45:48:14		傑克的爺爺
01:45:49:08		你這麼急著把房子賣掉
01:45:50:24		是因為有急著要用錢嗎
01:45:53:11	01:45:54:28	對, 需要很多錢
01:45:55:09	01:45:57:29	所以也希望你們能共襄盛舉
01:45:58:25	01:46:00:09	共襄盛舉...
01:46:01:20		房子賣掉之後
01:46:03:06		我會把所有的錢都捐出去
01:46:06:12		捐給兒童之家
01:46:07:19	01:46:09:24	幫助那些生病的小朋友
01:46:10:14		所以你們的仲介費啊
01:46:12:27		也交給我
01:46:13:26		不要抽了
01:46:14:19	01:46:16:13	我幫你們做功德
01:46:19:29	01:46:22:03	傑克爺爺, 你真愛開玩笑啊
01:46:22:29	01:46:24:01	我很嚴肅的
01:46:26:03	01:46:27:13	這麼有愛心
01:46:27:21	01:46:28:27	真的假的啊
01:46:30:20	01:46:32:22	OK, 可以出發了
01:46:33:25	01:46:34:26	搭你們便車
01:46:36:05		沒問題啊
01:46:36:24		OK...
01:46:37:15	01:46:38:15	什麼鬼
01:46:45:17	01:46:47:14	真的有必要把我弄成這樣嗎
01:46:48:07		表演耶
01:46:49:07	01:46:50:20	造型也很重要
01:46:51:21		但我只是助手而已啊
01:46:53:20	01:46:55:00	No...
01:46:55:18		今天你不是助手
01:46:57:05		你是主角
01:46:58:05	01:46:59:07	你要表演
01:47:09:11		傑克的爺爺...
01:47:11:13		有沒有看到
01:47:12:24	01:47:15:06	這些小朋友都是重症患者
01:47:15:25		有的是先天性的心臟病
01:47:18:26		有的是腦部
01:47:20:00	01:47:22:03	或者其他方面的問題
01:47:23:03	01:47:24:21	有一些開過刀的
01:47:25:18		有一些還在等器官移植
01:47:27:19	01:47:29:02	甚至還有做化療的
01:47:30:17		看他們這麼辛苦
01:47:31:16	01:47:32:26	我們會捨不得啦
01:47:33:25		所以每個禮拜
01:47:34:20		我就會找一, 兩天
01:47:36:08	01:47:37:28	到這裡來陪他們
01:47:38:08	01:47:39:14	逗他們開心
01:47:40:27		小孩辛苦
01:47:41:21		大人就辛苦
01:47:43:22		小孩高興喔
01:47:45:02	01:47:47:18	他們的爸爸媽媽也會跟著高興
01:47:48:22		我發現啊
01:47:50:00		每當小朋友嶄露出
01:47:51:18	01:47:53:16	燦爛笑容的時候
01:47:54:00		他們的爸爸媽媽
01:47:55:12	01:47:56:25	也會跟著笑出來
01:47:57:23		就好像打敗了病魔
01:48:00:15	01:48:02:05	充滿了希望一樣
01:48:08:23	01:48:10:00	準備好了嗎
01:48:13:12		可是我只會骰子那個魔術
01:48:17:02		而且我不一定每次都會成功
01:48:19:22		那個不重要啦
01:48:21:06	01:48:23:16	重要的是有沒有去做這件事
01:48:35:02	01:48:35:29	來啊
01:48:39:06	01:48:40:16	給他鼓勵鼓勵
01:48:49:20	01:48:50:15	不要笑
01:48:51:22		別人每次都成功
01:48:52:29		只有他失敗
01:48:54:00		他最厲害對不對
01:48:55:17	01:48:56:11	對
01:48:57:19		好, 失敗為成功之母
01:48:58:23		再接再厲
01:48:59:27	01:49:01:07	再給他鼓勵
01:49:05:27	01:49:07:13	再接再厲, 永不放棄
01:49:10:20	01:49:11:16	又掉了
01:49:12:03		連續能夠失敗兩次
01:49:13:11		就是很不簡單的事
01:49:14:22	01:49:16:04	來, 再給他鼓勵鼓勵
01:49:34:07		剛剛講過嘛
01:49:34:27		失敗為成功之母
01:49:36:09		國父失敗十次
01:49:37:12		他才失敗五, 六次
01:49:38:23	01:49:40:25	鼓勵, 鼓勵一下
01:49:47:16		快開學了
01:49:48:00	01:49:49:06	放你半天假
01:49:49:19		回去準備一些開學要用的東西
01:49:51:27		順便陪你媽媽吃個飯
01:49:53:14	01:49:54:16	晚上再回來
01:49:55:18		對啊, 要開學了
01:49:57:03		開學後我要參加比賽
01:49:58:25		你不是說練魔術
01:49:59:27		會讓我手變得更靈活嗎
01:50:01:19		可是我手現在這樣子
01:50:03:26		拜託, 你玩骰子
01:50:05:18		已經玩出一點小成績了
01:50:07:14		表示手指頭變靈活啦
01:50:09:28		那還不夠
01:50:10:19		我是要參加比賽耶
01:50:12:09	01:50:13:19	那就要繼續練啊
01:50:34:04		不好意思
01:50:35:00		那學校的懲處已經公布了
01:50:36:26	01:50:38:05	我可能幫不上忙耶
01:50:39:01		那我找你上司
01:50:40:15		這個我們一切按照校規處理
01:50:42:01	01:50:43:13	沒辦法幫忙
01:50:44:04	01:50:46:02	主任, 請問校長室在哪裡
01:50:46:15		林先生
01:50:47:00		林先生, 你不要這樣子
01:50:47:27		你們不要拉我
01:50:48:20	01:50:49:29	不要拉我啦
01:50:50:20		校長, 你好...
01:50:52:08		你坐...
01:50:54:14		我想跟你談一個學生
01:50:56:09		他的名字叫林子閎
01:50:58:16		林子閎
01:50:59:14	01:51:00:21	對, 林子閎
01:51:01:21		對啊, 林子閎
01:51:03:11	01:51:06:01	他很有音樂天分
01:51:07:00		然後呢
01:51:08:01	01:51:10:25	然後想拜託校長一件事
01:51:11:16		不是嘛
01:51:12:15	01:51:14:02	你團員一個一個都不見了
01:51:14:16		而且當初你跟我接洽的耶
01:51:16:17		你們不還錢
01:51:17:12		我一家樂器行要養耶
01:51:18:25	01:51:19:27	好, 你等我一下
01:51:24:08	01:51:25:03	你好
01:51:33:08	01:51:34:09	這樣可以了吧
01:51:37:12	01:51:38:22	還不錯的吉他嘛
01:51:39:09		好啦, 我先幫你保留
01:51:41:07		等你存夠了錢
01:51:42:09		我等你贖回它
01:51:43:12		我只能做到這樣子啦
01:51:44:13		謝謝啦
01:51:45:03	01:51:45:28	拜拜
01:51:48:29		子閎, 你是欠了多少錢
01:51:51:09		要把吉他給賣了
01:51:52:21		那把吉他可是你...
01:51:53:19		我知道, 是爸的
01:51:55:00		我知道
01:51:56:18		到底發生什麼事
01:51:58:02		跟媽說好不好
01:51:59:00		沒有發生什麼事情
01:51:59:25	01:52:01:07	你不要擔心好不好
01:52:02:11		你答應過媽
01:52:03:08		不會做壞事的
01:52:04:01	01:52:05:15	我沒有做壞事啦
01:52:32:07	01:52:33:11	心情不好啊
01:52:37:20	01:52:38:18	沒有啊
01:52:41:05	01:52:43:06	那我可不可以問你一個問題
01:52:46:14	01:52:48:10	為什麼對你媽媽那麼凶
01:52:51:20	01:52:52:20	我沒有啊
01:52:53:15	01:52:54:18	還沒有呢
01:53:01:20	01:53:03:29	那是因為我媽很難溝通啦
01:53:04:19	01:53:05:27	她很不瞭解我
01:53:07:06		而且一不小心說錯話
01:53:09:10	01:53:10:13	她就會掉眼淚
01:53:10:29	01:53:12:03	反正就很煩啦
01:53:15:18	01:53:17:19	你認為你媽媽不瞭解你
01:53:21:10	01:53:22:12	你知道嗎
01:53:23:07	01:53:25:17	她曾經跟我講過這樣的話
01:53:28:24	01:53:30:05	其實我知道
01:53:31:14		從小到大
01:53:33:08	01:53:35:00	因為單親的關係
01:53:35:15	01:53:37:01	他一直很沒有自信
01:53:38:06		直到遇上了音樂
01:53:40:08	01:53:41:21	他開始有改變
01:53:42:27	01:53:44:22	雖然他的個性很固執
01:53:45:12		但是遇上他喜歡的事情
01:53:47:29	01:53:49:25	他就變得相當地執著
01:53:51:04		一有空
01:53:52:08		他就拼了命地練習
01:53:54:07		就算彈到手都破皮流血
01:53:56:24	01:53:58:24	我從來沒聽他喊過一聲苦
01:54:00:02		現在還能參加全國的音樂比賽
01:54:02:26	01:54:04:13	他竟然還寫了歌
01:54:04:22	01:54:06:18	還能代表學校去參賽
01:54:07:16		我身為他的媽媽
01:54:09:20	01:54:11:05	我真的很欣慰
01:54:12:07	01:54:14:00	我真的很以他為榮
01:54:47:22		你怎麼了
01:54:48:23	01:54:50:07	你怎麼都不講話
01:54:53:23	01:54:54:21	沒有啦
01:54:56:26	01:54:58:04	我只是在想
01:54:59:16		我最近都忙著練魔術
01:55:01:02	01:55:02:12	復健我的手
01:55:04:04	01:55:05:12	都沒有空陪我媽
01:55:07:21		所以如果你有空的話
01:55:12:21	01:55:14:17	要麻煩你去多陪陪她
01:55:16:05	01:55:17:11	加油喔
01:55:22:20	01:55:23:15	傑克
01:55:24:20	01:55:26:13	爺爺會不會太雞婆了
01:55:27:11		本來只是想利用他
01:55:28:21	01:55:30:28	來完成我們之間的約定
01:55:31:13		現在就連學校的事
01:55:34:13		媽媽的事
01:55:36:03	01:55:37:10	還有啊
01:55:39:23		甚至連吉他的事
01:55:41:06	01:55:42:21	爺爺都管上了
01:55:45:08		沒辦法啊
01:55:46:08	01:55:48:04	看到他就想到你啊
01:55:48:15	01:55:49:20	會想去照顧
01:56:01:06	01:56:03:01	希望爺爺時間還夠
01:56:04:03	01:56:06:21	咱們的計劃還來得及
01:56:29:18		這些道具
01:56:31:01		都可以訓練你手指頭的靈活度
01:56:33:24	01:56:35:23	對你的復健絕對有幫助
01:56:37:09		更重要的附加價值是
01:56:40:01		在訓練的過程中
01:56:42:01	01:56:45:28	可以提升你的專注力跟忍耐性
01:57:54:13	01:57:55:21	這樣可以吧
01:57:58:11	01:58:01:19	為什麼爸的吉他會在房間裡
01:58:06:05	01:58:06:29	幹什麼
01:58:09:17		我剛剛在樓下
01:58:10:09		聽到一個很大的聲音
01:58:11:22	01:58:13:11	不是跟你講過了嗎
01:58:14:01	01:58:15:18	這個房間不准進來
01:58:16:07	01:58:16:29	出去
01:58:19:25	01:58:20:20	你幹嘛
01:58:21:21	01:58:22:20	你怎麼了
01:58:23:10	01:58:24:08	你還好吧
01:58:25:07	01:58:26:15	傑克的爺爺
01:58:36:09	01:58:37:05	醫生
01:58:37:17	01:58:38:11	他怎麼了
01:58:39:06	01:58:41:02	請問你是他的...
01:58:41:27	01:58:43:26	我是他的助手
01:58:45:00	01:58:46:28	胃癌末期, 你不知道嗎
01:59:17:13		林太太, 今天請你來的目的
01:59:19:18		是要跟您報告一下
01:59:20:25	01:59:24:01	林子閎同學最新的懲處狀況
01:59:25:00		我們決定讓林子閎同學
01:59:27:15	01:59:29:21	代表學校參加音樂比賽
01:59:33:07		做錯事的人
01:59:34:07		有很多種贖罪的方式
01:59:36:07		能夠把歡笑帶給大家
01:59:37:26	01:59:39:07	也是一件好事
01:59:39:16		希望林子閎同學
01:59:41:03	01:59:43:25	可以表現優異, 將功抵過
01:59:44:18		校長, 太謝謝您了
01:59:46:15		真的很感謝
01:59:48:01	01:59:49:00	別謝我
01:59:49:20	01:59:52:07	先把這一次的演出表演好再說
01:59:53:01		而且要不是老魔術師
01:59:55:09		一直拜託我
01:59:56:29		在他死之前
01:59:58:02		希望給年輕人一個機會
02:00:00:25	02:00:05:05	我也不好拒絕這麼好的提議
02:00:05:15		但是請轉告林子閎
02:00:07:19	02:00:09:15	千萬要珍惜這個機會
02:00:13:21	02:00:15:08	死之前
02:00:49:21	02:00:50:23	子閎
02:00:54:02		校長說
02:00:55:21		你可以恢復參加比賽資格
02:00:57:09	02:00:58:15	這件事
02:00:59:01	02:01:01:05	都是林先生去拜託他的
02:01:13:26		我以為你能夠去參加比賽
02:01:17:08	02:01:18:22	會很開心
02:01:25:03	02:01:26:25	是媽對不起你
02:01:28:05	02:01:30:26	從小就沒能給你一個完整的家
02:01:33:23	02:01:36:03	讓你從小就沒有爸爸
02:01:40:08	02:01:41:26	你一直都不快樂
02:01:43:09	02:01:45:01	直到你接觸到音樂
02:01:46:21	02:01:48:13	你才比較開心
02:01:50:10		媽看到你那個樣子
02:01:52:11	02:01:54:04	我真的很開心
02:01:56:07	02:01:58:21	沒想到你卻出了車禍
02:02:00:04	02:02:01:21	手還差點...
02:02:05:05	02:02:07:06	媽看到你現在這個樣子
02:02:08:04	02:02:09:18	我真的很難過
02:02:10:29		媽不知道要怎麼做
02:02:12:15	02:02:15:01	才能再度讓你開心起來
02:02:28:14	02:02:30:14	你不要再說你不好了好不好
02:02:32:23	02:02:34:24	我受傷是你不好
02:02:35:23	02:02:37:21	跟爸離婚也是你不好
02:02:40:02	02:02:42:05	如果你真的那麼不好的話
02:02:44:17	02:02:47:00	我幹嘛還一直跟著你呀
02:02:52:26	02:02:53:23	媽
02:02:56:18	02:02:58:06	對不起
02:03:02:10	02:03:04:08	我知道你都是為了我好
02:03:10:16	02:03:13:02	只是我現在好難過喔
02:03:17:12	02:03:19:23	傑克爺爺他要死了
02:03:20:23	02:03:22:24	他還在為我做這些事
02:03:28:27	02:03:30:12	你都知道了
02:03:44:04	02:03:44:28	媽
02:03:48:06	02:03:50:06	你教我做滴雞精好不好
02:03:52:01	02:03:53:22	傑克爺爺他很可憐
02:03:56:10	02:03:58:20	我想要親自為他做點什麼事
02:03:59:18	02:04:00:19	好不好
02:04:02:22	02:04:05:02	好...
02:05:02:18		你有看到傑克的爺爺嗎
02:05:04:04	02:05:06:07	他剛剛說要去樓上透透氣
02:05:07:27	02:05:08:17	謝謝
02:05:46:27	02:05:48:01	風太大了
02:05:48:09	02:05:49:15	我們回去吧
02:06:13:29	02:06:16:19	謝謝你幫我贖回吉他
02:06:23:08	02:06:24:16	你不是很酷嗎
02:06:24:24	02:06:26:01	也會說謝謝啊
02:06:29:27	02:06:33:06	其實我跟你說
02:06:33:22	02:06:36:07	練魔術是很好的復健
02:06:36:23	02:06:38:03	是騙你的
02:06:39:28		我是想要完成
02:06:41:03	02:06:43:07	我跟我孫子之間的約定
02:06:43:21	02:06:45:21	才騙你來學魔術的
02:06:47:22	02:06:50:25	我一直禁止你進去的那個房間
02:06:51:11	02:06:53:20	就是我孫子傑克的房間
02:06:56:02	02:06:57:08	他年紀跟你一樣
02:06:59:06	02:07:00:23	連名字也跟你一樣
02:07:02:01	02:07:03:16	都叫林子閎
02:07:07:04	02:07:08:16	他很喜歡魔術
02:07:09:17	02:07:11:08	每次我教他一套魔術
02:07:12:00	02:07:13:08	他學起來之後
02:07:13:27		就會回過頭來
02:07:15:25	02:07:17:17	叫我當他的助手
02:07:21:18	02:07:23:24	十年前他生日那天
02:07:25:00	02:07:26:26	我變了一套魔術給他看
02:07:38:29	02:07:40:03	好厲害
02:07:48:18		爺爺... 教我斗篷魔術
02:07:50:28		不行, 現在不可以
02:07:52:15		要等你十八歲的時候
02:07:53:23	02:07:55:00	才能教你
02:07:55:09		好, 打勾勾
02:07:56:16	02:07:58:02	來, 蓋章
02:08:01:05	02:08:02:07	好啦, 趕快許願
02:08:06:21	02:08:07:16	好了
02:08:08:05		吹蠟燭, 來
02:08:08:28	02:08:09:19	吹蠟燭
02:08:11:08	02:08:12:12	幾天以後
02:08:14:01	02:08:15:29	他跟他爸爸媽媽出國
02:08:17:04	02:08:18:24	就沒有再回來了
02:08:21:17	02:08:22:19	我兒子啊
02:08:24:00	02:08:26:25	拖著他們母子兩個一起自殺了
02:08:31:16	02:08:32:12	有人說
02:08:34:00		我兒子因為賭博
02:08:36:03	02:08:37:16	欠了一屁股債
02:08:38:23	02:08:40:16	所以才走上絕路
02:08:42:09	02:08:45:00	也有人說是因為生意失敗
02:08:46:19	02:08:48:11	重點是
02:08:49:16	02:08:51:29	他為什麼不向我開口求救
02:08:57:00	02:08:59:16	我們的父子關係太糟糕了
02:09:01:07		他肯跟我說的話
02:09:02:25	02:09:05:13	這個悲劇應該就不會發生了
02:09:11:10	02:09:13:12	沒有教傑克斗篷魔術
02:09:15:05	02:09:16:12	他很失望
02:09:17:25	02:09:20:05	我甚至於來不及跟他講
02:09:20:16	02:09:22:10	不是爺爺不教你
02:09:22:25	02:09:25:21	是因為斗篷裡面藏了很多道具
02:09:26:09		很大一件
02:09:27:16	02:09:29:02	小朋友穿不下
02:09:31:09		所以才要等到他
02:09:33:12	02:09:35:07	長大以後才能穿
02:09:38:03	02:09:41:01	那天在醫院聽到你的名字
02:09:42:09	02:09:43:21	我才會想說
02:09:44:11	02:09:46:28	是不是老天爺派你來
02:09:47:22	02:09:49:05	要你代替他
02:09:49:19	02:09:52:28	讓我完成對他的諾言
02:09:58:21	02:10:00:04	可是現在
02:10:01:08	02:10:02:17	我這個爛身體
02:10:04:15		也沒有辦法
02:10:05:16	02:10:08:01	讓我完成這個願望了
02:10:15:06	02:10:16:02	謝謝你
02:10:18:28	02:10:20:20	你為我做了那麼多事情
02:10:23:13	02:10:24:23	我現在都知道了
02:10:27:23	02:10:28:21	還有
02:10:30:05	02:10:31:16	真的很對不起
02:10:33:00		是我自己騎車不小心撞到你的
02:10:35:19	02:10:37:15	對你態度還那麼差
02:10:41:26	02:10:44:06	你可以教我那套魔術啊
02:10:44:25	02:10:46:23	繼續完成你跟傑克的約定
02:10:47:17	02:10:49:02	我們可以一起上台表演
02:10:58:02	02:11:00:13	可是你魔術變那麼爛
02:11:01:05	02:11:03:17	你還是彈你自己的吉他就好了
02:11:11:03	02:11:12:03	爺爺
02:11:13:21	02:11:14:20	爺爺
02:11:18:03	02:11:19:16	只有兩個字
02:11:24:12	02:11:25:08	好啦
02:11:26:24	02:11:30:01	那爺爺就教你那套斗篷魔術
02:11:31:00	02:11:32:24	你也要讓我當你的助手
02:11:40:18	02:11:41:19	謝謝你啊
02:11:45:05	02:11:47:25	抱歉, 有一件事要告訴你
02:11:49:08		你這個是真的
02:11:50:17	02:11:51:22	我這個是假的
02:11:54:22	02:11:56:24	為了要讓你幫我洗衣服
02:12:22:21		Magic創造Miracle
02:12:25:18		它的源頭都在這裡
02:12:27:10		只要這裡改變了
02:12:28:28	02:12:30:15	世界就改變啦
02:12:44:28	02:12:47:02	你看, 都沒有東西喔
02:12:55:08	02:12:57:23	那個瘦瘦的老傢伙是我嗎
02:12:59:29		再來一次喔
02:13:01:00	02:13:02:02	好, 來
02:13:11:12	02:13:12:27	爺爺也愛傑克
02:13:35:10	02:13:36:16	爺爺知道
02:13:37:20	02:13:41:19	你的意思跟我一樣, 對不對
02:13:58:19	02:13:59:14	謝謝
02:14:12:05	02:14:12:28	來, 你看
02:14:13:16	02:14:14:12	幹嘛
02:14:15:04		雖然我不像傑克一樣會畫畫
02:14:17:02		可以畫一張圖送你
02:14:18:11	02:14:21:18	但是我有手機可以拍照
02:14:22:07	02:14:23:05	你看
02:14:25:29		有沒有
02:14:27:04		如果以後你想我的話
02:14:29:06	02:14:30:22	就看這張照片
02:14:31:06	02:14:32:05	少噁了
02:14:33:28	02:14:34:28	謝謝啦
02:14:39:02	02:14:40:04	怎麼不會亮
02:14:51:13	02:14:52:14	我跟你講喔
02:14:54:00	02:14:56:27	甩啊甩的就利用這個時候
02:15:01:14	02:15:02:09	有沒有看到
02:15:03:03	02:15:04:20	這個不要也可以啦
02:15:05:07	02:15:07:03	用手的動作也可以
02:15:07:22	02:15:09:14	就像變魔法一樣啊
02:15:44:04	02:15:45:24	爺爺, 你還是先坐下來好不好
02:15:47:04	02:15:48:07	你先坐...
