01:01:15:28	01:01:17:04	小姐
01:40:54:19		曾經追逐過的夢想世界
01:40:57:14	01:40:58:23	這樣就回得去嗎
01:41:00:06		大家都把夢放在我身上
01:41:02:22	01:41:04:18	你覺得我回得去嗎
01:41:07:05		你呢
01:41:08:12		什麼時候回紐約
01:41:10:09		瑪莎葛蘭姆的演出
01:41:11:20		一生一定要朝聖一次
01:41:13:19	01:41:14:26	既然回不去了
01:41:16:04		就把別人的夢
01:41:17:28	01:41:19:28	當自己的夢去經營
01:41:21:02	01:41:23:20	至少還可以給別人帶來幸福
01:41:26:03	01:41:28:02	雖然這樣子很寂寞
01:41:33:05	01:41:35:21	那就讓我交你這個朋友吧
01:41:52:03		力香...
01:41:55:15		趕快回去
01:41:56:19		阿元叔和三點叔的拼場
01:41:57:29		出問題了
01:41:59:20	01:42:01:10	趕快, 走了
01:42:03:10		阿玲, 阿寶
01:42:04:16		你們真是現實
01:42:06:02		三點仔多一點錢給你們
01:42:07:20		你們就跑過去
01:42:09:06		你們兩個不講義氣
01:42:10:21		給我回來...
01:42:13:04		別這樣...
01:42:14:23		三點仔, 你真卑鄙
01:42:17:16		我們以為你好心
01:42:18:26		結果你是六月刈菜假有心
01:42:21:20		這種垃圾人別跟他囉嗦啦
01:42:23:17		我今天沒把你打死
01:42:25:03	01:42:26:23	我就不姓杜
01:42:27:13		別這樣啦你別太超過喔
01:42:29:20		是她們自己要來的
01:42:30:29	01:42:31:26	不是我去挖角的
01:42:32:20		三餐都吃不飽了
01:42:33:24		不然你叫她們怎麼辦
01:42:35:02		有能耐你就幫她們加薪水啊
01:42:37:13		三點仔
01:42:38:18		你用這種爛招數
01:42:40:01	01:42:42:07	我不會承認失敗的
01:42:43:02		不好意思, 這就是現實
01:42:45:00		你就是沒人
01:42:46:18		第一場輸又怎樣
01:42:48:03		還有第二場啊
01:42:49:25		第二場在藍天拼鋼管
01:42:51:21		到時候再來輸贏啊
01:42:53:04		緊張什麼
01:42:54:17		你講話不要太超過喔
01:42:56:15		力香, 你要幹嘛
01:42:58:12		爸, 三點明明設計你
01:43:02:02		這口氣你吞得下去嗎
01:43:04:26		大人的事情
01:43:05:22		小孩子別管
01:43:07:18		你想要替你爸爸出頭嗎
01:43:09:24		好啊
01:43:11:04		這好機會,來...
01:43:12:16		豔紅, 過來
01:43:13:28		我們第二場是要比鋼管秀
01:43:16:15		你跳舞出身的
01:43:17:29	01:43:20:25	乾脆你們兩個人「釘孤支」
01:43:22:13		比就比
01:43:23:22		我們筱芸霞沒在怕的
01:43:26:25		漂亮喔
01:43:28:14		膽識好
01:43:30:11		我們豔紅是在地的
01:43:32:12	01:43:34:04	你是跳西洋舞的
01:43:34:27		不就土洋大戰
01:43:36:16	01:43:39:11	到時候一定很精彩的
01:43:41:08		好啦...
01:43:42:08		我阿莎力一點
01:43:44:04		今天這場乾脆就不算了
01:43:46:07		我們鋼管秀直接定輸贏
01:43:50:22		我要是輸了
01:43:51:21		我退出江湖, 離開東港
01:43:53:14		這樣爽快吧
01:43:54:09	01:43:55:29	等一下, 我還沒答應
01:43:57:04		你...
01:43:58:07		你是頭殼壞掉喔
01:43:59:29		這是你最後的機會了
01:44:02:07		你女兒要替你出頭
01:44:04:07		你要鼓勵她才對
01:44:06:00	01:44:08:09	什麼不答應
01:44:09:08		想不通你腦袋裡到底裝什麼
01:44:11:27	01:44:13:22	豔紅, 我們走吧
01:44:17:22		力香, 那我們台上見囉
01:44:20:15		到時候就知道
01:44:21:16	01:44:23:15	誰是東港的Queen
01:44:34:00		誰准你答應比賽的
01:44:36:18		筱芸霞的名聲給你敗光了
01:44:39:17		元仔
01:44:41:06		你怎麼打女兒
01:44:43:06		她也是好意啊
01:44:44:20		什麼好意
01:44:46:20		想當初是誰看不起筱芸霞
01:44:51:13		是誰叫我解散筱芸霞
01:44:54:17		現在我寧願眼睜睜看著筱芸霞倒掉
01:44:58:19	01:45:00:18	我也不用你來救
01:45:01:07		想不到你這麼自私
01:45:04:02	01:45:07:14	連女兒也計較
01:45:08:08		力香, 你有沒有怎麼樣
01:45:10:22	01:45:12:26	我看
01:45:18:03		爸
01:45:20:09	01:45:22:22	你讓我跳
01:45:25:05		筱芸霞現在已經沒人了
01:45:28:17	01:45:30:14	你讓我跳好嗎
01:45:31:19		輸就輸
01:45:34:02		我女兒是世界有名瑪莎葛蘭姆的舞者
01:45:38:15		丟人現眼的事情
01:45:40:02	01:45:42:25	我不准你去做
01:45:43:15		力香
01:45:45:03		你爸他是捨不得你
01:45:48:23	01:45:51:01	我們不要跳
01:45:54:14	01:45:55:16	力香
01:45:56:18	01:45:58:03	爸
01:46:01:18	01:46:05:21	我不是瑪莎葛蘭姆的舞者
01:46:06:24		在台北
01:46:09:17		我只是一個在才藝班教跳舞的老師
01:46:14:05		你給我回美國去
01:46:15:29		你給我回去台北
01:46:17:20	01:46:19:20	台北我已經沒地方待了
01:46:22:04		美國我也沒能耐去
01:46:24:12		你不能留下來
01:46:26:00		你給我走
01:46:28:12	01:46:30:13	我要留在東港
01:46:34:04	01:46:36:17	你...
01:46:40:06	01:46:41:06	元仔
01:46:42:19		元仔
01:46:44:11	01:46:45:12	力香
01:46:46:10		伯母, 去追伯伯啦
01:46:48:17		力香交給我
01:46:50:02	01:46:52:13	好, 力香交給你
01:46:52:29	01:46:54:27	元仔
01:46:59:28		力香
01:47:01:29		你...
01:47:03:29	01:47:06:21	你不是要認識我嗎
01:47:08:25	01:47:12:00	這就是我
01:47:13:00	01:47:14:07	力香
01:47:30:11		好了
01:47:31:12	01:47:33:13	不要再喝了好不好
01:47:42:10	01:47:43:06	力香
01:47:44:04	01:47:45:11	力香
01:47:58:07	01:48:00:08	你有沒有怎麼樣
01:48:04:18		輸就輸
01:48:05:29		我女兒是世界有名瑪莎葛蘭姆的舞者
01:48:09:13		丟人現眼的事情
01:48:10:28	01:48:13:03	我不准你去做
01:48:14:25		力香
01:48:15:28		那我們就台上見囉
01:48:17:29		到時候就知道
01:48:19:06	01:48:21:08	誰是東港的Queen
01:48:22:01	01:48:23:28	好了, 不要跳了
01:48:26:17	01:48:28:22	夠了, 不要跳了不要碰我
01:48:31:16	01:48:33:00	走開
01:48:41:16	01:48:43:06	力香, 不要再跳了
01:48:45:12		杜力香
01:48:46:11		你根本不會跳鋼管
01:48:47:12	01:48:49:07	不要再逞強了
01:49:42:18	01:49:45:02	為什麼要答應比賽跳鋼管
01:49:53:02	01:49:54:24	不關你的事
01:49:58:14	01:49:59:19	等一下
01:50:04:11		你說你沒有夢
01:50:06:18	01:50:07:19	那這是什麼
01:50:09:13	01:50:12:05	你的編舞稿我都看過了
01:50:12:25		一個沒有勇氣追逐夢想的人
01:50:15:14	01:50:17:26	是不可能編出這種舞來的
01:50:23:06	01:50:24:28	還我
01:50:25:07	01:50:26:16	你要幹嘛
01:50:31:05		不要撕
01:50:33:11	01:50:37:05	你撿回來的是一個夢
01:50:38:01	01:50:40:22	我不打算繼續作夢下去
01:50:43:23	01:50:45:21	好了
01:50:53:01		元仔, 你是發瘋了嗎
01:50:54:29		那不能燒啦
01:50:56:17		第一場輸掉了
01:50:57:26		筱芸霞已經沒有保留的價值了
01:51:00:05		乾脆放火燒一燒
01:51:01:17		免得留個名被別人糟蹋
01:51:03:28		你別這樣
01:51:05:10		我拜託你好不好
01:51:06:21		這些不能燒
01:51:07:15	01:51:09:03	不能燒啦
01:51:10:02	01:51:11:08	你別這麼衝動
01:51:13:10		筱芸霞又沒輸
01:51:15:00		是三點他不要臉
01:51:16:12		用偷吃步
01:51:17:24		女兒說謊
01:51:19:08		說什麼瑪莎葛蘭姆
01:51:20:20		根本就是假的
01:51:22:13		還敢嫌筱芸霞
01:51:24:00		在眾人面前
01:51:25:04		把筱芸霞的面子丟光了
01:51:27:16		今天就算沒輸
01:51:29:00	01:51:31:03	我的面子也沒處放了
01:51:32:04	01:51:35:17	元仔, 你別這樣
01:51:37:23	01:51:38:27	姊仔
01:51:41:29		你替我勸勸他
01:51:43:16	01:51:45:03	我去找力香
01:52:01:15	01:52:04:05	力香
01:52:06:23	01:52:09:02	還會痛嗎
01:52:12:06		傻孩子
01:52:14:11		你在台北失志
01:52:16:01		怎麼不早點回來呢
01:52:18:23		讓力香跳啦
01:52:20:06		師姊
01:52:21:24		是誰說跳鋼管舞
01:52:23:17		就一定都像三點他們跳的那種
01:52:26:04		你難道沒看過國外的
01:52:27:19		人家也是跳得很健康的
01:52:29:08		展現力與美啊
01:52:30:21		我現在最氣的是
01:52:32:21		力香根本就看不起筱芸霞
01:52:35:08		她也不可能在筱芸霞舞台上跳舞
01:52:38:04		所以我也不可能支持她
01:52:40:23		力香願意回來
01:52:42:23		願意跳鋼管
01:52:44:15		這就表示
01:52:45:26		她對筱芸霞是有認同
01:52:47:28		是有感情的
01:52:50:01		反而是你
01:52:52:03		都幾歲的人了
01:52:54:02		還像小孩子發脾氣
01:52:55:26		跟自己的女兒生氣說氣話
01:52:59:10		你就放手讓力香去做
01:53:02:09		憑她現代舞
01:53:03:23		還有古典芭蕾的專業
01:53:06:19		她跳的鋼管秀
01:53:08:12		一定會像藝霞創團時
01:53:10:15		一樣創新
01:53:11:27		一樣雅俗共賞
01:53:13:24	01:53:16:07	想到這裡
01:53:16:09		我真希望現在
01:53:17:26	01:53:19:29	就可以看到她跳鋼管
01:54:25:04		第二場我可以讓你跳
01:54:27:16		不過不能跳豔紅那種露涼的鋼管秀
01:54:31:29		是要跳有藝術氣質
01:54:34:07		有創意的鋼管舞
01:54:36:13		藝霞可以跳到雅俗共賞
01:54:39:12		歌仔戲可以在國家劇院演出
01:54:42:10		我們筱芸霞
01:54:43:19		也一定要跳出讓觀眾耳目一新
01:54:46:20		和那種露涼粗俗的鋼管舞
01:54:48:23	01:54:50:07	完全不同的
01:54:55:23		有事嗎
01:54:57:15	01:54:59:01	休息一下吧
01:55:10:05	01:55:11:15	這什麼啊
01:55:12:19	01:55:15:07	其實大家對鋼管舞都誤解了
01:55:16:01		鋼管舞也可以跳得很健康
01:55:18:12		完全不情色
01:55:20:17		而且二○一二年倫敦奧運
01:55:22:26		也即將把鋼管舞
01:55:24:04		列入表演賽項目
01:55:25:23		所以我想
01:55:26:19	01:55:28:13	這些對你有幫助
01:55:31:24		可是大家看習慣
01:55:32:23	01:55:35:02	豔紅那種清涼鋼管秀
01:55:35:29		這種新的表演模式
01:55:38:21	01:55:41:00	不知道觀眾會不會接受
01:55:42:01		是很難
01:55:43:14		可是不需要絕望啊
01:55:46:04	01:55:47:28	因為我在你身上看到了
01:55:49:26		永不放棄的勇氣
01:55:52:05	01:55:53:26	還有希望
01:55:56:19	01:55:58:17	謝謝你喔
01:55:59:07	01:56:01:00	我現在去練習了
01:56:06:19		其實我才要謝謝你
01:56:09:11		跟你比起來
01:56:10:23		我明明擁有舞台
01:56:13:08		卻差一點什麼都不努力
01:56:14:20		就放棄了
01:56:16:25		而你看起來好像失去一切
01:56:19:11		卻因為你一直堅持下去
01:56:21:25	01:56:25:11	讓你的世界比誰都更寬廣
01:56:38:05	01:56:39:29	我會盡力啦
01:57:54:05	01:57:55:29	所以你覺得我有幾分
01:57:58:29		技巧性有九分
01:58:01:13		藝術性十分
01:58:04:02	01:58:06:04	所以總分十九分
01:58:11:27	01:58:13:05	那豔紅呢
01:58:13:26	01:58:15:08	豔紅啊
01:58:16:13		技術性十分
01:58:18:20		藝術性只有四點五分
01:58:20:22	01:58:23:16	所以總分十四點五分
01:58:25:27		我贏豔紅
01:58:27:06	01:58:29:07	怎麼可能
01:58:42:24		這個是公車站牌
01:58:44:01		Ladies and Gentlemen
01:58:45:21		讓我們歡迎
01:58:46:14		東港新一代鋼管天后
01:58:48:16	01:58:50:14	杜力香
01:58:51:10	01:58:52:15	歡迎
01:59:06:00		不錯喔
01:59:07:12	01:59:08:29	不錯嘛
01:59:50:14	01:59:52:02	到了
01:59:54:28	01:59:56:23	我先進去了
02:00:03:24		我爸媽在裡面啦
02:00:06:05	02:00:07:24	先走了
02:00:33:03		為什麼是她, 顏光大
02:00:34:11		為什麼
02:00:35:18		她是跳鋼管舞的
02:00:36:20		跳清涼秀的
02:00:37:21		你到底搞清楚沒有
02:00:39:09		小聲一點啦你
02:00:41:02		不要拉我啦
02:00:42:20	02:00:44:11	不要拉我
02:00:48:24	02:00:50:02	小蘭
02:00:52:17		對不起
02:00:55:01	02:00:57:10	我喜歡杜力香
02:01:00:27	02:01:02:11	對不起
02:01:07:23		那我呢
02:01:09:07		我跟在你身邊那麼久
02:01:11:06	02:01:13:22	你一點喜歡我的感覺都沒有嗎
02:01:24:25	02:01:26:29	我很抱歉
02:01:33:07		我不要你說對不起
02:01:34:23		我只要你說你喜歡我
02:01:37:19		光大, 你是鄉代會主席耶
02:01:39:23		你有很好的政治前途
02:01:41:05		你們家跟我們家加起來
02:01:42:22		我們可以選鄉長
02:01:44:01		可以選立委
02:01:45:11		杜力香她什麼都不能給你
02:01:48:00		你知道嗎
02:01:48:29	02:01:50:28	她什麼都不能給你
02:02:02:01		既然回不去了
02:02:04:13		就把別人的夢
02:02:06:16	02:02:09:19	當自己的夢去經營
02:02:13:22	02:02:15:12	這樣會不會太緊
02:02:16:27		不會喔
02:02:18:07	02:02:20:08	好, 這邊再改一下就好了
02:02:39:15		這套衣服
02:02:40:12	02:02:42:25	是你阿母以前表演的時候穿的
02:02:43:20	02:02:45:18	你穿也很好看耶
02:02:52:06	02:02:53:10	力香啊
02:02:54:18		比賽盡力就好了
02:02:57:12		輸贏不用太計較
02:02:59:03	02:03:00:21	平常心
02:03:01:29		你在爸爸心目中
02:03:04:01	02:03:06:07	永遠是最讚的
02:03:07:28		好了
02:03:09:13		你們母女好好聊
02:03:11:11	02:03:13:05	我去忙了
02:03:15:08	02:03:16:26	加油
02:03:48:05		我在辦回顧展
02:03:50:15		可是場地和素材都讓我很傷腦筋
02:03:54:29		秋元
02:03:56:03		你那邊看有沒有適合我展覽的
02:03:58:22		都拿來借我好不好
02:04:00:14		你怎麼那麼客氣
02:04:02:11		你用得到的東西
02:04:03:17		你盡量搬
02:04:05:01		要不是你
02:04:05:27		那些東西早就被我燒光了
02:04:08:27		對了
02:04:10:08		看有什麼地方我可以幫忙的
02:04:12:23		你盡量吩咐
02:04:14:18	02:04:15:26	多謝你
02:04:18:08		這是我們第一代的阿姊
02:04:19:06	02:04:21:05	你還記得嗎
02:04:23:10	02:04:24:23	當然還記得
02:04:26:18	02:04:30:07	要不是藝霞歌舞團解散得早
02:04:31:08		力香一定是我們第三代的「青春霞女」
02:04:34:26		秋元, 你就安心吧
02:04:38:09		讓力香去拼場
02:04:40:04	02:04:41:27	不需要這麼緊張嘛
02:04:44:02		我在緊張
02:04:44:17		你也看出來了
02:04:46:29		說正經的
02:04:48:05	02:04:51:09	我是沒有給力香任何的壓力
02:04:53:13		力香是我教出來的學生
02:04:55:29	02:04:57:23	我對她有信心
02:04:58:11		說真的
02:05:00:07		我們只能保存歌舞團的過去
02:05:03:04		但是力香
02:05:04:19	02:05:07:11	卻可以創造筱芸霞的未來
02:05:24:02		是真的假的
02:05:25:26		真的是你女兒要跳
02:05:27:24		你等一下要是輸了
02:05:28:28		就一定要退出東港的歌舞團界
02:05:31:12		知道嗎
02:05:33:02		很拼啦
02:05:35:00		除非今天來的客人
02:05:36:15		大家都瞎眼看不見
02:05:38:04		不然憑我們豔紅那兩顆展現出來
02:05:40:25	02:05:42:26	就要把你們力香壓死了
02:08:55:29	02:08:57:12	力香
02:09:01:02		力香
02:09:01:25		力香
02:09:03:22		力香...
02:09:05:25		力香
02:09:06:12		現在要怎麼辦
02:09:07:12		要怎麼辦
02:09:09:00	02:09:10:07	送她去醫院
02:09:13:03		醫生, 現在怎麼樣了
02:09:15:12		已經照過X光了
02:09:16:25		現在腦部沒有明顯的外傷
02:09:18:21		不過有沒有腦震盪
02:09:19:19	02:09:21:01	需要後續觀察
02:09:22:05		多謝
02:09:23:02	02:09:24:22	多謝
02:09:29:03	02:09:32:12	力香...
02:09:33:25	02:09:35:06	我們走了
02:09:55:11		千歲爺
02:09:56:21	02:10:00:19	信士杜秋元承認失敗
02:10:02:05		遵照約定
02:10:05:02		從今天起
02:10:07:25	02:10:12:19	筱芸霞永遠離開東港
02:10:14:19		阿元叔
02:10:16:19		你不用離開東港啦
02:10:18:19	02:10:21:00	這約定根本不公平
02:10:23:08		三點那麼想贏
02:10:26:06	02:10:28:16	就給他去贏
02:10:29:00		可是力香那麼努力
02:10:31:03	02:10:33:11	難道你隨便就要認輸
02:10:34:20		表面上是我輸了
02:10:37:01		可是實際上
02:10:39:02		我反而是贏回一個貼心的女兒
02:10:42:18	02:10:43:27	師兄
02:10:46:02		之前如果有比較超過的地方
02:10:48:21		不好意思
02:10:51:08		拼場有輸贏
02:10:53:16	02:10:57:17	但是我們師兄弟的感情仍然在
02:10:57:25		三點仔
02:10:58:29		在我離開東港之前
02:11:01:06	02:11:03:14	我有一項東西要給你
02:11:04:16		要送我東西
02:11:06:16	02:11:09:00	裡面有沒有下毒
02:11:20:10		三點仔
02:11:22:18		這是師父傳下來的畫圖的工具
02:11:25:29		我現在交給你
02:11:27:15	02:11:29:22	你不是很喜歡嗎
02:11:30:14		我希望以後你在東港
02:11:32:25	02:11:36:18	能夠把歌舞團再發展起來
02:11:44:06		師兄
02:11:46:03		離開東港之後
02:11:48:06	02:11:50:15	有什麼打算嗎
02:11:51:29		就跟著力香去啊
02:11:53:29		力香去哪裡
02:11:55:09	02:11:57:25	筱芸霞就去哪裡
02:12:21:24	02:12:23:12	看什麼
02:12:31:18		陳仔
02:12:32:24		你這邊怎麼樣
02:12:34:01		差不多了
02:12:35:00	02:12:35:20	可以了
02:12:36:12	02:12:38:03	這樣很漂亮對啊
02:12:40:03		秋元
02:12:42:00		這塊我一直在想
02:12:45:18		要放什麼比較好
02:12:47:06	02:12:49:06	對啊, 不然太空了
02:12:49:22	02:12:51:16	是放個道具還是...
02:13:46:19	02:13:48:18	傻瓜
02:13:55:26		力香
02:13:56:23		這個就是你媽當年
02:13:58:10	02:14:00:07	在舞台上的風采
02:14:01:05		妝怎麼這麼誇張啊
02:14:03:06		不誇張
02:14:04:24		舞台上的妝
02:14:05:28		這樣子才有立體美啊
02:14:07:19		也才能讓比較後排的觀眾
02:14:09:23		很清楚的感受到
02:14:11:12	02:14:13:12	演員的豐富表情
02:14:13:23		說實在的
02:14:15:09		你爸很惜情
02:14:18:03		成立舞蹈團就取名叫筱芸霞
02:14:22:12	02:14:25:23	也就是小藝霞
02:14:25:25		不過現在這個夢
02:14:28:29	02:14:31:23	就要靠你們年輕人來實現囉
02:14:35:21		姊仔
02:14:37:08		你好厲害
02:14:38:25		這裡弄得好棒
02:14:41:00		沒有啦, 不是我厲害
02:14:42:06		這都要感謝秋元和三點來幫忙
02:14:45:02	02:14:47:28	不然這展覽會怎麼辦得起來
02:14:48:12		三點仔
02:14:50:19		你們師兄弟這麼久沒合作了
02:14:53:00	02:14:57:14	這次再齊心合力的感覺很好吧
02:14:57:26		不錯
02:14:59:17		過去那邊看我們打拼的成果
02:15:02:01	02:15:03:26	好啊...
02:15:25:05	02:15:26:03	師兄
02:15:27:03	02:15:29:10	楊老師
02:15:29:28		師兄, 我看這次
02:15:32:25	02:15:36:21	你和楊老師對展覽這麼的用心
02:15:37:16		我才瞭解到
02:15:40:01		原來你做筱芸霞
02:15:42:22		為何堅持不走清涼的路線
02:15:46:06		就是因為對我們藝霞的懷念和尊敬
02:15:50:08		我之前真的對你...
02:15:52:19		有太多的誤會了
02:15:55:06		不好意思...
02:15:56:05		我向你道歉
02:15:57:17		不好意思
02:15:58:28		不會... 別這麼說
02:16:01:01		另外...
02:16:02:21		師兄
02:16:04:01		我可以要求你一件事嗎
02:16:08:07	02:16:10:14	你不要離開東港好不好
02:16:12:19		元仔
02:16:13:13	02:16:14:26	爸
02:16:16:18		主席
02:16:18:00		師兄是我們東港的寶呢
02:16:20:01	02:16:21:29	你也幫忙說兩句
02:16:25:27		伯伯啊
02:16:27:25		三點叔都這樣講了
02:16:29:20		你們兩個就前嫌盡釋好不好
02:16:32:20		而且我們最近鄉代會
02:16:35:04		有一些新的想法
02:16:37:05		想要將東港的特產
02:16:39:00		結合在地文化的特色
02:16:41:00	02:16:42:18	發展出一套
02:16:43:14		振興經濟的觀光方案
02:16:45:11		裡面也包括歌舞團
02:16:47:20	02:16:50:20	到時候就要麻煩兩位多多幫忙
02:16:56:17	02:16:58:00	圓滿最好
02:17:02:08		所以我們第一屆南台灣創意鋼管舞大賽
02:17:05:23	02:17:07:07	表決通過
02:17:10:19	02:17:11:25	這顧問證書
02:17:12:25		來
02:17:14:27	02:17:16:14	來
02:17:17:10	02:17:19:05	來, 照個相
02:18:12:15	02:18:13:23	力香
02:18:14:25		豔紅
02:18:16:03		怎麼跑來了
02:18:17:08		我來報名參加比賽啊
02:18:19:00		你呢
02:18:19:17	02:18:21:13	你要不要參加
02:18:23:15		那我們就再拼一次輸贏囉
02:18:26:15	02:18:27:23	好
02:18:28:00	02:18:28:23	加油
02:18:43:00		各位鄉親
02:18:44:17		我們第一屆南台灣創意鋼管舞大賽
02:18:48:23		正式宣佈開始
02:18:50:19		這個比賽是由我們藍天
02:18:53:07		以及我的師兄筱芸霞
02:18:55:15	02:18:58:03	兩個團體共同來主辦
02:18:59:17		站在中央的
02:19:00:27		就是我們東港鄉代會主席
02:19:03:20		我們熱烈掌聲
02:19:05:02		歡迎他來致詞好不好
02:19:06:28	02:19:08:09	鼓勵一下
02:19:09:18		我話不要說太多
02:19:11:10	02:19:13:20	看表演比較重要, 對吧
02:19:14:22		我們第一支舞
02:19:16:06		是由筱芸霞的千金
02:19:17:16		杜力香小姐帶來這創意鋼管舞
02:19:20:17		我們掌聲歡迎, 好不好
02:19:22:22	02:19:24:29	好, 要開始囉
02:22:00:09		提到歌舞劇團
02:22:02:12		一般人很快就會聯想到
02:22:04:06		美國的百老匯
02:22:05:25		或者是日本的寶塚歌舞劇團
02:22:09:10		卻是很少人知道說
02:22:11:19		其實在西元一九五九年的時候
02:22:15:18		台灣也有一個
02:22:16:28		藝霞歌舞劇團成立
02:22:18:25		然後結束在一九八五年
02:22:21:11		那個時候可以說是
02:22:22:18		台灣歌舞劇團劇史上
02:22:25:21		經營最久
02:22:26:26	02:22:29:03	規模最大的歌舞劇團
02:22:33:21		當年藝霞走紅國內外
02:22:35:23		以華麗的服裝
02:22:37:18		大型的佈景
02:22:38:25		還有年輕活力
02:22:39:26		清一色都是女性的團員
02:22:42:15		成功的掀起歌舞劇風潮
02:22:45:20		征服全台的各觀眾
02:22:48:05		每一次的演出
02:22:49:20		可以說都是萬人空巷
02:22:51:16	02:22:53:05	一票難求的情形
