01:03:52:27	01:03:54:09	很辛苦喔
01:38:45:25		謝謝你的晚餐
01:38:47:12	01:38:48:10	我還有事
01:38:52:22	01:38:53:26	老師, 對不起
01:38:54:20		承審老師女兒的案子
01:38:57:01	01:38:58:14	昱德壓力有點大
01:38:59:24	01:39:01:10	難免有點反常
01:39:01:26		這沒什麼
01:39:03:12		我女兒在法庭裡面
01:39:05:00		有昱德跟心瑜的照顧
01:39:07:01		我放心了
01:39:08:01		來... 我們
01:39:09:12	01:39:10:29	來... 喝點
01:39:37:20		被告何翰峰
01:39:38:23		對於剛才檢察官起訴的犯罪事實
01:39:40:27		你有何意見
01:39:42:00		沒有意見
01:39:42:27	01:39:43:24	都是我做的
01:39:44:09	01:39:45:28	跟婷婷沒有關係
01:39:47:09		被告邱詩婷
01:39:48:19		對於剛才檢察官起訴的犯罪事實
01:39:50:23	01:39:52:00	你有何意見
01:39:52:14		報告庭上
01:39:53:19	01:39:56:19	我的當事人邱詩婷行使緘默權
01:40:09:04	01:40:10:07	爸爸, 抱
01:40:25:13		在你的偵訊筆錄上面說
01:40:27:21		你不記得你生過嬰兒
01:40:29:17		並且認不出生過的嬰兒
01:40:31:25	01:40:33:22	你到現在還是完全不記得嗎
01:41:33:18	01:41:34:28	你在家
01:41:38:01	01:41:39:06	你在幹什麼
01:41:39:29	01:41:41:13	我打你手機都不接
01:41:41:26	01:41:44:06	刑法第274條我要提案修法
01:41:48:02	01:41:50:00	你就一定要跟我老師作對
01:41:50:24		我做認為對的事
01:41:51:18	01:41:53:12	怎麼變成跟老師作對了
01:41:54:02		法律的價值判斷, 時代的脫節
01:41:55:18		我提案修法是針對法律
01:41:56:27		沒有針對任何人
01:41:58:02		好, 那就依法論法
01:42:00:16		我看這條文很合理
01:42:02:11		只有生母能減刑
01:42:03:16		沒有任何問題
01:42:04:26		男人輕輕鬆鬆提供精子
01:42:06:16		女人要辛苦懷胎十個月
01:42:08:17		然後對於親手扼殺親身骨肉的媽媽
01:42:10:14	01:42:11:24	刑法給予減刑
01:42:12:21		請問媽媽給孩子生命
01:42:13:22	01:42:15:13	就可以冠冕堂皇的結束嗎
01:42:15:23		好, 就算是其他歐陸刑法
01:42:17:02		關於生母殺人罪的規定好了
01:42:19:10		都是以生母精神狀態不穩定
01:42:20:22		為構成要件
01:42:21:17		我國刑法卻沒有任何規定
01:42:23:06		好, 那如果以墮胎角度來看
01:42:24:19		當媽媽早就可以決定墮胎
01:42:26:15	01:42:29:00	所以世界上沒有這種媽媽
01:42:29:03		如果有
01:42:29:17	01:42:31:21	絕對是情非得已
01:42:33:01		你沒有經歷過
01:42:33:17	01:42:34:18	你怎麼知道
01:42:37:20		因為我知道
01:42:39:01	01:42:40:22	孩子是媽媽的寶貝
01:42:41:01		從他還沒有出現開始
01:42:42:18		一個媽媽就願意
01:42:43:13		為了他挨針, 吃藥, 受苦
01:42:45:01		只是為了那一個小小的受精卵出現
01:42:47:06		然後之後每天就是戰戰兢兢
01:42:49:10		害怕失去他
01:42:50:11		害怕一個不小心他就怎麼了
01:42:52:08		再辛辛苦苦的把他生下
01:42:53:12		一個女人要承受這麼多的痛苦
01:42:55:07	01:42:56:27	你們男人怎麼會懂
01:42:59:16		你覺得是邱詩婷指使何翰峰
01:43:02:19		不就是因為你是男人
01:43:03:27		所以你不肯相信
01:43:04:21		何翰峰會把孩子丟掉
01:43:06:16		這根本就是未審先判
01:43:08:19		可是我直覺
01:43:09:06		何翰峰殺嬰才是萬不得已
01:43:11:03		那我以一個女人的直覺告訴你
01:43:13:18		何翰峰在演戲
01:43:15:03		他跟所有其他惡行重大的被告一樣
01:43:17:10		都在演戲騙法官
01:43:18:29		會殺害孩子的
01:43:19:26		絕對是事不關己的男人
01:43:21:11	01:43:22:17	不可能是女人
01:43:28:21		為什麼我總覺得
01:43:29:11		你對這個何翰峰充滿了恨意
01:43:31:09	01:43:32:20	我...
01:43:35:08		我是不想看到你往火坑裡面跳
01:43:37:18		自以為自己不可為而為之
01:43:39:17		自以為那就是正義
01:43:41:10		我就算是好了
01:43:42:20		如果沒有辦法修法
01:43:43:16	01:43:45:23	我這一輩子都放不下這個案子
01:43:52:04	01:43:53:00	好
01:43:55:09		你想一想
01:43:55:29	01:43:57:21	當初我們念法律系的初衷
01:43:58:16		難道不就是希望
01:43:59:11	01:44:01:17	透過法律來改變社會嗎
01:44:02:04		現在我有機會改變價值判斷
01:44:03:24		改變可能失衡的法條
01:44:05:00	01:44:06:10	你能支持我嗎
01:44:10:14	01:44:12:08	我最後重申
01:44:12:26	01:44:15:26	我不覺得現行刑法第274條有問題
01:44:30:05		你沒有經歷過
01:44:30:24	01:44:32:03	你怎麼知道
01:44:32:13		會殺害孩子的
01:44:33:04		絕對是事不關己的男人
01:44:34:17	01:44:36:04	不可能是女人
01:44:39:10		為什麼我總覺得
01:44:40:02	01:44:42:11	你對這個何翰峰充滿了恨意
01:44:50:01		你跟我說老實話
01:44:51:15		是不是因為那件事
01:44:52:24		所以有後遺症
01:44:54:13	01:44:56:03	沒有
01:45:00:17		不好意思, 碩琪
01:45:01:26	01:45:03:21	假日臨時約你門診
01:45:05:10		我可能在電話裡面
01:45:06:12		沒辦法說清楚
01:45:07:28		是這樣的
01:45:08:29		我現在有個案子
01:45:10:02		我想要修法
01:45:11:05		那我想問你
01:45:12:12		以你接觸過的墮胎案例
01:45:14:29		是不是大多是男人主張墮胎
01:45:17:24		而女人是不是大多是
01:45:18:29	01:45:21:03	想把這個孩子留下來
01:45:38:09	01:45:39:13	昱德
01:45:40:14	01:45:42:09	你的案子我們待會再聊
01:45:44:08	01:45:47:21	有件事情我必須要先告訴你
01:45:49:03	01:45:50:29	就算阿芳要跟我絕交
01:45:52:06	01:45:53:25	我也要告訴你實話
01:45:57:01	01:45:58:08	阿芳
01:45:59:22	01:46:01:03	她怎麼了
01:46:41:29	01:46:43:19	沒想到你會打給我
01:46:45:19	01:46:46:24	好久不見了
01:46:49:10	01:46:51:03	都過了十七年了
01:46:52:13	01:46:54:27	那時候我們也才十七, 八歲
01:46:58:24	01:47:01:15	聽同學說你最近在當律師啊
01:47:03:11	01:47:05:08	好像過得還不錯喔
01:47:06:27	01:47:08:27	下次同學會別再躲著我了
01:47:10:00	01:47:11:04	躲
01:47:12:28	01:47:17:04	我是說畢竟當時我們都還年輕
01:47:18:11	01:47:20:01	你現在當爸爸了嗎
01:47:23:11	01:47:24:13	兩個
01:47:25:08	01:47:27:18	研究所一畢業我就結婚了
01:47:33:19	01:47:36:23	當爸爸的感覺很不錯
01:47:39:22	01:47:40:28	很累
01:47:41:14	01:47:43:02	但很有成就感
01:47:45:27	01:47:47:02	你呢
01:47:56:24	01:47:58:09	我生不出來
01:48:03:00	01:48:04:17	你找我出來
01:48:05:16	01:48:07:16	該不會是要我對當年的事
01:48:10:17	01:48:12:14	我為當年的事負責吧
01:48:17:18	01:48:19:24	那時候那孩子已經很大了
01:48:24:19	01:48:26:18	為什麼我們可以這麼狠心
01:48:33:22	01:48:35:01	那時
01:48:36:08	01:48:38:04	我知道你懷孕了
01:48:39:24	01:48:41:07	我嚇壞了
01:48:43:24	01:48:45:17	我覺得我前途茫茫
01:48:47:06	01:48:48:22	我承認我自私
01:48:50:11	01:48:52:09	不敢要你把孩子生下來
01:48:53:27	01:48:56:01	但是我也不是冷血無情
01:48:57:09	01:48:58:10	沒錯
01:48:59:13		我是不敢在第一時間
01:49:00:13	01:49:01:25	答應你結婚
01:49:04:19		可是我也沒想到
01:49:05:09	01:49:07:11	你會衝去把孩子拿掉
01:49:16:24	01:49:17:29	這些年來
01:49:19:26	01:49:21:18	我想起來就不好受
01:49:24:28	01:49:27:03	所以我想在兩個孩子身上
01:49:27:20	01:49:29:10	補償一些什麼
01:49:36:09	01:49:38:02	我能幫上你什麼嗎
01:50:01:26	01:50:03:00	你怎麼啦
01:50:03:26	01:50:05:16	你聲音怎麼怪怪的
01:50:08:00	01:50:09:04	你現在在哪裡
01:50:10:02	01:50:11:06	好, 我馬上過來
01:50:18:01	01:50:19:02	婷婷
01:50:20:06	01:50:22:05	你爸爸都幫你打點好了
01:50:22:15	01:50:25:03	是打點我還是打點他自己
01:50:26:02		婷婷2743
01:50:27:19	01:50:28:23	請你坐好
01:50:30:24	01:50:32:08	婷婷
01:50:32:18	01:50:34:09	你爸爸真的很愛你
01:50:35:04	01:50:36:25	他從來都不求人的
01:50:37:14		可是為了你這件事
01:50:39:03	01:50:41:04	他到處都低聲下氣的
01:50:43:25	01:50:46:18	他是不方便到這種地方來看你
01:50:47:01	01:50:48:29	你要體諒他的難處
01:50:51:11		那我想個辦法
01:50:53:13	01:50:54:24	讓他方便
01:50:55:19		你說什麼
01:50:56:24	01:50:58:12	你別胡來啊你
01:51:00:13		數到七十
01:51:01:26		我抓到你了
01:51:02:28		沒有
01:51:03:18		明明就有
01:51:04:13		沒有
01:51:05:01	01:51:06:10	不要再玩了
01:51:10:11	01:51:12:05	林佑嘉, 數到十
01:51:12:15	01:51:13:10	一
01:51:14:05	01:51:15:26	要直接抓
01:51:49:14	01:51:51:06	我今天才知道
01:51:53:28	01:51:58:04	生父殺嬰跟生母殺嬰一樣
01:52:00:00	01:52:02:06	要用一輩子來償還
01:52:07:08		我忽然覺得
01:52:08:03	01:52:10:09	我沒有辦法再恨那個男人
01:52:15:05	01:52:19:28	當初是我自己選擇墮胎
01:52:23:29	01:52:25:21	十八歲那年
01:52:26:25	01:52:28:18	如果我沒有這麼做
01:52:33:06	01:52:35:22	現在孩子都已經成年了
01:52:44:02	01:52:45:12	你知道
01:53:02:27	01:53:05:13	芳... 來
01:53:09:09	01:53:10:24	我愛你
01:53:12:12	01:53:14:02	不管發生什麼事
01:53:15:04	01:53:16:25	我以後還要更愛你
01:53:27:29	01:53:30:04	好了...
01:53:36:02		我如果能早點認識你
01:53:38:08		我就能夠好好的保護你
01:53:40:05	01:53:41:09	呵護你
01:53:42:17	01:53:44:20	絕對不會讓你受到任何委屈
01:53:52:14	01:53:53:23	都過去了
01:53:57:21	01:53:59:06	都已經過去了
01:54:01:08		我不在乎
01:54:01:29	01:54:03:11	真的, 我不在乎
01:54:07:05	01:54:08:18	你也試著放下
01:54:09:24	01:54:11:04	好不好
01:54:58:18		嗨
01:54:59:23		莊忱如, 你好
01:55:01:07		忱如, 有個叫何翰廷的先生
01:55:03:20		現在在一樓
01:55:04:25		說關於你之前報導的殺嬰案
01:55:07:02		有些料想爆給你
01:55:08:05	01:55:09:16	你要見他嗎
01:55:10:29	01:55:13:01	好, 你請他會客室等我一下
01:55:21:01		嗨, 你好
01:55:22:23		莊記者
01:55:23:14	01:55:24:27	你好, 請坐...
01:55:25:23	01:55:27:10	請問你找我有什麼事
01:55:28:06	01:55:29:19	我是何翰峰的哥哥
01:55:31:17	01:55:33:12	我弟的女朋友是邱詩婷
01:55:33:25		她爸爸是大法官
01:55:35:10		所以現在法官, 檢察官, 律師
01:55:37:22		都在幫邱詩婷
01:55:38:19		沒有在幫我弟弟
01:55:39:28	01:55:42:03	你說的大法官是邱葆華
01:55:46:15	01:55:48:15	大家都說記者不認真
01:55:49:25		其實我覺得
01:55:51:08	01:55:53:02	你們都太小看我們了
01:55:53:20		這件事情我們早就知道了
01:55:55:13		如果這是你要爆給我們的料
01:55:57:09	01:55:58:23	那就不必囉
01:56:00:03		可是為什麼媒體
01:56:01:11	01:56:03:06	沒有報導這件事情呢
01:56:04:23		的確, 在處理這個新聞上
01:56:07:15		我們真的有我們的為難
01:56:09:05		但是根據這條新聞
01:56:10:22		檢方調查的結果
01:56:12:07		涉案的是你弟弟
01:56:13:22	01:56:16:03	邱詩婷根本沒有罪證確鑿
01:56:16:15		在這個時候
01:56:17:02		我們基於新聞的道德
01:56:18:23		怎麼可能曝光
01:56:19:26		邱詩婷跟大法官邱葆華之間的關係
01:56:22:29		再加上只是區區的大法官
01:56:26:00		邱詩婷不是總統的女兒
01:56:28:05		況且邱葆華大法官的名聲
01:56:31:09	01:56:32:20	一向都很好
01:56:35:06	01:56:37:20	何先生, 你還好嗎
01:56:40:27		法官不幫我弟
01:56:42:20	01:56:44:19	檢察官不幫我弟
01:56:45:10	01:56:46:21	律師也不幫我弟
01:56:48:14	01:56:49:17	莊記者
01:56:50:02		台北市律師事務所
01:56:51:18	01:56:53:11	我幾乎都跑遍了
01:56:54:03		但是沒有一個律師
01:56:56:05	01:56:57:25	願意幫我弟打官司
01:56:59:27		難道連你們媒體
01:57:01:10	01:57:03:03	都沒有辦法幫我們嗎
01:57:06:13		難道你們每個人都是怕長官
01:57:08:10	01:57:09:11	怕階級
01:57:10:01	01:57:11:26	忘記自己初衷的人嗎
01:57:48:08	01:57:49:17	喂, 哪位
01:57:50:09		高昱德法官
01:57:51:12	01:57:53:12	我是電視台的記者莊忱如
01:57:56:13	01:57:58:07	你怎麼會有我的手機號碼
01:57:59:00	01:58:00:11	我不接受訪問的
01:58:00:24	01:58:02:28	你是不是去了一間川浙餐廳
01:58:03:10	01:58:04:25	你想要問什麼
01:58:05:29		當天大法官邱葆華
01:58:07:27	01:58:10:09	以及檢察官陳心瑜也在場
01:58:10:27		我行得正, 坐得端
01:58:11:28		不怕你報導
01:58:13:09		法庭審理
01:58:13:25		本來就是公平, 公正, 公開的
01:58:16:01		我也不在乎媒體, 民眾一起來檢訴
01:58:17:24		我判決合不合良知專業
01:58:19:21		你只要回答我
01:58:20:28		你是不是接受邱葆華大法官
01:58:22:29	01:58:24:12	關說他女兒的案子
01:58:25:13		你別說大法官的女兒
01:58:27:01		就算是大法官本人
01:58:28:05	01:58:29:13	我也秉公審理
01:58:34:08	01:58:35:23	記者會不會掌握證據
01:58:38:02	01:58:39:01	都是我不好
01:58:39:23	01:58:41:14	那天硬要拉你去
01:58:44:16		其實引進媒體的力量
01:58:45:26	01:58:47:12	反而變成保護傘
01:58:48:09		這樣大法官
01:58:49:11		就不敢再把不潔的手
01:58:50:19	01:58:52:05	伸進我法庭
01:58:56:01	01:58:57:03	昱德
01:58:57:18		你修法是為了
01:58:59:15	01:59:02:06	讓生父可以比照生母減刑
01:59:02:22		可是我忽然想到
01:59:03:28	01:59:05:23	修法還有另外一個結果
01:59:06:21		就是讓生母殺嬰罪
01:59:08:06	01:59:10:11	回歸成刑法殺人罪
01:59:11:20		因為正如你說
01:59:13:07		如果一個懷胎十月的媽媽
01:59:15:17	01:59:17:11	都可以對自己的小孩下手
01:59:18:09	01:59:20:09	那豈不是惡性更重大
01:59:20:29	01:59:23:07	現在媒體的力量進來
01:59:24:09	01:59:26:17	老師一定會更要故意撇清
01:59:27:00	01:59:28:22	那你修法的結果
01:59:30:14		很可能對本案的兩個被告
01:59:32:00	01:59:33:05	都不利
01:59:44:10		台灣刑法權威邱葆華大法官
01:59:46:15		他的女兒涉入殺嬰案
01:59:47:26		根據本台獨家取得的照片
01:59:49:26		這裡就是邱葆華
01:59:51:10		招待承審法官高昱德
01:59:53:11		以及承辦檢察官陳心瑜的
01:59:55:16	01:59:57:02	私人高級招待所
01:59:57:15		兩位司法官
01:59:58:10		都是邱葆華在大學任教授課的學生
02:00:01:02		他的女兒卻是中輟生
02:00:02:27		如今未婚生子
02:00:04:03	02:00:05:12	還涉入殺嬰案
02:00:09:12	02:00:11:21	我一向最在乎自己的名譽
02:00:12:17	02:00:15:10	這個婷婷怎麼會這麼不懂事
02:00:16:07	02:00:17:26	毀了自己
02:00:19:03	02:00:21:29	也毀了我一輩子辛苦建立的形象
02:00:44:05		高法官來了
02:00:44:28		高法官
02:00:45:26		高法官...
02:00:47:16		你是不是就是幫凶
02:00:48:18	02:00:50:18	被告邱老師女兒為什麼要申請迴避
02:00:53:11		不要再過來了...
02:00:55:02	02:00:58:05	高法官...
02:01:03:00		你非要把全家人都弄死
02:01:04:11	02:01:06:04	你才甘心是不是
02:01:07:15		我又沒幹嘛
02:01:08:20		沒幹嘛
02:01:10:06		你以為你跟記者爆料
02:01:11:25	02:01:13:28	你爸爸就到法庭來看你了
02:01:16:00	02:01:18:06	你還真是神通廣大
02:01:18:17	02:01:20:19	在看守所都可以胡作非為
02:01:21:04		什麼
02:01:22:18		你真要這麼不孝
02:01:23:23	02:01:25:10	拖我們下水的話
02:01:25:28	02:01:28:05	你就自己面對你自己種的果
02:01:28:26	02:01:31:06	爸媽不會替你收拾爛攤子
02:01:31:13	02:01:33:08	就當我們沒生你這個女兒
02:01:34:12	02:01:36:16	媽...
02:01:37:18	02:01:42:18	2743, 請你坐下...
02:02:01:07	02:02:02:27	你認得這張發票嗎
02:02:03:25		這是何翰峰丟棄嬰兒
02:02:05:18		回你們家的路上
02:02:07:10		在便利商店幫你買早餐
02:02:09:27		店家所留存的發票
02:02:12:00		如果按照你所說
02:02:13:05	02:02:15:00	你當時是睡著的
02:02:15:15		那麼依照常理推斷
02:02:17:12		何翰峰應該會幫你買一些
02:02:19:21		可以放或者是不會冷的東西
02:02:22:17		例如是麵包之類的當早餐
02:02:24:28		而不會是熱粥
02:02:26:15	02:02:27:12	異議
02:02:28:03		蔣律師的推論純屬臆測
02:02:30:16	02:02:31:20	異議駁回
02:02:32:02	02:02:33:09	蔣律師, 請繼續
02:02:36:20		何翰峰去棄嬰的時候
02:02:39:07	02:02:41:01	你是不是醒著
02:03:04:04		報告庭上
02:03:04:27		被告承認了
02:03:06:04	02:03:06:29	異議
02:03:07:12		蔣律師沒有任何證據
02:03:08:29		就推斷我當事人的反應
02:03:10:16	02:03:11:14	異議成立
02:03:13:13		是我...
02:03:15:18		是我叫小峰把小孩丟掉的
02:03:17:07		婷婷, 不要說了
02:03:20:04		被告何翰峰
02:03:21:15	02:03:23:00	請保持肅靜
02:03:23:10	02:03:25:02	蔣律師, 請繼續
02:03:26:18	02:03:28:18	你為什麼要丟掉嬰兒
02:03:29:15		那是我生的啊
02:03:30:19		我不想要
02:03:31:06		難道不能丟嗎
02:03:32:21		你知道你教唆何翰峰丟掉嬰兒
02:03:35:21		有可能會導致嬰兒死亡嗎
02:03:38:11		我都不想要了
02:03:39:23		他是死是活干我屁事
02:03:42:03		報告庭上
02:03:43:04	02:03:44:25	我沒有問題了
02:03:46:05	02:03:48:10	檢察官, 請行反詰問
02:03:59:06	02:04:00:22	對於你的罪行
02:04:02:18	02:04:04:00	你後不後悔
02:04:04:25		有什麼好後悔的
02:04:06:08		你們這些大人
02:04:07:22		只會罵我而已
02:04:09:21	02:04:11:22	我的父母都不要我了
02:04:12:16	02:04:14:03	他們也想把我丟掉
02:04:14:16		我早丟晚丟
02:04:15:14		有什麼差別
02:04:16:11		有什麼差別
02:04:16:27		你告訴我啊
02:04:17:17	02:04:19:00	有什麼差別
02:04:19:25		你告訴我啊
02:04:21:13		有什麼差別
02:04:22:15	02:04:24:21	到底有什麼差別
02:04:25:16	02:04:27:07	你告訴我啊
02:04:31:15		我爸媽都不要我了
02:04:33:00	02:04:35:10	這有什麼差別
02:04:37:01	02:04:39:05	我恨死你們了
02:04:51:07		回到殺嬰案的最新發展
02:04:52:17		嫌犯邱姓女子
02:04:53:13	02:04:55:11	已經坦承犯下殺嬰案
02:04:55:29		邱姓女子在法庭上
02:04:57:20	02:04:59:12	發出沉重的控訴
02:05:00:04		邱姓女子控訴缺席審判的父母
02:05:02:25	02:05:05:08	也控訴她對台灣社會整體的失望
02:05:06:06		邱姓女嫌犯在認罪之後
02:05:08:04		一度在法庭上痛哭失聲
02:05:10:11		比起譴責十八歲的中輟生
02:05:12:05		台灣社會更應該檢討的是
02:05:13:22		中輟生背後的家庭問題
02:05:15:11		和學校問題
02:05:16:15		以及刑法274條
02:05:18:08		生母殺嬰罪減刑規定
02:05:20:16		是否促成了更多
02:05:21:23	02:05:23:24	當代台灣的社會問題
02:05:29:01	02:05:30:22	現在該怎麼辦啊
02:05:31:05		我看還可以挽回來
02:05:32:19	02:05:34:10	你先別杞人憂天
02:05:34:28		先冷靜下來
02:05:36:17	02:05:38:09	待會我們去看看婷婷
02:05:53:17		幹嘛
02:05:54:16		你怎麼了
02:05:55:22	02:05:57:01	你生病了嗎
02:05:58:02	02:05:59:21	你們為什麼要害婷婷
02:06:00:13		就說責任我扛就好了
02:06:01:29	02:06:03:07	你幹嘛害她啦
02:06:04:22		你現在自身難保
02:06:05:24		你還在想那個女的
02:06:07:10		那又怎樣
02:06:08:17		她愛我啊
02:06:09:24	02:06:10:28	她愛你
02:06:11:10		她頂多被關五年
02:06:13:03		可是你呢
02:06:14:12		你至少要被關十年
02:06:16:05		她愛你
02:06:16:23	02:06:18:16	她不會把你害成這樣
02:06:18:25	02:06:20:22	你眼裡到底有沒有我這個哥哥
02:06:23:01	02:06:24:26	你不要再執迷不悟下去
02:06:25:06	02:06:26:25	邱詩婷是罪有應得
02:06:27:16		我絕對不允許你
02:06:28:09		獨自承擔所有罪行
02:06:29:24	02:06:31:07	讓她逍遙法外
02:06:40:25		這個是我請私家偵探
02:06:42:25		找到的照片
02:06:44:14	02:06:46:04	你仔細看清楚囉
02:06:46:25		照片裡面這個女孩子
02:06:48:24	02:06:51:04	是不是就是你的小女朋友
02:06:56:15		爸
02:06:57:13	02:06:59:06	你還知道我是你爸啊
02:07:00:08		從現在開始
02:07:01:18	02:07:03:23	在法庭上一句話都不准說
02:07:10:21	02:07:11:18	請進
02:07:14:27		高法官, DNA資料出來了
02:07:17:00	02:07:17:28	好
02:07:31:11	02:07:35:09	私家偵探到邱詩婷常去的網咖
02:07:35:23	02:07:37:09	查出了這些照片
02:07:38:14	02:07:40:19	我們現在還在等DNA的結果
02:07:41:04		不過我想法院那邊
02:07:42:13	02:07:44:03	應該已經收到了
02:07:44:23		我們現在要做一個
02:07:45:20	02:07:47:05	最壞最壞的打算
02:07:48:03	02:07:50:15	我看得出來高法官很同情你
02:07:50:26		我原本的訴訟策略是
02:07:52:14		希望他可以用生母殺嬰罪
02:07:54:03	02:07:55:21	幫你減輕其刑
02:07:56:06		但是從這個照片看起來
02:07:58:07	02:08:00:22	恐怕你不是孩子的生父
02:08:01:12		沒關係, 依照實務見解
02:08:04:08		因為你在犯案的時候
02:08:05:24		主觀上仍然相信你自己是生父
02:08:09:02		所以我們還是有可能
02:08:10:15		可以按照生母殺嬰罪的法理
02:08:12:14		來減刑
02:08:13:12	02:08:14:24	怎麼可能
02:08:16:28	02:08:18:01	怎麼會這樣
02:08:18:22	02:08:20:01	怎麼會這樣啊
02:08:20:24		怎麼會這樣...
02:08:21:19		小峰, 你冷靜一點
02:08:22:22	02:08:24:08	小峰, 你要冷靜一點
02:08:24:27	02:08:25:21	小峰
02:08:26:10	02:08:28:05	小峰, 你冷靜一點
02:08:33:20	02:08:35:24	你為什麼這麼不懂事
02:08:36:24		你就不能像你兩個姐姐一樣嗎
02:08:38:29	02:08:40:19	知道努力, 知道上進
02:08:41:12	02:08:43:24	你就不能讓我跟你媽媽不擔心
02:08:45:03		你到底要折磨我們到什麼時候
02:08:47:21		對, 我就是不懂
02:08:50:02	02:08:52:14	我不是大姐, 二姐
02:08:53:00	02:08:54:21	我只是想做我自己
02:08:55:03		我為什麼一定要跟她們一樣
02:08:56:17		你真是朽木
02:08:58:00	02:08:59:07	無藥可救
02:09:00:05		你不為我們兩個老的著想
02:09:01:18		你也想想你兩個姐姐的前途
02:09:04:02	02:09:05:03	好不好
02:09:13:00	02:09:13:29	婷婷
02:09:16:04	02:09:17:04	婷婷
02:09:18:26	02:09:19:29	婷婷
02:09:22:08		2743, 你要幹什麼
02:09:23:20		不要, 婷婷
02:09:24:13		不要啊
02:09:25:23	02:09:26:22	婷婷
02:09:27:19		怎麼搞的
02:09:28:22	02:09:30:14	我們把女兒害死了
02:09:31:05	02:09:33:01	我們把女兒害死了
02:09:33:28	02:09:35:00	婷婷
02:09:37:01		現在為你插播一則最新消息
02:09:39:11		眾所矚目的大法官邱葆華女兒
02:09:41:17		邱詩婷殺嬰案又有最新發展
02:09:44:06		稍早邱葆華夫婦去看所守
02:09:46:05		探望女兒邱詩婷時
02:09:47:25		驚傳女兒自殺
02:09:49:04		所幸經緊急搶救後並無大礙
02:09:51:22	02:09:53:21	如有最新邱葆華, 邱詩婷...
02:09:59:07	02:10:02:01	就算依法要對她輕判
02:10:02:25	02:10:05:26	她這個樣子也已經得到教訓了
02:10:07:11	02:10:08:28	你還想要修法嗎
02:10:12:04	02:10:13:18	其實你說的有道理
02:10:14:02		修法的結果
02:10:14:19	02:10:16:24	可能只是廢除生母殺嬰罪
02:10:17:24	02:10:19:23	何翰峰根本得不到個案救濟
02:10:21:22	02:10:22:27	而且你知道嗎
02:10:23:23	02:10:26:09	何翰峰根本不是那個孩子的生父
02:10:30:09	02:10:31:20	他運氣真的很不好
02:10:32:05		雖然他跟檢察官說
02:10:33:09		就算那個孩子不是他的
02:10:34:14	02:10:35:28	他還是會這麼做
02:10:44:25	02:10:46:22	真正的贖罪
02:10:47:19	02:10:49:12	現在才開始
02:10:52:06		某個角度來看
02:10:53:25	02:10:55:19	詩婷也是受害者
02:10:56:14	02:10:58:03	何翰峰父母雙亡
02:10:58:14	02:11:00:10	至少有個疼愛他的哥哥
02:11:01:05		邱詩婷卻只是因為功課不好
02:11:03:05	02:11:04:22	家裡就對她放棄
02:11:05:21		邱葆華明明可以給孩子一個
02:11:07:05	02:11:08:23	這麼好的環境
02:11:09:16	02:11:12:01	卻這麼樣的吝嗇付出關愛
02:11:29:12	02:11:30:17	昱德
02:11:33:17	02:11:34:19	我在想
02:11:35:22	02:11:37:09	我們還沒有孩子
02:11:39:09	02:11:41:14	可能是因為我還沒有準備好
02:11:42:21	02:11:44:09	好好的去愛他
02:12:15:05	02:12:16:06	媽
02:12:16:16		這個週末我想要來跟你學燉湯
02:12:19:14	02:12:21:02	我會把食材都買來
02:12:22:09		你好好跟我學就對了
02:12:24:09		對了
02:12:25:12	02:12:26:29	我要送你們一個東西
02:12:30:17	02:12:32:07	這是我求來的生子葫蘆
02:12:34:24	02:12:36:15	生子葫蘆這有用嗎
02:12:37:01		當然有用啦
02:12:38:17		是多子多孫的意思
02:12:40:09		我跑大老遠求來的
02:12:41:25		你回去就把它掛到床頭
02:12:44:01		這樣比較容易懷孕
02:12:45:18		記得喔, 要掛到床頭
02:12:47:27		要掛好喔
02:12:48:22		好, 沒問題的
02:12:50:03		要記得我知道
02:12:51:00	02:12:52:04	謝謝媽
02:12:52:28		媽, 為了我們的事
02:12:55:08	02:12:56:18	你太辛苦了
02:12:57:11		也還好啦
02:12:59:00	02:13:01:20	做媽的都是希望孩子好
02:13:02:11		你們有了孩子
02:13:03:23		就是阿德好
02:13:05:03		阿德好
02:13:06:13	02:13:08:10	我這當媽的才好
02:13:09:02		可憐天下父母心啊
02:13:11:13		以後你有了孩子
02:13:12:24	02:13:14:07	你就知道了
02:13:15:28	02:13:17:02	謝謝媽
02:13:18:08		謝什麼啊
02:13:19:11	02:13:20:13	快喝
02:13:22:01		你掩飾邱詩婷的罪行
02:13:24:11	02:13:26:08	該當刑法偽證罪
02:13:27:16		對於追加起訴
02:13:29:10	02:13:31:02	你有沒有什麼話要說
02:13:34:26	02:13:36:26	孩子真的不是我的嗎
02:13:37:12		被告何翰峰
02:13:38:15	02:13:40:18	請直接回答檢察官的問題
02:13:43:16	02:13:45:06	婷婷為什麼沒有來
02:13:45:19		被告何翰峰
02:13:46:18	02:13:48:09	現在是檢察官在詰問你
02:13:48:22		你回答問題就好
02:13:49:20	02:13:50:18	不要發問
02:13:51:27	02:13:53:23	她為什麼要騙我
02:13:55:08	02:13:56:29	我那麼愛她
02:13:57:22		被告何翰峰
02:13:59:00		我為了她把小孩丟掉
02:14:00:05		我每天做噩夢你知不知道
02:14:02:10		她現在在哪裡
02:14:03:22		她在哪兒啊
02:14:05:14		你是不是把她藏起來啊
02:14:07:09		不要碰我
