01:00:22:03	01:00:23:00	Magic
01:44:18:09		你想要表演表演
01:44:19:19		原來你都是在騙我
01:44:21:14		如果你想要過那種生活
01:44:22:15		你滾回去
01:44:23:08		不要在我這裡
01:44:24:09	01:44:25:13	看了都討厭
01:44:26:05		我看你是劣根性太重
01:44:27:22		手賤
01:44:28:07	01:44:29:07	好了
01:44:30:18		不要再跟我說髒話
01:44:32:03		我什麼時候跟你說髒話了
01:44:33:29	01:44:35:17	你剛說的每一句都是髒話
01:44:49:05	01:44:50:08	對不起
01:44:51:28	01:44:53:02	打擾了
01:44:55:16	01:44:57:28	希望你還記得我有可愛的樣子
01:45:02:29	01:45:03:28	借過
01:45:10:29		要走就走遠一點
01:45:12:04		不要讓我再看到你了
01:45:13:21	01:45:14:28	省得我麻煩
01:45:39:08		我數到十
01:45:40:07	01:45:41:07	他一定會來
01:45:43:21		一, 二, 三
01:45:46:26	01:45:48:11	四, 五...
01:45:50:26	01:45:51:16	幹嘛
01:45:57:08		不會吧
01:45:58:12	01:45:59:15	真的走啦
01:46:02:26	01:46:05:08	會不會我剛剛講的話太重了
01:46:51:12		我最近發現
01:46:53:07		你跟一個可以當你爸爸的人
01:46:54:16	01:46:56:00	常常在一起
01:46:57:29	01:46:59:09	他喜歡你喔
01:47:01:03	01:47:02:09	沒有喔
01:47:13:02	01:47:14:20	讓他喜歡上你
01:47:17:28	01:47:18:29	回答
01:47:21:26	01:47:23:06	不然就剁了你
01:47:30:14	01:47:32:05	還是剁你這個小白臉啊
01:47:35:15		那個男人
01:47:37:13	01:47:38:26	叫應浩然
01:47:39:25		他以前是個很有名的魔術師耶
01:47:41:26	01:47:43:10	也是騙人的啦
01:47:44:22		在一次意外
01:47:46:16		他把他女兒搞死了
01:47:48:24		他得了兩千多萬的保險金耶
01:47:51:09		他都不花
01:47:52:16		他說是他女兒的啦
01:47:54:16	01:47:56:24	腦袋壞了啦
01:48:00:08		想辦法讓他愛上你
01:48:02:12	01:48:04:07	把那個錢給我搞回來
01:48:05:25	01:48:07:12	我會分你們兩個一筆錢
01:48:08:27		我們兩個之間的帳
01:48:10:09		一筆勾消
01:48:12:16	01:48:13:23	放你們兩個自由
01:48:29:23	01:48:30:24	小美
01:48:35:13	01:48:37:08	幹完這一票我們就自由了耶
01:48:39:26		以後我們就可以過
01:48:40:15	01:48:41:27	我們想要的生活了
01:48:45:12		可以嗎
01:48:46:24	01:48:47:28	當然可以啊
01:48:48:23		聰哥不是答應過
01:48:49:15	01:48:50:22	要給我們一筆錢
01:48:54:14		你不是很喜歡表演嗎
01:48:56:16		我可以買一把吉他
01:48:58:06	01:48:59:25	以後天天陪你去表演啊
01:49:02:06		你就照聰哥的意思
01:49:03:26		做最後一遍
01:49:05:09	01:49:06:15	好嗎
01:49:47:07	01:49:48:09	小應哥
01:49:49:10	01:49:50:12	小應哥
01:49:51:06	01:49:52:21	我要一杯sex on the beach
01:50:37:11	01:50:38:12	小應哥
01:50:46:18	01:50:48:00	小應哥
01:50:58:27	01:51:00:05	你跑去哪了
01:51:07:23	01:51:09:14	我不知道要去哪裡
01:51:10:19	01:51:12:24	不知道就不要隨便亂跑啊
01:51:16:14	01:51:18:11	你知不知道我找得你多辛苦
01:51:21:02		我不知道
01:51:24:26	01:51:27:06	離開你我會這麼難過
01:51:33:15	01:51:35:20	來... 趁熱吃
01:51:36:08	01:51:37:03	快點
01:52:07:04		只不過是一碗麵
01:52:08:11	01:52:09:26	有必要那麼感動嗎
01:52:12:13		我一直希望
01:52:15:09	01:52:17:07	能有一個家
01:52:20:16	01:52:22:17	一個安定的家
01:52:26:06	01:52:28:10	就像現在一樣
01:52:31:05	01:52:32:23	小應哥
01:52:35:01	01:52:37:07	你可以不要把我趕走嗎
01:52:41:22		只要你乖乖聽話
01:52:42:25	01:52:44:00	有誰會趕你走啊
01:52:46:13	01:52:48:01	我一定會變好的
01:52:56:12	01:52:57:16	真的嗎
01:52:59:24	01:53:00:21	真的
01:53:01:29	01:53:03:28	我真的可以為你改變
01:53:17:06		小美
01:53:18:18		改變不是為了任何人
01:53:22:11		而是為了自己
01:53:24:11		為自己改變
01:53:25:23		你才會快樂
01:53:27:18	01:53:28:26	這樣懂嗎
01:53:34:15	01:53:35:18	我知道了
01:53:37:24	01:53:41:02	對嘛, 這樣笑多可愛
01:53:42:03	01:53:42:29	吃吧...
01:53:47:14	01:53:56:01	祝你生日快樂
01:53:57:04		許願...
01:53:58:22	01:53:59:23	好...
01:54:09:02	01:54:10:03	你幹嘛抽菸
01:54:11:07		十八歲啊
01:54:12:13		今天我生日耶
01:54:13:26	01:54:15:04	壽星最大
01:54:16:21	01:54:17:25	抽什麼菸啊
01:54:21:29	01:54:23:11	烏龜吃大麥
01:54:24:09	01:54:25:15	這什麼意思啊
01:54:26:06	01:54:27:08	浪費
01:54:28:14	01:54:29:22	那你還不是一樣
01:54:31:11		我跟你不一樣
01:54:33:04		我年紀大了
01:54:34:10	01:54:35:18	你人生還很長
01:54:37:13		現在是怎樣
01:54:38:25	01:54:40:02	倚老賣老喔
01:54:43:02		小應哥
01:54:44:09	01:54:45:21	聽說你以前很紅喔
01:54:47:03	01:54:48:22	那都已經是過去的事了
01:54:50:29		很紅嘛
01:54:52:12	01:54:53:17	很囂張嘛
01:54:55:12	01:54:57:04	那你為什麼後來不表演了
01:55:01:15		為什麼嘛
01:55:03:05	01:55:04:17	為什麼後來不表演了
01:55:12:08	01:55:13:10	小應哥
01:55:14:23		如果有一天
01:55:17:12		我不見了
01:55:19:13	01:55:20:29	你會不會來找我啊
01:55:23:04	01:55:24:16	你為什麼會不見
01:55:25:05	01:55:27:04	現在是我在問你問題耶
01:55:27:23	01:55:29:27	不是嘛, 你幹嘛會不見
01:55:32:02	01:55:33:25	那你到底會不會來找我嘛
01:55:35:05	01:55:36:19	會不會嘛
01:55:38:05		走, 我帶你去一個地方
01:55:40:00	01:55:40:22	走
01:56:03:25		人生很重
01:56:05:26	01:56:07:16	故事要輕輕說
01:56:09:02		我叫小美
01:56:11:18	01:56:12:28	我十八歲囉
01:56:14:17	01:56:17:11	我要變得不一樣了
01:57:02:26	01:57:04:00	小應哥
01:57:04:18	01:57:05:24	小應哥
01:57:07:28		遇見你以後
01:57:09:17		我才發現
01:57:11:11	01:57:13:14	人生真的可以往前走囉
01:57:16:03		變得不一樣
01:57:18:05		才是真正的逃脫術
01:57:20:08	01:57:21:12	對不對
01:57:24:23	01:57:25:27	小應哥
01:57:26:10	01:57:27:13	小應哥
01:57:35:02	01:57:37:20	小應哥, 你怎麼了啦
01:57:45:09	01:57:46:14	你覺得
01:57:50:08	01:57:51:25	我應該要復出嗎
01:57:52:25	01:57:54:00	當然啊
01:57:58:23	01:58:00:24	那我女兒她會開心嗎
01:58:02:26		我相信
01:58:04:23		她看到你做你喜歡做的事
01:58:07:10	01:58:08:26	一定會很開心
01:58:11:03	01:58:12:07	真的嗎
01:58:16:19	01:58:17:25	小應哥
01:58:20:02	01:58:23:23	我知道跟家人分開的感覺
01:58:27:05		但是
01:58:28:09	01:58:30:01	我們都不會再犯同樣的錯誤啦
01:58:31:19	01:58:33:20	你女兒一定會為你感到很驕傲的
01:59:02:27	01:59:04:07	來... 躺好...
01:59:23:18	01:59:25:00	你不要走啦
01:59:26:25	01:59:28:03	陪我
01:59:33:09	01:59:35:22	你不要離開我好不好
01:59:37:03	01:59:38:18	我不是陪在你身邊嗎
01:59:42:08	01:59:44:15	我只是想要一個家
01:59:49:04	01:59:51:27	我只是想要一個家而已
01:59:55:10		那你家人呢
01:59:57:03	01:59:58:12	現在在哪裡
02:00:02:02	02:00:03:20	我沒有家人
02:00:06:02	02:00:08:02	我就自己一個人
02:00:10:14	02:00:11:20	一個人
02:00:14:23	02:00:19:23	小時候我爸逃走了
02:00:23:18		好幾個壞人抓到我
02:00:26:27	02:00:28:20	把我抓走了
02:00:30:14	02:00:32:01	不給我吃飯
02:00:33:20	02:00:35:06	不給我喝水
02:00:36:13	02:00:38:02	還一直打我
02:00:39:04	02:00:40:18	好可怕
02:00:45:11	02:00:47:07	我不要再回去了
02:00:50:09	02:00:52:07	我不要再回去了
02:00:56:08		好了...
02:00:57:27		不回去... 乖
02:00:59:26	02:01:00:26	不要哭了
02:01:01:09	02:01:02:08	趕快睡覺
02:01:02:24	02:01:03:24	不要胡思亂想
02:01:08:00	02:01:10:14	如果我被他們抓走了
02:01:14:08	02:01:15:27	你會救我嗎
02:01:19:11	02:01:22:16	好了, 過去的都已經過去了
02:01:23:13		你跟我的過去
02:01:25:00	02:01:26:16	已經不會再回來了
02:01:29:12		你現在安心的睡
02:01:31:07	02:01:32:04	好不好
02:02:21:28		您有一通新留言
02:02:25:01	02:02:28:04	聽取更多操作選項請按零
02:03:27:12	02:03:28:27	小應哥, 吃早餐
02:03:31:05		這個給你
02:03:33:04		這個給我
02:03:33:27	02:03:34:27	快點啦
02:03:35:19	02:03:38:02	小應哥, 快...
02:03:48:02		你不覺得今天早餐很特別嗎
02:03:49:21	02:03:50:15	你看
02:03:58:22		為什麼會有小叮噹啊
02:04:00:15		因為他很厲害啊
02:04:02:03		只要大雄有困難
02:04:03:15		小叮噹都會幫他解決
02:04:05:09		而且還有百寶袋啊
02:04:06:18		要什麼有什麼
02:04:08:10		就跟你變魔術一樣
02:04:10:10	02:04:11:09	超神的耶
02:04:12:01	02:04:13:29	所以你就是我的小叮噹
02:04:57:02	02:04:58:05	欠錢不還
02:04:59:12	02:05:00:14	還想跑啊
02:05:02:28	02:05:04:11	你知不知道她欠我們多少錢
02:05:06:11	02:05:07:15	你是誰啊
02:05:08:14		你完蛋了你, 走
02:05:10:11	02:05:11:16	小應哥...
02:05:16:22	02:05:17:22	放開我
02:05:19:17	02:05:20:11	小應哥
02:05:21:11	02:05:22:11	小應哥
02:05:23:10	02:05:24:13	放開我
02:05:26:07	02:05:27:05	小應哥
02:05:31:12	02:05:32:10	小應哥
02:05:36:22	02:05:38:03	她的事跟我沒關係
02:05:58:16		好了啦, 先押上車啦
02:06:00:29		走, 上車
02:06:02:05	02:06:03:02	小應哥
02:06:04:06	02:06:05:07	小應哥
02:06:08:24	02:06:09:23	小應哥
02:06:11:27	02:06:12:24	救我
02:06:14:28	02:06:15:26	救我
02:06:16:19	02:06:17:27	救我
02:06:38:04	02:06:38:27	幹嘛
02:06:40:00	02:06:40:26	怎樣啦
02:06:41:12		你在幹嘛
02:06:42:18		演戲就演戲
02:06:43:16		你來真的啊
02:06:44:23	02:06:45:29	對啊, 你幹嘛認真啊
02:06:47:14		不是說好沒有問題嗎
02:06:48:20		你打什麼打啊
02:06:50:02	02:06:51:09	不是說沒有問題嗎
02:06:52:14		他剛剛反應是怎樣啊
02:06:53:22	02:06:54:15	好了啦
02:06:55:16		就只是在演戲
02:06:56:07		你那麼認真幹嘛
02:06:57:18	02:06:58:24	他就是不愛你啊
02:07:00:10	02:07:01:15	他根本就不愛你啦
02:07:02:16	02:07:03:23	是人渣
02:07:04:22	02:07:05:28	人渣, 你知不知道
02:07:08:07		小美
02:07:10:02		那男的根本沒有良心啦
02:07:12:03	02:07:13:11	你確定還要跟他在一起
02:07:15:21	02:07:16:19	垃圾
02:08:10:07	02:08:13:14	喂... 小應哥
02:08:15:22	02:08:17:19	我被他們抓走了
02:08:19:10	02:08:21:03	他們一直打我
02:08:23:01	02:08:24:03	你還好吧
02:08:26:00	02:08:27:13	我不好
02:08:29:28	02:08:31:12	你想要我怎麼幫你
02:08:36:23	02:08:38:21	他們要一筆很大的錢
02:08:45:13	02:08:46:18	他們想要多少
02:08:51:22	02:08:53:21	兩百萬... 兩千萬
02:08:56:23	02:08:58:20	我知道你不會有的
02:09:06:12	02:09:07:18	如果我有呢
02:09:11:17		那你可以匯給他們嗎
02:09:13:29	02:09:15:24	我以後一定會還你的
02:09:17:02	02:09:18:11	我好害怕
02:09:19:23	02:09:21:21	拜託你救我出來
02:09:23:22	02:09:26:01	不要丟下我好不好
02:09:28:27	02:09:29:27	拜託
02:09:31:08	02:09:32:12	求求你
02:09:35:04	02:09:35:29	好
02:09:39:02	02:09:40:14	你跟你旁邊的人說
02:09:41:16	02:09:42:26	我只有一個條件
02:09:43:27		我一定要當面見到你的人
02:09:45:22	02:09:46:24	把錢交給你
02:09:51:15	02:09:52:15	好
02:09:54:14	02:09:55:17	謝謝你
02:09:58:04	02:09:58:28	小應哥
02:10:58:18	02:10:59:16	小美
02:11:11:22	02:11:12:25	你還好吧
02:11:26:21	02:11:27:24	他們人呢
02:11:40:11	02:11:42:06	我真的以為你不要我了
02:11:45:21		錢如果給他們
02:11:47:25	02:11:49:19	他們真的就會放你走嗎
02:11:55:10	02:11:56:11	小美
02:11:58:11		五年前我做了一場表演
02:12:00:15	02:12:02:07	結果害死了自己的女兒
02:12:04:25	02:12:06:20	她跟你很像, 很愛表演
02:12:07:19		我還跟她說
02:12:09:16		做完這場表演之後
02:12:10:29		要回學校好好念書
02:12:13:08	02:12:15:16	但是這一天再也回不來了
02:12:19:20		原本我以為
02:12:20:23	02:12:22:20	我這五年來不可能變好
02:12:25:06		不過直到遇見你
02:12:27:05		我突然發現
02:12:29:08	02:12:30:25	自己有好的可能
02:12:34:15		前幾天你睡著了
02:12:36:25	02:12:37:26	手機響了
02:12:39:28	02:12:41:07	我聽了你的留言
02:12:43:20		小美, 提醒你
02:12:46:08	02:12:48:03	聰哥說明天就要下手了
02:12:49:00		希望魔術師
02:12:49:21	02:12:51:19	已經願意為你放下一切
02:12:53:03		幹完這一票我們就自由了
02:12:56:06		幹完這一票
02:12:57:26		我要跟你和一把吉他
02:12:59:28	02:13:01:15	去過我們的生活
02:13:03:20		很棒啊
02:13:05:02	02:13:07:06	這很像你這年紀愛做的事情
02:13:15:00		你都知道了
02:13:16:27	02:13:18:08	你幹嘛還要來
02:13:18:26	02:13:20:24	因為我不想製造第二個遺憾
02:13:21:29	02:13:23:05	你懂嗎
02:13:41:28	02:13:42:29	收好
02:13:43:27	02:13:44:29	有空再看
02:13:48:10	02:13:49:10	錢呢
02:14:06:28	02:14:08:09	你沒帶錢
02:14:12:06	02:14:13:04	怎麼辦
02:14:17:14	02:14:19:24	記不記得我教你的第一個魔術
02:14:25:29	02:14:26:19	走
02:14:27:05	02:14:27:29	站住
02:14:30:22	02:14:31:08	走
02:14:37:19	02:14:38:09	上來
02:14:44:09	02:14:45:29	快點...
02:14:45:18	02:14:46:02	不要跑
02:14:46:23	02:14:47:21	快點, 找出路
02:14:53:10		小美
02:14:53:26	02:14:54:29	小應哥, 沒有路了
02:14:56:23	02:14:57:13	走
02:15:06:07	02:15:08:06	小四, 你放過我們好不好
02:15:09:20		就差這一步
02:15:11:01	02:15:12:06	聰哥就會放我們走了
02:15:13:03	02:15:13:27	讓開
02:15:22:08	02:15:23:07	把我馬子
02:15:24:00	02:15:24:27	不要打了
02:15:27:03	02:15:28:05	你要打就打我
02:15:30:25	02:15:32:02	你真的愛上他啦
02:15:36:02	02:15:37:16	你懂什麼是自由
02:15:38:22		要走就走
02:15:40:08	02:15:41:19	那才是自由
02:15:43:28	02:15:45:25	你真的以為聰哥會放過我們啊
02:15:47:17	02:15:49:12	他在利用我們, 你懂不懂啊
02:15:56:21	02:15:57:20	年輕人
02:15:59:25		我是一直到最後
02:16:00:28		失去我最愛的人
02:16:02:21	02:16:04:06	我才懂得什麼是愛
02:16:06:16	02:16:07:28	你沒有必要跟我一樣
02:16:16:18	02:16:17:21	門在那邊
02:16:19:04	02:16:20:08	要走快走
02:16:23:25	02:16:24:16	走
02:16:26:29	02:16:27:25	小美
02:16:29:10	02:16:30:14	不要再回來了
02:16:31:16	02:16:32:12	在樓上
02:16:37:08	02:16:38:12	小四, 你在幹嘛
02:16:48:28	02:16:49:20	小心
02:16:51:27	02:16:52:15	走
02:16:56:09	02:16:57:03	上車...
02:17:16:17	02:17:17:15	魔術師
02:17:21:17		你就是那個
02:17:23:04	02:17:25:15	鼎鼎大名的應浩然魔術師喔
02:17:32:08		你知道這個社會有哪種人
02:17:33:02		殺死人不必被關的你知道嗎
02:17:35:01		就是神經病
02:17:36:26	02:17:38:12	我就是神經病啦
02:17:40:12	02:17:41:26	小美, 來
02:17:43:09	02:17:44:03	來
02:17:44:22	02:17:45:27	來啊
02:17:57:10	02:17:59:00	你要花多少錢救她
02:18:04:14		大哥
02:18:06:08	02:18:07:24	出來混不就是為了錢
02:18:09:07	02:18:10:19	何必為難一個小女生
02:18:11:28	02:18:13:13	你要錢我給就是了嘛
02:18:16:05	02:18:17:03	小女生
02:18:18:03	02:18:20:01	我看有人愛上你了喔
02:18:21:17	02:18:22:05	錢呢
02:18:40:10	02:18:41:13	你敢開槍嗎
02:18:44:07	02:18:46:13	你要是開槍, 你這輩子就完了
02:18:49:19	02:18:50:22	魔術師
02:18:51:16		你也勸勸她嘛
02:18:53:10	02:18:54:21	手還在抖耶
02:19:00:01	02:19:02:23	小美, 你不能開槍
02:19:04:09	02:19:05:28	要不然你這一輩子真的完了
02:19:08:18	02:19:09:15	槍給我
02:19:22:27	02:19:23:17	小應哥
02:19:27:19		那邊還有一個
02:19:28:21	02:19:29:18	他還有呼吸, 快點
02:19:30:16	02:19:31:10	擔架
02:19:33:17	02:19:34:09	快點...
02:19:36:06	02:19:37:09	小應哥
02:20:01:28		有時候
02:20:03:13	02:20:05:16	我會希望一切只是一場夢
02:20:06:24	02:20:08:04	一切都會醒來
02:20:09:10		醒來後
02:20:10:27		還是美滿的家庭
02:20:12:28		可愛的女兒
02:20:14:29	02:20:16:07	和你的相遇
02:20:18:18	02:20:20:02	沒有真正的逃脫術
02:20:21:09		現實是一張網
02:20:24:08		我們都被困在網中央
02:20:26:09	02:20:27:19	哪也去不了
02:20:29:03		我們可以變得更好
02:20:30:19	02:20:31:24	更漂亮嗎
02:20:33:12		我想
02:20:35:02		要能夠改變
02:20:36:20	02:20:38:24	活著是唯一的機會
02:20:41:01		活著
02:20:42:26	02:20:44:14	就是你改變一切的理由
02:20:45:18		為了每一次的心跳
02:20:47:26	02:20:49:12	為了每一次的呼吸
02:20:50:17		我們都有義務變得更好
02:20:53:01	02:20:54:14	變得更漂亮
02:20:55:07	02:20:56:08	祝福你
02:21:04:08		我回到了我久違的學校
02:21:06:24	02:21:08:10	完成了學業
02:21:08:28	02:21:11:06	我已經是一個更勇敢的人
02:21:12:22	02:21:15:19	有時候我們缺的是一個理由
02:21:16:24	02:21:20:12	有時候我們缺的只是一個人
02:21:29:03	02:21:29:28	小應哥
02:21:30:18	02:21:31:22	恭喜你畢業
02:21:33:00	02:21:33:27	謝謝
02:21:40:02	02:21:41:02	我幫你戴上
02:21:55:00	02:21:55:24	走吧
