01:00:14:02	01:00:15:10	老闆, 多少錢
01:39:46:19		開發大陸的市場
01:39:47:19	01:39:48:23	是一條可行的路
01:39:49:24		大陸現在不是逐步的解除
01:39:51:27	01:39:53:14	一胎化的政策嗎
01:39:54:18	01:39:56:13	那多大的市場啊
01:39:57:16	01:39:59:28	這個要從長計議吧
01:40:01:02		對啊, 從長計議
01:40:02:13		這是我的一點想法
01:40:03:12		僅供參考
01:40:04:07	01:40:05:16	你自己好好考慮
01:40:08:01		對了
01:40:09:01	01:40:10:13	你媽現在情形怎麼樣
01:40:11:27		失智只會越來越嚴重
01:40:14:07	01:40:15:15	怎麼可能好呢
01:40:15:24		失智還好
01:40:16:28		逐漸失能你就更慘
01:40:18:19		當初我爸就是這樣子
01:40:20:14		大小便失禁
01:40:21:12		都不能自理
01:40:22:16	01:40:24:04	搞到後面
01:40:24:23	01:40:26:07	連我們兄弟都不認得
01:40:28:00	01:40:29:10	那你們怎麼處理
01:40:31:16		不得已
01:40:32:22		只有送到安養院
01:40:33:23	01:40:34:24	要不然怎麼辦
01:40:36:04	01:40:36:25	車來了
01:40:59:27	01:41:00:27	院長
01:41:04:12	01:41:06:01	終於又暫時過關了
01:41:07:07	01:41:08:13	這一關是過了
01:41:09:00		可是家裡頭
01:41:10:06	01:41:11:28	還有麻煩的事要處理
01:41:12:27	01:41:14:08	是你媽的事嗎
01:41:18:29	01:41:21:02	說起來就覺得慚愧
01:41:22:09		我常跟人家說
01:41:23:29	01:41:25:26	母親是生命的起源
01:41:26:05		結果呢
01:41:27:08		我才照顧我媽一個晚上
01:41:29:03	01:41:30:12	我就受不了了
01:41:30:22	01:41:32:13	還想要找機會逃跑呢
01:41:33:12	01:41:35:16	所以你就跑回來開會了
01:41:37:06		昨天晚上
01:41:38:23		我連幫我媽洗個澡
01:41:40:11	01:41:41:23	都覺得尷尬
01:41:42:17		這很正常
01:41:44:07		因為你把你媽當女人
01:41:46:15		別說你尷尬
01:41:47:28		我想
01:41:48:15	01:41:50:29	你媽應該也會覺得很尷尬吧
01:41:51:14		其實像遇到這種狀況
01:41:54:07		通常都是女兒或是媳婦
01:41:56:24	01:41:58:12	來做會比較適合
01:42:00:00	01:42:01:01	女兒跟媳婦
01:42:08:21		要是我姊在台灣
01:42:10:19	01:42:11:24	那就好了
01:42:23:04		仁生, 下雨了
01:42:24:16	01:42:25:23	把衣服收進來
01:42:35:09	01:42:36:19	收快點...
01:42:37:27	01:42:39:05	快點啦
01:42:52:24	01:42:53:23	哥, 你回來了
01:42:55:10		我打你電話
01:42:55:25		你怎麼都不接
01:42:56:11		你手機是沒有電了是不是
01:42:57:29	01:42:59:08	手機沒電
01:43:00:02		敏鳳回來了
01:43:00:25		她在廚房
01:43:01:23	01:43:02:26	敏鳳
01:43:05:04	01:43:07:02	難怪我一回來就聞到香味
01:43:08:08	01:43:09:15	那是媽煮的
01:43:11:11	01:43:12:15	媽煮的
01:43:14:12		麻煩大嫂下廚
01:43:15:12	01:43:16:17	真是不好意思
01:43:17:19		該說不好意思的人
01:43:18:29	01:43:20:04	應該是我才對
01:43:21:02	01:43:23:17	這段日子真的是辛苦你了
01:43:26:08	01:43:27:03	來
01:43:28:19	01:43:29:13	大哥, 回來啦
01:43:32:25	01:43:34:18	洗個手可以準備吃飯了
01:43:36:06	01:43:37:09	好
01:43:41:01		來
01:43:41:22		阿嬤, 小心
01:43:42:23		來
01:43:43:18		吃飯
01:43:44:06	01:43:45:03	媽, 坐
01:43:46:19	01:43:48:06	煮得這麼豐富
01:43:49:18		對了...
01:43:50:17		你的阿姨送了一瓶
01:43:52:03		二十年的威士忌都沒喝
01:43:55:03	01:43:56:18	去拿來喝...
01:43:56:23		媽, 不用啦
01:43:58:01		吃飯就好
01:43:59:10		不然喝果汁
01:44:00:25		果汁也好
01:44:01:17		媽今天腦筋很好
01:44:02:20		還記得有威士忌
01:44:04:03		好險沒被你偷喝掉
01:44:05:05		別說了
01:44:06:15	01:44:09:02	阿嬤, 你還記得我是誰嗎
01:44:09:29	01:44:10:22	你喔
01:44:11:08		陳益東
01:44:12:16		小東
01:44:13:23	01:44:15:05	小兔崽子
01:44:16:27		阿嬤, 我爸爸說你生日快到了
01:44:19:21		我們要給你辦熱鬧一點
01:44:21:00	01:44:22:03	好不好
01:44:22:24		你喔, 三八
01:44:24:19		他是你叔叔
01:44:26:15	01:44:27:28	你爸爸在這裡
01:44:28:10	01:44:30:07	半路認爸爸, 真是的
01:44:31:16		媽, 那個大姊說
01:44:32:26	01:44:35:04	她要從加拿大回來替你慶生
01:44:36:18		你大姊哪是住在加拿大
01:44:38:20	01:44:41:04	她住在美國的洛杉磯
01:44:41:22		我記錯了...
01:44:44:25	01:44:47:03	你在考驗我的記憶力就對了
01:44:47:26		我跟你說
01:44:49:00		他是阿仁
01:44:50:15		阿鳳
01:44:51:20		阿義
01:44:52:29		小東
01:44:53:29	01:44:55:01	對吧
01:44:55:15	01:44:56:21	媽, 你好厲害
01:44:58:00		當然厲害
01:44:59:15	01:45:01:19	以後你們不能說我老番癲
01:45:02:02		我記憶很靈光喔
01:45:04:28		阿嬤好厲害
01:45:06:07	01:45:07:18	記憶都比我還好
01:45:08:15		好囉, 來...
01:45:09:24		來... 小心燙
01:45:11:04		湯好囉
01:45:11:27	01:45:12:29	可以開動了
01:45:13:19		這小姐是誰
01:45:15:13	01:45:18:12	是你們的朋友嗎
01:45:23:07		小姐, 坐...
01:45:24:21	01:45:25:21	坐著一起吃
01:45:27:13	01:45:28:19	煮得這麼豐富
01:45:29:21	01:45:30:17	坐下
01:45:34:09		別太在意
01:45:35:16		媽有時候也會把我認錯
01:45:37:10	01:45:38:19	你先吃飯吧
01:45:39:13		不要顧著說話
01:45:40:15		叫小姐吃飯
01:45:41:20	01:45:43:26	來, 小姐, 不要客氣
01:45:45:12		阿鳳, 你真會煮
01:45:47:15		煮的這些
01:45:48:23	01:45:50:19	都是我喜歡吃的
01:45:53:24	01:45:55:12	媽
01:45:56:11		都是你教我煮的
01:45:58:07	01:46:00:00	喜歡吃就多吃點
01:46:02:13	01:46:03:16	小姐, 吃吧...
01:46:04:10	01:46:05:08	不用客氣
01:46:06:04	01:46:08:20	這些菜都是我媳婦煮的
01:46:11:25		來... 吃飯...
01:46:13:16	01:46:14:15	來, 媽
01:46:15:22	01:46:18:00	來... 不要客氣...
01:46:26:10	01:46:26:28	哥
01:46:27:10		你有沒有覺得
01:46:27:23	01:46:29:15	媽今天比以前好很多
01:46:29:25	01:46:30:25	她什麼人都記得
01:46:31:01	01:46:32:12	除了大嫂以外
01:46:33:06		這會不會是人家講的
01:46:34:02		那種選擇性失憶
01:46:35:24	01:46:37:27	就專挑自己最不喜歡的人開始忘記
01:46:39:01	01:46:40:00	你胡說什麼
01:46:40:13		那是因為你大嫂
01:46:41:11		跟媽相處的時間最短
01:46:43:11	01:46:45:04	媽對她的記憶沒有那麼深
01:46:45:18	01:46:46:15	這也很正常
01:46:48:02	01:46:49:10	你這樣講好像也對
01:46:51:05	01:46:52:14	最好要有心理準備
01:46:52:29	01:46:54:00	說不定以後
01:46:55:07	01:46:56:15	媽連我們都不記得了
01:47:03:27	01:47:08:00	其實這方面我還滿想得開的
01:47:08:26	01:47:10:26	我覺得現在只要媽開心
01:47:12:10	01:47:13:13	什麼都好
01:47:16:22	01:47:17:20	說的也是
01:47:22:07		看起來
01:47:23:17	01:47:25:26	媽還是最習慣敏鳳照顧她
01:47:26:17		那以後就要麻煩你跟敏鳳
01:47:27:28	01:47:29:01	多擔待些了
01:47:29:26	01:47:31:02	這你放心
01:47:31:04		我以後會跟她輪班
01:47:32:26	01:47:33:27	我不會再放她一個人了
01:47:40:27	01:47:42:18	大哥, 下來吃水果
01:47:44:20		你看你喘成這樣
01:47:46:11	01:47:47:23	我平常就叫你多運動
01:47:51:23		敏鳳, 辛苦你了
01:47:53:15	01:47:54:29	才剛回來就忙個不停
01:47:55:15	01:47:57:12	不會啦, 早就習慣了
01:47:59:13		說真的
01:48:00:15	01:48:02:23	媽這個病只會越來越嚴重
01:48:03:02	01:48:04:15	而且還會影響到情緒
01:48:04:16	01:48:05:16	容易躁動
01:48:23:24		總之
01:48:25:02		如果以後媽對你發脾氣的話
01:48:27:25		你千萬別放在心上
01:48:29:21		那是因為生病的關係
01:48:31:10	01:48:32:20	不是針對你
01:48:33:03		我知道
01:48:34:10	01:48:35:13	我會盡快適應的
01:48:46:01		媽這段時間
01:48:47:15	01:48:48:26	就先暫時麻煩你了
01:48:50:09		我從今天開始算
01:48:51:19		一天兩千
01:48:52:17	01:48:53:20	一個月六萬
01:48:54:14		我先拿給你
01:48:55:16		你就趕快
01:48:56:28		把義生的卡債給還了吧
01:48:58:27	01:48:59:23	哥...
01:49:00:26		這...
01:49:02:10		這怎麼好意思拿
01:49:04:25	01:49:06:06	別跟我計較了
01:49:07:04	01:49:08:02	來
01:49:14:16	01:49:15:23	謝謝大哥
01:49:53:11		這麼晚了
01:49:54:13	01:49:55:20	你怎麼還不睡
01:49:58:06	01:49:59:21	爸, 你怎麼睡在這兒
01:49:59:28	01:50:01:11	是不是跟媽吵架
01:50:05:20	01:50:07:12	我真的不懂
01:50:08:06		跟自己家人
01:50:09:21	01:50:11:00	為什麼要這麼計較
01:50:15:11		爸
01:50:16:15	01:50:19:00	不過一個月六萬塊真的很多
01:50:19:28		就好像是媽當高中老師
01:50:21:17		一個月的薪水
01:50:23:16		送安養院才三萬
01:50:26:02	01:50:27:22	難怪媽會計較
01:50:31:22		我只知道我從小到大
01:50:34:11	01:50:36:16	不管是補習, 重考
01:50:36:29	01:50:38:25	甚至到後來考上醫學院
01:50:39:21		每次我只要拿著繳費單回來
01:50:42:28	01:50:45:19	你阿嬤只有跟我講一句話
01:50:47:12	01:50:48:29	你就好好讀你的書
01:50:49:12	01:50:51:27	剩下的都不用管
01:51:09:08		已經連續三個月業績負成長
01:51:11:23	01:51:12:27	不要再逃避了
01:51:15:24		現代人買不起房子
01:51:17:05		不想要生小孩
01:51:18:07		我們可以勉強他嗎
01:51:19:19		婦產科已經是夕陽產業了
01:51:22:04		要獲利可以
01:51:23:07	01:51:24:18	直接扣我的薪水算了
01:51:24:28		你不要忘了
01:51:25:22		醫院你也有股份
01:51:27:12		何必說這種意氣用事的話呢
01:51:29:11		老嚴...
01:51:30:27	01:51:33:01	Calm down...
01:51:34:10		其實你們的建議案
01:51:36:26	01:51:38:03	我都看了
01:51:38:17	01:51:39:22	都很不錯
01:51:40:22		可是現階段
01:51:41:23		是要想辦法先做到止損
01:51:44:25	01:51:46:24	才能夠談獲利, 轉投資
01:51:48:12		止損
01:51:48:28	01:51:50:28	最快的方法就是裁減人力
01:51:52:07		大家都是一起打拼
01:51:53:05		這麼多年的老員工了
01:51:54:27	01:51:56:05	一定要走到這一步嗎
01:51:56:28		不裁員
01:51:57:27		那乾脆直接把診所關掉
01:51:59:10		全部回到大醫院看診
01:52:00:29	01:52:02:06	這樣賺得還比較多
01:52:10:15	01:52:11:09	對了
01:52:12:06		上一次楊醫師有跟我提到
01:52:13:29	01:52:15:27	我們可以開發大陸市場
01:52:16:15		這樣是不是就可以
01:52:17:21	01:52:19:07	提高獲利空間
01:52:32:17	01:52:33:25	也可以去試試
01:52:37:08		這幫老員工的去留
01:52:38:27	01:52:40:01	就看你的了
01:52:43:15		對, 我們在炸之前
01:52:45:00	01:52:47:07	我們先會沾一下醬汁
01:52:47:17		沾完醬汁之後
01:52:48:11		我們再來這邊裹粉
01:52:49:28		然後兩面都要裹粉
01:52:51:24		然後大概裹個兩到三下就好了
01:52:54:28		然後我們抖一下粉
01:52:55:24		我們就可以進油鍋裡面炸了
01:52:58:05		然後油溫大概兩百度左右
01:53:00:12		大概炸六, 七分鐘就可以了
01:53:02:03		六, 七分鐘
01:53:02:23		對
01:53:03:10		中間要不要翻呢
01:53:04:06	01:53:05:28	大概三分鐘翻一次
01:53:07:05		所以就照這樣做
01:53:08:15		一個月可以賺十幾萬
01:53:09:23	01:53:11:22	當然是很辛苦的賺
01:53:12:29	01:53:13:25	媽
01:53:14:20	01:53:15:16	媽
01:53:16:10	01:53:17:10	媽
01:53:18:29	01:53:19:28	媽
01:53:20:22	01:53:21:15	媽
01:53:26:25	01:53:27:14	媽
01:53:30:04	01:53:30:26	媽
01:53:37:07		媽...
01:53:40:23		你是要去哪裡
01:53:41:25		我轉頭就沒看到你了
01:53:43:11		我要去車站啦
01:53:44:21	01:53:46:08	怎麼找不到站牌呢
01:53:46:27	01:53:48:02	車站
01:53:51:03	01:53:53:08	不然我先帶你去吃飯啦
01:53:53:17	01:53:54:14	吃飽了我們再去
01:53:55:03		不要啦
01:53:55:25		我還是去坐車
01:53:56:24	01:53:58:00	怕會錯過
01:53:58:14		不會啦
01:53:59:04		去車站的車很多啦
01:54:00:26		不用擔心啦
01:54:01:24		我們先吃飽飯啦
01:54:02:28	01:54:03:24	吃飽了再去
01:54:04:25	01:54:05:20	我們去吃飯
01:54:10:21	01:54:12:11	媽, 等一下...
01:54:28:03		明天我要去上海出差
01:54:31:14	01:54:33:16	談合作開發大陸市場的事
01:54:35:01	01:54:37:04	大概會需要兩個禮拜的時間
01:54:38:12	01:54:39:22	我的手機會開著
01:54:40:01		如果有事的話
01:54:41:24	01:54:43:08	隨時都可以打給我
01:54:59:11		所以看到它有點金黃色
01:55:00:29		就把它翻一遍
01:55:02:09		不用翻, 用折的
01:55:03:26		其實它只要翻兩次折啊
01:55:05:00	01:55:05:26	對
01:55:06:18		會不會把它弄壞掉
01:55:07:28		不會
01:55:08:17	01:55:10:06	因為它骨頭要熟
01:55:10:29		這樣子嗎
01:55:11:26	01:55:12:24	對
01:55:15:24		敏鳳, 來...
01:55:16:19	01:55:18:00	幫我接手一下
01:55:18:16	01:55:19:11	我接電話
01:55:22:25	01:55:23:13	喂
01:55:24:02		義生
01:55:25:01		我帶了有名的糕點
01:55:26:02		要回來給媽吃
01:55:27:12		可是剛回到家卻沒看到她
01:55:29:13		是敏鳳帶她出去散步了嗎
01:55:31:26	01:55:34:03	哥, 你不是說你後天才回來嗎
01:56:08:20	01:56:09:20	媽
01:56:10:26	01:56:12:07	對不起
01:56:13:10	01:56:14:13	我回來了
01:56:27:19	01:56:28:29	我和敏鳳
01:56:30:15	01:56:32:19	也是真的想要學一技之長
01:56:33:25		所以才會趁這幾天...
01:56:35:10		我一個月已經給你們六萬塊了
01:56:37:09		難道還不夠用嗎
01:56:38:19		不是啦, 大哥
01:56:40:03		是上次在頂樓看到你跟大嫂
01:56:43:18		為了這件事情不愉快
01:56:45:10		我就跟義生商量
01:56:46:12		如果我們可以自己擺個攤
01:56:48:19		不但可以自己賺錢
01:56:50:06	01:56:51:22	還可以一邊照顧媽
01:56:52:22		不要怪義生
01:56:54:01		是我提議
01:56:55:24		趁大哥出差的時候
01:56:57:28		把媽暫時送到...
01:56:59:03	01:57:00:10	這不關敏鳳的事情
01:57:02:04		哥
01:57:03:28		大嫂
01:57:04:19	01:57:05:21	你們要怪就怪我好了
01:57:07:06		敏鳳已經夠委屈了
01:57:09:08		她身體不舒服
01:57:11:00		還要跟著我這樣吃苦
01:57:12:10	01:57:13:14	不要講這個
01:57:15:04		義生
01:57:16:14		你剛才說敏鳳她身體怎麼了
01:57:19:22	01:57:20:22	我...
01:57:21:22		她就沒有三個月
01:57:25:20	01:57:26:28	我們不能講
01:57:30:07		懷孕是好事
01:57:31:24	01:57:33:12	怎麼不早點說呢
01:57:34:19		其實我跟敏鳳
01:57:35:28		根本沒有計畫現在要孩子
01:57:37:18		我們連大人都養不飽
01:57:38:22	01:57:39:24	我怎麼養孩子
01:57:40:16		也就是因為這樣子
01:57:41:06		敏鳳才會跟我計劃說
01:57:42:20		一定要學個一技之長
01:57:44:05	01:57:45:29	我們總不能一直靠大哥吧
01:57:46:14		不管怎麼樣
01:57:47:13		敏鳳現在懷孕了
01:57:48:27		我們照顧媽的事情
01:57:50:04	01:57:51:12	得要重新商量
01:57:57:11		有沒有想過
01:57:58:14	01:58:00:02	要請大姊回來幫忙
01:58:02:01	01:58:03:08	阿仁, 阿義
01:58:05:00	01:58:05:21	媽
01:58:06:11		一隻雞只有兩隻腿而已
01:58:08:17		來, 你們一人一隻
01:58:09:25	01:58:10:15	快吃
01:58:11:09	01:58:12:27	不要跟你姊姊講
01:58:13:25		阿英
01:58:15:12		你在房間做什麼
01:58:17:02	01:58:18:09	還不快來洗碗
01:58:19:09		我在看書
01:58:20:13	01:58:21:17	明天要考試了
01:58:22:12		讀什麼書
01:58:23:22		明天開始不用去學校了
01:58:25:14		跟我一起去顧麵攤
01:58:27:15		為什麼不讓我念
01:58:29:21		女孩子讀那麼多書要做什麼
01:58:32:01	01:58:34:02	幫忙賺錢供你兩個弟弟讀
01:58:40:23		女孩子長大就要嫁人
01:58:43:16	01:58:44:24	讀什麼書
01:58:54:11	01:58:55:14	秀賢
01:58:56:11	01:58:57:22	現在敏鳳懷孕了
01:58:58:13		我們暫時
01:58:59:07	01:59:01:12	先把媽接回家住幾天好不好
01:59:03:29	01:59:04:28	怎麼樣
01:59:13:24	01:59:15:03	阿嬤, 你來了
01:59:16:02		小東, 你也來這裡喔
01:59:18:02		這是我家
01:59:19:15	01:59:20:20	你家
01:59:21:27		你小小一個孩子
01:59:23:06	01:59:24:21	你什麼時候買房子
01:59:27:23		你買房子就要跟阿嬤說
01:59:30:15		阿嬤好幫你辦入厝
01:59:33:07		阿嬤, 我帶你來看你的房間
01:59:35:23		來
01:59:36:25		你有幫我留房間喔
01:59:38:09		有喔
01:59:38:26	01:59:40:18	很大間, 很漂亮
01:59:44:07	01:59:45:07	來, 給我
01:59:58:25		暫時把媽接回來
02:00:00:14	02:00:02:00	只是緩兵之計
02:00:02:16	02:00:04:03	長久照顧的問題
02:00:05:02		不是你看白天, 我顧晚上
02:00:06:21	02:00:08:02	就可以解決的
02:00:12:06	02:00:13:03	我知道
02:00:13:23	02:00:16:00	可是義生就快要當爸爸了
02:00:16:20		難得他有心
02:00:17:09		想要去學個一技之長
02:00:19:20		我這個當大哥的
02:00:21:08	02:00:22:17	當然要支持他啦
02:00:23:18		我不是反對你幫義生
02:00:25:23		但是幫忙
02:00:26:24	02:00:28:27	也要在自己的能力範圍之內
02:00:30:12		可是總不能
02:00:31:18	02:00:33:06	不讓他去學做生意吧
02:00:34:02		還有敏鳳
02:00:35:14	02:00:37:06	她現在懷孕人不舒服
02:00:37:16	02:00:39:02	還要陪著義生去學做生意
02:00:39:23	02:00:42:20	難道我們還要逼她去照顧媽嗎
02:00:43:20		懷孕害喜我怎麼會不清楚
02:00:46:08	02:00:49:17	所以我們不是把媽都接回來了嗎
02:00:52:05		等敏鳳生了孩子之後
02:00:54:12	02:00:56:12	他們夫妻兩個應該會更忙
02:00:58:12	02:00:59:21	我只是要提醒你
02:01:00:09	02:01:03:23	媽的事最好盡早做規劃
02:01:05:18	02:01:06:19	我知道
02:01:08:28		好了
02:01:10:10	02:01:11:19	我先上樓去洗澡
02:01:15:19	02:01:16:14	秀賢
02:01:28:06	02:01:29:25	謝謝
02:02:01:09	02:02:04:06	阿成, 這水太燙了
02:02:05:20	02:02:07:23	媽, 我是阿仁啦
02:02:11:19		出去...
02:02:13:26		媽
02:02:14:09		出去...
02:02:15:14	02:02:16:13	媽
02:02:24:02	02:02:25:06	還是讓我來吧
02:02:32:12	02:02:33:20	你又進來做什麼
02:02:35:24	02:02:37:04	怎麼會是你
02:02:37:27	02:02:38:29	媽
02:02:39:10	02:02:40:19	你怎麼又跑回來
02:02:41:16		我就跟阿仁說
02:02:42:28		你這樣嘴不甜
02:02:44:27		說什麼又聽不懂
02:02:46:04		我又不喜歡
02:02:47:12	02:02:49:07	他怎麼又把你娶回家
02:02:50:19		上一次你來我家吃飯的時候
02:02:54:10	02:02:56:03	很沒我的緣
02:03:00:21		看她細皮嫩肉的
02:03:02:11	02:03:03:21	會煮飯嗎
02:03:05:09		以後如果煮得沒有味道
02:03:06:16	02:03:07:29	我怎麼吃得習慣
02:03:08:18	02:03:10:19	不會啦, 你再教她
02:03:12:23		講了我們這種話
02:03:13:20	02:03:15:06	她都鴨子聽雷了
02:03:16:02		教到她懂
02:03:17:06	02:03:18:25	你的鬍鬚都可以打結了
02:03:19:18	02:03:21:07	少臭美了
02:03:23:02		吃水果啦
02:03:25:00	02:03:27:20	媽, 你怎麼不敲門
02:03:28:03	02:03:30:11	我怎麼知道你在裡面亂來
02:03:31:14		女孩子還沒嫁人
02:03:33:03		就跑進別人的房間
02:03:34:20	02:03:36:06	不知羞恥
02:03:55:17	02:03:57:21	我現在終於比較瞭解媽了
02:03:59:10	02:04:02:19	都怪我沒早點學會說台語
02:04:10:06	02:04:11:12	還好有你
02:04:30:11		哥
02:04:31:08		我那一攤現在生意真的很好
02:04:32:28		你知道我每天都賣光
02:04:34:16	02:04:35:18	日進斗金
02:04:37:00		我在想
02:04:38:06		如果因為這樣
02:04:38:28	02:04:40:06	我就變得有錢的話
02:04:41:19		你放心啦
02:04:43:08	02:04:44:22	我不可能送媽去安養院的
02:04:45:27	02:04:48:04	我要讓媽一輩子都跟我住
02:04:49:25		你呢
02:04:50:13	02:04:51:28	你就好好去大陸發展
02:04:52:04		偶爾有空的時候
02:04:52:26		你帶大嫂跟小東來
02:04:54:05	02:04:55:13	看看媽就好
02:04:57:16	02:04:58:09	謝謝
02:05:09:24	02:05:11:00	爸走了以後
02:05:11:25	02:05:14:09	媽好像對爸的仇恨越來越深了
02:05:15:06		有沒有更深我是不知道啦
02:05:17:15	02:05:20:02	但是碎碎唸是變得更多了
02:05:22:10	02:05:23:16	不過這可以理解
02:05:24:12	02:05:26:18	爸生前就不太負責任
02:05:26:29	02:05:28:11	死了之後就更別說了
02:05:29:25		整個家的重擔
02:05:31:02	02:05:32:11	都落在媽的身上
02:05:33:09	02:05:35:01	她難免就會有些怨言
02:05:39:27	02:05:40:23	哥
02:05:41:16	02:05:42:22	如果恨一個人啊
02:05:43:07		是心裡面恨得比較深
02:05:45:03	02:05:46:22	還是嘴巴上恨得比較深
02:05:47:23	02:05:49:01	你不用煩惱這個吧
02:05:49:04	02:05:51:18	你現在有更需要煩惱的事情
02:05:53:20		敏鳳她...
02:05:55:19	02:05:57:02	對... 我要當爸爸了
02:06:01:02	02:06:03:09	這段時間辛苦你了
02:06:05:13	02:06:07:27	也謝謝你願意體諒我的固執
02:06:09:14	02:06:11:00	誰叫你是小東他爸
02:06:11:27	02:06:12:28	那些苦
02:06:13:27	02:06:15:04	都只能吞啦
02:06:25:02	02:06:26:24	當我們為人父母的時候
02:06:27:21	02:06:31:05	為自己孩子吃再多的苦都願意
02:06:33:04		可是當我們的父母年紀大了
02:06:36:11	02:06:37:16	老了
02:06:38:17		我們卻把他們當作是負擔
02:06:40:27	02:06:42:06	想要逃避責任
02:06:44:27	02:06:46:04	每次我想到這個
02:06:46:27	02:06:48:12	就覺得很自責
02:06:52:15		如果以後小東送我們去安養院
02:06:55:06	02:06:56:16	你會怨小東嗎
02:06:58:14	02:06:59:09	不會
02:07:00:04	02:07:02:07	因為我自己都走過這麼一遭了
02:07:03:04	02:07:06:00	我不希望小東跟我一樣受苦
02:07:08:23	02:07:09:27	我也這麼想
02:07:15:29		不過我希望到那個時候
02:07:19:06	02:07:20:25	你能陪在我的身邊
02:07:21:25		我不想要我自己一個人
02:07:23:19	02:07:24:28	孤孤單單的
02:07:25:10	02:07:26:26	住在養老院裡頭
02:07:31:05		這應該也是你到現在
02:07:33:08		都還不願意接媽去住養老院
02:07:35:27	02:07:37:15	最重要的原因吧
02:08:11:13	02:08:12:14	喂
02:08:13:05	02:08:14:02	是
02:08:16:10	02:08:18:16	好, 我會叫他快一點
02:08:20:14		仁生
02:08:21:21		美惠要你趕回醫院
02:08:23:09	02:08:25:01	說產婦已經開四指了
02:08:25:18	02:08:26:12	知道了
02:08:27:01	02:08:27:26	阿英
02:08:30:00	02:08:30:23	來了
02:08:34:23	02:08:35:16	媽
02:08:36:18	02:08:38:19	我住在這兒不習慣
02:08:39:08	02:08:41:05	我想要回去老家
02:08:42:15		好啦
02:08:43:09	02:08:45:22	不然晚一點我帶你回家
02:08:46:13	02:08:49:00	我的行李幫我收拾一下
02:08:49:20	02:08:50:12	好
02:08:57:21	02:08:58:22	好了, 差不多了
02:08:59:08	02:09:00:04	趕快進去
02:09:01:19	02:09:02:16	進去啦
02:09:03:23	02:09:05:01	真奇怪
02:09:06:26	02:09:08:07	還怕我看喔
02:09:10:03		小時候幫你換尿布
02:09:11:27		換衣服, 洗澡
02:09:13:19		都不知道看了多少次
02:09:15:23	02:09:17:03	還怕我看
02:09:22:02	02:09:23:11	你以為我喜歡看嗎
02:10:10:06	02:10:11:03	阿英
02:10:12:04	02:10:14:01	你會不會埋怨媽
02:10:14:17	02:10:15:14	不會啦
02:10:18:29		我嫁給你爸的時候
02:10:21:08	02:10:24:05	成事不足, 敗事有餘
02:10:25:19	02:10:28:01	生活費沒拿回來沒關係
02:10:28:18		他賭輸錢
02:10:30:01	02:10:31:13	我還要替他還
02:10:34:13		我白天要賣麵
02:10:36:12	02:10:38:14	晚上還要做塑膠花
02:10:39:26		一下子要繳註冊費
02:10:41:25	02:10:43:14	一下子水電費
02:10:46:09	02:10:50:09	當時才沒辦法讓你繼續讀書
02:10:54:04	02:10:55:27	等你嫁人了
02:10:57:00		就知道長輩擔心這些孩子
02:11:00:27	02:11:02:23	永遠擔心不完
02:12:16:17	02:12:18:11	哥, 你今天怎麼有空來
02:12:19:12		現在媽又回到你們那邊去了
02:12:21:01		對啊我有時間
02:12:22:10		當然要過來關心一下
02:12:23:21		你做得怎麼樣
02:12:24:27	02:12:26:01	你看呢
02:12:27:05	02:12:27:25	來
02:12:28:20	02:12:29:18	好, 謝謝
02:12:29:25	02:12:31:04	你們後面還有一塊, 對不對
02:12:32:24		我跟你講
02:12:34:05		我現在每一天賣光光
02:12:36:11		真的啊
02:12:37:00	02:12:37:27	真的
02:12:41:21	02:12:43:02	你們剛剛那個雞排要幾塊
02:12:43:12	02:12:44:01	一塊喔
02:12:45:07	02:12:46:10	那個你要鹽酥雞是不是
02:12:47:01	02:12:47:22	好
02:12:49:16	02:12:50:11	喂
02:12:53:22	02:12:54:21	媽又不見了
02:13:40:12		對... 我是陳太太
02:13:42:00		對, 不好意思
02:13:42:29		可不可以再多派幾個人
02:13:44:12		麻煩你們了
02:13:45:14		謝謝你們
02:13:45:27		謝謝...
02:13:47:12		敏鳳
02:13:48:04		大哥
02:13:48:29	02:13:50:04	你不是一直在家嗎
02:13:50:10		媽怎麼又不見了
02:13:52:06		就吃完飯
02:13:52:24		我在廚房洗個碗
02:13:54:19	02:13:55:21	媽本來在客廳
02:14:41:29	02:14:43:05	媽
02:14:45:05	02:14:46:28	剛剛地震
02:14:48:06	02:14:50:08	搖得好大力
02:14:50:17	02:14:52:02	把我嚇死了
02:14:52:16		無處可躲
02:14:53:13	02:14:54:19	我...
02:14:57:08	02:14:59:23	你是跑哪去了
02:15:12:25		小心點...
02:15:14:14	02:15:15:10	來
02:15:16:24	02:15:17:24	來
02:15:21:18		媽, 別怕
02:15:23:20	02:15:24:24	地震過了
02:15:25:25	02:15:26:23	來
02:15:30:20	02:15:32:04	媽, 給我
02:15:32:11		來
02:15:33:10	02:15:34:11	不要
02:15:34:22	02:15:36:23	沒關係, 來
02:16:52:27	02:16:54:00	阿成
02:16:54:09	02:16:55:19	水這樣夠了啦
02:16:56:03	02:16:57:07	不要放太多
02:16:57:13	02:16:58:12	這樣會浪費
02:16:58:12	02:16:59:24	好...關起來
02:17:04:23	02:17:05:18	來
02:17:17:15		剛才的地震
02:17:18:22	02:17:20:14	搖得好大力
