01:00:22:06	01:00:23:03	休息了啦
01:44:15:02		看過什麼
01:44:15:29		我怎樣...
01:44:17:15		你什麼態度講話啊
01:44:19:15		我兒子養得這麼大啦
01:44:21:01	01:44:22:16	你還不是嫁給他做老婆
01:44:23:22	01:44:24:25	好了啦
01:44:26:18		我以後叫我媽不要帶小鈕扣
01:44:27:29	01:44:29:12	去那種地方就好啦
01:44:32:00	01:44:33:04	這有很嚴重嗎
01:44:35:26	01:44:36:25	不嚴重嗎
01:44:37:24		你媽把你賺來的錢
01:44:38:29	01:44:40:07	全部都輸光了
01:44:41:18	01:44:43:11	她欠的不是一萬, 兩萬
01:44:45:05	01:44:46:23	她欠了三十萬
01:44:49:17		錢我可以再賺啊
01:44:51:22	01:44:52:22	你要怎麼賺
01:44:54:00	01:44:55:07	你現在走是什麼意思啊
01:44:57:16	01:44:58:12	佳家
01:45:01:26	01:45:02:20	放開我
01:45:10:23		真的沒事
01:45:11:23		對不起, 好不好
01:45:13:19	01:45:14:17	對不起, 好不好
01:45:17:01	01:45:17:29	我拜託你
01:45:19:16	01:45:21:17	讓我跟小鈕扣走, 好不好
01:45:26:04	01:45:27:06	佳家
01:45:29:22	01:45:31:05	我對不起你們, 好不好
01:45:32:03		對不起
01:45:33:17	01:45:34:16	不要走, 好不好
01:45:46:07	01:45:47:27	我已經和別人在一起
01:46:56:04	01:46:57:18	我剛剛去你們班上找你
01:46:59:26		他們說你那個來不舒服
01:47:01:16	01:47:02:14	還好嗎
01:47:04:21	01:47:05:15	還好
01:47:07:13		我們班的女同學說
01:47:09:05	01:47:10:11	那個來吃這個很好
01:47:16:12	01:47:17:15	很不舒服嗎
01:47:24:22		雜貨店的劉叔說
01:47:26:21	01:47:28:03	按這邊可以止痛
01:47:35:08	01:47:36:04	上課了
01:47:37:15	01:47:38:13	回教室
01:47:42:07	01:47:43:10	你有好一點嗎
01:47:48:10		我今天下課之後
01:47:49:22		會到雜貨店打工
01:47:52:02	01:47:53:12	回家再打電話給你
01:47:55:10	01:47:56:06	拜拜
01:48:41:27	01:48:43:10	衣服洗好了有空去曬一曬
01:48:45:06	01:48:46:04	聽到沒有
01:48:48:07		我身體不太舒服
01:48:50:12	01:48:51:16	你不要煩我
01:48:54:25		叫你女兒曬個衣服
01:48:55:23		叫我不要煩她
01:48:57:06		什麼態度啊
01:48:58:18	01:48:59:19	管一下, 好不好
01:49:04:00		人家好好跟你說
01:49:04:29		你是聽不懂就對了
01:49:06:12		你剛剛跟她說什麼
01:49:08:08		我跟她說我身體不太舒服
01:49:10:14		叫她不要煩我不舒服
01:49:11:24		不舒服就可以這樣跟人家講話
01:49:13:00	01:49:13:19	你給我起來
01:49:14:11		好好跟你說你聽不懂
01:49:15:15		你逼我出手打你就對了
01:49:17:09		莫名其妙
01:49:18:24		變成這樣是怎樣
01:49:20:00	01:49:21:06	你逼我出手打你
01:49:22:13		要打你, 你才會說話就對了
01:49:24:04		要氣死我
01:49:24:23	01:49:25:18	沒大沒小
01:49:28:10	01:49:29:16	敢出去就不要給我回來
01:49:34:27		劉叔
01:49:35:26		寶力, 要回去了啊
01:49:37:01		對
01:49:38:06		路上要小心喔
01:49:39:09		好
01:49:40:15		劉姨, 拜拜
01:49:41:09		拜拜
01:49:41:24		劉叔, 拜拜
01:49:42:14		拜拜
01:49:43:23		早一點休息啊
01:49:44:23		好, 你們也是
01:49:46:08	01:49:47:00	拜拜
01:49:55:19	01:49:56:15	寶力
01:50:01:14	01:50:02:12	怎麼會在這裡
01:50:10:10	01:50:11:06	怎麼啦
01:50:17:24	01:50:18:19	沒事了
01:50:23:29	01:50:24:28	不要哭
01:50:27:26	01:50:29:07	我帶你回家, 好不好
01:51:34:18	01:51:35:28	你是都不用上班喔
01:51:39:13	01:51:41:11	(九龍燒臘, 六未接來電)
01:51:46:03	01:51:47:24	(佳家)
01:51:55:27		您的電話將轉接到語音信箱
01:51:58:20		嘟聲後開始計費
01:52:00:16	01:52:02:10	如不留言請掛斷
01:52:06:14	01:52:07:17	該繳房租了
01:52:10:08	01:52:11:21	我身上沒錢啦
01:52:16:08	01:52:18:12	你不要每次開口都要錢好不好
01:52:19:19		煩不煩啊
01:52:21:12	01:52:22:28	我就真的沒錢啦
01:52:26:03	01:52:28:15	自己老婆跑掉就罵我出氣
01:52:31:01		佳家會跑掉還不是你害的
01:52:33:23		你講那什麼話
01:52:35:18	01:52:36:22	關我什麼事
01:52:42:11	01:52:43:21	莫名其妙
01:52:49:09		誰賭錢想輸啊
01:52:50:27	01:52:52:01	我也很想贏啊
01:52:54:02		我會去賭還不是為了你們
01:52:56:24		你們不是很想搬家
01:52:58:20	01:52:59:28	搬家要很多錢耶
01:53:03:06	01:53:04:22	你老婆是有多了不起
01:53:09:02		你都已經賭輸一根手指頭
01:53:10:18	01:53:11:10	還不夠嗎
01:53:26:19		你先委屈一下
01:53:27:24		等我找到更好的地方
01:53:28:28	01:53:29:26	再把你們接過去
01:53:32:06	01:53:33:11	這裡我之前來看過了
01:53:42:02	01:53:43:04	熱水跟冰箱
01:53:54:28		我先幫她煮熱水好了
01:53:56:15	01:53:57:13	不然等一下醒了
01:54:09:01		其實啊
01:54:10:14		我覺得小孩子在美國長大
01:54:12:01		會比較開心耶
01:54:14:02	01:54:14:24	真的
01:54:16:06		張晴她們家我很熟
01:54:17:12	01:54:18:16	你上次跟她們聊得怎麼樣
01:54:25:17		我接下來會很忙
01:54:27:14		你之後如果找工作
01:54:28:29	01:54:30:22	一個人也不方便照顧小鈕扣
01:54:41:24		你再想一想
01:54:43:02	01:54:44:22	我只是不想看到你不開心而已
01:54:56:28	01:54:57:28	我沒有不開心
01:54:59:19	01:55:01:06	只是那個來不太舒服
01:55:04:02	01:55:05:17	那你好好休息
01:55:07:17		讓她睡著
01:55:08:11	01:55:11:06	你也可以睡一覺
01:55:26:15		這些錢你先拿著用
01:55:28:18	01:55:30:08	還是需要什麼你再隨時告訴我
01:55:32:08		你再打給我
01:55:32:23	01:55:33:20	要我帶過來也可以
01:55:36:02	01:55:36:28	那我先走囉
01:56:00:25	01:56:01:20	你現在怎樣
01:56:03:11		打電話不接
01:56:04:06	01:56:05:03	每天遲到
01:56:08:23		對不起
01:56:09:16		工作都幫你做完了啦
01:56:10:14	01:56:11:06	對不起
01:56:17:01	01:56:18:05	你現在是不想做了喔
01:56:28:05		裡面東西收一收啦
01:56:29:16	01:56:30:17	把菜端出來啦
01:56:32:27	01:56:33:29	莫名其妙
01:56:37:22		現在是怎樣
01:56:38:11	01:56:39:04	每天遲到
01:56:41:08		前一陣子還聽他說要搬家
01:56:42:27		說得很高興
01:56:44:26	01:56:46:10	怎麼知道會變成這樣
01:57:28:22		純的嗎
01:57:29:23		東南亞的
01:57:31:06	01:57:31:28	應該不錯
01:57:37:15		沒錯吧
01:57:38:01		沒錯
01:57:39:00		那問一下你們老闆停車場在哪
01:57:42:00		前面巷子左轉
01:57:43:29		幹嘛
01:57:44:15		大概幾點會下班
01:57:45:21	01:57:47:29	平常四, 五點下班接小孩
01:57:50:03	01:57:50:26	謝謝
01:58:43:24	01:58:45:00	家裡有事, 是不是
01:59:03:09	01:59:04:16	這個月薪水先給你啦
01:59:06:11	01:59:07:19	家裡有事先拿去處理
01:59:13:16	01:59:14:13	謝謝老闆
01:59:26:02	01:59:27:22	老闆, 可以跟你借一支菸嗎
01:59:30:14	01:59:31:13	你有抽菸喔
01:59:33:22	01:59:34:28	之前會抽
01:59:36:03		但佳家生小孩之後
01:59:37:05	01:59:38:03	我就沒有抽了
01:59:57:26	01:59:59:07	我跟你一樣很早就結婚了
02:00:07:08	02:00:08:16	但前兩年離婚了
02:00:17:18		遇到了怎麼辦
02:00:19:13	02:00:20:11	面對啊
02:00:36:07		男孩子有擔當一點
02:00:38:09	02:00:39:15	不要整天臭臉
02:00:42:05	02:00:43:04	有沒有聽到啦
02:01:12:23		問到了
02:01:13:11	02:01:13:28	上車
02:01:16:26	02:01:17:19	快點啦
02:01:32:29		你流鼻涕了
02:01:34:27	02:01:35:22	好冷喔
02:01:37:17		她真的好可愛喔
02:01:39:29	02:01:40:23	好乖喔
02:01:43:01		之後那些手續
02:01:43:25		我會盡快找人跟你聯絡
02:01:45:15		我會委託
02:01:46:02		特別委託人
02:01:47:14	02:01:48:09	什麼手續
02:01:49:19	02:01:52:08	就是一些法律基本的程序啊
02:01:54:06		就是你和你先生
02:01:55:09		同意把小鈕扣過戶給我
02:01:57:28		然後我希望你們之後
02:02:00:16	02:02:02:25	可以不要再出現在小鈕扣的面前
02:02:08:11		小鈕扣過戶到我的名下
02:02:10:14		對她是好的
02:02:11:19		因為她可以有一些基本的保障
02:02:14:12	02:02:15:14	還有權利
02:02:19:06	02:02:20:26	要不然這樣好了
02:02:24:07		之後所有的有關的東西
02:02:26:26		我和我先生全面處理就好了
02:02:29:11		你都不用出面
02:02:30:18	02:02:31:29	你好好專心工作
02:02:33:11		然後你可以把你的帳戶給我嗎
02:02:36:09	02:02:38:01	我有一點心意希望你可以收下
02:02:39:17	02:02:40:17	我不要你的錢
02:02:41:27		不要我的錢
02:02:43:08	02:02:44:05	那你要什麼
02:02:45:22	02:02:47:12	我希望她可以好好的長大
02:02:52:04	02:02:52:26	佳家
02:02:55:06		你不知道我多想擁有一個小孩子
02:02:59:14		如果小鈕扣到我那邊來
02:03:01:06		我會把我所有最好的東西給她
02:03:04:10		你應該會希望
02:03:05:09	02:03:07:13	她在比較好的環境下成長吧
02:03:13:20	02:03:14:19	好嗎
02:03:17:07	02:03:18:13	那我們就這樣決定了喔
02:03:35:09	02:03:36:08	佳家在哪裡
02:03:38:07		你是...
02:03:39:29		寶力
02:03:40:24	02:03:42:05	告訴我佳家在哪裡
02:03:45:07	02:03:46:24	我不能告訴你佳家在哪裡
02:03:48:20	02:03:49:22	她現在不想見你
02:03:51:22		你根本沒有辦法把她照顧好
02:03:53:16		這跟你沒有關係
02:03:55:15	02:03:56:21	佳家在哪裡
02:04:20:12	02:04:21:18	不好意思, 我接個電話
02:04:23:19	02:04:24:14	喂
02:04:25:09	02:04:26:04	是
02:04:30:09	02:04:31:23	差不多了, 還在談
02:04:35:26		Baby喔
02:04:36:21	02:04:37:21	Baby好可愛
02:04:41:10	02:04:43:01	都很健康, 非常健康
02:04:45:13	02:04:50:26	然後剛剛她有一點點的猶豫
02:05:12:21	02:05:13:14	劉姨
02:05:14:11		這一萬塊是房子的訂金
02:05:16:21		其他的我明天拿給劉叔
02:05:18:11		好, 還好你有來
02:05:20:02	02:05:21:23	房東其實有在催劉叔了
02:05:32:09		小姐, 你要去哪裡啊
02:05:34:21	02:05:35:23	我可以幫你看一下
02:05:37:14	02:05:39:02	沒關係, 謝謝
02:05:56:22	02:05:57:14	老闆
02:06:14:19	02:06:16:00	放心, 我很熟啦好不好
02:06:16:25		我們只要洗一次
02:06:17:15	02:06:18:17	就可以賺十倍回來了
02:06:20:21		然後如果我們再多跑幾次
02:06:23:08	02:06:24:27	你媽的錢就可以全部還啦
02:06:26:10	02:06:27:14	你房子就可以租啦, 對不對
02:06:29:21	02:06:30:07	沒事啦
02:06:31:23		這件事你不要跟我媽和佳家講
02:06:33:21		不會, 我知道啦好不好
02:06:35:07	02:06:35:27	笑一個
02:06:42:16		(房子我已經租了)
02:06:45:05	02:06:48:08	(錢的事情我也已經解決了)
02:07:08:16	02:07:09:12	接電話了嗎
02:07:11:14	02:07:12:21	我傳簡訊給她
02:07:14:25		沒關係, 她一定會回來的啦
02:07:16:15		好不好
02:07:17:13		我要是你女朋友的話
02:07:18:08	02:07:19:09	我就扒著你不放了啦
02:07:22:14		好啦...
02:07:23:08		趕快啦
02:07:24:05	02:07:24:27	你來騎車
02:07:26:19	02:07:27:17	這個我來顧
02:08:13:07	02:08:14:08	警察...
02:08:15:20		警察
02:08:16:13	02:08:17:17	調頭...
02:08:39:24		你幹嘛
02:08:41:14		沒有啊
02:08:42:08		不要擔心啦
02:08:43:07	02:08:44:09	沒事啦, 好不好
02:08:49:29	02:08:51:01	你先下去...
02:08:54:07	02:08:54:28	不要跑
02:09:07:23	02:09:08:22	行照, 駕照拿出來
02:09:11:14	02:09:12:13	行照, 駕照
02:09:14:00	02:09:14:29	沒帶
02:09:22:28		跑什麼
02:09:23:27	02:09:24:23	沒有啊
02:09:26:23		生日
02:09:28:07	02:09:30:10	八十七年六月七號
02:09:37:20		叫什麼名字
02:09:39:07		陳偉達
02:09:40:14	02:09:41:08	身分字號
02:09:42:27		A1226783
02:09:45:11		你是無照駕駛
02:09:46:06		所以我現在給你開單
02:09:46:23	02:09:47:16	幹嘛跑
02:10:06:13		好累喔
02:10:07:18	02:10:08:20	明天再找, 好不好
02:10:10:19	02:10:11:20	不行啦
02:10:12:17	02:10:13:27	找不到我們就完蛋了
02:10:15:02		找不到就多跑幾次啊
02:10:17:03	02:10:17:28	又沒差
02:10:20:04	02:10:21:26	我所有的錢都在那裡面耶
02:10:34:26		阿達
02:10:36:16		你手機借我
02:10:37:28	02:10:38:27	我手機沒電
02:10:41:22	02:10:42:27	給你, 我用什麼啦
02:10:43:27	02:10:45:01	你自己慢慢找啦
02:10:46:29	02:10:48:01	煩耶
02:10:52:01	02:10:53:12	為了那個女人值得喔
02:10:56:25	02:10:58:16	她搶別人老公的人耶
02:10:59:18		跟她以前搶別人男朋友
02:11:00:14	02:11:01:26	意思一樣, 你知道嗎
02:11:03:06		什麼叫搶別人老公啊
02:11:05:00		她就是這樣子的人啊
02:11:06:19		你講那什麼話
02:11:08:01		我講錯什麼嗎
02:11:09:20		你沒有講錯什麼嗎
02:11:11:08	02:11:12:04	我講錯什麼
02:11:13:07	02:11:14:05	你沒有講錯嗎
02:11:15:08	02:11:16:03	你知道我怎麼看她的嗎
02:11:19:02		你現在是怎樣
02:11:20:05	02:11:21:09	你要女人, 不要兄弟啊
02:11:23:04		我不知道你會講這種話
02:11:24:24	02:11:26:12	我就是會講這種話的人怎樣
02:11:29:14	02:11:30:09	走開
02:11:33:20	02:11:34:18	走開
02:11:37:25	02:11:38:24	走開
02:11:43:04	02:11:44:01	走開
02:11:47:13	02:11:48:12	滾啦
02:11:52:19	02:11:53:12	你自己找
02:11:55:14	02:11:56:16	你厲害你自己找
02:12:01:25	02:12:02:18	還我啦
02:12:29:08	02:12:30:11	(寶力)
02:12:31:12		(房子我已經租了)(錢的事情我也已經解決了)
02:12:33:11	02:12:35:05	(我們重新開始好嗎)(好想你跟小鈕扣)
02:13:13:08	02:13:14:09	要喝牛奶嗎
02:13:31:24	02:13:32:18	對不起
02:14:37:24	02:14:39:13	我們回去找爸爸, 好不好
02:15:25:22	02:15:27:06	來, 六十元
02:15:31:27		對不起, 我好像少兩塊
02:15:33:19		差兩塊喔
02:15:34:28	02:15:35:26	算一下
02:15:36:14		好啦, 沒關係啦
02:15:38:05		下次有錢再給就好了
02:15:40:09	02:15:41:03	謝謝
02:15:44:08		來, 你的發票
02:15:45:28	02:15:46:20	謝謝
02:15:47:18	02:15:48:13	謝謝光臨
02:18:00:07		對...
02:18:00:26	02:18:02:10	就是那個王太太
02:18:04:21	02:18:06:11	我覺得她不太理想
02:18:08:15		王太太在牌桌上
02:18:10:11	02:18:11:29	老是講她家務事
02:18:20:10	02:18:21:06	八七八
02:18:23:13		好可愛喔
02:18:25:11	02:18:26:19	這是你弟弟還是妹妹啊
02:18:29:08		這是我女兒
02:18:30:11		你女兒
02:18:31:17		你好厲害喔
02:18:32:21	02:18:33:18	很年輕耶
02:18:36:25		我記得你之前
02:18:38:01	02:18:40:00	是不是有買過那個尿布跟奶粉
02:18:42:28		上次跟你來的那個男生
02:18:44:14		他剛有來過耶
02:18:45:18	02:18:46:18	就在剛剛嗎
02:18:47:01	02:18:47:24	剛剛而已啊
02:18:48:14	02:18:49:13	來, 找你的錢
02:18:51:20	02:18:52:22	我轉進來了
02:18:56:03		一直走到底啊
02:18:57:27	02:18:58:20	好
02:19:00:11	02:19:01:28	下回打牌到我家嘛
02:19:12:17	02:19:13:09	錢包
02:19:23:20	02:19:24:22	搶劫啊
02:19:25:22		不要跑
02:19:26:13		站住
02:19:27:14		抓住他
02:19:28:20	02:19:29:24	前面把他攔下來
02:19:43:28		謝謝
02:19:45:00		走慢一點...
02:19:46:07	02:19:47:17	謝謝你...
02:19:48:09		他剛才
02:19:49:03	02:19:51:09	剛才從巷子裡面突然間跑出來
02:19:53:04		拿刀...
02:19:54:23	02:19:55:21	嚇死我了
02:19:58:27		他從巷子裡面突然間鑽出來
02:20:01:07		我根本就看不到他
02:20:03:24		嚇死我了
02:20:04:28	02:20:06:19	整個巷子裡面都沒有人
02:20:08:00		小姐, 你腳還好嗎
02:20:09:20		沒關係, 謝謝你
02:20:11:14	02:20:12:02	不會
02:20:21:22		你先生涉嫌強盜搶劫
02:20:23:19		嚴重的話可能會被判三到五年
02:20:25:29		我們剛剛已經做完筆錄了
02:20:27:18		等一下就會送到偵查隊
02:20:29:22	02:20:31:23	馬上就會檢送到地方法院
02:20:33:07		大概就是這樣子
02:20:35:14	02:20:36:12	你可以離開了
02:20:37:20	02:20:39:02	或是你想要留下來陪他也可以
02:20:57:28	02:20:59:02	你先回去吧
02:21:27:25	02:21:28:24	你先回去
02:21:56:28	02:21:57:23	很酷吧
02:21:59:17		小時候
02:22:00:00		我爸爸都會帶我來這種地方
02:22:02:29	02:22:04:14	然後之後就會做裝潢
02:22:05:28		所以這裡還沒有開始裝潢
02:22:07:29	02:22:08:23	還沒有
02:22:10:28		那個可以當臥室嗎
02:22:13:05		可以啊
02:22:14:14		而且可以隔兩間
02:22:16:15	02:22:17:12	這裡一半
02:22:18:21	02:22:20:05	這邊可以當廚房
02:22:22:25		可是門口當廚房
02:22:23:25		好像有點怪怪的
02:22:25:07	02:22:27:05	你說這一個區塊是廚房
02:22:28:25	02:22:30:15	好大的廚房因為它那管線都在這邊
02:22:31:06	02:22:32:20	你可以煮飯給我吃
02:22:38:15		如果能賺很多錢買這裡就好了
02:22:41:13		而且可以自己
02:22:43:05	02:22:46:26	想要哪裡是哪裡都可以
02:22:47:27	02:22:49:04	你會想你爸爸嗎
02:22:50:25	02:22:51:22	會想啊
02:22:52:16		但是也沒有什麼特別的
02:22:56:17	02:22:58:00	好像也沒有什麼印象
02:22:59:15	02:23:00:07	怎麼了
02:23:04:28	02:23:06:11	我們再去看別的地方
02:23:32:02	02:23:33:07	感覺得到她嗎
02:23:36:02	02:23:37:16	現在還感覺不到
