01:00:23:13	01:00:26:06	你欠鬼頭刀哥的一百萬
01:50:34:17	01:50:36:25	你說你女兒愛上我爸
01:50:38:00	01:50:39:08	那...
01:50:42:03	01:50:43:08	沒錯
01:50:44:21	01:50:46:29	雪麗是我的女兒
01:51:02:28		我在跟你說話呢
01:51:04:18		你到底聽見了沒有
01:51:06:22	01:51:08:16	船不可以給你
01:51:14:18		你老公人都已經死了
01:51:17:14		那艘船擺在那裡也沒用
01:51:20:00	01:51:22:01	交給我不是正好嗎
01:51:24:18		好了, 快說
01:51:26:04		船到底停在哪裡
01:51:27:12		就算我知道船停在哪裡
01:51:29:18	01:51:31:16	我也不可能讓你知道
01:51:33:02	01:51:34:13	你...
01:51:36:22	01:51:38:04	你...
01:51:40:24		女兒, 你聽好了
01:51:43:11		你下個月就要生了
01:51:45:08		你一個女人家拿什麼養孩子
01:51:48:24		把船交給爸爸
01:51:50:01		爸爸出去捕魚
01:51:51:09		好多賺一點養活你跟孩...
01:51:52:26		不要再說了
01:51:54:18		船不是我的
01:51:55:13	01:51:57:04	我不能決定要給誰
01:51:58:10		我老公特別交代
01:52:00:00	01:52:03:04	這艘船是要給他兒子小伍的
01:52:04:14		那你是他老婆
01:52:05:10	01:52:07:20	他留了什麼東西給你了
01:52:21:16		我要是沒有那艘船
01:52:23:22	01:52:25:26	我怎麼養活你跟孫子
01:53:10:08	01:53:11:09	雪麗
01:53:12:21		你為什麼沒有跟我說
01:53:14:07	01:53:15:23	他是你爸爸
01:53:23:19		我之前又不認識你
01:53:26:12	01:53:29:13	我根本不知道你是好人還是壞人
01:53:33:05	01:53:34:24	我是個孕婦
01:53:35:19	01:53:37:12	我也會害怕的嘛
01:53:39:20		你要找船
01:53:40:08		我們也找過了
01:53:41:09		時間不多
01:53:41:26	01:53:43:08	要帶你回去囉
01:53:48:01	01:53:49:05	雪麗
01:53:51:03		其實我是犯人
01:53:52:24	01:53:54:13	他才是刑警
01:53:57:08	01:53:58:24	我還在坐牢
01:54:00:13		因為老爸過世
01:54:02:05	01:54:04:18	我才有一天的時間可以出來奔喪
01:54:06:21	01:54:09:13	所以我才一定要在今天把船找到
01:54:13:17	01:54:14:25	雪麗
01:54:15:20		對不起
01:54:17:10	01:54:18:26	我騙了你
01:54:20:20	01:54:22:18	我在牢裡欠了一筆錢
01:54:25:05	01:54:27:22	我想把老爸的船賣掉去還錢
01:54:35:02	01:54:37:19	我找船不是為了老爸的遺願
01:54:38:19	01:54:40:03	只是為了還債
01:54:42:12	01:54:43:23	宗哥
01:54:44:21		對不起
01:54:46:17	01:54:48:02	我騙了你
01:55:03:10		喂, 副座
01:55:04:07	01:55:05:09	我啦
01:55:07:28		澎湖風很大
01:55:08:21		船一定會延期, 我跟你說
01:55:09:29		我沒辦法準時回去
01:55:11:17		是...
01:55:13:18	01:55:15:10	好...
01:56:59:00	01:57:00:14	好懷念的感覺
01:57:02:22	01:57:04:13	什麼好懷念的感覺
01:57:06:19		以前我老婆懷孕的時候
01:57:08:06		我也經常陪她這樣散步
01:57:10:14		然後我們倆就會想說
01:57:12:24	01:57:15:17	將來兒子長大以後會怎麼樣
01:57:19:10	01:57:21:00	怎麼樣都會比我強吧
01:57:30:06	01:57:31:25	其實...
01:57:34:08		其實我跟你說
01:57:36:02	01:57:38:23	我兒子常常買西門町鴨舌來看我
01:57:40:22	01:57:42:07	我騙你的
01:57:44:17	01:57:46:27	我已經十三年沒看過我兒子了
01:57:51:00	01:57:52:10	果然比我強
01:57:52:27	01:57:54:18	還比我多三年
01:58:05:22	01:58:06:25	小伍
01:58:08:24		其實我也有一件事情要告訴你
01:58:12:07	01:58:13:16	怎麼啦
01:58:16:27		其實在你還沒有來之前
01:58:19:11	01:58:21:25	我就已經知道你是囚犯了
01:58:22:28	01:58:24:13	是喔
01:58:25:12		寄去監獄的通知書
01:58:26:26	01:58:28:15	就是我寄的
01:58:33:26	01:58:35:09	對不起
01:58:36:11	01:58:38:05	騙了你那麼久
01:58:51:18	01:58:52:24	謝謝你
01:58:53:24	01:58:55:07	還願意騙我
01:58:59:02		沒什麼啦
01:59:00:04	01:59:02:02	一家人不是都這樣嗎
02:00:32:23		沒關係
02:00:34:16		我還可以
02:00:36:00	02:00:37:00	真的
02:00:40:11	02:00:41:25	陣痛過去了
02:00:43:05	02:00:44:25	我怕你突然就生了
02:00:45:19	02:00:46:27	不會啦
02:00:47:18	02:00:49:23	我的預產期是下個月
02:00:54:28	02:00:56:09	協和號
02:01:40:01		鑰匙給我
02:01:41:05	02:01:42:17	我沒有
02:01:43:26		那鑰匙在哪兒
02:01:45:08		我不知道
02:01:46:22	02:01:48:29	我連家門鑰匙都沒有了
02:02:14:22	02:02:15:28	小伍
02:02:17:09	02:02:19:08	船現在是你的了
02:02:24:05		好好把監獄裡的事情處理好
02:02:27:23	02:02:31:05	我們會在外面等你回來
02:02:45:07	02:02:46:15	鐵陸
02:02:51:02		幹嘛
02:02:51:28	02:02:53:04	我問你
02:02:54:10		你想要這艘船
02:02:55:27	02:02:57:21	到底想要做什麼
02:03:02:06		在澎湖開計程車
02:03:04:03		根本就不夠三個人的開銷
02:03:07:07		為了我女兒和我孫子
02:03:10:01	02:03:12:08	我需要這艘船
02:03:20:06	02:03:21:16	給你吧
02:03:22:27	02:03:24:15	你...
02:03:25:21		我不在的時候
02:03:27:09	02:03:29:19	總要有人照顧雪麗和我弟
02:03:30:09	02:03:31:27	就拜託你了
02:03:33:13	02:03:35:10	那監獄的事怎麼辦
02:03:36:03	02:03:37:25	再想辦法囉
02:03:38:15		小伍
02:03:39:07		這艘船是你爸留給你的
02:03:40:18	02:03:42:17	這也是我爸留給你的
02:03:56:18		這怎麼會這樣
02:03:57:15		你怎麼搞的嘛你
02:03:58:28		我什麼也沒做
02:04:00:10	02:04:02:07	我只是指了一下
02:04:03:06		那現在怎麼辦
02:04:05:00		躺一下...
02:04:06:05		快點...
02:04:07:08	02:04:07:28	快
02:04:09:20	02:04:11:01	躺下...
02:04:12:06		來, 慢慢躺...
02:04:13:15	02:04:14:22	對, 慢慢躺
02:04:17:15		臀高頭低啊
02:04:18:09		羊水流完, 你小孩就不保了
02:04:20:06		快點
02:04:20:18	02:04:21:25	那再來呢
02:04:22:13		叫救護車...
02:04:24:03	02:04:25:23	救護車...
02:04:29:15	02:04:31:09	我的手機沒電了
02:04:32:20		我的手機
02:04:33:10		剛剛在跟他打架的時候
02:04:34:05		就已經摔壞了
02:04:36:04		不要看我
02:04:37:08	02:04:39:12	我八年沒繳過電話費了
02:04:40:01		手機有電磁波
02:04:41:23	02:04:43:04	我沒有
02:04:43:24	02:04:46:19	那我去看船能不能發動
02:04:48:05		雪麗, 你忍一下
02:04:49:23		你在這邊直接生不太好吧
02:04:51:24	02:04:53:22	那你去跟他說
02:04:57:07	02:04:58:19	船還能發動
02:05:00:16		我試著把船推到海裡
02:05:02:01	02:05:03:27	你們幫我照顧好女兒
02:05:04:22		快解開手銬
02:05:05:13	02:05:06:22	我去幫他一起推
02:05:13:06		我去好了
02:05:13:28	02:05:15:12	你在這兒
02:05:16:09		再怎麼說你都比我有經驗
02:05:18:10	02:05:20:11	宗哥, 雪麗拜託你了
02:05:27:16		宗哥在照顧雪麗
02:05:28:20	02:05:29:25	我來幫你推
02:05:30:27		好
02:05:31:14		來, 一起用力
02:05:33:00	02:05:35:06	一, 二, 三
02:05:37:29	02:05:40:06	一, 二, 三
02:05:47:19		不要緊張...
02:05:49:03		你還沒有很痛
02:05:50:02	02:05:51:13	應該不會馬上生啦
02:05:53:11		我超痛
02:05:55:06	02:05:57:21	如果這還不是要生
02:05:59:24		羊水破了...
02:06:02:09		要生了
02:06:02:29	02:06:06:20	第一動...
02:06:15:04		第一動...
02:06:16:11		頭高臀低
02:06:18:09	02:06:20:02	運用重力幫助生產
02:06:21:00		你說什麼
02:06:22:01		頭高臀低, 運用重力幫助生產
02:06:24:10	02:06:27:15	頭高臀低, 運用重力幫助生產
02:06:28:28	02:06:32:02	第二動... 檢查寬口...
02:06:36:24		回來啊
02:06:38:09	02:06:40:02	快回來啦
02:06:42:17	02:06:43:19	快
02:06:56:22		現在怎麼樣
02:06:57:28		三指...
02:06:59:05		三指
02:06:59:20		她快生了...
02:07:01:14		快生了
02:07:01:28		雪麗, 你快生了...
02:07:04:02		第三動...
02:07:05:15	02:07:06:28	第三動是什麼
02:07:07:28		布
02:07:08:15		給我布啦
02:07:09:18		快點, 布啦
02:07:11:09	02:07:12:24	你脫衣服
02:07:13:26	02:07:15:04	下巴貼緊
02:07:15:19		吸氣
02:07:16:19	02:07:17:28	配合呼吸
02:07:19:10		吸氣...
02:07:22:22		吸氣
02:07:23:25		一, 二, 三
02:07:26:09		用力
02:07:27:09		用力...
02:07:31:02		我看到頭了...
02:07:34:03		看到頭了
02:07:35:05		再一次...
02:07:35:20		爸
02:07:37:00		女兒, 不怕
02:07:37:24		爸爸在
02:07:38:23		你專心生
02:07:39:15		再來...
02:07:40:04		再來一次
02:07:42:03		再一次...
02:07:43:14		一, 二, 三
02:07:45:17	02:07:48:10	用力
02:08:22:19	02:08:24:14	小心一點...
02:08:25:29	02:08:27:02	Baby
02:08:27:21	02:08:29:00	我的弟弟
02:08:32:16	02:08:33:23	Baby
02:08:35:03	02:08:36:16	這個是哥哥
02:08:40:08	02:08:41:18	哥哥
02:08:43:25		你要抱多久啊
02:08:45:15	02:08:47:26	來, 給我...
02:08:51:17	02:08:53:05	小心...
02:08:57:01	02:08:59:08	我的小寶貝
02:09:02:01	02:09:03:07	女兒
02:09:04:14		沒事了, 乖
02:09:07:03	02:09:08:28	乖, 沒事了
02:09:17:29	02:09:19:10	阿公
02:10:00:02	02:10:01:04	喂
02:10:11:25	02:10:13:13	爸, 是我啦
02:10:17:26		怎麼樣
02:10:18:18		退休手續辦好了嗎
02:10:20:02	02:10:21:15	都辦好了
02:10:22:03	02:10:24:14	那就恭喜爸爸囉
02:10:25:20		退休了, 老了
02:10:26:10	02:10:28:00	有什麼好恭喜的
02:10:29:15	02:10:30:19	爸
02:10:33:05		我是想說
02:10:34:22		再過幾個月我就要畢業了
02:10:36:26		然後我想也可以成家立業了
02:10:39:19		所以我最近有在看房子
02:10:41:14		其實有幾間滿不錯的
02:10:42:27		而且頭期款不用很多
02:10:45:21	02:10:47:17	我退休金都花完了
02:10:49:15		爸, 你剛剛說什麼
02:10:51:04		我說我退休金都花完了
02:10:52:28	02:10:54:08	一毛不剩
02:10:55:02		不是吧, 爸
02:10:56:11		謝謝你十三年來第一次打電話給我
02:10:58:25		聊得很愉快
02:11:00:04		再見
02:11:01:02	02:11:02:04	爸
02:11:46:23		Baby
02:11:47:23	02:11:50:00	你有沒有看到我們的船在那裡
02:13:03:27	02:13:05:02	回老家
02:13:05:28	02:13:08:20	先把你老爸交代的事情辦完
02:13:15:13		對了
02:13:16:17	02:13:19:15	那你欠別人的錢怎麼辦
02:13:23:27	02:13:26:00	宗哥替你還了對不對
02:14:10:09	02:14:11:21	船長不是我嗎
02:14:13:06		我的退休金
02:14:14:15		我是董事長, CEO
02:14:16:27		拜託, 還CEO
02:14:19:11		會不會太誇張
02:14:20:13		你沒經驗啦
02:14:21:13		鐵陸先做
02:14:22:18		你在底下工作啦
02:14:24:08	02:14:25:09	好啦
02:14:30:20	02:14:31:29	謝謝啦
02:14:32:22		你們兩個現在又沒有銬在一起
02:14:35:05	02:14:37:06	不用在那邊咬耳朵了啦
02:14:38:11		習慣了嘛
02:14:40:08	02:14:41:14	走...
02:14:42:08	02:14:43:14	來, 走
02:14:44:13	02:14:45:19	小心點啊
02:14:48:20		來... 衣服穿上
02:14:50:15		謝謝
02:14:50:28		來...
02:14:51:23	02:14:53:14	我的孫子交給我
02:14:55:05	02:14:56:11	我的小寶貝
02:15:05:06		你是董事長
02:15:06:18		還怕喔
02:15:07:19	02:15:08:25	還是會怕啊
02:15:11:03	02:15:11:25	來啦
02:15:13:16		來, 下來...
02:15:14:14	02:15:16:16	不怕...
02:16:51:03		不會吧
02:16:52:14	02:16:53:22	又是颱風
